UniqueCount	AmbigCount
0	24
0	3
1	2023
0	0
0	2
0	1
0	0
0	7
0	5
0	0
0	0
0	0
0	0
6	470
0	32
0	76
0	44
0	21
0	319
1	24
1	449
1	86
0	31
99	158
0	47
0	241
1	47
0	48
5	223
0	0
0	0
0	0
6	2391
0	369
1	699
0	693
0	635
0	259
187	645
25	37
0	240
0	147
0	113
0	199
0	0
0	231
0	0
0	18
0	66
3	42
0	24
1	55
0	267
0	207
0	211
0	137
0	169
0	149
0	56
0	169
0	152
1	52
0	56
0	34
4	37
0	55
0	32
0	47
0	0
0	5
0	18
0	1
0	618
2	112
0	63
0	32
2	5
5	9
3	372
0	12
0	3
0	113
0	18
0	0
0	79
0	61
0	19
0	24
0	117
0	98
267	13803
76	22738
28	112035
18	1
4	20712
3	3958
3335	40109
4	19193
0	0
0	1
5	2104
6	41
0	0
0	0
0	74
0	26
0	29
0	30
0	23
0	29
0	66
0	62
0	29
0	29
0	26
0	29
0	29
0	30
0	23
0	64
0	60
8	18
0	4
0	4
0	16
0	2
0	2
0	12
0	13
0	15
0	13
0	14
0	13
0	14
0	42
0	15
4	16
0	52
19	64
0	64
0	1
13	39
0	2
0	100
0	99
16	138
3	75
0	208
2	386
0	131
0	139
3	8
0	105
0	144
2	108
0	136
0	8
0	97
0	89
0	9
0	98
0	117
0	114
0	102
0	33
1	125
0	83
0	91
0	107
0	127
0	123
0	131
0	97
0	100
0	103
0	103
0	33
0	106
0	128
0	98
0	33
0	9
0	54
0	33
0	81
0	9
3	1
0	1
0	45
0	24
0	30
0	35
0	0
0	0
0	67
0	7
0	0
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
7	698
0	382
10	971
1	1
0	161
3	52
27	18
1	2
3	16
4	1
3	13
0	14
0	15
1	3
0	5
0	0
0	0
0	0
0	0
11	0
0	51
2	51
4	51
1	42
0	434
0	301
18	434
1	332
0	0
0	205
0	202
0	187
0	190
0	4
1	13
0	5
0	2
1	58
3	70
0	13
0	7
0	7
0	3
0	7
0	74
0	7
0	43
0	7
0	4
0	3
0	0
0	0
41	38
0	59
0	59
0	60
0	59
3	49
0	57
2	60
0	18
0	52
0	29
0	19
0	17
0	14
0	12
0	13
0	13
0	9
0	7
0	2
0	59
0	0
0	0
0	0
0	0
0	0
0	40
0	0
0	0
1	130
0	0
0	0
0	0
0	0
0	0
0	5
0	9
0	7
0	5
0	8
0	10
0	10
0	10
0	9
0	10
0	5
0	10
0	3
0	5
0	9
0	10
0	8
0	2
0	1552
0	1519
1	1495
7	937
2	904
0	579
0	310
202	0
0	2
0	2
0	8
0	6
0	5
1	2
0	841
0	863
0	839
0	554
0	583
0	511
0	496
2	165
0	419
4	346
1	161
0	210
0	219
0	186
0	184
0	80
0	111
2	87
0	87
43	40
1	47
1	0
0	20
0	15
0	18
0	18
0	2
0	18
0	1
0	3
12	415
6	450
2	323
0	233
1	45
3	36
0	46
0	16
9	83
0	56
11	34
0	31
0	8
0	0
0	201
0	104
0	65
0	132
0	51
0	140
0	112
0	602
0	884
0	879
0	663
0	284
0	789
0	876
0	668
11	1015
1	555
0	656
0	883
0	683
0	634
0	718
0	768
0	308
0	220
0	230
0	623
0	224
0	316
0	253
0	159
0	198
0	382
0	61
2	104
0	305
0	225
0	224
0	289
0	257
0	257
0	42
0	34
0	190
0	279
0	267
3	256
0	229
0	188
0	148
0	124
0	122
0	115
0	58
3	43
0	8
0	0
2	0
2	165
299	208
0	91
28	0
0	786
16	781
0	185
0	204
0	129
0	68
1	82
0	0
0	5
0	8
0	9
0	8
0	9
0	3
0	2
0	2
2	2
0	0
0	1605
0	1568
24	1567
2	1599
