,GSM758901,GSM758908,GSM758921,GSM758928,GSM758961,GSM758973
ADAM28,-0.92960787,-1.5482941,-2.0595012,-1.6540108,-1.6833363,-2.5666828
UBE2D3P1,-0.22885513,0.06813431,0.357749,-0.5718303,1.0843477,0.34039497
STX6,-0.0037117,-0.7989044,-0.41549778,-0.69867134,-2.5525255,-0.41252232
RICTOR,-1.0849586,-0.34483337,-0.4164362,-0.05804825,0.5099964,-0.36201572
STX2,0.06314182,0.042607307,0.86928177,0.90575314,-1.5472441,-0.26084805
SPDEF,0.46315908,1.1915455,-0.5445137,-0.8582268,-0.34722567,0.10323286
EGLN1,-0.06441116,0.22433853,0.039628983,-0.21931267,0.4878397,0.011712074
EGLN2,0.30544472,0.12344551,0.48050117,0.66939926,0.024152756,0.43819523
MBD6,-0.39688683,0.022550583,-0.12949848,-0.18777084,-0.07019043,-0.51399326
BIK,0.17429924,1.2719927,-0.41505194,2.5432296,1.8086686,2.8136096
MCRS1,0.29581928,0.17007732,0.28720188,0.22137356,0.5129204,0.18639946
MBD1,0.00314045,-0.003140926,0.69598436,-0.69633865,0.17742252,-0.13639545
KIAA2012,0.002587318,0.67823505,0.82808685,0.7888136,-0.10262394,0.26453972
ZNF77,-0.39936543,-0.15851498,0.5099268,0.045677662,0.26848698,-0.68171215
ADAM30,-0.516901,-0.7195844,1.2752719,0.359051,-1.4457865,-0.80584764
KIAA2013,0.38791752,0.17323399,0.23238277,0.5196123,0.6411543,0.109755516
SKI,1.1396303,-0.19747972,1.9748316,1.546649,-1.6089187,-0.2547865
ZNF70,-0.3866663,0.19219542,-1.5084262,-0.09861469,-0.5269351,-0.66161156
KCNG1,0.7082453,0.1013484,-0.99028635,-0.007548332,-0.73386526,0.23316383
PDCD7,-0.30852985,-0.37775707,-0.054136276,-0.29122448,-0.04014206,-0.5005646
RASL11A,0.70002747,-0.21316624,-2.6537235,-0.32217026,-1.3641992,0.7001133
FBXO25,-0.93636036,-0.66234636,-0.23189878,-0.43506193,0.07639074,-0.8863325
IL1RAP,0.17592621,0.41448784,2.3009434,1.7573185,3.6354322,0.67941666
APEH,0.3388424,0.36427307,-0.023420334,0.9498062,0.4971714,0.16736317
FADS2,0.87878036,1.5081539,-0.019218445,0.7454033,1.6246576,0.6623535
POFUT2,-0.4179077,-0.10102844,-1.3827438,-0.72403526,-0.47416306,-0.39889526
POFUT1,0.54660416,0.8841524,1.1728339,-0.35529184,0.86363316,0.719543
