,GSM758901,GSM758908,GSM758921,GSM758928,GSM758961,GSM758973
LINC02984,-0.71416646,-0.5428251,1.5966219,0.40366328,-1.2873528,-0.8900678
BDP1,-0.48953152,-0.41555214,0.28105068,0.76579666,-0.757905,-0.47751617
DTL,2.2810392,3.1349115,-1.4904683,-2.3897207,-1.6066537,1.4766889
ST6GALNAC5,1.3359747,-0.062060356,-0.22448397,-0.04651451,-1.7849526,-0.71947575
CNTNAP5,-0.8065293,-0.6635239,1.3544118,0.39080894,-1.3723128,0.8948741
LINC00324,-0.4324913,-0.20619392,1.0579147,1.0197659,0.9506731,-0.7283635
CNTNAP4,0.036779404,-0.6279033,1.4040916,0.4014498,-1.3691361,-0.93582714
SLC47A1,2.6556864,3.6209269,1.6254029,2.8009481,3.5547457,3.1347294
HSD17B14,0.43342447,0.8060498,-1.9409599,-0.12463045,-2.0819683,0.015820026
LRP8,0.8639679,0.6652217,-0.015724659,0.715765,1.5025277,1.0836792
MIR378A,-0.33260107,0.15287971,0.42195988,0.5360918,0.113165855,0.16463947
PRIMPOL,-0.3337803,0.08019304,0.3636012,-0.46180487,0.9775677,-0.49824715
CECR2,-0.006182671,-1.271913,1.2134695,1.4581766,0.9037838,-0.3591175
PTPRZ1,0.46703875,0.26513827,3.6077337,0.42027724,-1.33055,-0.36706495
OR2W3,-0.23513985,-1.3905506,0.6861534,-0.4549644,-2.2838101,-1.7852356
SLITRK2,-0.6547496,-0.57645977,1.3982701,0.5328376,-1.4540583,-0.84994084
SLITRK1,0.62411857,-0.46049404,3.3889797,1.0925541,-1.3074186,-1.6511141
SLITRK4,-1.4977205,-0.41166735,-1.8234768,-2.953863,-2.5978122,-1.6379335
SLITRK3,-0.6506468,-0.45555758,1.5117116,0.58615327,-1.253513,-0.76187164
C1orf226,-1.623422,0.5378628,0.37064242,-0.33075643,-0.30852485,0.12320948
LINGO1,3.5213346,1.7587702,0.8412037,0.008663893,3.6615024,1.9543791
DUT,-0.42940807,0.04479313,0.35042477,-0.059552193,-0.6902342,-0.44242477
BAIAP2,0.66181755,0.591732,1.2731886,1.4367657,0.44313717,0.20500946
BAIAP3,0.26941442,0.002502918,0.7024379,-0.4613558,-0.24839735,-0.52239823
PC,0.87952137,1.56886,-1.6795015,-1.2676287,0.095713615,0.8778858
OR2V2,-0.7992688,-0.057587147,2.5227468,0.30841565,-1.3915689,-1.0165318
LINC00347,-0.94123477,-0.7745405,1.1627676,1.0935318,-1.6289191,-0.0952698
VIPAS39,0.05132103,0.19649124,-0.17039204,-0.1631298,0.025416374,0.1803112
PABPC1L,-0.4642768,-0.7335963,-0.8517642,-1.3705306,-0.19004154,-0.70482683
SPG21,-0.16358948,-0.001203537,0.5658102,0.32918167,0.49769878,-0.19664001
CRADD-AS1,0.6070852,0.082817554,-1.1677406,0.5644121,-2.112284,-2.1866827
RETREG3,-0.032689095,-0.023880959,0.17796803,-0.954751,-0.05152893,0.1458168
LRR1,0.019536018,0.3223505,0.13485575,0.5082464,1.3030772,0.046292305
RTCB,-0.11968422,0.32969284,-0.3532753,0.05306816,-0.060626984,-0.13355637
DNHD1,0.17971802,-0.7703457,1.2122865,0.2722317,-1.7247604,-1.1672521
TXNDC11,-0.012138844,-0.063905716,-0.17670345,-0.013866901,0.120708466,0.28532362
UBE2L6,0.15530586,-0.005374908,0.16989994,-0.29342842,-0.015233994,-0.31743526
GCC2,0.12677956,-0.35839796,0.8899269,0.71880245,0.31261253,-0.033727646
TXNDC16,-1.223814,-0.62828016,-0.030546188,-0.7133808,0.11693382,-0.95034313
NUBP2,0.8207245,0.29841232,0.077116966,0.3281269,-0.76556015,-0.24775219
TCL1B,-1.3176324,-0.5523653,-1.6117144,-0.7703152,-0.8373256,-0.7423501
BAIAP2L1,-0.8508488,-0.9100033,1.0716814,0.118487835,-0.66521657,-1.2582091
POF1B,-0.62480795,-0.45550066,1.5008911,0.6115836,-1.2274115,-0.73231846
DHX57,0.11784935,-0.7974777,-0.9075165,0.77695847,-1.0598001,-0.68753076
DHX58,-0.3408575,-0.5036211,-0.6101723,-0.0473814,-0.5651512,0.68077374
OXER1,0.004671097,0.49121857,-0.23855782,-0.32559013,-0.20756054,0.18842173
SLC16A6P1,0.33607864,0.015180588,-0.010592461,-0.07772064,1.2188025,-0.44325876
CCNL1,-0.5953064,-0.38771343,-0.4875698,0.001142502,0.3652525,-0.20381165
ACAD10,0.5089245,0.123867035,0.8073158,1.0135202,-0.80688953,0.60951567
EPHB4,-0.5427778,-1.6214303,0.18051958,-0.858243,-0.57178116,0.10778427
SLC34A2,-0.67444736,-0.62262505,5.8497715,0.3497429,-1.2195364,-1.0326235
ENTPD1,-0.7441735,-2.1592212,-0.7902689,-0.46311188,1.3622074,-1.8484554
EPHA7,-0.69693804,-0.47533447,1.4333856,0.58327675,-1.3344281,0.09083307
ENTPD2,-1.0004568,-0.93397665,-0.18046188,-0.4699993,0.1989193,-0.55436325
EPHA6,-0.4673785,-0.4117005,1.6031516,0.66273093,-1.1586816,-0.74287784
EPHA8,-0.12790418,1.8455472,0.6275377,-0.4895283,-1.524767,-0.45953572
ENTPD7,0.38987875,0.35078335,3.2937484,0.0301013,0.16924143,0.3960781
TAS2R13,0.23707986,0.54552937,0.37661242,-0.51697767,-0.067917824,-0.045187473
TAS2R14,-0.34262848,-0.38267326,0.10867262,0.5441785,-0.8001509,0.24661922
TIMD4,0.22747278,-0.77170634,-1.76722,-2.6088705,-2.2756367,-0.24283457
MXRA8,0.53029823,0.19897461,3.3833818,-0.45657396,-0.3307085,-0.6840482
ULK1,-0.8456478,-0.61408234,-0.15560436,0.013422012,-0.5751543,-0.41930008
DXO,0.051442146,0.04746914,-0.35916328,0.30707645,-0.11046791,-0.76700354
MXRA7,0.0750556,-0.3186729,-0.07042122,-0.15519714,3.7482839,-0.3750801
ZBED9,-0.8394127,-0.6949714,1.2278771,0.43473172,-1.5502388,1.5646758
ZBED8,-0.6905775,-0.359056,-0.29742908,-0.031680107,0.078846455,-0.3439393
PEX11B,0.1726284,0.21292877,0.15357685,0.1580658,0.33679008,0.32669926
PIK3R2,0.46305752,-0.33779573,0.10919428,0.4745493,-0.8881955,-0.48071957
PIK3R1,0.19747925,0.3341217,0.22518253,0.57701683,0.5629988,0.26715755
PTTG1IP,0.19713688,0.3232813,-0.12591076,-0.07594204,0.6806965,-0.4646902
ART5,0.06785703,-0.13353229,-0.29046917,0.84120774,-1.0714092,-0.7436354
AARD,0.66039777,0.27770066,-0.23977709,-0.40914726,-0.08533478,1.1171918
APPAT,-0.68566227,0.028122425,-1.6764517,-0.91940403,-0.038840294,0.76054335
ERC2-IT1,0.42074776,0.14836502,4.844177,-0.5733371,0.05472231,-0.018196583
RAB11FIP1,0.14591789,-0.41765213,0.87526417,0.8579979,0.7924433,0.2675724
TESPA1,-0.16726732,-0.85165644,-1.3508525,0.091380596,-0.07319927,-2.461039
DHX33,-0.2991228,-0.0967536,-0.25982475,-0.003238678,0.091685295,-0.5990691
MIER3,0.012640476,-0.49366808,1.8159499,1.563335,0.11772537,-0.10684967
PCBP1,0.3981781,0.18498993,-0.026052475,0.44508553,0.046290398,0.68055534
MIER2,0.3805151,-0.4557867,-0.16744423,0.373044,0.17683601,-0.40512466
MIER1,-0.69634247,-0.22644997,0.1305399,-0.18171501,0.71387863,-0.46273708
PCBP2,-0.010316849,0.25668716,0.49131775,0.35455513,0.7386894,0.010316849
DHX36,-0.56198215,-0.30464268,-0.27715397,0.13352299,0.4122839,-0.34502125
ZBED1,0.24208164,-0.8903456,0.089549065,0.23530102,-1.841424,-0.09939098
ARSF,1.1901224,0.5452635,-0.55777884,-0.9360788,0.2981646,-0.43854547
ARSD,-1.8316293,-0.01647234,-1.1290574,0.72284746,-1.093555,0.25252295
N4BP2,-0.37736845,-0.40208673,0.12838173,0.76818275,0.13474941,0.37346935
RAB11FIP4,1.7645712,1.0665503,1.1290331,0.69661427,1.6718607,3.0687943
CLHC1,0.31207228,0.6206336,-1.470007,-2.238996,0.111272335,0.53054
ARSB,0.13532257,0.43060875,-0.48237944,0.1364584,-0.49021912,-0.21071339
WWTR1,-0.055377007,0.102809906,1.2826369,0.32247436,-0.38111758,0.82405424
NSMCE1-DT,-0.22150588,-0.47923803,-0.2979555,-0.5192313,-0.92437196,-0.54647255
SLC25A3P1,-0.60972625,-0.41431266,1.6579707,0.57441235,-1.1896062,-0.76387286
MICAL3,0.28701568,0.23775434,-0.6760485,0.1381545,-0.28845143,1.6940753
WAPL,0.18662262,0.42444992,0.3729477,-0.00595665,1.2301683,0.16457367
TG,0.8648896,0.092386246,-0.29494715,0.08508873,-0.27326584,1.4823365
RETREG2,0.09485531,0.19788456,0.4160719,0.042025566,0.32963562,0.010046005
CCNJL,2.8643508,-0.6296989,1.417909,0.3722459,-1.382469,4.132329
TNFRSF13B,-0.70737606,-0.5788214,1.5852038,0.46922243,-1.0363147,-0.8332075
CETN3,-0.101652145,0.23802757,0.07062054,0.21335983,0.36857224,-0.008923531
SLC7A13,-0.70144814,-0.47766292,1.5204213,0.54086936,-1.3123513,-0.8291273
TNFRSF13C,0.106174946,0.2716112,-0.96936774,-0.04750347,-0.63923454,-0.7135577
SLC7A11,0.22041607,-0.8509445,1.5650778,1.9498348,3.5415983,2.051444
PCSK7,0.6397934,0.9533577,0.58270645,-0.08529091,1.2088184,0.32303047
BMP2K-DT,0.26926804,-0.11673498,-1.1989307,0.64988756,-0.492239,-0.06159544
PCSK5,1.6052389,2.0634298,-0.05961418,0.5833292,0.7161503,1.6710596
GNGT1,-0.22759593,-0.588629,1.4242792,0.53848386,-1.5137593,-0.8330815
GNGT2,-0.15252447,0.023631573,-0.049328804,-0.35321712,-1.2788682,0.93012905
HYAL1,-0.27793574,-0.023441792,0.18599033,0.51531696,-0.9948907,-0.096972466
HYAL2,0.96926403,1.0506926,0.44486046,0.8296499,0.79898643,0.376894
DHX16,0.2460928,0.02531147,0.44846344,0.33332157,0.3672943,0.22110462
L3HYPDH,-0.10377169,0.067094326,0.17722082,1.0213442,0.60271025,0.59002733
NCOA2,-1.1800756,-0.88924694,-0.75796986,-0.460454,-0.5662937,-0.7936659
TNFRSF12A,1.9154654,2.1348963,-0.12229538,-0.5964546,2.3984003,0.9527283
NCOA6,-0.2349844,-0.13042355,0.15410328,0.047362328,0.21340084,0.010603905
LAT2,-0.87761784,-0.63849354,-0.93205357,-0.92255497,-0.002266884,-1.6111917
ENAH,-1.0149069,1.0922136,1.219763,0.1263709,0.6219044,-1.2147273
BANK1,-1.8698258,-1.557673,0.35048056,0.5125923,0.36809063,-2.3722944
G2E3,-0.3220725,-0.043966293,-0.5462203,0.27494907,0.55647755,-0.20587397
DEFB127,-0.44582456,-0.4102655,1.617442,0.61284673,-1.1884152,-0.7079411
GREB1L,-0.50596917,-0.86359215,1.0413774,0.21266413,-1.6758705,1.4322456
FAAP24,-0.1170702,0.4986496,-0.9097278,-0.8457041,0.14746141,0.0733819
CRIP2,1.8921318,-0.21561575,0.38263893,0.37796497,2.3444943,-0.5274024
NEDD8,0.32044792,0.50481224,0.13914204,0.6143141,0.33566475,0.13943672
ARVCF,0.7441201,0.5525508,2.697379,0.6193595,0.6334138,0.29795933
ALS2CL,-0.16482258,-0.011657238,-0.22057247,-0.41869783,0.57591486,-0.477396
FAM172A,0.10133171,0.09328842,0.5572367,0.29218102,0.66357994,0.20962429
GCH1,-3.081071,-1.7604558,-1.6037583,-2.3987546,-0.57236433,-1.9898729
YIPF4,-0.5249162,-0.0420146,0.3766117,0.27021456,1.6531591,0.16600895
KLK13,1.0786915,-0.075742245,1.5471611,0.36379552,0.49996305,-0.8406297
KLK14,0.21014166,0.16490412,-0.002144337,-0.29575014,-0.09253502,-0.20715523
UBE2G1,-0.20813942,0.18972206,-0.13620853,0.22753716,0.7383623,0.27307415
UBE2G2,0.69833994,0.3719883,1.278564,0.21468925,0.4963236,0.28018904
XG,-0.90736187,-0.6605998,1.2384996,0.42864716,-1.5826076,-0.42444694
MAD2L2,0.10250282,0.00091,1.4517965,1.7035007,0.40690613,-0.1199131
CCNG2,0.8583269,-0.37221384,1.9722128,2.692525,1.8988085,1.7384806
NEDD4,-1.4189453,0.32501793,-2.2067893,-1.5915654,-1.0383625,-2.6869385
TARDBP,-0.11926556,-0.017320633,0.043554306,0.59685326,0.44310808,0.30766582
SH3GL3,0.7469077,0.56812716,-0.5151875,-0.54162645,0.14173079,-0.034721136
KLHL36,0.34537125,-0.039382935,-0.027560234,0.7615948,0.42703152,0.061377525
OGDHL,-0.7032801,-0.512725,1.5920758,0.40680754,-1.3252373,1.7690873
KLHL35,0.2932639,-0.2198224,1.3432107,1.4396996,1.2918711,-0.03494215
CFAP300,-0.7933892,-0.008881927,1.4370556,0.3571663,-1.3489778,-0.985371
CCND3,0.6357498,0.81209755,0.51007557,0.048282623,0.858037,-0.48312092
CCND1,1.9675875,2.068801,-2.0883136,-2.2706795,3.164856,2.0952988
C11orf1,-0.07225585,0.19091964,1.5545284,0.6551304,-1.3318628,-0.7347545
FAM174A,-0.43947792,0.22763062,0.53079605,0.75849915,0.53252983,-0.17387009
SH3GL2,-0.84066945,0.51673377,1.389089,0.33051383,-1.5260679,-1.0134606
SLC12A2-DT,0.5474,0.9691758,0.38727188,0.7435827,0.9234977,1.0672431
TPRA1,0.02277565,0.2545147,0.016318321,-0.005571365,-0.9090376,-0.22138023
CYBB,-3.4118814,-1.9389639,-6.66307,-2.7770681,-6.6817684,-3.6097279
CYBA,0.15165329,0.056432724,-0.028658867,0.09623909,-0.52691555,-0.67270374
LAX1,-0.90798354,-0.81758034,1.0633855,0.13453436,-1.8039035,-0.88710487
KLHL40,0.43878412,0.2892363,0.2597792,-0.726478,-0.08723307,-0.7282913
RPP25L,-0.29442024,-0.08016586,0.25066948,0.009792328,-0.29806805,-0.0298872
KLHL42,-0.68195915,-0.51253366,0.18525839,-0.18887901,0.85379696,0.19957495
UBE2V2,0.001702786,0.19898605,0.32074738,0.45747566,0.81396675,-0.001702309
UBE2V1,0.468956,-0.076911926,-0.1771326,-0.12942696,-0.43190575,0.14008999
PHAF1,-1.0958357,-1.1416616,-1.3248639,0.49754715,-2.6010046,-1.1479082
ADGRF5P1,-0.538436,-0.34359205,1.7373627,0.575143,-1.1862159,-0.724916
KLHL18,-0.20409441,-0.29116297,-0.79971266,0.7137222,-0.48863506,-0.7006135
GCM1,1.1308713,1.1247678,0.76298,1.1243649,1.1720686,2.5548182
VCP,0.29978943,0.5322857,-0.023932457,0.43520737,0.5300436,0.542367
RTN1,-2.1083226,-2.2605224,-0.29134274,-1.228569,-0.12750435,-1.7005382
KLHL14,-0.05549574,0.27070546,1.3338037,-0.13257384,0.4798355,-0.56170726
KLHL15,-0.69196224,-0.71284485,0.23418283,0.025934696,0.36637497,-0.6111126
KLHL10,-0.026535511,-1.6497054,0.428267,-0.63302064,-1.335439,-1.3650167
KLHL12,-0.0060215,0.47221184,0.15798473,-0.13506508,0.77042866,0.1069994
HCAR2,-0.75777864,-0.6432514,2.7755213,2.446207,1.289671,-1.0389524
CCNB3,0.2502327,0.43764925,-1.8191411,0.05743599,-0.121739864,-0.21012926
CCNB1,1.2257776,2.0367098,0.17604923,-0.28435278,0.7030659,0.9066801
EBP,0.6868191,1.3261337,0.53081894,0.6675072,1.5406132,0.5745182
RBMY1A3P,-1.8844241,0.39613986,0.21246982,-0.81278515,-0.49846625,-0.2869985
CHAD,-0.067299366,-0.002455711,0.6193261,-0.39062357,-0.851377,-0.41658497
PRODH,0.7054372,0.409276,-0.7948196,-0.35898614,-0.24059582,0.36763716
BANCR,-0.8033744,-0.6291903,1.4548763,0.37642288,-1.3585004,-0.9524158
VDR,0.08129215,0.17883778,1.3940325,1.5250101,0.96493626,0.056697845
KLHL26,0.2307806,-0.03497839,0.20033455,-0.46032953,0.80495024,-0.50439024
PHOX2A,0.19875717,0.4080639,0.38389397,0.4164791,-0.85345554,0.19519424
KLHL20,-0.57131696,-0.35710382,-0.5794139,-0.1396892,-1.1493764,-0.29995918
GCLC,-0.4281273,-0.3961811,-0.23164272,0.18037033,-0.4084034,0.20039082
STT3A,0.5111971,0.889472,0.29588985,-0.7726507,1.171483,-0.24552727
CYCS,0.8051071,1.150465,1.0181971,0.5468502,1.496789,1.0988874
ATP5PDP4,0.53171253,0.4612608,0.6152649,0.8811884,0.15336704,0.16880512
STT3B,-0.15768433,0.008054733,-0.42661953,0.4048729,0.7080412,-0.2419939
GCLM,-0.47261906,-0.21778965,0.47926044,-0.46618748,-0.09775162,0.23596287
YWHAE,0.58568954,0.8423939,-0.030125618,-0.003593445,0.8340416,0.2334013
EDA,0.29889536,1.2755332,-1.2294626,0.43413162,-0.79615307,-0.82489395
RTP3,-0.81404215,-0.6370139,1.3323064,0.41977715,-1.4143727,-0.92200696
CNRIP1,0.4561205,1.6247187,-2.1240125,-0.037220955,-1.8798022,-0.09930992
CHD8,0.000105,-0.099905014,-0.111266136,0.027975082,-0.035931587,0.0807085
CHD6,0.50122976,-0.8538208,0.513484,1.080905,-2.329609,0.6161146
CHD2,-0.03985977,-0.25255585,-0.265728,-0.23541641,0.37796116,0.07769108
PIDD1,0.31249428,0.21656609,0.084347725,-0.13980484,-0.009412766,-0.31621552
GATAD1,0.031892776,-0.13493156,-0.106609344,0.10715294,0.22067738,-0.23468208
YWHAG,0.55344677,-0.21601295,0.03718567,1.5666838,-1.5209732,0.18994236
RFPL1,-0.61696506,-0.31854725,0.09307909,-1.0029848,-2.703434,-2.3446188
DARS2,0.4978528,0.94281626,-0.16177845,-0.18015432,1.284298,0.8554268
CIP2A,-0.8112829,-0.85064507,1.1604149,0.20156193,-1.2388556,-1.1705151
GCNA,-0.59584045,-0.34123802,-0.8017359,-1.081223,-1.1079011,-0.27386904
CCNA2,1.4634323,2.2543645,-2.0370119,-1.6084912,-1.600668,1.1046271
CCNA1,3.2109454,2.5306456,2.4033954,3.8278081,3.4629643,4.847272
TBC1D2,-0.23454094,0.20683098,-1.112072,-1.7414722,-2.2018328,-0.72959995
TBC1D4,1.7812138,0.9506073,-1.7806482,0.4021654,1.4520702,3.333064
UBE2R2,0.25913048,0.05035591,-0.019119263,-0.19600487,0.41179276,0.19693851
MMRN1,-0.4993708,-0.61564445,1.2186067,0.26286793,-0.51116824,-1.0811839
CHDH,3.6394656,2.5264122,2.66521,3.185662,1.2382624,1.5745876
TBC1D7,-0.627532,-0.2901678,-0.4589939,-0.4195795,0.6844597,-0.5077772
FAM153CP,-0.32176924,-0.9661498,-0.21966982,1.2761445,-2.387806,-0.044093132
TGFBRAP1,-0.5238104,-0.2638278,-0.3207507,-0.34081316,0.5744114,-0.7502036
ACVR1B,0.14697742,0.5244942,-0.25712347,-0.13388419,-0.23191404,-0.11960268
CYGB,0.39733815,0.25670147,-0.41813278,-1.5286214,-0.8691571,-0.54977775
C9orf163,0.44346333,-0.7873869,0.56116486,0.23177242,0.19625568,-0.5772886
TAF1D,-0.2576475,-0.36601543,-0.13958645,-0.17363071,0.13821983,0.14053059
EFS,-1.5769745,-0.7245194,0.3215828,0.8304498,-2.3597183,-1.8596151
CCDC144NL-AS1,-0.55790335,-0.3934654,1.5390887,0.6633606,-1.3614216,-0.6746088
MDH1B,0.9723314,-0.4397478,1.4635268,0.6263789,-1.3434204,-0.73406166
ACVR2B,0.26978397,0.21456814,-0.091333866,0.71316814,-0.060261726,-0.45916796
ACVR2A,0.005224705,-0.37851858,-0.89623785,-0.83804035,0.9104223,-0.12454033
PNKD,-0.29705143,0.056635857,-4.782665,-3.1609097,-1.7184172,-0.5434265
INAFM2,0.15283298,0.34717274,0.59232044,0.96861935,1.3325701,0.09266758
ABHD17B,0.030945301,0.026635647,0.117733955,0.32265663,1.3325677,-0.12559319
ASB9,-1.0646079,-0.7365799,-2.1147819,-2.936409,-3.7879174,-2.8820047
ACIN1,0.45999527,0.26951218,0.461545,0.43392754,-0.9721279,0.58353806
ASB7,-0.40248632,-0.11191559,0.36912966,-0.52585936,0.83025074,-0.099972725
VIM,0.7411785,0.47980118,0.51364136,0.41075897,-0.24116135,0.45453644
ASB5,0.43875623,-1.021135,0.8729167,0.0845716,-1.7623584,-1.277265
RPL32,-0.31632996,0.114564896,0.08607769,0.9707508,-0.5143595,-0.03651905
MAML1,-0.50133324,-0.3255005,0.16883183,0.46320343,0.4585104,-0.12380028
RPL31,0.39239836,-0.008645058,-0.99368906,0.009219646,-0.51772976,0.038333416
RPL34,-0.04918194,0.023568153,0.2563343,0.55449486,-0.09680462,0.0602417
DPY19L2P1,-0.66578054,-0.43493605,1.5466259,0.5900924,-1.2791821,-0.784712
DPY19L2P2,-0.39439106,-0.40917224,1.6273354,0.5638095,-1.2674046,-0.8379583
ENO1,1.0488567,1.1580849,0.40187073,0.5145912,0.73333263,1.0823336
RNF112,-0.12980223,-1.7621856,0.06709862,-0.23161316,-0.5940323,-1.8663571
RNF115,0.36241627,-0.095541954,0.006966591,0.31587887,0.41800976,0.8515482
RPL12P1,0.005155563,0.094083786,0.10001087,0.80857277,-0.41261482,0.19760609
RPL36,0.009109497,0.050251007,-0.36007023,1.0654659,-0.18820381,-0.001485825
CYP1B1,0.4121065,-0.6584883,0.8470354,0.70359707,0.26110935,0.54755116
RPL35,-0.07368088,0.22411156,-0.37428188,0.5914993,-0.33687115,-0.17606449
RTTN,-0.60043,-1.031018,-0.9323015,-1.2350862,-2.4766645,-1.7153714
ZNG1A,-0.017583847,-0.35628366,0.44692945,-0.68301773,0.85270786,-0.20430994
RPL39,-0.20215607,0.14151192,-1.5554428,0.5896263,-0.4140997,-0.03333187
BVES,0.9817753,-0.03643036,0.2860675,-0.5188217,-0.6695461,0.20543861
CHGB,-0.10447502,-1.0137938,0.9967129,0.00747633,-1.7857965,0.13302779
MED1,0.004207611,-0.31695032,0.21405649,0.8811054,0.78868866,-0.19206858
CHIA,1.0302615,0.5276513,-0.53984547,0.34042025,-0.5896139,-0.4156351
MECR,0.17762947,0.6357713,-0.96452665,-0.13899231,0.314281,-0.36784792
RPL23,0.045383453,0.10816002,0.23473454,0.6714077,0.61500454,0.13992977
MED8,-0.14365959,0.22423363,-0.4357643,0.15118599,0.19568539,-0.09843826
MED9,-0.96974325,-1.0231056,-1.0474033,0.5421238,-0.37860584,-0.9660592
AARSD1,-0.022413254,0.2521267,0.17786217,0.38030815,0.2911911,0.100050926
DKK2,0.35269213,-1.2094693,-0.43542886,-1.3821144,-0.42629957,1.3200221
DKK3,-0.020201206,-0.5385976,2.3869152,0.5454172,-1.4082912,-0.8456638
IFT88,-0.16053724,0.24663115,-0.43607664,-0.3952694,-0.5932894,0.5320635
RNF128,-2.0865073,-1.924027,0.017089128,-0.82304037,-1.616292,-0.51448655
IFT81,-0.07290053,0.1701932,0.72226095,-0.34396815,-1.4416633,-0.7915622
GPR160,0.4133091,0.002445221,0.7902565,0.61096954,1.6621981,0.7923937
RPL29,0.11754608,0.31394958,-0.47363663,0.17093849,0.26626205,-0.26055908
UBA52,0.24664497,0.062057495,-0.42766953,0.7058277,-0.23661709,-0.06240177
RNF122,-0.41637993,-0.16330338,-0.5696001,-1.1262026,0.008971214,-1.0709696
OSER1,-0.17387295,0.063887596,-0.20751762,0.29916668,0.6490345,0.82424927
NEDD4L,0.41962004,0.5283246,-1.4159017,-1.1755219,-0.994987,-0.13125563
A1BG,0.64655495,-0.56409144,0.903914,0.7390232,-0.5733142,0.20633006
VPS26B,-0.21246052,-0.023306847,0.09727192,-0.12521839,0.6293745,-0.32344532
MEG8,-0.7738993,-0.60226214,1.4468338,0.42262864,-1.3341594,-0.9124057
LINC01521,0.20026898,-0.040329456,0.028014898,-0.2739036,-2.1975532,-0.79230094
CHKB,0.3484459,-0.047340393,-0.10350418,-0.06469917,0.025557518,0.22889328
A1CF,-0.5266415,-0.3636682,1.5136925,0.7019055,-1.213284,-0.6657342
PRRC2B,0.061561108,-0.5290165,-4.3543634,0.7092047,-1.5163884,-0.35670376
RPL3L,-0.42345762,0.28258896,-0.38410282,-0.53630686,-0.18908882,-0.19873667
SLC16A13,0.4911604,0.23203516,-0.7530656,-0.9400306,-0.21660233,-0.7018609
TMEM199,-0.25349236,-0.21561241,-0.22724628,0.27757645,0.26894188,0.31221294
CYLD,-0.36626816,-0.60313654,1.3642864,0.6582942,1.2188177,0.44303465
FA2H,2.8420157,1.430325,3.1986523,1.0875478,6.0105534,3.9793768
GPR180,-0.12685728,0.07566118,-0.764328,-0.35313368,0.57114124,-0.28297997
GPR183,1.0091476,0.17067719,0.65792465,1.9061012,0.8223314,2.3584232
CYP1A1,-1.0786781,1.152184,-0.41537023,-0.35538435,0.62923336,-1.0416665
GSDME,0.5976553,0.099524975,-3.0938125,-3.4948354,-2.8666549,0.099372864
SPEF1,0.22253418,-0.0610981,0.2897005,1.152853,-1.4544601,0.386487
ELL,0.09488821,1.0676017,-0.27452183,0.25086832,0.14204359,-0.32156515
MEI1,-1.1426525,-0.5281944,-3.6383467,-2.093523,-1.347189,-1.0699072
TMEM181,-0.17747974,0.3563261,-0.4261818,-0.68782616,-0.170784,0.13986492
TMEM186,-0.11905956,0.06587887,-0.3119564,0.335145,0.08526039,-0.024478912
TMSB4Y,0.4030528,0.12957811,-0.27177048,0.08139801,0.36865282,0.19208765
EMB,0.7775173,1.0721111,1.7507181,1.8851433,1.8726339,1.1028337
RNF152,-0.89016664,1.4573689,1.3140864,0.29305172,-1.4443944,-1.0508084
KRT8P10,-0.2402246,-0.95309615,-0.54287124,-0.56636596,-1.5274246,-0.11317086
SLC2A14,1.2418804,1.8819294,-0.7562647,-0.25202942,1.334815,-0.66060734
SLC2A10,0.8094444,0.014501572,-0.68819666,0.010586262,-0.08388853,-0.39115477
SLC2A12,-0.9873047,-0.8317131,3.0199106,0.107587576,-1.6323446,-1.2084469
EN2,0.5105591,0.57689285,0.7245188,0.4124012,-0.45027542,0.37363243
TACR1,0.46573424,-0.42205226,0.99747896,0.18178582,-0.3750167,-1.1583537
LSG1,0.59715605,-0.25162745,0.715292,0.5114937,0.32497168,0.294981
ENG,0.6013546,1.0372944,-1.4796457,-1.3349113,-1.1665983,-0.0608387
CCDC90B,-0.04756403,0.055683613,0.060685158,0.34124184,0.16226912,0.24103212
RPL10,-0.19340134,0.08680725,0.23710442,0.6568737,0.053097725,-0.12822437
PLPPR4,-0.65187496,-0.47427952,1.4371231,0.5753379,-1.4150941,-0.6352382
TMEM164,0.08542633,-0.33257294,-0.66995335,-0.2831707,0.010670662,-0.17992306
TMEM165,-0.23387146,0.3141594,-0.6585293,-0.50434303,1.1336308,-0.07039356
RNF135,-0.19353485,-0.31155634,-0.54775906,-0.20494556,-1.049573,-0.6867342
TMEM169,-0.29722857,3.4779358,0.576272,0.06665659,0.04363036,0.26128316
CHN2,0.8801985,1.5452147,0.92038155,0.75379276,0.8856411,0.58812237
RPL14,-0.24816513,0.004838944,0.07095432,0.81245613,0.03732872,0.25539494
LINC02812,0.07937431,0.87453985,-0.9612708,0.722682,-1.0923462,-0.3087535
RPL13,0.13671494,0.2467537,-0.06858444,0.65883446,-0.20748234,-0.16169548
RPL18,-0.10310745,0.003936768,-0.51407814,0.5832939,0.025034904,-0.31970215
ANKRD50,-0.3122053,-0.8382454,-1.0752001,0.30507898,-3.2064514,-0.5247731
RNF130,0.18566418,-0.17196083,0.007570267,-2.1268806,-0.813426,-0.2327671
GPR157,2.6412458,0.57380486,-0.6765418,2.7378092,1.3509865,3.102849
TIMMDC1,0.3262148,0.41525555,-0.31244183,0.018769264,-0.09224796,0.57446194
OR1L4,0.20772219,0.34216905,1.0471394,0.1217159,-0.7807443,-1.2834013
TMEM154,-1.7715054,-0.6948304,1.6643972,1.7852716,2.2101583,-0.45329237
