,GSM758903,GSM758910,GSM758914,GSM758924,GSM758944,GSM758951,GSM758956,GSM758964,GSM758968
BCR,-0.5032244,-1.1871214,-1.099513,-0.99087906,-1.1696482,-0.5696621,-2.0472412,-1.1909037,-1.1853175
DDIT4,3.4809742,4.211688,3.4571915,3.8450775,4.2926645,3.1667538,2.3577652,3.8658857,3.5192337
VOPP1,1.6826801,2.3699894,1.5122051,2.4805984,2.16953,2.1371517,0.033258438,2.1190815,2.4525623
SF1,0.12615204,0.28366947,0.07300377,0.15937233,-0.020740509,0.57414436,-0.35832596,0.4782257,0.34467125
ZNF28,-0.3097825,-0.42084694,0.68791866,-0.08760691,-0.776526,-0.21756315,-0.27919388,-0.25787687,-0.049389362
COL13A1,0.30096292,0.17815018,-0.04133153,0.42825556,0.43439937,0.8890178,3.1344557,-0.28957248,-0.15691769
SHMT2,1.1435928,1.3038721,0.32378197,1.280489,1.2320538,1.8376026,1.1528549,1.302144,1.4853268
SHMT1,-1.7638869,-1.5270782,-3.1287565,-3.2124164,-3.1067717,-2.770317,-1.8154731,-1.8060565,-2.5793328
ZNF24,-0.005811691,-0.046895027,0.18382359,-0.108078,-0.13128662,0.28909492,0.20117092,-0.5287733,-0.07988739
ADAMTS13,0.8119354,0.72171926,-0.32595348,-0.6302762,-0.45748377,0.44230223,0.84141064,-0.9749541,1.8611813
RDH10,-1.039082,-2.6589482,-0.8493209,-2.125762,-2.7993522,-2.5885358,-1.2131805,-1.2867517,-2.665749
LINC01405,1.8054194,-1.2025833,-0.5814872,-0.26299477,-0.47241735,1.2352042,2.7747574,-0.57549095,-1.4546156
GSTM4,-0.5670099,-1.408,-0.83523655,-0.5551462,-3.7297113,-0.69422674,-0.70406055,-1.5565653,-0.46544123
PRPF38A,-0.6462536,-0.4211893,-0.39893246,-0.18880653,-0.4125843,-0.3326435,-0.03422165,-0.1678791,0.053064346
NEBL,2.207335,0.26577055,-1.050943,0.4477185,0.32711184,0.8205985,3.1620092,-0.6235747,-0.59001285
ZNF32,0.49138784,0.24287224,0.7648196,-0.18517303,-0.24423075,-0.65307474,0.49698305,0.31116533,-0.35270262
L1CAM,0.98175526,0.5109236,-0.12578869,1.7765338,-0.08955073,0.31512332,2.5447276,0.6282966,1.4092715
DHFR,-0.5517731,-0.9491854,-0.7099333,-0.93727684,-0.74646664,-0.3687973,-1.2871466,-0.63228035,-0.18995857
MOV10,2.4707088,2.5869951,2.2895308,2.0456524,2.275693,2.4324207,0.8865919,2.728918,1.8561649
PPFIBP1,0.36024857,-0.062747955,-0.37736797,-0.19111538,-0.24833298,0.6883545,0.73259926,0.3058815,0.47468376
PPFIBP2,0.2423935,-0.18215752,0.25006485,-0.56456184,-0.939065,0.6605339,0.09955788,0.041124344,0.34118652
FXYD4,0.9685967,-0.53590345,-0.049255848,-1.2374461,-1.0791396,1.0974307,2.9860644,-1.2491206,4.031105
STRC,1.7109256,2.2823205,0.7310138,2.468041,2.4987264,2.8954692,1.5347924,2.1562572,2.0672522
SFXN3,-0.6672244,-1.0208387,-0.37482262,-1.1823807,-1.0074477,-0.40621662,-2.6596074,-0.5180774,-0.9944291
SFXN1,-0.099935055,-0.003463268,-0.6148598,0.105585575,-0.8751502,0.5411854,1.4669471,0.024953365,0.8223252
PKIG,2.1583219,2.776867,3.2100015,2.334951,3.5836682,2.0642881,2.586331,3.2962728,1.014823
SFXN5,-0.3163848,0.47382712,0.011399508,-0.5060737,-0.5859134,-0.28767776,0.732887,-0.09498286,-0.69067335
PRKAG2,0.93425083,1.0645838,0.79994106,1.372962,1.4079447,1.168498,0.79635906,1.1342402,1.2215738
ZNF44,-0.7516778,-0.52118105,-1.0306331,0.22489095,0.23650181,0.6771498,2.9861817,-0.7287814,-0.7168793
ZNF45,-0.13902283,-0.07576132,0.3955841,0.53561115,-0.469779,-0.6683178,-1.009655,0.22938967,-0.38842058
SHB,-0.65243673,-0.32184696,-0.700037,-1.3547668,-1.9629054,-0.26029587,-2.288527,-1.2630024,-0.88532066
SHD,0.35378218,-0.011412144,-0.005395412,-0.82575226,-0.3544755,0.16908836,0.7123213,-0.7110157,0.11879444
NPAP1,0.41072392,0.9930496,-0.4194529,-0.19511378,-0.19115698,1.1774011,2.5290518,0.74654436,-0.548249
MMP24,0.39129615,-0.2095263,-0.08124542,0.046869516,-0.09490943,-0.12630272,1.9765825,-0.56212044,-0.68004
MMP28,0.647274,0.96069527,-0.27530193,-0.12234664,0.23320341,0.87820625,2.0695152,-0.017374516,0.20486021
STUM,-0.07399881,-0.6389997,0.482399,-0.18884516,-0.18797994,0.25456643,2.7934835,-0.3545667,-1.1422042
BGN,-0.13993096,0.03956747,-0.20883322,-1.3184752,-1.7826614,-0.21632051,1.0428352,-1.5145535,0.007231474
ZNF57,-0.6512928,-0.676322,-1.0061674,-0.271286,-1.6952796,-2.1316762,-1.9688048,-0.89149094,-0.9435358
TOMM40L,-0.2559147,-0.2785654,-0.11816883,-0.72514915,-0.54443836,0.08913422,-0.69129944,-0.3708067,-0.22599792
MMP11,0.5159695,-0.18184829,-0.9964378,1.1598253,0.22790813,-0.10834241,3.579265,-1.0821376,0.26321793
TMEFF2,-0.45459563,-0.15389526,-0.8641,0.6156305,1.1753448,1.0536293,3.359558,-0.3292067,-0.35982352
MMP16,-0.38370705,-0.07200682,-0.9322697,1.1684865,0.6754986,1.119362,3.392703,-0.2526642,-0.27208996
PTRH2,-0.10483456,-0.39256573,-0.41532516,-0.39765453,-0.52837753,0.07506657,0.9575739,-0.27849102,-0.014748573
RAPGEF1,1.6814871,2.4493475,1.2511396,1.8378248,1.8548222,1.3193979,-0.17234325,1.5241814,1.5369005
RAPGEF2,0.7219906,0.70519257,1.2507715,1.5167289,1.4849601,1.4698238,2.4773383,0.97474,0.6857338
CRYAB,-0.23112965,0.04645729,-0.5749512,-0.47787285,-0.31287193,0.06887388,0.9248357,-1.5093439,0.23195267
TRUB2,-0.22415161,-0.5329943,-0.58864975,-0.85214996,-1.1061211,-0.15804672,-0.5657463,-0.32719994,-0.29421997
EMX2OS,-0.4087792,-0.11186266,-0.9208653,0.5327238,0.65326345,1.0634836,3.3387723,-0.3041886,-0.35828817
SZRD1,0.82371664,1.164238,1.1390438,1.27427,2.0406122,-0.10876274,-0.6823263,1.1285949,0.5030527
PKN3,2.3476777,2.6508746,1.2899065,1.9469047,1.7423053,1.925909,0.09665346,2.598887,1.7277555
KCNA1,-0.42564148,-0.11628103,-0.9273306,0.54967296,0.64671004,1.052747,3.3299165,-0.30464494,-0.36951852
PTAFR,1.0809441,0.41132545,1.4650154,-0.63910866,-0.000599,0.78417206,0.28741074,0.87028503,0.10580826
ADAM22,1.9044895,2.5683613,2.1299653,-1.2517081,0.9380555,-0.21495175,1.5832973,1.2912679,0.43770885
CCM2L,1.7235298,0.2444272,2.6554804,1.2774315,0.33636594,3.8606696,3.1540723,-0.09120047,1.8255017
ADAM20,0.31036162,0.44457912,0.6944375,-0.7007165,0.48543024,0.8623359,1.4111919,0.85621023,-0.5692339
SDAD1,0.12544155,-0.56081295,0.07153988,0.5745611,0.091628075,0.25891256,-0.38947868,-0.30058908,0.14865589
ADAM28,-0.6288409,-1.42664,0.7881546,-2.4678252,-0.5765414,-1.2168155,-1.2561898,-1.3034663,-1.6612511
UBE2D3P1,0.4638424,0.6034155,0.23864937,0.61190796,0.4610691,0.32147217,0.71751404,0.19402885,0.760355
STX6,0.8630924,0.5404177,0.67132473,1.1580029,0.83218956,0.21471405,1.5852451,-0.16650677,1.3623505
RICTOR,0.63442993,0.6752138,1.4238214,0.8693905,1.2458172,0.6864319,1.844738,0.90696335,0.7982502
STX2,-0.81506634,-0.36382294,-1.4557743,-0.15107822,-0.20443535,-0.6840105,-1.0413733,-0.82242584,-0.1399622
SPDEF,0.421937,0.32219315,0.108520985,-0.28965998,-0.05789852,0.41029072,1.1595564,-0.37412882,0.89328337
EGLN1,-0.7019825,-0.44909954,-0.28916836,-0.8210468,-0.7631216,-0.94511414,-0.6687546,-0.24533558,-0.77718925
EGLN2,0.71938705,0.9532776,-0.095570564,0.26709747,0.4374771,0.22112465,-1.1902332,0.99321556,0.11825371
MBD6,-0.32108307,-0.022737503,-0.24181175,-0.405859,-0.24840164,0.40068436,-0.1850586,-0.0943985,-0.019739151
BIK,1.1436205,1.2664332,1.5699325,1.1568723,0.6915755,2.6461005,2.0183935,1.3682961,2.3578134
MCRS1,-0.5825262,-0.3154316,-0.79954815,-0.31502438,-0.47424698,-0.6126833,-2.47161,-0.16330147,-0.97411823
MBD1,0.18451977,0.64254665,0.13547087,0.39818048,0.4458785,-0.19620657,-0.32752466,0.7226906,-0.090117455
KIAA2012,0.47461605,0.4689331,-0.3378458,-0.30301952,-0.24691582,0.260602,-1.7198982,-0.5463705,0.3410635
ZNF77,-0.9811077,-0.8847761,-0.3121376,-0.7054424,-0.35028076,-1.1066909,-0.1843276,-0.4936142,-1.3207726
ADAM30,-0.56071335,0.004325748,-1.1633208,0.49012804,0.6904564,0.88217974,3.229424,-0.55229294,-0.5265273
KIAA2013,0.14326382,0.24754524,0.10341072,-0.19297695,-0.16955948,0.5794611,-0.03154564,0.41907883,-0.15002537
SKI,-1.1381764,-1.8961768,-0.49958515,-1.3052549,-0.889256,-1.9239736,-0.9528723,-2.4657521,-1.0394058
ZNF70,-0.27675438,-0.21493673,0.33156872,-0.09625912,-0.26923227,1.1735721,0.46159887,0.40743637,0.30180454
KCNG1,0.61088943,0.56742,0.23058462,0.15464973,0.19146204,0.73321724,1.9613152,0.35782337,0.5471096
PDCD7,-0.022400856,-0.13568115,0.25290775,0.32395077,0.17121315,0.4084406,-0.075276375,-0.09712124,0.7473135
RASL11A,-1.2962794,-1.2609649,-1.7511549,0.21502972,-1.6360335,-1.0623956,-0.13961363,-1.5704198,0.4556241
FBXO25,-0.33874226,-1.1726646,-0.35432863,-0.3904891,-0.47881508,-1.9602983,-0.16443205,-0.8711896,-0.969152
IL1RAP,-0.55698013,-0.6413355,0.28289032,-0.50247335,0.000669,-0.749094,0.18823385,0.18692064,-0.77923965
APEH,-0.28546143,-0.33158302,-1.037075,-0.6036873,-0.77702427,0.20913124,-0.69008636,-0.48166752,-0.3488121
FADS2,-0.094932556,0.29855347,-0.6740494,0.8651867,0.019219398,0.7293987,-0.42721653,-0.1783514,0.6385555
POFUT2,0.596262,0.8879051,0.008275986,0.7016201,0.7720785,0.9140625,0.16987228,0.8861885,0.92772484
POFUT1,0.2599082,0.35445118,-0.4299097,0.36564827,0.035432816,-0.83544993,0.6456437,0.26744795,1.2850533
POTEI,-0.35899055,-0.1491847,-1.0253778,0.68507373,0.84244514,1.0609806,3.4128473,-0.35868537,-0.33141524
FNTB,-0.53429604,-0.22516346,-1.1554008,-0.5813904,-1.05868,-0.59037066,-2.0188518,-0.42444324,-0.82872725
NFATC2IP,0.32959986,0.47714663,0.22879076,0.9215226,0.7005944,-0.018488407,-3.024211,0.6994605,0.6342015
POTEE,-0.4739734,0.21518207,-0.9776132,0.46644127,0.46360362,1.0227792,3.337812,-0.45986962,-0.42519575
NEK2,-2.0606287,-1.939709,-2.7570982,-1.2117027,-1.2368834,-0.6728287,1.5428412,-2.0689154,-2.1570346
MAP3K9,1.1319537,0.8024411,0.94376993,0.10753536,0.8344307,1.7127986,2.0065045,0.174438,0.8110461
TNFRSF4,3.4619026,3.339243,2.9792671,3.2100964,2.4343958,4.7972126,4.0096073,3.3704271,4.016264
MAP3K7,-0.37491798,-0.33412743,0.114831924,0.15327835,0.07417107,0.07542229,0.15672684,0.023439407,0.21077347
MAP3K5,0.33664513,-0.1689539,0.50422955,-0.027772903,-0.23802376,0.5373421,0.85876465,0.12198353,0.120918274
KCNH2,-0.13821042,-0.09935558,-0.9454652,0.6626775,0.6539997,1.1031646,3.4250998,-0.2568773,-0.18214118
FBXW4,1.3563719,1.8424034,1.0841436,1.152358,0.9271736,0.60015583,-0.17274189,1.7070694,0.3862543
KCNH5,-0.3327654,-0.019778132,-0.8461505,0.65737927,0.74147844,1.1324266,3.3871574,-0.22019172,-0.2951575
FBXW8,-0.37697172,-0.18155146,-1.1049185,0.15977955,-0.76679325,-0.9050026,-0.14574575,-0.06871605,-0.4820056
KCNH6,0.26227522,0.77095747,-0.4082532,2.1945772,0.56914663,-0.2450304,1.5700583,-0.9025395,-0.23277998
FBXO16,-4.2405577,-3.04137,-3.1659598,-2.4879048,-2.7109857,-2.7400405,-0.44460678,-4.2276683,-4.153348
