,GSM758903,GSM758910,GSM758914,GSM758924,GSM758944,GSM758951,GSM758956,GSM758964,GSM758968
ARID4A,-0.52907276,-0.52149487,0.59561825,0.36103773,0.3327675,-0.2700348,-0.18571138,0.044047356,0.10923815
ARID4B,0.5154896,0.900321,1.3161669,1.5993729,1.0970392,1.0484734,0.91368866,1.0235949,1.3148212
CIB1,0.20103931,-0.001669884,-0.094429016,-0.6477461,-0.10146618,0.26068592,0.6015177,-0.15242672,-0.19242
TMEM144,-0.5878258,-1.5172105,0.02837801,-0.39562368,-1.1086855,-0.3953557,-0.34203434,-0.730165,-0.59231186
FBL,-1.1140757,-1.1523008,-1.6640091,-0.78633976,-1.1720533,-1.0109072,-1.5694857,-1.2503843,-0.43866444
PTTG1,-0.477252,-0.2849779,-0.9347439,0.033364296,-0.10033989,0.062470436,0.51930237,-0.26481056,0.268672
PTTG2,-0.35428,-0.19241714,-0.96456337,0.031196594,0.06325245,-0.37362194,0.5098686,-0.17964458,-0.09291744
NUSAP1,-0.9332657,-1.5441451,-1.0077267,-0.6929107,-0.39958763,-0.7569494,0.054964542,-1.2499866,-0.6128559
PDE8A,-0.09762287,0.207757,0.17186356,0.7784877,0.54792213,0.19957638,0.68083286,0.33595943,0.6059065
TMEM14C,0.06643486,0.053489685,-0.21494007,-0.06622887,-0.122561455,0.12996483,0.7896137,-0.019078255,0.37991905
CFAP418,0.6334038,0.9936671,0.41638136,1.939754,0.8217454,0.22098207,1.1065211,0.8760781,1.4111619
ANGEL2,0.07299423,0.082485676,0.056169033,0.1578908,0.7444215,-0.8440461,-0.06609583,0.43308544,-0.39123726
ANGEL1,-0.055148125,-0.8576064,0.30125523,-1.4019003,-0.8797116,-0.13217878,-1.6853676,-0.7126775,-0.75817585
ARID5B,2.716487,3.2100096,2.620182,2.6145334,3.261012,2.9159937,3.1213999,2.9014978,2.5965528
SORCS3-AS1,0.50697184,-0.37323916,0.747735,0.23517835,0.3827206,0.75903416,3.0020318,-0.57763016,-0.6682141
CFAP410,0.32566404,0.6809082,-0.7884698,-0.2793646,0.019804,-0.83380365,-1.2599645,0.89106035,-0.895031
SGO1,-1.5117669,-2.3129792,-1.0732846,-2.176285,-2.7598605,-2.3061728,-0.03360033,-1.689332,-0.6790147
TMEM134,0.17510128,0.31310272,-0.33876705,0.04595089,-0.28977966,0.07351971,0.28600502,0.18488121,-0.15572453
LMX1A,-0.0981822,-0.24139118,0.40407228,-1.2378778,-0.60435486,0.097017765,2.009821,-0.89248896,-0.08372116
TBL1XR1,-0.26321173,-0.3787856,-0.15283585,-0.29096746,-0.005642891,-0.457016,0.63082695,0.0449543,-0.36009455
FAM185A,-0.12809849,-0.22917986,-0.06758356,-0.5840883,-0.0347867,-0.38940382,0.25799894,-0.2554059,-0.36059332
ELMO1,-1.0720568,-0.2643118,-0.8963342,-0.18115854,0.101486206,-1.4300919,-1.4959569,-0.31732178,-0.7304983
PMS2P3,0.001996994,0.2453661,-0.014235497,0.41772842,0.28375196,-0.32858038,0.6128864,0.42645168,-0.20991945
ELMO2,2.2617922,2.483841,2.6918468,1.972703,2.8483667,2.54284,2.009822,2.3463078,2.119666
LMX1B,0.116286516,0.22501945,-0.7698767,-0.49923182,-0.21478796,-0.04579115,1.7485647,-1.104245,-0.9281137
STAM2,-0.049666405,-0.28370142,1.0093637,0.18562698,0.3438468,-0.26026964,1.3746266,0.20244694,0.5439868
ATP6V1A,0.25701237,-0.025981903,0.46954918,-0.18381023,-0.045557976,0.37872696,0.3949604,0.37442875,0.0984211
OR2C1,-0.28950357,0.3700168,-0.3129475,-0.91783905,-0.87062573,-0.44862294,2.6607194,0.53601265,-0.008708
H6PD,1.8220062,1.8380861,0.8212118,2.0821123,1.6228352,1.8854685,1.6312199,1.9842205,1.3742332
DNAJC27,0.26777697,0.30104733,0.46581554,0.17525291,0.20876122,0.27169657,0.8366451,0.09046936,0.14209318
NID2,2.8071594,4.022546,3.2869587,2.0090356,4.0508738,3.2814732,2.7895966,4.089331,2.1917067
DNAJC28,-0.40719175,-0.23786879,0.4892254,-0.15755749,0.38999224,-0.92483044,1.7371635,0.17451668,-0.6943722
SEL1L3,2.5481958,1.7262964,2.3158894,1.6626806,1.4663334,2.4733076,2.4547815,1.8205633,2.486333
SDCBP,-0.41781807,-0.75989246,0.5667763,0.4680395,0.06272316,-0.9259186,0.14980412,-0.33517122,-0.14146376
TMEM127,0.013879776,-0.14019108,0.7038908,-0.11062622,0.1124382,0.34389877,0.63610077,-0.17639732,-0.11040306
RPS17P10,-0.6135273,-0.97572327,-1.4244509,-0.8405762,-0.55208015,-1.754324,2.0229454,-0.80328846,-0.51684
BCAP31P1,-0.30906868,-0.6177635,-0.55223465,-1.1135845,-0.7792034,-0.13268471,-0.01159668,-0.7026577,-0.6717777
HSPA8P18,0.19537115,0.17436886,-0.6818929,-0.8879647,-0.08160496,-1.2248988,-0.6346302,0.08871031,-1.2557058
DNAJC21,-1.0265455,-0.8244343,-0.85397434,-0.7339544,-0.569458,-1.5275197,-0.65226793,-0.4717288,-0.40083456
STAP1,4.26151,2.2999465,2.4449174,3.6613314,1.214268,3.2614505,1.5299323,2.636369,3.2557175
ATP6V1D,-0.69753265,-0.84663963,-0.4136572,-0.8748417,-0.8381214,-0.50149727,-0.5210228,-0.6366024,-1.153038
OR2B2,0.72788525,1.0303326,-0.45168543,-0.9922185,-0.24808049,0.51620245,1.2094531,-0.8899181,-2.3919916
HSPA8,-0.26386833,-0.44032764,-0.6020651,-1.0934079,-0.4941435,-0.21488571,1.720779,-0.39654922,-0.2369194
TGFB2,-0.63767123,-1.0529759,-1.7760339,-0.37497175,-0.16091967,-0.000831,2.3572793,-1.0826572,-1.3885736
TGFB1,-0.8173075,-1.5387831,-0.96150875,-1.9704504,-2.2739077,-0.8040972,-1.8440561,-1.633647,-1.9055948
LRRC75B,1.1105032,1.3544235,0.12401104,0.98602057,0.99591064,1.9188337,0.20255375,1.4866495,0.7695198
TGFB3,0.2753818,0.087539434,0.3101871,-1.0734899,-0.0371902,-0.6026478,1.7122977,-0.5659056,-1.1697358
EPHX1,0.4941883,0.80451965,-0.09055996,-0.10822868,0.31591797,0.78772736,-0.95022774,0.83261013,-0.41802788
HSPA6,-3.4930243,-5.0958686,-3.313303,-6.568484,-5.227521,-4.8898926,-4.3778496,-4.63406,-5.494614
HSPA2,0.057447433,0.8833132,0.46176672,1.0365872,0.021567345,0.51923275,0.001059532,0.79536724,0.3474636
DNAJC16,0.33284473,-0.16505718,-0.28074455,0.30938005,0.12962866,-0.6172292,-0.05311489,-0.015471935,-0.5796251
NFKBIA,1.735754,2.2123966,2.0149698,2.59161,2.3764,2.2753696,2.459074,2.35639,2.6488075
DLG1,-0.4758911,0.001216888,-0.39393902,-0.111766815,0.126997,-0.46311188,-1.3356919,0.15751839,-0.02372551
FER,-0.20602798,0.5883417,-0.5358429,0.89780045,0.57188606,1.0109653,-0.28932953,0.51228523,0.87418175
TMEM114,-0.70005584,-0.40018618,-1.2559927,0.51343167,0.34744847,0.7944859,3.0849109,-0.57346535,-0.5962292
DLG3,-0.5419768,-0.062386513,-0.67858946,0.32086182,0.48163617,1.0576062,3.2856061,-0.4101206,-0.25747406
GDNF,-0.42171717,-0.101745844,-0.27551734,0.7736236,0.64611185,1.0998322,3.379303,-0.28624058,-0.3020357
FES,-1.212842,-1.8411074,-1.6447887,-2.2895136,-2.1557941,-1.8691645,-2.6416368,-1.4901123,-2.2473326
TMEM116,0.84613466,0.56809664,1.6902652,0.27654707,0.38506556,1.0453534,3.0008478,1.2534182,0.60238314
DLG5,0.41530752,1.0920455,-0.48255348,0.93202305,-0.13820839,1.3951771,2.272736,0.5647545,4.348352
TGFBI,-2.640602,-3.3826704,-2.9162512,-4.767721,-3.5793486,-2.4260387,-2.9414692,-2.6974888,-3.584875
CLASRP,0.21510696,0.5724163,-0.34715652,0.22641563,0.85266495,0.29897308,-0.13949108,0.074235916,0.12020683
PALS2,-0.67080307,-0.38690066,-0.3963952,-0.5903497,-1.5140607,-0.09682679,0.95692444,-0.50777674,0.22890186
OR2A4,-0.1702385,0.5274792,0.5317197,-0.6488627,-0.6023524,-0.02540636,2.2920709,0.35219073,-1.468571
HSPB9,1.985635,2.3872988,2.299822,1.584554,2.1990268,3.0555398,1.7709086,2.2225268,1.5509946
MCTP1,-0.9960885,-2.2617693,-0.14159298,-1.9608688,-2.0981631,-0.43598557,-0.19453478,-1.2836685,-1.0750346
PDE3B,-0.493711,-0.78859186,-0.16329432,-1.1700773,-1.4444776,-0.6867399,0.36102343,-0.18810129,-0.5858793
ELAVL4,1.2960234,-0.7803343,1.8165321,3.1425486,-0.03287387,0.45837831,2.7393079,0.43576956,1.9227693
HSPB1,0.15249777,0.15103102,0.562788,0.90065193,0.85041237,1.7986736,0.7714653,0.30742502,0.79870605
ELAVL1,0.1067934,0.28138542,0.07277489,0.5406923,0.17658806,0.057612896,-0.63420963,0.5761318,0.00470829
DHTKD1,0.12577629,0.15485287,0.7936859,1.0461292,0.35867882,0.8701668,0.6908665,0.54140663,0.5109749
TMEM102,0.52598095,0.56617355,0.10014439,0.67535305,0.47608566,0.74963284,0.49946308,0.080779076,0.35732365
TMEM105,0.23160124,0.028794765,0.9686589,-0.9266243,-0.16757154,0.5410156,1.0310636,-0.18041039,0.27807474
ENOSF1,-1.3685846,-1.6376166,-0.6783104,-1.4500432,-2.0725937,-0.8255062,-0.7504406,-1.3261938,-1.247901
PDE4B,4.041457,4.555312,4.928033,3.993785,4.6361732,5.030076,4.4757338,4.951458,4.9374094
PDE4A,0.23758793,-0.23332405,0.65087795,-0.13688755,-0.31867218,0.9602251,0.97684,-0.23364449,0.8146143
POLK,-0.5107603,-0.24209738,-1.1147228,0.5940037,0.51639414,0.95524454,3.2604055,-0.3966961,-0.37717056
POLH,-0.54698753,0.029951096,-0.57293606,-0.76623726,-0.5088067,0.19688416,-0.7490783,0.022047043,0.36191988
FGA,0.8140906,0.9098269,-0.8777423,0.6330782,0.7630253,1.0984061,3.979868,-0.2045356,-0.31618345
GARIN1B,-0.15325499,0.2145648,0.72517824,-0.6100671,0.075323105,0.97237754,2.419098,-1.1907258,1.0307708
PDE4D,0.88989043,1.2823017,1.2353542,-0.7841116,0.26427078,2.055806,2.3918922,1.4259417,1.7656863
FGG,-0.39629418,-0.13525999,-0.9885378,0.7100601,0.6180228,1.0765208,3.381237,-0.29116416,-0.2769338
PDE4C,0.6425915,0.41207743,-0.11556101,-0.8307338,-0.015378952,0.8250842,1.9040895,-0.19464874,0.46023703
UPK3B,0.4398408,0.84325695,0.4205861,0.559042,0.898962,1.1988902,0.8951397,0.8276787,1.1988053
UPK3A,3.2200508,3.028172,2.7928057,3.5173063,3.5194335,3.6325645,2.4162989,3.0397844,3.002222
ARID1B,0.43087482,0.8047948,0.21020317,0.93959427,1.4140654,-0.31676102,-1.3519406,1.0710545,1.052988
FGR,-0.45228195,-1.5595341,-0.2663746,-1.400856,-1.9445915,0.124637604,-0.14448929,-1.2776623,-0.079977036
KCNA10,-0.4301777,-0.42012215,-1.1570919,0.11368728,0.2820704,0.8288815,3.0819228,-0.62486947,-0.6219003
MCTP2,-0.1361661,-1.661257,0.6541624,-0.9384947,-0.7098317,-0.56545305,0.06168127,-2.0215206,-0.33276796
RGS19,-1.0717106,-1.559753,-0.8991909,-1.8768625,-1.8087487,-1.5290241,-1.8852682,-1.4353733,-1.5259647
POLDIP2,-0.34555435,-0.6492653,-0.5675459,-0.75255203,-0.6920481,0.023136139,-0.94361687,-0.32433414,-0.3925743
RGS16,0.50082016,1.6254587,2.607112,0.8880997,1.1677494,1.6289253,3.0556602,1.5063648,1.1810169
PON1,-0.5391182,0.536664,-1.0399094,0.49501276,0.50771594,0.9479432,3.2489927,-0.44167984,0.47739375
DBF4B,-0.88311505,0.90319633,-0.30666637,0.3234315,0.8666024,-0.1714518,0.88871765,1.0514698,-0.125103
RPH3AL-AS1,-0.18861938,-2.0821605,0.8434372,-1.4691901,-1.3210483,-0.27288318,1.3523154,-2.2896316,-2.323763
HSPD1,-0.66437006,-1.0860448,-0.93186474,-0.76375484,-0.9611201,-1.9999676,-3.235148,-0.8225064,-0.8467698
STRN3,0.013575077,0.34275532,0.62848663,0.35448742,0.53283596,0.8096018,1.318326,0.53856087,0.3826685
DLL3,-0.54785275,-0.33283693,-0.60376763,0.48853135,0.4197048,0.8754405,3.2091837,0.1325345,-0.51433223
ACAN,-0.000618,0.5385809,0.2066226,0.20407772,0.7650962,0.9421873,0.21981144,-0.09440756,0.6205263
SLC22A18AS,-0.41774082,-0.6856661,-0.7281275,-1.4886179,-1.0220842,-0.8067484,1.7688894,-1.1585407,-1.3555136
NRIP1,-0.21208286,-0.24960136,1.64783,0.20448399,0.3353157,0.2850008,1.2846842,0.597188,0.9509344
PDE6C,-0.6730722,-0.37723124,-0.036192894,0.46108627,0.38102317,0.8363464,3.1458602,-0.55548894,-0.22328353
CLASP1,0.51302147,0.50668335,0.4074335,0.7026024,0.9114857,0.46515656,0.19014025,0.5166664,0.5594158
PTCD1,0.13195515,0.065024376,0.40149403,-0.33894253,-0.3764906,0.6993761,-0.037487984,0.17710209,0.22046185
NIFK,-1.0494394,-1.4279175,-0.15945339,-0.7987814,-1.153244,-1.3459702,0.19072628,-0.9903383,-0.6320467
SGTB,-0.12497187,0.31983328,-0.6156988,0.3939991,0.76588106,-0.059417248,0.6675172,0.68739796,-0.15329695
ARID3B,0.55080986,1.429635,0.9869547,2.0385857,1.7769547,1.7874107,1.0591984,1.3068314,1.4171486
MEIS3,1.5379171,1.3726604,2.5172274,-0.3545854,0.3587668,0.85290456,2.4940145,1.5907938,0.4514308
MEIS2,-0.45894384,-0.18906444,-0.8787056,0.404657,0.5427853,1.0495582,3.3149214,-0.4052347,1.0310743
SH3YL1,-1.3312693,-1.8191214,0.16372395,-0.832602,-1.2875233,-2.3640037,-0.1835289,-1.7130527,-1.0494261
POMK,0.09796429,0.15371466,-0.5925212,-0.26865816,0.41515446,0.36831522,0.15388823,-0.008346558,0.24895048
RGS12,1.2748337,0.6570511,1.0210934,-0.13778305,-0.14314461,0.7018223,1.0266762,0.85079193,0.6305046
RGS11,2.6316776,3.340932,2.661437,3.6166124,2.9366117,4.031352,2.3922815,2.9480968,3.5452642
PDE7A,0.22667694,-0.27110195,0.40558624,-0.05855179,-0.005683899,0.16383553,0.14807701,-0.15990162,0.27743912
ATF1,0.031597614,-0.06267738,0.7554207,0.4367981,0.20429325,-0.40874052,0.051248074,0.22602749,0.26524448
POP5,-1.0999308,-1.4924698,-1.5478258,-1.7927599,-2.2688289,-1.4860063,-1.3822708,-1.4265718,-1.2241802
POP7,0.46439648,0.4038,-0.007910728,0.15668583,0.5153179,0.4932146,1.2335119,0.24560642,0.5854597
PRMT5-AS1,-0.58580804,-0.3032173,-1.0354134,0.54807055,0.45058703,1.8042023,3.2187843,-0.4939384,-0.4916392
POP1,-0.13016415,-0.45127535,-0.19593239,-1.2428088,-1.3170626,-0.71767473,-0.698946,-0.4739418,-0.60774755
TESK1,0.3773985,0.387393,0.6936493,-0.13296604,0.040917397,0.91764545,-0.35044003,0.33053875,0.28262615
F11R,1.809062,2.0830975,2.1916323,2.942603,2.999527,1.4804583,1.4791412,2.3057985,2.4240198
ENDOV,-0.09678888,0.6306162,-0.612916,-0.12367487,0.48993397,-0.2936597,-1.341959,0.14700985,-0.24645853
C3AR1,-0.14123726,-0.7304611,1.2080288,-0.8931942,-1.1241837,0.7103939,1.2167797,-0.33388996,0.026855469
ENDOG,0.26243305,0.14233494,-0.77294827,-0.76482487,-0.17902279,-0.27514935,-1.0219173,0.064204216,-0.1515398
LDOC1,0.46180725,0.658792,0.26097775,0.2389648,-0.045119524,0.16968107,0.79416513,-0.5199468,0.2480681
FRS3,-0.12454605,-0.38167286,-0.37905216,-0.7155156,-0.41277218,-0.020809174,0.032663345,-0.62655926,-0.25182915
THAP7-AS1,-0.31418085,-1.037138,-0.30836582,0.28257895,-0.23487377,-0.42919683,0.8003564,-0.8345256,0.1882391
FAR1,0.079704285,0.31591225,-0.55573845,-0.50511646,0.9917431,-1.1376314,0.32375908,0.16604614,-1.2357402
FAR2,-1.5704088,-2.756863,0.30979633,-2.7488785,-2.4787388,-0.92276,-1.0947452,-2.107211,-2.1482372
ATF3,5.233616,5.572592,5.4990177,5.1453247,5.502054,5.5896626,5.1138153,5.601202,5.134804
RABL6,0.836926,0.31676722,0.6252074,-1.1854022,-0.25086784,-0.16149473,1.0820847,-0.6856282,0.11257076
FLG,-0.4699465,-0.243667,-1.0703146,0.55953276,0.5115166,0.9626037,3.2786388,-0.452591,0.5123118
CDCA5,0.23864937,1.3821621,-0.5748596,1.4953251,1.0673742,0.8518257,-1.5371461,0.7895746,0.7793503
GATA6,2.6276217,3.6164465,-0.54676425,4.560863,4.2748623,1.3486162,3.274179,3.358347,3.6251678
PDGFA,1.6545382,1.5667377,0.60021305,2.1467237,2.576766,0.33595753,0.90551376,1.957921,0.7201977
GATA3,0.6350932,1.1570323,-0.01722598,1.7471933,-0.63237345,2.639855,1.9590497,1.7515059,2.1558743
GATA1,-0.89992505,0.022696137,1.633688,0.2538805,0.2871257,0.6108937,2.9184895,-0.78031456,-0.7956969
RPL21P19,-0.34770012,-0.45136452,-1.0534058,-0.41402054,-0.5139704,-0.22166634,1.6610527,-0.731575,0.39478493
EPB41L5,-1.3890836,0.81706285,-1.8970268,-0.30041277,-0.30345416,0.15344071,2.3799264,-0.3158791,1.1897719
EPB41L2,-0.8505988,-0.8031287,-0.6957989,-1.0102448,-1.1998725,-0.16776562,-1.5782018,-0.66818523,-0.8418517
EPB41L3,-0.1594963,0.08955479,-0.07723427,-0.1572113,0.3001423,-0.7785835,-0.66753197,0.3036394,-0.554409
PDGFC,-0.9903879,-0.29626226,-1.579433,-0.028293133,1.187706,-2.4334552,-1.2149496,-0.188066,-1.343565
PIP5K1A,0.7831459,1.1227651,0.3869877,1.6509962,1.3737421,0.5600443,1.071476,1.3741312,0.49088287
ATG7,-0.6405468,-0.45711136,-0.7378645,-0.8842697,-0.51496124,-0.037366867,-1.6559143,-0.23709393,-0.63181686
ATG5,0.7172966,0.88635826,1.1684828,0.98075867,0.76379967,1.3380775,1.3896656,1.0606041,1.2842598
FUCA1,-2.0048447,-2.6301365,-1.0699644,-3.0172443,-2.2582912,-2.4654179,-2.0351162,-2.3402853,-2.454628
YWHAEP5,-0.22377491,-0.009133339,-0.67678165,0.31826496,0.31210232,0.17225742,0.7668257,0.1785326,0.16471004
FN1,-4.706123,-4.724859,-4.233717,-3.438799,-4.3660164,-3.8866904,-1.4441319,-5.3012323,-4.8905287
OR4N4,0.6868236,0.3250358,0.8454766,0.7717941,0.6940043,1.1549118,3.5075672,0.5044422,0.5337086
FAT4,1.3461463,0.44437456,1.388968,-0.14061952,-0.26961613,0.16819,2.468155,-0.14954543,-1.227983
MTMR12,-0.590353,-0.28475523,0.14394426,-0.18693113,-0.20408154,-0.77386,-1.6660681,-0.16532707,-0.3931713
GALNT7-DT,-0.30713177,-0.63460493,-0.41381454,-1.0598755,-1.2860508,-0.17362213,-0.97590876,-0.22288275,-0.37970495
CFAP97D1,0.16225815,-0.12821054,0.12306404,-0.42109585,-0.26671648,-0.9406953,2.3233619,-0.8499174,-1.2241082
SMPD3,-1.9979713,-2.6990387,-1.3123302,-4.1279917,-2.4141092,-2.6318648,-1.1406169,-1.8999515,-2.1649802
GGTLC1,1.23944,1.3850107,0.743845,0.8438997,1.499074,2.350667,1.8826723,1.484581,1.4643602
PANX2,0.7007203,1.3782892,0.39538765,0.08965063,0.9609709,0.6890578,1.034514,0.83832264,2.3115444
PIN1P1,0.034830093,-0.07027435,-0.2659502,-0.8696461,0.30274868,0.17821693,0.4810295,-0.5172701,0.6294422
SMPD2,0.17882681,-0.17235422,-0.18742275,-0.70140696,-0.34551287,0.20676565,-1.3206539,0.49800873,-0.5588584
CHAF1B,0.000758,0.4196272,-0.26613855,0.758996,0.6518283,0.42565775,-0.41700888,0.2645774,0.398458
PINK1-AS,-0.27223492,-0.025513172,-1.0581617,-0.61832047,-0.44565773,-0.30350876,-0.04186535,-0.78876066,-0.6206441
ATIC,-0.4438305,-1.2702532,-0.74681664,-1.0526314,-1.6407142,-0.6651535,-0.6957731,-1.2575998,-0.8349209
OLR1,4.7684183,3.5986114,6.1277647,3.5997953,3.0951715,5.7314157,6.64237,4.9005165,5.637561
GATD1,-0.7545471,-0.5607252,-1.4847393,-1.0336609,-0.62983894,-0.88835526,-1.3503466,-0.8907013,-1.1156788
SPHK1,0.721776,0.91384983,1.1461487,0.51162624,0.68496704,1.4608774,2.318324,0.8458519,0.79230785
FOS,-2.4073944,-3.4798465,-1.198801,-3.675518,-3.7461562,-3.5096688,-2.429659,-3.2187138,-3.417554
GATD3,-0.05983162,-0.05364704,-0.14145088,-0.43833542,-0.42544174,0.14179611,0.06833935,0.017808914,0.08611488
PHF20L1,-0.49919415,-0.34205532,0.0886631,0.015778542,-0.15732479,-0.15505886,0.0654974,-0.13770676,-0.3372984
SLC7A5,4.735309,5.1968837,4.1189075,4.2575603,4.744224,5.0056376,3.8350768,5.3985868,4.5721984
SLC7A6,-0.014920235,0.5724163,-0.13361597,-0.24688482,0.040970802,0.54157686,-0.52032185,0.5357342,0.18408251
SLC7A7,-0.20353317,-1.1490345,0.55639553,-1.3789043,-1.310277,0.29340553,0.1033268,-0.63280773,-0.6857548
SLC7A8,0.010650635,-0.9358897,-0.38727665,-2.8983355,-1.5414791,-0.001121998,0.21996689,-0.8588872,-0.7043686
CYP21A2,1.0952635,0.37526464,0.4113388,0.59702635,0.3514557,1.3257108,0.07215166,0.14777994,0.11059952
CINP,0.054600716,0.15867615,-0.41725826,0.18812466,-0.10864735,-0.113633156,0.07040024,0.16667843,-0.121367455
NUP62CL,-0.53908277,-0.4622531,-0.14910197,-1.34042,-0.37260103,1.3179567,1.51103,-1.6307572,-0.16543698
ATL3,0.71666336,1.1967115,1.0895348,1.054903,1.0706482,1.1708698,0.6350746,1.2079973,1.0456905
ATL1,1.5483942,1.3431406,2.0917492,1.5783815,0.59597826,1.9090986,1.1292801,1.1032033,2.1273103
FAXC,1.0540264,0.50340605,-0.22674465,0.008921385,0.2625506,2.3609302,2.929444,0.90247536,-0.66121507
ATL2,-0.9739816,-0.35951078,-0.14166737,-0.08795357,0.08969903,0.023952007,2.271892,-0.5290804,-1.3999325
SLC7A1,2.5705957,3.2068167,2.2178621,3.5947313,2.848631,2.793336,1.4645319,3.3581066,2.756013
WRN,0.010894775,0.056693077,0.14126205,0.42612314,0.4014492,-0.2566371,-0.022057533,0.20907116,0.24995613
GAPDHP27,-0.6643772,-1.0330157,-1.6119347,-1.5964041,-1.0515165,-1.0068641,-1.5510244,-0.77444553,-0.7608795
MFN2,0.1745224,0.14251041,0.2535782,0.26943207,0.12138176,0.6084595,0.62545586,0.37512112,0.63233185
SAMD3,-1.2960234,-1.4671923,-2.7902572,-1.6993135,0.5388746,1.4892099,1.3137834,-0.20353818,0.18450046
C4orf3,0.12567997,0.5628376,-0.14238358,0.35384846,0.0945797,0.43262196,-0.000817,0.5672903,0.29311085
GOLM1,-0.399428,-0.05937016,-0.931283,0.64368916,0.68859696,1.1304228,3.3342144,-0.2623285,-0.25896215
NOC3L,0.33000374,0.52384615,0.5155482,0.75453043,0.75023794,0.38463306,0.97609186,0.7172036,1.240313
TMEM272,-0.50781465,-0.23697323,-1.0280867,0.6254747,0.5119802,0.9737245,3.3338485,-0.4374184,-0.42111498
TMEM276,-0.4627285,-0.53291893,-1.2168684,-0.7171669,-1.003314,-0.26983643,-0.20310783,-0.5851345,-0.56824684
FAM200A,0.17378569,0.3349223,0.5970125,0.37914944,-0.17194653,0.19162416,0.07462788,0.41349125,0.5677824
SLMAP,0.30630016,0.49967766,0.47219944,0.3672228,0.41310596,0.6872244,0.6779442,0.55943966,0.5997381
TTC30A,0.3879025,-2.0186708,-0.47428417,-1.4313385,-1.2998049,-0.76115465,1.5154781,-0.3320229,-0.26307535
TRAV8-4,0.99657726,0.22922087,0.9776907,-1.1236777,-0.39767075,0.8656354,1.391686,-0.42473674,-0.2533257
YPEL5,1.0903969,1.6880856,0.15894318,2.4549732,1.5561838,1.3100891,0.0487957,1.3426714,1.7250767
FRK,-0.76657397,-0.4373753,-0.9733896,0.09838343,0.27692223,0.75406194,3.0086763,-0.6869061,3.0238297
YPEL3,-0.08149147,0.21233082,-0.27466106,-0.635828,0.7937336,0.13390732,-0.3224306,0.39579868,-0.7550926
LIMS2,0.18449163,0.41104078,-0.75388193,0.040444374,0.28973627,0.7975273,1.2728882,-0.033810616,0.22230625
YPEL2,-1.1469445,-0.631382,-0.6765089,-1.0371256,-0.23907185,-0.75510883,-0.9780216,-0.59258366,-1.1092596
HYCC2,0.9631605,0.43655396,2.4453459,0.85826015,0.5161209,1.611598,1.7802839,1.1522493,0.9739523
MPV17L,-2.226802,-1.6987569,-1.1057405,-1.3095951,-3.1232998,-1.2351766,-0.24453497,-2.560134,-1.5433676
ATN1,1.0734653,1.2827806,1.0506763,0.6129513,0.53436565,2.2132492,0.8255482,0.8930292,1.8834972
PLOD3,-0.5363083,-0.6501522,-0.9674225,-1.6646252,-1.4507103,-0.24141312,-0.53646564,-0.6852808,-1.1651001
FRY,-0.82140446,-0.31787205,-0.7604737,0.53338385,-0.10836363,0.103675365,-2.0136623,-0.07048893,0.49933767
ATXN3L,-0.51317143,-0.29422498,-1.1120836,0.57162714,0.45045984,2.2955232,3.2488904,-0.5073024,-0.47136462
ADORA3,-6.9094934,-7.0434146,-7.052278,-6.2535696,-6.285912,-5.836296,-3.511969,-6.967864,-7.211259
GARIN2,-0.45796204,-0.19120687,-0.984483,0.6161878,0.5668365,1.017626,3.3482294,-0.3880986,-0.37784994
ADORA1,0.6169934,0.15317464,1.1055033,-0.68796,-0.19079041,-0.14901733,2.0421631,-1.1684812,-0.5995096
CIR1,0.33275795,0.005569458,0.15758419,0.67531395,1.1239882,0.29109955,1.4672794,0.600996,0.8696842
GARIN6,-0.44116694,-0.12145257,-0.56346977,0.47672272,0.60580766,1.0651186,3.354789,-0.33322704,-0.13204122
SYBU,2.2466626,3.1674395,1.5185688,3.2317123,3.420702,2.506121,3.2200923,2.1789353,3.2551336
BNIP3L,-1.4342127,-1.1553001,-0.67265606,-1.2786207,-0.81462383,-1.817687,-1.0751448,-0.9781141,-1.4269285
TENM3-AS1,0.021750808,-0.16727841,-0.46464884,0.6196419,2.8644285,1.04345,3.333681,-0.3465892,-0.3652612
SPAG11B,-0.5107512,-0.29227662,-1.0791539,0.5292003,0.44183815,0.9474932,3.2829695,-0.501078,-0.47668874
CISH,0.5576782,0.41935825,0.48088264,0.1023407,-0.84211636,0.4940529,0.40375233,0.34523296,0.25076866
EIF1AY,0.19257545,-0.24521387,-0.5896864,0.6052401,1.5852842,0.96671367,3.334402,0.5376854,0.3072567
EIF1AX,-0.28031158,-0.001847267,-0.22458363,0.03721428,-0.23089409,-0.15198898,-0.55189896,0.22253132,-0.29208565
RAD21L1,-0.46389377,-0.23494458,-0.4434048,0.534008,0.5116545,1.0238999,3.3388758,-0.41699606,-0.36727566
CDC25C,-3.0323782,-2.9444056,-3.7435105,-2.0877788,-2.204787,-1.7117114,0.61739683,-3.1556482,-3.124
CDC25B,-0.041701317,1.0436659,-0.41178894,0.041861534,0.6532717,-0.7650595,-1.7528796,0.7650032,-0.50783634
TPST2,-1.2138157,-1.5671902,-0.98169136,-1.5206242,-1.3379602,-0.9694576,-1.8010712,-1.1243715,-1.0807247
MFNG,-1.6645212,-1.8792391,-1.6306515,-2.0450068,-2.219533,-1.165473,-1.46838,-1.8351374,-1.6180582
