"","Subject 1","Subject 2","Subject 3","Subject 4","Subject 5","Subject 6","Subject 7","Subject 8","Subject 9","Subject 10","Subject 11","Subject 12","Subject 13","Subject 14","Subject 15"
"HIST1H2AE",116,104,103,372,122,357,110,164,1,60,85,79,94,116,123
"HIST1H3E",132,19,65,50,48,101,51,54,2,17,66,76,21,63,48
"HIST1H1D",3940,1713,3714,3176,4425,5945,2990,3169,50,1413,6343,5248,1508,10287,8418
"HIST1H4F",92,38,52,106,70,97,27,53,1,27,51,74,15,51,67
"HIST1H4G",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"HIST1H3F",33,31,61,37,33,36,29,62,0,17,114,81,39,194,85
"HIST1H2BH",272,121,190,598,282,526,146,232,3,125,358,393,110,482,277
"HIST1H3G",55,81,130,46,58,52,71,89,3,52,264,261,81,416,144
"HIST1H2BI",13,26,18,27,21,34,16,30,2,14,47,40,16,68,31
"HIST1H4H",176,215,167,250,164,376,142,145,10,74,345,337,152,356,307
"BTN3A2",8492,6123,7934,5078,6379,5307,8133,7200,834,4078,3979,2954,1987,4952,3353
"BTN2A2",5225,4002,4232,3618,5051,4418,5077,5346,624,2287,3765,3925,2057,3718,4981
"BTN3A1",3631,2204,2714,2051,2786,1803,3034,2409,173,1307,2417,1989,1064,2833,2571
"BTN3A3",2060,1266,1325,1215,1227,1085,1488,1661,121,866,1588,1366,797,1901,1685
"BTN2A1",1973,1854,1934,1534,2138,1804,2133,2127,342,1287,2289,2134,1523,2424,2222
"BTN1A1",1,0,0,1,0,2,1,2,0,0,1,3,0,2,0
"HCG11",1002,1145,1132,903,1089,1003,962,1015,167,583,1118,986,500,874,1364
"HMGN4",563,562,582,398,406,390,529,420,54,272,1061,1005,182,1368,881
"AL121936.1",17,12,17,13,12,10,17,13,2,5,16,53,12,15,20
"ABT1",2278,2510,2411,1702,2316,2342,2010,2798,616,1691,1159,1083,1042,1242,2437
"AL513548.3",4,5,5,4,11,9,5,13,0,3,6,8,5,11,4
"ZNF322",2477,2508,2495,2041,2565,1825,2409,2427,417,1463,1712,2044,694,1982,3341
"AL513548.1",85,66,59,25,110,35,66,71,11,54,100,103,85,48,63
"LINC00240",8,6,8,1,8,11,6,7,0,4,24,2,2,12,4
"AL133255.1",1,3,0,2,0,0,0,0,0,1,3,0,0,0,0
"AL021807.1",2,13,10,8,22,48,36,8,0,3,16,12,18,12,12
"HIST1H2BJ",98,119,115,116,102,186,123,132,9,32,75,44,46,90,81
"HIST1H2AG",311,276,264,449,355,452,198,332,9,141,318,235,184,574,322
"HIST1H4I",46,50,57,64,74,64,46,53,2,11,143,170,49,144,114
"HIST1H2BK",42,35,86,83,82,76,61,64,7,36,112,135,35,123,158
"HIST1H2AH",146,353,261,206,252,491,167,331,4,112,381,383,97,388,244
"PRSS16",5,3,0,3,1,1,4,2,0,2,6,2,4,1,4
"POM121L2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF391",248,155,143,106,190,212,91,258,19,27,83,238,38,68,13
"AL031118.1",10,25,13,8,15,20,7,14,1,8,11,17,9,10,17
"ZNF184",591,633,680,439,669,534,630,625,63,419,896,857,200,873,1031
"AL009179.1",18,12,9,6,15,9,11,19,2,9,14,9,13,13,15
"HIST1H2BL",19,25,18,31,33,26,11,14,0,18,34,26,19,53,33
"HIST1H2AI",31,24,28,49,31,58,28,45,3,20,55,57,34,86,58
"HIST1H3H",60,78,73,90,71,136,51,132,8,44,73,47,46,124,65
