ENSEMBL,gene_symbol,logFC,abs.logFC.,AveExpr,t,P.Value,adj.P.Val,B,HBC_AVG,MIM_AVG,23HBC,26HBC,30HBC,31HBC,33HBC,37HBC,23MIM,26MIM,30MIM,31MIM,33MIM,37MIM
ENSG00000136488,CSH1,-4.041009618,4.041009618,11.75764704,-7.660117959,3.37E-06,6.25E-05,4.738817955,9.725295785,13.7899983,10.19576009,10.88150731,9.334196072,9.06681992,8.534856737,10.33863458,13.28199078,13.90813887,12.67258059,12.71169833,14.53771623,15.62786497
ENSG00000197746,PSAP,1.543475488,1.543475488,11.62264906,3.281257821,0.005889033,0.013590867,-2.811307174,12.3894525,10.85584563,13.10198599,11.82261103,12.19786692,12.76601004,12.56572454,11.88251648,10.47176505,11.60547483,11.51555646,11.99462211,10.68696288,8.860692424
ENSG00000156508,EEF1A1,-0.845708892,0.845708892,11.61552806,-3.735656616,0.002455031,0.00674182,-1.939736857,11.19486768,12.03618845,11.01946283,11.10233219,11.37145612,11.10474482,11.35575752,11.21545258,11.92411012,12.03734899,11.7940375,11.39361656,12.08687014,12.98114738
ENSG00000213218,CSH2,-4.050693567,4.050693567,11.60711041,-7.797847985,2.78E-06,5.57E-05,4.935222218,9.569801339,13.64441947,10.20716147,10.73501616,9.165993836,8.941081697,8.285874053,10.08368082,13.26560928,13.8146147,12.54877294,12.57012885,14.31469522,15.35269584
ENSG00000150991,UBC,-0.245627265,0.245627265,11.49026428,-1.408961598,0.182088141,0.239775318,-6.007768217,11.37146559,11.60906298,11.39715131,11.15607616,11.41567479,11.15915229,11.99514146,11.10559753,11.74029258,11.4731046,11.60673282,11.52788892,11.73840529,11.56795365
ENSG00000251562,MALAT1,1.315680492,1.315680492,11.44947189,1.976174181,0.069532245,0.105903465,-5.175593825,12.10400768,10.7949361,11.83553362,11.08410707,12.32183499,11.6473818,12.97237573,12.76281288,11.08152219,11.51954766,12.14791797,12.063134,10.18117975,7.776315055
ENSG00000019582,CD74,1.489232492,1.489232492,11.39559449,2.055489572,0.060285716,0.093853329,-5.048233407,12.13179711,10.65939186,12.43173228,11.08065057,12.16575795,12.68869993,12.81004472,11.61389722,10.60136702,11.72520414,11.52121654,11.95397019,11.08784509,7.066748182
ENSG00000130066,SAT1,-0.344539797,0.344539797,11.30636497,-1.468815818,0.165431793,0.221103119,-5.936032613,11.14007771,11.47265225,11.09500259,10.6312371,11.27886484,10.95181585,11.41099076,11.47255509,11.08352581,11.42656548,11.37446997,11.27137134,11.29630511,12.38367576
ENSG00000075624,ACTB,1.09950787,1.09950787,11.13821079,2.17955349,0.048079201,0.077688447,-4.848065892,11.68098414,10.59543744,11.97509355,11.57412973,11.61172591,11.76730876,11.52351548,11.63413143,10.75391449,10.91530058,11.87550028,11.61775039,10.23964221,8.17051668
ENSG00000166710,B2M,1.744747034,1.744747034,11.0909037,3.094325205,0.008453007,0.018301021,-3.18416211,11.96010731,10.22170009,12.11111217,11.24734763,12.07433606,11.8814543,12.57193034,11.87446335,9.853930116,11.10135135,11.13481206,11.5809037,9.989128813,7.670074489
ENSG00000087086,FTL,1.213891148,1.213891148,11.08364742,3.198888336,0.006905709,0.015510741,-2.98439729,11.69058725,10.4767076,12.87208265,10.89984759,11.04599355,11.81049759,12.01512615,11.49997598,10.48330641,10.79236075,10.78266836,11.28804987,10.27181207,9.242048118
ENSG00000133112,TPT1,-1.38995617,1.38995617,11.07935757,-6.320540668,2.54E-05,0.000224595,2.686949825,10.38920283,11.7695123,9.993880581,10.22282953,10.60978295,10.18503824,10.74313558,10.58055009,11.88888016,11.66863883,11.30705377,11.53940559,11.65321959,12.55987587
ENSG00000169429,CXCL8,3.966979154,3.966979154,10.98526642,5.501636382,9.83E-05,0.000588331,1.292167204,12.95347684,9.017055988,12.18639365,11.29746531,13.51356355,13.12911223,13.79743389,13.79689242,8.338778839,10.00156135,10.65099109,8.923247713,10.03923603,6.148520903
ENSG00000112096,SOD2,3.343624636,3.343624636,10.91404451,6.079580907,3.74E-05,0.000292425,2.281021355,12.57672945,9.251359568,12.00583101,11.35749134,13.47173834,12.79395702,12.82558784,13.00577112,9.202552545,10.05280587,10.56714944,9.186077841,9.528183447,6.971388265
ENSG00000100906,NFKBIA,1.41665334,1.41665334,10.84591717,2.969265535,0.010762886,0.022275244,-3.429247497,11.55362957,10.13820478,11.6775337,10.49321663,11.56561444,11.72495644,12.14115581,11.71930037,10.10540495,11.34127412,11.32691616,9.85554979,9.927880084,8.272203576
ENSG00000167658,EEF2,0.35713189,0.35713189,10.83000349,2.19400132,0.046818615,0.075918704,-4.836478336,11.00994048,10.6500665,10.94276365,10.88580486,11.21720736,11.08113908,11.00684332,10.9258846,10.32172445,10.69141125,10.93718582,10.3321561,10.62359824,10.99432312
ENSG00000125538,IL1B,3.38781956,3.38781956,10.74736347,3.964644634,0.001586899,0.004780884,-1.533615138,12.4231337,9.071593245,11.19516379,11.6492143,13.17154029,13.10279422,12.73037854,12.68971105,9.645349044,10.32167609,10.88261492,7.174322571,10.63522126,5.770375586
ENSG00000115414,FN1,4.262569119,4.262569119,10.73317601,3.700886448,0.002624076,0.007091783,-2.044502643,12.85661555,8.609736471,16.29507029,16.39084689,11.05234877,12.04733825,11.93936738,9.414721708,8.05228312,9.973707374,7.987626749,10.24681527,9.49314035,5.904845961
ENSG00000143384,MCL1,0.603243018,0.603243018,10.72502459,2.263470774,0.041179452,0.068064686,-4.721536612,11.03032942,10.41971976,10.72930935,10.43699488,11.04462585,11.12100246,11.62264262,11.22740136,9.952576412,10.94288088,11.03775422,10.69351065,9.978694123,9.912902257
ENSG00000110321,EIF4G2,-1.090381002,1.090381002,10.66355533,-4.97597419,0.000246129,0.001159648,0.356700861,10.12155418,11.20555647,10.14043704,10.0847183,10.23627152,10.29861671,9.899195494,10.07008603,11.20942053,11.04348215,10.6945232,10.82814458,11.32820424,12.12956411
ENSG00000234745,HLA-B,1.843830196,1.843830196,10.62105014,2.873027902,0.012957176,0.025922418,-3.618820746,11.54134776,9.700752525,11.19645148,10.8753694,11.87011912,11.54416065,12.170505,11.5914809,9.241714036,10.68082043,10.83879287,11.11565414,9.608039256,6.719494417
ENSG00000184009,ACTG1,0.109191129,0.109191129,10.55332627,0.478062957,0.640467153,0.697206816,-6.914807787,10.6070572,10.49959534,10.77828814,10.78498657,10.5641291,10.54168493,10.46569393,10.50756053,11.48548436,10.08196567,10.5713458,10.45331637,10.39701377,10.00844604
ENSG00000135046,ANXA1,-1.847521473,1.847521473,10.48818254,-8.909315768,6.26E-07,2.56E-05,6.440940147,9.564824217,11.41154086,9.564490714,9.718569634,10.03872053,9.399961268,9.352035862,9.315167295,11.49089079,11.04675675,11.18753315,11.05473509,12.10669282,11.58263657
ENSG00000092820,EZR,-0.927669187,0.927669187,10.48320075,-4.146599345,0.001125486,0.00366512,-1.193165581,10.02579843,10.94060308,9.438429182,9.940419203,10.26693163,10.25364349,10.4417673,9.813599746,11.46819646,10.6039413,10.52463577,10.73330715,10.99759745,11.31594032
ENSG00000128016,ZFP36,0.930037144,0.930037144,10.46273586,1.493942285,0.158830744,0.213307044,-5.939522254,10.92646578,9.999005952,10.93461313,10.08830853,10.62067174,11.20745067,11.76599965,10.94175096,9.688337976,11.33295961,11.3829502,11.01587535,9.272912402,7.301000176
ENSG00000120129,DUSP1,0.749049754,0.749049754,10.45280972,1.487960039,0.16038185,0.215103037,-5.948298437,10.82657242,10.07904703,11.18726947,10.51151631,10.37431708,10.92785837,11.29036177,10.66811152,9.925358498,11.12700205,10.79434606,11.45753756,9.091897248,8.078140734
ENSG00000163220,S100A9,-0.834674922,0.834674922,10.32716279,-1.345140578,0.201354538,0.261201324,-6.139602689,9.910430397,10.74389518,7.720816371,9.649092763,10.81493004,10.49614271,9.436458319,11.34514218,9.829041549,10.68548632,12.61838221,11.45809078,9.928318318,9.944051897
ENSG00000124942,AHNAK,1.819471844,1.819471844,10.30882685,3.963485134,0.001590392,0.004788844,-1.548256667,11.21531173,9.402341967,11.19968948,11.02073665,11.8712418,11.61786224,10.92291188,10.65942832,8.477255469,10.04634783,9.986481506,10.47797897,9.838901226,7.587086803
ENSG00000204287,HLA-DRA,1.629061197,1.629061197,10.27748354,2.219486704,0.044670329,0.072897492,-4.815293978,11.08908306,9.465884013,11.43691676,10.07837773,11.23140269,11.56526856,11.82341777,10.39911487,9.359403801,10.57731113,10.23033216,10.70254733,10.08653274,5.839176917
ENSG00000130600,H19,0.196402749,0.196402749,10.24662684,0.227118843,0.823829549,0.857561813,-7.022127883,10.3232287,10.17002498,13.07026172,13.22702907,9.318540032,9.251036487,9.34042732,7.732077573,11.04685301,9.540996654,10.18928336,10.51059655,10.48335051,9.249069795
ENSG00000136167,LCP1,1.259072189,1.259072189,10.24241725,2.894814124,0.012424656,0.025017213,-3.594771316,10.8730038,9.611830703,10.54848227,10.07837773,11.33415791,11.03170848,10.94498646,11.30030992,9.296255138,10.20226823,10.44039431,10.56278718,9.385869071,7.783410291
ENSG00000118503,TNFAIP3,2.633431593,2.633431593,10.23072592,4.837662189,0.000315299,0.001397834,0.09130897,11.54424076,8.917211084,11.49915017,10.61758701,11.4789052,12.09078256,11.99856696,11.58045264,8.873329406,10.46222971,10.21594121,7.422333468,9.173459913,7.355972796
ENSG00000135821,GLUL,-0.318108927,0.318108927,10.18826206,-1.207759659,0.248446297,0.312629989,-6.313225119,10.03234888,10.34417524,10.51362849,9.179525201,9.586581349,10.19675699,10.07629552,10.64130573,10.40180694,10.15687327,10.56491515,10.8218371,9.81717746,10.30244149
ENSG00000080824,HSP90AA1,0.201172555,0.201172555,10.18052402,0.774360709,0.452437428,0.520984255,-6.739422512,10.28519397,10.07585408,10.06055835,9.852116856,9.94359665,9.795588673,10.91068882,11.14861447,10.47111391,10.19420185,9.803720957,10.07551947,9.704898575,10.2056697
ENSG00000122862,SRGN,2.630906836,2.630906836,10.17826144,3.577594219,0.003324896,0.008548376,-2.290657822,11.49105228,8.865470592,10.65479709,10.5685626,12.08654642,11.64258523,11.67049119,12.32333117,8.358629502,9.972435222,10.58736289,9.933065998,8.731979298,5.609350643
ENSG00000164733,CTSB,1.719388253,1.719388253,10.16763084,4.126093915,0.001169735,0.003780217,-1.244035858,11.02840125,9.30686044,12.66751766,10.28459751,10.45674487,11.38695893,11.14268832,10.23190019,9.264440078,9.624549351,9.217252889,10.30027918,9.02831582,8.406325322
ENSG00000196924,FLNA,3.037374511,3.037374511,10.15579423,5.076067152,0.000206066,0.001008326,0.523110172,11.67408253,8.637505933,11.28738873,10.99579662,12.65605801,11.9760743,11.58716054,11.54201695,8.644367482,9.323350041,9.732902423,9.641883365,8.636110181,5.846422105
ENSG00000100345,MYH9,1.413892338,1.413892338,10.11453154,5.341874876,0.000129405,0.000718934,0.992794964,10.82217547,9.406887625,10.69644973,10.5216424,11.07490717,10.8882456,10.82936363,10.92244427,9.451012623,9.713146709,10.04165048,9.839354076,9.052136591,8.344025272
ENSG00000070756,PABPC1,1.023954189,1.023954189,10.10154253,5.293151623,0.000140824,0.000766054,0.90534166,10.61701233,9.58607273,10.30944216,10.28171538,10.92440733,10.72117954,10.70183838,10.76349117,9.270290674,9.845423286,10.03400578,9.791920125,9.172997718,9.401798795
ENSG00000170345,FOS,0.762247213,0.762247213,10.08577584,1.114322686,0.28512423,0.351854435,-6.42297879,10.4610304,9.71052129,10.61775602,11.2111865,10.00810834,10.08571567,10.65423096,10.18918488,9.065025485,11.04444394,10.40580899,12.10935977,8.43075261,7.207736946
ENSG00000172216,CEBPB,-0.293908137,0.293908137,10.04586528,-1.56459581,0.141453241,0.193046007,-5.859713866,9.905054734,10.18667582,9.874535307,9.643246757,9.709914041,9.983305626,10.3394843,9.879842373,10.45104564,9.992065546,9.852812605,10.40221571,9.810536598,10.61137884
ENSG00000204414,CSHL1,-4.297031203,4.297031203,10.04434138,-8.775249864,7.44E-07,2.76E-05,6.259958175,7.888148443,12.20053433,8.229837185,8.895304828,7.543964352,7.376085561,6.713200945,8.570497788,12.09834901,11.86041872,11.05633608,11.28328323,13.06911119,13.83570773
ENSG00000130522,JUND,-0.096778473,0.096778473,10.0300431,-0.445492732,0.663220929,0.717636112,-6.95367937,9.985485189,10.07460102,9.255963812,9.727622302,10.03308878,9.943716848,10.65294335,10.29957604,10.3664589,9.974380412,9.96464706,9.827313571,10.16862265,10.14618352
ENSG00000090382,LYZ,0.781372398,0.781372398,10.00736125,1.007545889,0.331881321,0.400219423,-6.537692818,10.39201775,9.622704742,9.928570327,10.19525959,10.99540576,10.75814366,10.4014243,10.07330287,8.352420103,11.1473385,11.41519012,11.34539136,9.210594504,6.265293862
ENSG00000087074,PPP1R15A,0.890377795,0.890377795,9.968584883,2.41304323,0.031143998,0.053842693,-4.490765331,10.41334186,9.523827906,10.21207422,9.401706025,10.5400209,10.42611746,10.88588844,11.01424412,9.434674037,10.192596,10.5539124,8.930019617,9.603244311,8.428521068
ENSG00000198959,TGM2,-3.727153456,3.727153456,9.925959849,-10.29487588,1.17E-07,1.28E-05,8.120385349,8.056480645,11.79543905,8.747481408,9.078305513,7.768743408,7.792226966,6.918192034,8.03393454,12.08368556,11.5627034,11.70282516,11.04311293,11.84423064,12.53607662
ENSG00000116016,EPAS1,-3.03012463,3.03012463,9.912094856,-4.752060252,0.000367984,0.00156834,-0.072564611,8.385680099,11.43850961,10.22876543,10.48811608,7.579429422,7.342720075,7.006681313,7.668368276,11.75897806,11.16034431,11.16500448,10.72148304,11.49826876,12.32697901
ENSG00000204592,HLA-E,1.875496136,1.875496136,9.8913413,3.618844952,0.003071437,0.008018597,-2.225036496,10.8276626,8.95502,10.52930721,10.28121355,11.03573531,10.77292539,11.27019867,11.07659546,8.609999275,9.718513052,10.06155046,9.98375826,8.77110563,6.585193325
ENSG00000162511,LAPTM5,1.813051891,1.813051891,9.823387611,2.685509812,0.018571406,0.03505941,-4.000269735,10.72528758,8.921487642,10.92440297,9.928771635,10.79964292,11.06451469,10.82487846,10.80951481,8.5289769,9.991622356,10.10507518,10.3607705,8.864516569,5.677964346
ENSG00000026025,VIM,2.464791942,2.464791942,9.806192908,3.829092099,0.002053626,0.005846454,-1.822432217,11.03659435,8.575791468,11.33839675,10.11854023,11.5664161,10.85313201,11.32209988,11.02098112,8.428180375,9.544828114,9.817476861,9.381401764,8.835605036,5.447256657
ENSG00000204525,HLA-C,1.905582253,1.905582253,9.800786943,3.055868188,0.009105235,0.019484372,-3.306601329,10.75032264,8.851251244,10.58017733,10.21062658,10.62375589,10.94711554,11.14811685,10.99214367,8.615666634,9.87447888,9.668990252,10.42908818,8.619652123,5.899631394
ENSG00000009307,CSDE1,-1.574793358,1.574793358,9.787967697,-7.541502,4.00E-06,6.92E-05,4.543280547,9.003171907,10.57276349,9.142764404,8.999652927,9.052797229,8.914563406,8.950218749,8.959034728,10.56435967,10.5431405,10.01622284,10.17618296,10.69077778,11.44589716
ENSG00000067082,KLF6,1.14577225,1.14577225,9.765403801,1.981755203,0.06884126,0.104978955,-5.235804999,10.33520095,9.195606655,10.27608769,9.510178624,10.46963489,10.30427647,10.94133701,10.509691,8.885108978,10.23627421,10.32112628,10.04074681,9.286051323,6.404332331
ENSG00000173812,EIF1,-0.285152964,0.285152964,9.761611093,-1.438126078,0.173805615,0.230512872,-6.044462055,9.623047186,9.900175,9.314941668,9.124916872,9.951048844,9.54872384,9.940639938,9.858011954,9.925548633,9.594316589,9.940518361,9.538221119,10.12575133,10.27669397
ENSG00000147872,PLIN2,0.890396795,0.890396795,9.740095986,3.104322156,0.008291219,0.018018365,-3.219005846,10.19703456,9.283157414,10.3544012,9.392674679,10.73547321,10.5154552,10.14770878,10.03649428,9.126688505,9.15835483,9.119027705,10.10083055,8.455135472,9.738907419
ENSG00000171223,JUNB,0.866417534,0.866417534,9.737588016,1.882784403,0.082075326,0.121784129,-5.396077884,10.17236536,9.302810677,10.1217821,9.547381524,9.79785436,10.23216637,10.86558567,10.46942211,9.012650756,10.48119086,10.07306411,10.25635117,8.303259092,7.690348071
ENSG00000125740,FOSB,1.541564562,1.541564562,9.733894934,2.990382358,0.010332986,0.021538063,-3.43437353,10.49368277,8.9741071,10.34031805,10.84784471,10.48103254,10.31022239,10.50888513,10.47379379,8.90202031,9.78796471,10.13326059,9.389749767,9.274722884,6.356924337
ENSG00000206172,HBA1,1.440153535,1.440153535,9.725897856,0.905423118,0.381556494,0.451016053,-6.645675622,10.48311829,8.968677425,9.81218881,7.753268861,12.691794,11.2145909,10.59425763,10.83260951,14.46868379,11.08434039,8.700262747,10.87061268,4.685229912,4.002935033
ENSG00000244734,HBB,0.539577813,0.539577813,9.725299997,0.352837577,0.729810319,0.775919212,-7.005699644,10.03423227,9.416367721,8.716700642,7.486103459,13.16254107,10.75435364,10.3821822,9.703512632,13.999596,12.26202096,9.270809811,11.04471708,5.418872758,4.502189714
ENSG00000108654,DDX5,1.145009573,1.145009573,9.697819612,3.54856624,0.003515875,0.008954457,-2.3691502,10.26953348,9.126105748,9.754816116,9.806811737,10.45613708,10.57785386,10.45655045,10.56503161,8.754637035,9.575217496,9.882667681,9.594125001,9.092092835,7.857894442
ENSG00000104904,OAZ1,-1.12591395,1.12591395,9.688361696,-6.349046777,2.43E-05,0.000218058,2.693893597,9.1302887,10.24643469,9.112767585,8.832984381,9.312973555,9.073554693,9.308773054,9.140678933,10.62673037,10.01194234,9.976759495,9.952504357,10.18370563,10.72696595
ENSG00000132475,H3F3B,-0.531220447,0.531220447,9.656938935,-2.237642769,0.043196815,0.070862934,-4.810484545,9.39645702,9.91742085,8.786006929,8.783171275,9.576894193,9.4168073,9.746998451,10.06886397,9.982583631,9.898948757,9.950621073,10.32710574,9.622261496,9.7230044
ENSG00000188536,HBA2,1.429404238,1.429404238,9.642151522,0.898427362,0.38513806,0.454628605,-6.655499487,10.39064157,8.893661478,9.888412043,7.807944459,12.06821485,11.26033991,10.67725875,10.64167939,14.55065534,10.99208401,8.292419028,10.93878983,4.855270149,3.732750513
ENSG00000100316,RPL3,-0.447162558,0.447162558,9.628709262,-2.436363442,0.029807068,0.051870155,-4.462392457,9.408843019,9.848575505,9.151643162,9.267027642,9.598154628,9.360467099,9.567098453,9.50866713,9.99902866,9.687836414,9.596292283,9.447264578,9.881051855,10.47997924
ENSG00000163131,CTSS,1.184015998,1.184015998,9.625559299,1.768401377,0.100207288,0.144532584,-5.577750118,10.21412413,9.036994468,10.16198195,9.662642021,10.59817582,10.4693399,10.35963876,10.03296635,8.41524011,10.30880719,10.23016629,10.55307182,8.830807749,5.883873646
ENSG00000109971,HSPA8,-0.233204578,0.233204578,9.604124202,-1.084630724,0.297600635,0.364557371,-6.474771651,9.490552388,9.717696015,9.620707665,9.507606783,9.082424661,9.111017758,10.09287292,9.528684539,9.561089675,10.01862839,9.443473853,9.726543091,9.300511141,10.25592994
ENSG00000059804,SLC2A3,3.235056875,3.235056875,9.600734414,4.231969856,0.000958985,0.003233346,-1.057912007,11.2145237,7.986945125,10.69604517,10.69836695,11.71129587,11.01695845,11.54799093,11.61648484,6.511223916,9.614318106,9.939301267,9.048157816,7.820397927,4.988271716
ENSG00000133639,BTG1,1.853081164,1.853081164,9.577954425,6.76238922,1.27E-05,0.000142108,3.353246917,10.50965608,8.646252772,10.24931554,9.735703105,10.84987561,10.66967242,11.1463205,10.4070493,8.528225887,9.145397394,9.039222465,8.788560271,8.601218801,7.774891811
ENSG00000067560,RHOA,-0.508378023,0.508378023,9.572385088,-3.549164158,0.003511831,0.008947197,-2.372559524,9.321416292,9.823353885,9.48709959,8.958187094,9.401890725,9.28656444,9.452300586,9.342455315,9.953602312,9.641692922,9.673389088,9.825902277,9.804163523,10.04137319
ENSG00000143761,ARF1,-0.995509991,0.995509991,9.568380049,-5.403903998,0.000116253,0.000665595,1.08497408,9.074380051,10.06238005,9.011274813,8.880140979,9.459849926,8.9378932,9.037104465,9.120016921,10.41608612,9.814267531,9.945107025,9.602156069,10.05422114,10.54244241
ENSG00000164111,ANXA5,0.009536971,0.009536971,9.566877329,0.04488947,0.964870983,0.972260491,-7.077269848,9.577192578,9.556562079,10.09000741,9.400320262,9.900395514,9.479278059,9.630525933,8.962628291,9.927543536,9.398603345,9.280026629,9.400896098,9.356210636,9.976092232
ENSG00000161016,RPL8,-0.647005493,0.647005493,9.505871084,-4.531144268,0.00055061,0.002117998,-0.504953687,9.184270134,9.827472036,8.917912453,9.164637972,9.3122504,9.261914541,9.258136552,9.190768883,9.903227607,9.66772596,9.614283571,9.688000317,9.93781713,10.15377763
ENSG00000164924,YWHAZ,-0.730559739,0.730559739,9.479779336,-4.036111103,0.001386073,0.004306133,-1.441418638,9.118797405,9.840761267,8.918374967,8.644515403,9.253190937,9.098578357,9.380432753,9.417692015,10.06662117,9.655467784,9.56384058,9.648741652,9.899831868,10.21006455
ENSG00000137154,RPS6,-0.275148092,0.275148092,9.473490339,-1.752515085,0.102990197,0.147920615,-5.60823059,9.33922168,9.607758998,8.922069746,9.204353837,9.553393622,9.274766083,9.571096732,9.509650059,9.622426478,9.595580917,9.413304157,9.495236335,9.597538147,9.922467952
ENSG00000206503,HLA-A,2.095013838,2.095013838,9.473209463,3.182242165,0.007131611,0.015903867,-3.077810025,10.5191847,8.427234229,10.36207172,9.909580573,10.68712486,10.63883159,11.12707419,10.39042525,8.365092696,9.361467304,9.412232319,9.833346385,8.413013376,5.178253293
ENSG00000122566,HNRNPA2B1,0.042876987,0.042876987,9.449185796,0.271716389,0.790065797,0.828587628,-7.043754452,9.472576277,9.425795315,9.193898822,9.261441207,9.568526469,9.592217071,9.546245774,9.673128321,9.645233601,9.459908702,9.556979596,9.641654193,9.169109424,9.081886374
ENSG00000103187,COTL1,-0.42412798,0.42412798,9.448682255,-2.087633159,0.056872884,0.08933764,-5.073745694,9.238341299,9.659023209,9.239401023,9.38592222,9.214016883,9.086570763,9.365574449,9.138562458,10.10263295,9.781655227,10.02498236,9.892615285,8.952891715,9.199361718
ENSG00000026508,CD44,2.951941519,2.951941519,9.436051609,5.705167089,6.96E-05,0.000454035,1.610173098,10.91594601,7.956157207,10.59392293,9.864229812,11.77671311,11.20388799,11.12968831,10.92723392,7.469321765,8.696609663,8.757242325,8.815019309,8.25917379,5.73957639
ENSG00000189067,LITAF,0.243725014,0.243725014,9.433309879,1.016956872,0.327548701,0.395933929,-6.55199349,9.560924321,9.305695436,9.244205391,8.847971786,9.605509725,9.567671935,10.12108359,9.979103499,9.812892762,9.119398564,9.617838156,8.926449518,8.967677178,9.389916439
ENSG00000245532,NEAT1,0.530517756,0.530517756,9.425655511,1.230114841,0.240240346,0.303780562,-6.319077311,9.69618814,9.155122881,9.198476085,9.023252113,10.0418398,9.415661679,10.18700152,10.31089764,9.447706721,9.384268667,9.86539859,10.34234512,8.287802711,7.603215479
ENSG00000087460,GNAS,0.310923483,0.310923483,9.415374484,2.198859103,0.046401784,0.075339025,-4.887375154,9.571365706,9.259383261,9.710771978,9.693519294,9.48077972,9.479826274,9.723971149,9.339325823,9.185029718,9.067774829,9.059529208,9.360944524,9.362385905,9.520635381
ENSG00000185650,ZFP36L1,0.380285395,0.380285395,9.411830706,1.248627387,0.233607679,0.296761288,-6.2977215,9.60203304,9.221628374,9.475517273,9.62734318,9.049577617,9.530979098,10.02680969,9.901971381,9.320748957,9.690569568,9.537271675,10.08009314,8.362831775,8.338255126
