"Enriquecido_En","ID","Description","enrichmentScore","p.adjust","setSize","core_enrichment"
"Femenino","GO:0002274","myeloid leukocyte activation",0.523468111429141,4.60098039215686e-09,225,"CTSG/THBS1/BPI/AZU1/CAMP/IL6/UBD/CD2/MMP8/CLEC4D/CXCL8/FCAR/CD177/RHOH/S100A12/LDLR/CLU/ZC3H12A/RAB44/FCER2/FES/LAT/CST7/CAMK4/KIT/ANXA3/APP/PLSCR1/IL18RAP/CD93/NR4A3/LRRK2/IL4R/CCL3/IL31RA/STAP1/PTGDR/SLC18A2/ITGAM/FPR2/BATF/SLAMF1/DNASE1/NECTIN2/CLEC12A/SUCNR1/PTPRC/PTPRE/CXCR2/DNASE1L3/PRAM1/CCL5/FOXP1/CD300LF/CD37/RAC2/FGR/PIK3CD/IL10/IL16/ITGB6/CSF1/IFNG/RELB/ADGRE2/PREX1/TLR1/IL33/LCP2/LILRA2/NR4A1/SLC11A1/TNF/CNR2/AGER/MYD88/DHRS2/DOCK2/LCN10/CD300A/SYK/PIK3CG/EDN2/NOTCH2/JMJD6/CBL/C5AR1/NAGLU/LAT2/PLCG2/TLR4/GRN/SYT11/ITGB8/TYROBP/FCER1G/BTK/ADAM9/TSPAN32/CD226/PYCARD/JUN/HMGB1/ITGB2/CD74/NMI/IL15/PLA2G4A/IL1RL1/CX3CL1/IRF4/SBNO2/SPHK1/TGFBR2"
"Femenino","GO:0030595","leukocyte chemotaxis",0.528549414543768,4.60098039215686e-09,204,"CTSG/DEFA1/DEFA4/THBS1/IL1B/AZU1/IL6/CCL21/CH25H/CXCL8/PDE4B/ITGA9/THBS4/CXCL12/S100A12/PPBP/S100A8/CCL4/TREM1/GPR183/EDN1/KLRC4-KLRK1/VEGFA/BST1/KIT/APP/PLA2G7/CCL3/JAM3/STAP1/DPP4/CXCR5/CXCL3/FPR2/SLAMF1/S1PR1/CCL24/S100A9/CXCR1/CXCL9/CCL22/DAPK2/FFAR2/KLRK1/ANO6/CXCR3/CXCR2/CCL5/CCR7/RAC2/ADAM8/GPSM3/CXADR/PIK3CD/IL10/CXCL16/CORO1A/SLAMF8/IL16/GPR18/CSF1/IL6R/JAML/IL17RA/ADGRE2/PREX1/PTPRJ/CCL13/CNR2/SLC12A2/CKLF/PTK2B/PADI2/SYK/PIK3CG/NBL1/VAV1/EDN2/CCR1/SAA1/TRPM2/C5AR1/PF4V1/SLC8B1"
"Femenino","GO:0050900","leukocyte migration",0.495432324543282,4.60098039215686e-09,345,"CTSG/DEFA1/DEFA4/THBS1/PRTN3/ELANE/IL1B/AZU1/IL6/CCL21/LCK/ZAP70/CH25H/CXCL8/SELP/PDE4B/CD34/ITGA9/ITGA2B/CD177/PDGFD/THBS4/ICAM1/CXCL12/S100A12/PPBP/TBX21/S100A8/KITLG/CD69/CCL4/EPX/TREM1/GPR183/ITGA2/EDN1/KLRC4-KLRK1/VEGFA/BST1/KIT/APP/FYN/PLA2G7/CCL3/VCAM1/JAM3/STAP1/DPP4/CXCR5/FUT4/CXCL3/FPR2/SLAMF1/S1PR1/SELL/CCL24/S100A9/CXCR1/CXCL9/CCL22/LYVE1/DAPK2/FFAR2/PODXL2/EXT1/CD200R1/KLRK1/ANO6/CXCR3/SPN/ITGA4/CXCR2/CCL20/SMPD3/CCL5/CCR7/RAC2/ADAM8/GPSM3/CXADR/PIK3CD/IL10/CXCL16/CORO1A/SLAMF8/IL16/GPR18/CSF1/IL6R/JAML/MIA3/FOXJ1/IL17RA/ADGRE2/PREX1/NLRP12/IL33/ITGA6/TNF/RET/PTPRJ/CCL13/CNR2/SLC12A2/CKLF/AGER/PTK2B/TNFRSF14/PADI2/MYD88/FUT7/IL27RA/F11R/CD300A/SYK/PIK3CG/NBL1/GCSAM/VAV1/MYO1G/EDN2/GP2/CCR1/SAA1/TRPM2/ABL1/APOD/C5AR1/PF4V1/SLC8B1/SPNS2/MSN/SELPLG/EMILIN1/NCKAP1L/ITGB7/DOCK8/FCER1G/RIPK3/CRTAM/PYCARD/LYST/CCN3/MYH9/HMGB1/ITGB2/PIP5K1C/ADTRP/DUSP1/CD74/CNN2/PECAM1/PTGER4/RTN4/ALOX5/CXCL11/VEGFC/CXCL5/PPIA/HCK/CHST2/ITGB1/CX3CL1"
"Masculino","GO:0140053","mitochondrial gene expression",-0.515530489292925,4.60098039215686e-09,169,"C1QBP/MTERF3/MRPS22/TFB2M/MTERF4/MRPL11/MTG2/MRPL4/MTPAP/MRPS25/MRPL37/MRPS34/SUPV3L1/TRMT5/MRPL3/MRPL28/MRPL2/MRPS18C/MRPL58/MRPL38/MRPL52/MRPL30/TRMT10C/MALSU1/MRPL17/MRPS33/MRPL44/MRPL19/MRPL48/MTRF1L/TRNT1/RARS2/MRPL35/MTRES1/TFAM/MRPS26/MRPL10/MRPS23/SLIRP/MRPL15/WARS2/MRPS14/SARS2/MRPL45/MRPS21/MRPL18/MRPL49/MRPL43/MRPL53/UQCC2/MRPL14/MRPL36/MRPL41/AURKAIP1/MRPS7/MRPS35/MTIF3/MPV17L2/MRPS28/KAT8/MTERF2/TRUB2/TRIT1/MRPL42/MRPS15/MRPS11/TSFM/MRPL50/MRPL39/FOXO3/MRPL21/TEFM/MRPS18B/MRPL34/MRPS2/MRPS16/ALKBH1/COA3/MRPL40/MRPL20/MRPL27/MRPL22/MRPL12/MRPL51/MRPS10/MRPL47/MRPL46/MRPL54/MRPL1/MRPS18A/MRPL57/NGRN/TACO1/GATC/CHCHD1/GADD45GIP1/MRPL9/MRPL13/CHCHD10"
"Femenino","GO:0002768","immune response-regulating cell surface receptor signaling pathway",0.49427591748085,4.60098039215686e-09,358,"TNFAIP3/SLA2/TRGC2/LTF/ITK/CD8B/HLA-DQB1/SKAP1/CD24/PDE4D/CD3E/LCK/CLEC4D/ZAP70/TRBC1/CD247/PDE4B/FCAR/NFKBIA/NFKBIZ/FCGR2C/CD8A/TRBC2/KIR2DL1/TRAC/CEACAM1/TESPA1/PRKCQ/ZC3H12A/FCRL3/PTPN22/CAV1/BMX/CD3D/FCER2/CLEC6A/IGHM/LAT/TRDC/KLRC1/FOSL2/KLRD1/IGHD/KLRC4-KLRK1/THEMIS/KIT/KLRC3/FCMR/TRGC1/PLSCR1/FYN/FCGR3B/CLEC4E/NR4A3/CR1/FPR1/NFATC2/STAP1/MNDA/CLEC12B/ITGAM/FPR2/CD14/BPIFB1/CD38/CD79A/FCGR2A/UBASH3A/TNFRSF21/PLCG1/NECTIN2/FFAR2/CARD11/FCGR1A/CD200R1/NCR3/KLRK1/CD19/KLHL6/FCN1/LILRB2/PTPRC/TEC/KLRC4/PVRIG/CR2/BANK1/PRAM1/FOXP1/CD72/CCR7/FGR/CYLD/PIK3CD/BTNL8/NFAM1/TRAT1/IFNG/HLA-G/RAB29/CTLA4/PRKCB/TLR1/CD22/LCP2/LILRA2/BTN3A1/RFTN1/PTPRJ/VTCN1/MICB/MYD88/CD79B/CD28/CACNB4/LAPTM5/TNIP3/CD300A/SYK/FYB1/ICOSLG/BTN3A2/GCSAM/BLK/VAV1/TLR5/MYO1G/ABL1/IRAK2/C5AR1/SH2D1A/NAGLU/LAT2/PLCG2/TLR4/GBP1/BTLA/THEMIS2/MS4A1/NCKAP1L/HHLA2/BTN2A3P/PRNP/FCGR1BP/LIME1/LPXN/TYROBP/MAP3K1/FCER1G/BTK/TLR2/CD226/CD53/HLA-DRB1/CD160/CYBA/HLA-A/HLA-DPB1/BTNL3/HMGB1/MEF2C/BLVRA/TICAM2/VAV2/FCHO1/BTN3A3/NFKBID/INPP5D/OAS1/NMI/ITPRIPL1"
"Femenino","GO:0071621","granulocyte chemotaxis",0.583660752345057,4.60098039215686e-09,102,"THBS1/IL1B/CCL21/CXCL8/PDE4B/ITGA9/THBS4/S100A12/PPBP/S100A8/CCL4/TREM1/EDN1/VEGFA/BST1/CCL3/JAM3/DPP4/CXCL3/SLAMF1/CCL24/S100A9/CXCR1/CXCL9/CCL22/DAPK2/CXCR2/CCL5/CCR7/RAC2/CXADR/PIK3CD/CSF1/JAML/IL17RA/ADGRE2/PREX1/PTPRJ/CCL13/CKLF/SYK/PIK3CG/VAV1/EDN2/SAA1/C5AR1/PF4V1/NCKAP1L/FCER1G/ITGB2/PIP5K1C/CD74/CXCL5/PPIA/CX3CL1/CD300H"
"Femenino","GO:0050851","antigen receptor-mediated signaling pathway",0.524052829168394,4.60098039215686e-09,206,"SLA2/TRGC2/ITK/CD8B/HLA-DQB1/SKAP1/PDE4D/CD3E/LCK/ZAP70/TRBC1/CD247/PDE4B/NFKBIA/NFKBIZ/CD8A/TRBC2/TRAC/CEACAM1/TESPA1/ZC3H12A/FCRL3/PTPN22/BMX/CD3D/IGHM/LAT/TRDC/FOSL2/IGHD/THEMIS/FCMR/TRGC1/FYN/NFATC2/STAP1/MNDA/CD38/CD79A/UBASH3A/TNFRSF21/PLCG1/NECTIN2/CARD11/CD19/KLHL6/PTPRC/TEC/PVRIG/BANK1/PRAM1/FOXP1/CD72/CCR7/CYLD/PIK3CD/BTNL8/NFAM1/TRAT1/RAB29/CTLA4/PRKCB/CD22/LCP2/BTN3A1/RFTN1/PTPRJ/VTCN1/CD79B/CD28/CACNB4/LAPTM5/CD300A/SYK/FYB1/ICOSLG/BTN3A2/GCSAM/BLK/ABL1/SH2D1A/LAT2/PLCG2/GBP1/THEMIS2/MS4A1/NCKAP1L/HHLA2/BTN2A3P/PRNP/LIME1/LPXN/BTK/CD226/CD53/HLA-DRB1/CD160/HLA-A/HLA-DPB1/BTNL3"
"Femenino","GO:0006959","humoral immune response",0.522607773676163,4.60098039215686e-09,206,"CTSG/DEFA1/DEFA4/PRTN3/ELANE/BPI/GNLY/IL1B/AZU1/CAMP/IL6/LTF/DEFA3/HLA-DQB1/CCL21/RNASE3/CXCL8/PGLYRP1/SLPI/CCL3L3/CXCL2/CXCL12/S100A12/PPBP/CLU/CCL18/SPON2/FCER2/IGHM/CD55/CCL4/TREM1/GPR183/IGHD/BST1/FCMR/APP/C1RL/CR1/CCL3/CFH/LYZ/CXCL3/CCL24/S100A9/CD83/CXCL9/TNFRSF21/CFHR2/CCL22/RNASE4/FCN1/IFNB1/PTPRC/CR2/CCL20/CCL5/BCL3/CD37/CCR7/RNASE6/MMP7/TOR2A/GZMK/HLA-E/IFNG/ANG/FOXJ1/SLC11A1/TNF/CCL13/CD28/CFP/NOTCH2/C1R/SH2D1A/PF4V1/SPNS2/GAPDH/SERPING1/MS4A1/PSMB10/B2M/NOTCH1/SUSD4/CFI/HLA-DRB1/HLA-A/IGKV3-20/MEF2C/POU2AF1/C4BPB/ALOX5/CXCL11/GPI/C2/CXCL5"
"Femenino","GO:0097530","granulocyte migration",0.560137387182908,4.60098039215686e-09,126,"THBS1/PRTN3/IL1B/CCL21/CXCL8/PDE4B/ITGA9/CD177/THBS4/S100A12/PPBP/S100A8/CCL4/EPX/TREM1/EDN1/VEGFA/BST1/CCL3/JAM3/DPP4/FUT4/CXCL3/SLAMF1/CCL24/S100A9/CXCR1/CXCL9/CCL22/DAPK2/CXCR2/CCL5/CCR7/RAC2/ADAM8/CXADR/PIK3CD/SLAMF8/CSF1/JAML/IL17RA/ADGRE2/PREX1/PTPRJ/CCL13/CKLF/MYD88/FUT7/CD300A/SYK/PIK3CG/VAV1/EDN2/GP2/SAA1/C5AR1/PF4V1/NCKAP1L/FCER1G/ITGB2/PIP5K1C/CD74/PECAM1/PTGER4/RTN4/CXCL5/PPIA/CX3CL1/CD300H"
"Femenino","GO:0002429","immune response-activating cell surface receptor signaling pathway",0.491898010669444,4.60098039215686e-09,326,"TNFAIP3/SLA2/TRGC2/LTF/ITK/CD8B/HLA-DQB1/SKAP1/PDE4D/CD3E/LCK/ZAP70/TRBC1/CD247/PDE4B/NFKBIA/NFKBIZ/CD8A/TRBC2/TRAC/CEACAM1/TESPA1/ZC3H12A/FCRL3/PTPN22/CAV1/BMX/CD3D/FCER2/CLEC6A/IGHM/LAT/TRDC/KLRC1/FOSL2/KLRD1/IGHD/KLRC4-KLRK1/THEMIS/KLRC3/FCMR/TRGC1/PLSCR1/FYN/NR4A3/CR1/FPR1/NFATC2/STAP1/MNDA/ITGAM/FPR2/CD14/BPIFB1/CD38/CD79A/UBASH3A/TNFRSF21/PLCG1/NECTIN2/FFAR2/CARD11/NCR3/KLRK1/CD19/KLHL6/FCN1/PTPRC/TEC/KLRC4/PVRIG/CR2/BANK1/PRAM1/FOXP1/CD72/CCR7/FGR/CYLD/PIK3CD/BTNL8/NFAM1/TRAT1/IFNG/RAB29/CTLA4/PRKCB/TLR1/CD22/LCP2/LILRA2/BTN3A1/RFTN1/PTPRJ/VTCN1/MICB/MYD88/CD79B/CD28/CACNB4/LAPTM5/TNIP3/CD300A/SYK/FYB1/ICOSLG/BTN3A2/GCSAM/BLK/VAV1/TLR5/MYO1G/ABL1/IRAK2/C5AR1/SH2D1A/NAGLU/LAT2/PLCG2/TLR4/GBP1/THEMIS2/MS4A1/NCKAP1L/HHLA2/BTN2A3P/PRNP/LIME1/LPXN/TYROBP/FCER1G/BTK/TLR2/CD226/CD53/HLA-DRB1/CD160/CYBA/HLA-A/HLA-DPB1/BTNL3/HMGB1/MEF2C/BLVRA/TICAM2/VAV2/FCHO1/BTN3A3/NFKBID/INPP5D/OAS1/NMI/ITPRIPL1"
