"Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EGLN3-AS1",5.0970962197827,17.9538337008235,2.70880433717667,6.6279551662031,3.40368806129306e-11,3.49745966738168e-07
"GUSBP3",3.34952037300006,17.6018639771621,3.22412438522411,5.45942459845219,4.77680146435472e-08,4.00685905689607e-05
"ENSG00000290756",2.76699509073918,17.5001235687062,3.22428440358721,5.42759923697682,5.71171108998447e-08,4.69525498441083e-05
"HMGN2P3",1.95109915178431,17.4347537901014,3.2239661819867,5.40785876958473,6.37826873173209e-08,5.14038434140495e-05
"ENSG00000272741",1.89320716734786,17.1457206140121,3.22470827962686,5.31698346865538,1.05501649373402e-07,8.33909383181837e-05
"DAZ4",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"ELDR",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"ENSG00000259871",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"ENSG00000269271",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"ENSG00000270696",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"ENSG00000270909",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"ENSG00000282855",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"ENSG00000285701",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"ENSG00000285766",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"ENSG00000287031",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"LHCGR",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"PARD3-DT",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"SMARCE1P3",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"SNORD55",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"TAS2R3",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"WFDC5",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"ZIM2",0.310970311424152,-18.4749801331928,3.22910682344815,-5.72139019961705,1.05655930313966e-08,9.04722926617632e-06
"ENSG00000250378",0.41462708189887,-19.013249675907,3.22769161364781,-5.89066489360766,3.84644845698797e-09,5.09989433803612e-06
"FKBP4P2",0.41462708189887,-19.013249675907,3.22769161364781,-5.89066489360766,3.84644845698797e-09,5.09989433803612e-06
"GPR32P1",0.41462708189887,-19.013249675907,3.22769161364781,-5.89066489360766,3.84644845698797e-09,5.09989433803612e-06
"NOLC1P1",0.41462708189887,-19.013249675907,3.22769161364781,-5.89066489360766,3.84644845698797e-09,5.09989433803612e-06
"PABPC3",0.41462708189887,-19.013249675907,3.22769161364781,-5.89066489360766,3.84644845698797e-09,5.09989433803612e-06
"PAX4",0.41462708189887,-19.013249675907,3.22769161364781,-5.89066489360766,3.84644845698797e-09,5.09989433803612e-06
"PRAMEF15",0.41462708189887,-19.013249675907,3.22769161364781,-5.89066489360766,3.84644845698797e-09,5.09989433803612e-06
"SNORA27",0.41462708189887,-19.013249675907,3.22769161364781,-5.89066489360766,3.84644845698797e-09,5.09989433803612e-06
"ZNF705CP",0.41462708189887,-19.013249675907,3.22769161364781,-5.89066489360766,3.84644845698797e-09,5.09989433803612e-06
"CADM3-AS1",0.518283852373587,-19.2983945368748,3.22683312570722,-5.98059886739422,2.22318738732064e-09,4.15352036334787e-06
"ENSG00000257884",0.518283852373587,-19.2983945368748,3.22683312570722,-5.98059886739422,2.22318738732064e-09,4.15352036334787e-06
"ENSG00000287590",0.518283852373587,-19.2983945368748,3.22683312570722,-5.98059886739422,2.22318738732064e-09,4.15352036334787e-06
"ENSG00000288582",0.518283852373587,-19.2983945368748,3.22683312570722,-5.98059886739422,2.22318738732064e-09,4.15352036334787e-06
"MRGPRF",0.518283852373587,-19.2983945368748,3.22683312570722,-5.98059886739422,2.22318738732064e-09,4.15352036334787e-06
"SCN10A",0.518283852373587,-19.2983945368748,3.22683312570722,-5.98059886739422,2.22318738732064e-09,4.15352036334787e-06
"ENSG00000237813",0.621940622848305,-19.478602794317,3.22625953378704,-6.03751886366459,1.56501872387302e-09,4.02033747428929e-06
"ENSG00000277577",0.621940622848305,-19.478602794317,3.22625953378704,-6.03751886366459,1.56501872387302e-09,4.02033747428929e-06
"ENSG00000288841",0.621940622848305,-19.478602794317,3.22625953378704,-6.03751886366459,1.56501872387302e-09,4.02033747428929e-06
"FAM162B",0.621940622848305,-19.478602794317,3.22625953378704,-6.03751886366459,1.56501872387302e-09,4.02033747428929e-06
"H3P47",0.621940622848305,-19.478602794317,3.22625953378704,-6.03751886366459,1.56501872387302e-09,4.02033747428929e-06
"ANKRD33BP5",0.725597393323022,-19.4957927880244,3.22584855456304,-6.04361688351646,1.50697111850568e-09,4.02033747428929e-06
"HSD17B3",0.725597393323022,-19.4957927880244,3.22584855456304,-6.04361688351646,1.50697111850568e-09,4.02033747428929e-06
"NEK2P2",0.82925416379774,-19.7256163884692,3.22553972020238,-6.11544674676384,9.62868336448563e-10,4.02033747428929e-06
"ENSG00000258417",0.932910934272457,-19.7399922144209,3.22529993388866,-6.12035860820574,9.33649969946748e-10,4.02033747428929e-06
"ENSG00000258638",1.03656770474717,-19.8429236860163,3.22510634429657,-6.15264167059405,7.62028476870594e-10,4.02033747428929e-06
"RIMBP3C",1.24388124569661,-20.1993874501477,3.22481677475917,-6.26373182137027,3.75871680066106e-10,2.57484629901285e-06
"FRG1CP",1.34753801617133,-20.3031958122537,3.22470528723196,-6.29613995816706,3.05148875738634e-10,2.50844581812187e-06
"RPL23AP82",3.42067342566568,-21.4123860459342,3.01433896869955,-7.1035096809872,1.21627824129818e-12,2.4995734136919e-08
"ENSG00000291313",14.0958658024124,-21.6734058374448,3.22408040489446,-6.72235276903841,1.78813386789028e-11,2.44986260793421e-07
"ENSG00000288550",7.29072895061467,-22.7975034546803,3.19696092916593,-7.13099220159318,9.96479658821303e-13,2.4995734136919e-08
