"Celulas","Enriquecido_En","ID","Description","enrichmentScore","pvalue","p.adjust","qvalue","setSize","core_enrichment"
"Hofbauer (HBC)","Masculino","GO:0070372","regulation of ERK1 and ERK2 cascade",-0.293226206734896,0.00261602717663863,0.0220698405802994,0.0170233942552698,252,"FGF18/CCR7/ITGB3/RAP1A/DUSP3/MAP3K12/EPHB2/NOD1/GPER1/APIP/NECAB2/FGFR3/SYK/VEGFB/CCL19/C5AR1/ALOX15/JUN/MFHAS1/DUSP1/IAPP/PTPN6/SLC30A10/SERPINF2/CCL3/ICAM1/HAVCR2/PYCARD/RIPK2/SIRPA/CD74/NDRG2/CALCR/P2RY1/DUSP10/NRP1/ZDHHC17/ADRA1A/BTN2A2/CSF1R/CD4/LGALS9/SCIMP/HLA-DRB1/CEACAM1/MIR27A/EMILIN1/DAB2/MARCO/PDGFC/FFAR4/TNFAIP8L3/CD36/FGG/PDGFRA/GPR183/TNF/TNFRSF11A/CARD9/TREM2/SPRED1/CHI3L1/GPNMB/APOE"
"Hofbauer (HBC)","Femenino","GO:0110020","regulation of actomyosin structure organization",0.430122583870019,0.00262681903614147,0.0220860978826548,0.0170359341948546,97,"ASAP3/FHOD3/CGNL1/TACSTD2/SFRP1/CCN2/TPM1/TJP1/ARHGEF15/EDN1/RAPGEF3/FERMT2/ARHGAP28/MET/TACR1/AMOT/PHLDB2/SYNPO/RHPN2/SYNPO2L/PFN2"
"Hofbauer (HBC)","Masculino","GO:0007041","lysosomal transport",-0.335882390983143,0.00262720494185297,0.0220860978826548,0.0170359341948546,130,"VPS35/PCDHGA3/SCYL2/TRAK1/UEVLD/ADRB2/DTX3L/TMEM106B/C9orf72/LYST/MTM1/CCDC91/RILP/RAB7A/TRAK2/CHMP1B/ATG14/PLEKHF2/VAMP7/VPS18/SCARB2/SORT1/VPS41/VPS11/ZFYVE16/LAMP1/ARL8B/GRN/ARSB/LAPTM5/LYSET/LRP1/M6PR/NAGPA/PSAP/SORL1/LAMP2/HSPA1A/SLC17A9/MFSD1/RAB7B/LIPA"
"Hofbauer (HBC)","Masculino","GO:1901264","carbohydrate derivative transport",-0.398159767128106,0.00266620957673522,0.0223158068453859,0.0172131183581164,83,"SLC35D1/CALHM2/SLC25A19/PANX1/SLC28A3/SLC35A1/CALHM6/PSAP/SLC46A2/SLC15A3/SLC25A24/NPC2/ABCG1/PLTP/SLC17A9/ABCC3/SLC37A2/ABCC5"
"Hofbauer (HBC)","Masculino","GO:0032760","positive regulation of tumor necrosis factor production",-0.366179983444222,0.00266854988664196,0.0223158068453859,0.0172131183581164,107,"TYROBP/IFNGR1/EPHB2/NOD1/ADAM10/TWIST1/TMEM106A/SYK/CCL19/CYBB/CLEC7A/FCGR1A/WNT5A/CCL3/HAVCR2/PYCARD/RIPK2/FCGR3A/IFIH1/FCGR2A/FCGR1BP/LGALS9/BTK/CD36/LY96/FCGR2B/TLR1/IL23A/CARD9/LPL"
"Hofbauer (HBC)","Masculino","GO:0007259","cell surface receptor signaling pathway via JAK-STAT",-0.350185420892186,0.00266225592641694,0.0223158068453859,0.0172131183581164,118,"IFNGR1/SOCS3/IFNAR1/SOCS2/EPHB2/CSHL1/STAT5A/FGFR3/IL7R/TSLP/OSM/IL10RA/GADD45A/PRL/IFNB1/CSF1R/IL18/CLCF1/IL10/CSF2/CD40/TNF/LOXL3/IL23A/CYP1B1"
"Hofbauer (HBC)","Femenino","GO:0045217","cell-cell junction maintenance",0.622372077730673,0.00269100996948195,0.0224642877697138,0.0173276479264213,21,"CLDN3/CNTNAP1/PRTN3/TJP1/FERMT2/F2R/F2RL1/PLEKHA7/NLGN2/INAVA"
"Hofbauer (HBC)","Masculino","GO:0097242","amyloid-beta clearance",-0.497381883722551,0.00270509412085046,0.0225424510070872,0.0173879385117218,38,"TYROBP/IFNGR1/SYK/C5AR1/ITGAM/LRP1/ITGB2/C3/MARCO/CD36/TNF/TREM2/MSR1/APOE"
"Hofbauer (HBC)","Femenino","GO:0042476","odontogenesis",0.417196215733846,0.00275960761587952,0.0229566661425518,0.0177074400292728,99,"FST/BMP7/CD34/FOXI3/LAMB1/SERPINE1/APCDD1/MSX2/TP63/LAMA5/SP6/FGFR1/GLI3/EDN1/BMP4/TNC/SMPD3/PERP/TGFB2/INHBA/FGFR2/SLC24A4/OSR2/JAG2/BMPR1A/AQP3/ID3/FOXC1/ODAPH/NGFR/HDAC1/ITGB6/PHEX/BMP2/CTNNA1/LRP4/WLS/HACD1/BSG/TUFT1/DLX2/DLX3/TFAP2A/FPR2/GLI2/SMO/ANKRD11"
"Hofbauer (HBC)","Masculino","GO:0006826","iron ion transport",-0.462756383287616,0.00276950112372785,0.0229989006361748,0.0177400172666797,50,"B2M/FLVCR2/STEAP4/HEPH/HFE/MMGT1/STEAP3/MCOLN1/SLC39A8/SLC46A1/CYBRD1/TFRC/FTL/HAMP/ABCC5"
"Hofbauer (HBC)","Femenino","GO:0001990","regulation of systemic arterial blood pressure by hormone",0.540780159387825,0.00278376679134782,0.0230772333831351,0.0178004386018385,37,"AGTR1/GJA5/ACE2/EDN1/CTSG/F2R/F2RL1/TACR1/CMA1/AVPR1A/EDN2/ENPEP/ANPEP/MME/EDNRB/NOS3/PCSK5/ECE1"
"Hofbauer (HBC)","Femenino","GO:0035988","chondrocyte proliferation",0.618661638308088,0.00279688956361285,0.0231458365099677,0.017853355072665,22,"CCN2/STC1/HMGA2/ERRFI1/SOX9/NPR2/EXT1/BMPR1B"
