"GENENAME","log2FoldChange","padj","baseMean","lfcSE","stat","pvalue","GENEID"
"ENSG00000269711",9.74177239328177,0.00963031069987064,57.1322783430673,2.10209326838102,4.63431977058974,3.58113073506023e-06,"ENSG00000269711"
"RPS27P4",9.35255990642791,0.0213512902442179,43.6231681929825,2.16452295609237,4.32084117200223,1.55435527751574e-05,"ENSG00000234287"
"ENSG00000256148",7.34570157822222,0.000571690372888672,280.835210742572,1.38724743928506,5.29516319165668,1.18910170638796e-07,"ENSG00000256148"
"ATP1A3",6.61535652116302,0.00963031069987064,71.4926461520097,1.43467076552308,4.61106246822493,4.00616117721206e-06,"ENSG00000105409"
"MTCO1P40",6.49890879838927,0.000571690372888672,859.75230921769,1.22122543984878,5.32162906727034,1.0284210611551e-07,"ENSG00000262902"
"MTND1P23",5.19164746437545,0.011189157971002,1285.28549007278,1.14532909744616,4.53288707669414,5.81829232541316e-06,"ENSG00000225972"
"EIF1AY",-6.17747184620737,0.00387506372461829,319.936616556544,1.27261502202091,-4.85415600108001,1.20900537401642e-06,"ENSG00000198692"
"EEF1A1P13",-6.75541524823019,0.00265031111910279,5437.60708362414,1.36076671053287,-4.96441836498541,6.89072622095259e-07,"ENSG00000250182"
"XGY2",-6.8355925334004,0.011189157971002,301.034786586461,1.50347618810576,-4.54652530414374,5.45388155794743e-06,"ENSG00000290840"
"UTY",-7.0075612899683,0.0204330852907209,120.186087142371,1.61211244520914,-4.34681917554405,1.38125999053285e-05,"ENSG00000183878"
"DDX3Y",-7.22653658563292,0.000150495434706216,975.077447766453,1.27806795409731,-5.65426631852058,1.56513373933977e-08,"ENSG00000067048"
"HMGB1P6",-10.2287130917499,0.0279169839764243,124.265631332678,2.40909885147573,-4.24586690806986,2.17749862017765e-05,"ENSG00000259781"
"RPS27P19",-10.6938280240976,0.0127921295126655,171.499038675684,2.38475172623564,-4.48425213679492,7.31701027712136e-06,"ENSG00000234268"
"ENSG00000290731",-10.8385753439507,0.0164678522616021,189.497085640448,2.45700997466948,-4.4112866678161,1.02758165014417e-05,"ENSG00000290731"
"RPS4Y1",-11.0072574986054,0.000140527948412951,1234.67442992834,1.90315034962203,-5.78370358431824,7.30736562908593e-09,"ENSG00000129824"
