"Enriquecido_En","ID","Description","enrichmentScore","p.adjust","setSize","core_enrichment"
"Masculino","GO:0002429","immune response-activating cell surface receptor signaling pathway",-0.323105986981522,0.000449606145208708,332,"PRKCD/CHUK/ACOD1/TLR4/APPL1/PRAM1/IGHG2/CCR7/RAP1A/TYROBP/NFKBIZ/NFAM1/DUSP3/PJA2/CD300A/DENND1B/GCSAML/BLNK/SYK/PAK1/SPG21/BLVRA/FYB1/HHLA2/C5AR1/ITGAM/LIMK1/NFKBID/MFHAS1/CR2/CLEC7A/SLC39A10/BTNL10P/PTPN6/NCK1/CD22/MEF2C/TNFRSF21/BTNL8/PAK3/LILRB4/PELI1/LAPTM5/ERMAP/TNFAIP3/THEMIS2/RIPK2/NFKBIA/HLA-DPB1/KLRC4/BTN2A2/NR4A3/TEC/SCIMP/C3AR1/HLA-DRB1/CEACAM1/C3/NCKAP1L/BTK/CD81/KLHL6/LY96/MNDA/CD72/FCGR2B/TLR1/RAB7B/NR1H3/TREM2/FPR3/CMKLR1/TLR6/LIPA/TLR5"
"Masculino","GO:0030522","intracellular receptor signaling pathway",-0.298881380970286,0.000449606145208708,410,"NEK7/UBE3A/ZC3HAV1/IFI16/GPRIN3/DHRS3/ERBIN/RTN4/PIM1/GRAMD4/PPARA/VPS18/PAQR3/NOD1/GPER1/YWHAH/KCNK13/TWIST1/DHX58/SIRT1/NR4A2/ALPK1/VPS11/PEPD/PAK1/KCNK6/ALOX15/CARD8/RNF135/TRERF1/PTPN6/PIAS2/PELI1/THRA/BIRC3/AHRR/TNFAIP3/ABHD2/UNC93B1/HAVCR2/PYCARD/RIPK2/CREBRF/HSPA1B/SLC46A2/CYP27B1/PPT1/NFKBIA/CYP7B1/IFIH1/WASHC4/SLC15A3/PPARGC1B/NR4A3/LAMP2/TASL/SCIMP/ESR1/BTK/DNAAF4/TLR8/DAB2/TCF21/HSPA1A/FABP5/CD36/LACC1/TNF/PADI2/RAB7B/P2RX7/IRF5/NR1H3/TREM2/TLR7/TLR6/ALOX15B/KDM5D"
"Masculino","GO:0090077","foam cell differentiation",-0.66564553747345,0.000462770328836234,32,"ITGB3/PPARA/ABCA5/SOAT2/CSF1/WNT5A/ABCA1/NFKBIA/SOAT1/IL18/ABCG1/CSF2/CD36/TNF/NR1H3/LPL/ALOX15B/MSR1"
"Femenino","GO:0043010","camera-type eye development",0.381876853543859,0.000462938404755575,297,"CLDN3/COL8A1/FAT1/GRHL3/VAX2/BMP7/CDKN1C/EFEMP1/ACVRL1/FLT1/KDR/SHROOM2/TSPAN12/CLDN19/ADAMTS9/COL4A1/RHOJ/PROM1/SLC1A1/FBN1/TENM3/ARHGEF15/LRP5/GLI3/NFIB/EPHA2/SIX5/PAX2/BMP4/ALDH1A3/SLC17A8/BCAR3/EGFR/FGF2/GRHL2/RAB11FIP4/SOX9/LARGE1/FZD4/CRYAB/PPP1R13L/BFSP1/SMARCD3/TGFB2/WNT7A/TWSG1/GATA3/THRB/TSKU/INHBA/UNC45B/RP1L1/MYH10/LAMB2/OSR2/FBN2/PYGO2/NTRK3/TUB/CITED2/MEIS1/RP1/SRF/BMPR1B/NPHP1/WNT7B/NES/LHX2/FOXC1/THY1/SDK1/SLC4A5/RDH13/FJX1/NECTIN3/RRM1/TULP3/VSTM4/FKBP8/RS1/TH/FOXC2/FOXP2/NHS/HDAC1/PER2/HES1/CALB1/C12orf57"
"Femenino","GO:0003382","epithelial cell morphogenesis",0.645467299934212,0.000515305452001673,37,"CLDN3/FAT1/CDH5/NOTCH4/AMOTL2/COL18A1/STC1/PKHD1/GRHL2/MET/FRMD6/MAGI1/FLNB/DACT2/ID1"
"Femenino","GO:0001704","formation of primary germ layer",0.472776619707556,0.000518203934926877,116,"COL8A1/BMP7/DKK1/LAMB1/GJA1/COL4A2/FN1/ATOH8/FGFR1/ITGB4/MMP15/ITGA3/ITGA2/COL12A1/EPHA2/LAMA3/PAX2/BMP4/HMGA2/HNF1B/COL7A1/ELF5/TWSG1/INHBA/FGFR2/SOX17/POU5F1/COL11A1/NR0B1/SRF/GATA6/ITGA5/BMPR1A/NOG/FOXF1/FOXC1/SMAD1/DUSP4/TBX6/LAMB3/APELA/POFUT2/FOXC2/COL5A1"
"Masculino","GO:0032943","mononuclear cell proliferation",-0.329722207950669,0.00052365972659238,295,"EPHB2/HLA-DPA1/CD300A/STAT5A/ATM/AIF1/IL7R/SYK/CCL19/HHLA2/LRRC32/GAL/CSF1/BCL6/CD80/CR2/SLC39A10/PTPN6/NCK1/CD86/CD22/VCAM1/MEF2C/TGFBR2/TNFRSF14/TNFRSF21/LILRB4/PELI1/LAPTM5/GAPT/HAVCR2/PYCARD/RIPK2/FCGR3A/CD74/CD40LG/IFNB1/HSPD1/HLA-DPB1/IL27/BTN2A2/CD4/IL18/LGALS9/CLCF1/HLA-DRB1/HLA-DMB/NCKAP1L/BTK/TNFSF13/IL10/CD81/IL4I1/CD40/CD180/MNDA/FCGR2B/GPR183/TFRC/P2RX7/IL23A/LIPA/TNFSF9/GPNMB/VSIG4"
"Femenino","GO:0048839","inner ear development",0.431485553302542,0.000530914610354012,169,"LGR5/GRHL3/SLC44A4/ATP6V1B1/MYCN/PLS1/SPARC/FGFR1/GLI3/PAX8/DLX6/C1QTNF5/PAX2/MYCL/BMP4/ALDH1A3/SLC17A8/MYO6/DLX5/NTN1/FGF2/ANKRD24/ESRP1/BCR/SOX9/BMPER/FREM2/TGFB2/CTHRC1/GATA3/TSKU/MCM2/FGFR2/STOX1/COL11A1/DVL1/NTRK3/GATA2/CCNA2/JAG2/CECR2/TECTA/GJB6"
"Femenino","GO:0072028","nephron morphogenesis",0.553389810000389,0.000550404468455571,65,"TACSTD2/BMP7/IRX2/IRX3/LAMA5/NPNT/GLI3/GREB1L/PAX8/KIF26B/HOXB7/PAX2/BMP4/FGF2/HOXD11/HNF1B/SOX9/MAGED1/PBX1/GATA3/SALL1/GDNF/LGR4/NOG/FOXD1"
"Masculino","GO:0010876","lipid localization",-0.300410672782715,0.000552683389061826,388,"UCP2/ATP9B/ABCD2/ITGB3/TMEM30A/TMEM135/CFHR4/ABCD3/PRELID3B/STARD3/PPARA/SLC25A20/CHKA/APOBR/SCARB2/ABCA5/SYK/SCP2/SIRT1/ATP11C/VPS13A/RBP1/CERT1/STARD5/CLN8/RBP4/SOAT2/ETNPPL/ARL8B/ANO7/DBI/GAL/NUS1/ABCG2/GDF9/LRAT/OSBPL1A/PROCA1/HILPDA/LRP1/FABP5P3/SERINC5/SLC22A1/ATP8B4/PSAP/ABCA1/PITPNM3/C2CD2L/NFKBIA/ABCG8/FABP3/PTGS2/SOAT1/CRH/ABCC11/CEACAM1/MIR27A/C3/NPC2/DAB2/ABCG1/ATP10D/TNFAIP8L3/PLA2G4A/FABP5/ABCB4/CD36/PLTP/APOC2/APOC4/ABCC3/TNF/EEPD1/TNFRSF11A/P2RX7/NR1H3/TREM2/SPP1/LPL/LIPA/FABP4/APOC1/MSR1/SLCO2B1/APOE"
