"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PSG4",1841.319849649,-3.2210158470091,0.428319747193144,-7.52011988267408,5.4726038309056e-14,1.13195337638452e-09
"LGALS9DP",9.33529856908015,-22.2514102439772,3.27401101817366,-6.79637610272604,1.07283484481597e-11,1.10952579650868e-07
"SPDYE11",8.79672365163322,-22.1672806792412,3.31796102033596,-6.68099490722668,2.37325476333228e-11,1.6362800508255e-07
"PAEP",755.442173121913,4.70778055797665,0.79102847297917,5.95146789122042,2.65748162123328e-09,1.34616381464803e-05
"PSG9",634.097909981851,-3.6530102400282,0.62039818021997,-5.88817046293234,3.90494241340561e-09,1.34616381464803e-05
"RPL23AP82",5.92432409191625,-21.6330958796487,3.65668159750531,-5.91604581990605,3.29773378568622e-09,1.34616381464803e-05
"MIR5047",5.56527414695163,-21.5545008329848,3.71811942224209,-5.79715129751994,6.74508353377537e-09,1.99307582589443e-05
"UBD",151.33809204797,9.55241210546333,1.67883125507419,5.68991795726437,1.27100423989709e-08,3.28618146225394e-05
"RIMBP3",5.0266992295047,-21.419700962155,3.82307881522473,-5.60273590930295,2.10994575466183e-08,4.84912422104726e-05
"EGLN3-AS1",9.22095014675791,17.5913510905409,3.19614218386118,5.50393257827135,3.71411634940359e-08,7.68227825710639e-05
"PKD1P5",64.3855171060252,21.7133908471377,4.26579853916301,5.09011165149821,3.57852744506177e-07,0.000672893287942342
"NDUFC2-KCTD14",3.05192453219928,-20.7368930438305,4.20282946177963,-4.93403152148119,8.05494315787111e-07,0.00138840370231172
"PA2G4P1",2.69287458723466,-20.5734921736357,4.20337185148898,-4.89452108938396,9.85454092513994e-07,0.00156793326535073
"GUSBP3",6.05948152501234,17.2881506753021,3.55333181887243,4.86533528433269,1.14262937854997e-06,0.00168815329042339
"FRG1CP",2.33382464227004,-20.3762991561206,4.20408094578234,-4.84679039697433,1.25474870775288e-06,0.00173021481807738
"RIMBP3C",2.15429966978773,-20.2691885286037,4.20452365508171,-4.82080496897806,1.42980091597693e-06,0.00184837513412918
"CNEP1R1P1",5.79602580653355,17.2517015970318,3.5967842109655,4.7964238567431,1.61523315547745e-06,0.00189874193274682
"PCDHGA3",1.97477469730542,-20.1500272265891,4.20504650152862,-4.79186787096509,1.65235712577078e-06,0.00189874193274682
"LZTS1",59.2574246183848,2.92301760195752,0.625604840687856,4.67230656134892,2.97835973272992e-06,0.00311578773067019
"MTND4LP30",323.709757532101,4.40100323196956,0.942409359065183,4.6699485628359,3.01275162509204e-06,0.00311578773067019
"PKD1P2",76.6041989372919,3.50126449749781,0.754190672865395,4.64241288505394,3.44363846070242e-06,0.00339181990100804
"DHX40P1",5.00565865109715,17.1509970698309,3.74834433947844,4.57561939792792,4.74813073967889e-06,0.00446410619179628
"NPM1P27",4.74220293261836,17.1121744998561,3.80738737887427,4.49446636158038,6.97446269609061e-06,0.00627216462634513
"DNAAF4-CCPG1",4.47874721413956,17.0712919739386,3.87199634770188,4.4089122098658,1.03891125383952e-05,0.0089536834893403
"MMP9",4172.95390427833,-2.55092248591018,0.611676187268112,-4.17038056901183,3.04091389115322e-05,0.0251593051698453
"MERTK",898.048547444762,-1.8135128189187,0.453329666342561,-4.00042828335067,6.32279472907775e-05,0.0496529162690834
"RN7SK",2.89801290326677,16.7610863217794,4.20505912998794,3.98593356327607,6.72153188713177e-05,0.0496529162690834
"SUMO1P4",2.89801290326677,16.7610863217794,4.20505912998794,3.98593356327607,6.72153188713177e-05,0.0496529162690834
"HNRNPA1L2",2.63455718478798,16.6888334518804,4.20568710860137,3.96815859595184,7.24301272899067e-05,0.0499381584288143
"PMS2P5",2.63455718478798,16.6888334518804,4.20568710860137,3.96815859595184,7.24301272899067e-05,0.0499381584288143
