"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GSTT2",8.40415922885262,-21.9914710051758,2.66047629604676,-8.26599020553321,1.38539928315288e-16,2.80543354838458e-12
"PA2G4P1",7.81782253846755,-21.9151228778577,2.70638667454575,-8.09755792990522,5.60734046257458e-16,5.67743221835676e-12
"SPDYE12",6.44970359423573,-21.6883637501732,2.84049071280754,-7.63542850268165,2.25070583142055e-14,1.51922643620887e-10
"BGLT3",4.88613908654222,-21.3077171698373,3.06675628500892,-6.94796559935161,3.70591336172049e-12,1.876118639371e-08
"GMPSP1",4.49524795961884,-21.2123514168749,3.14277905543613,-6.74955224109167,1.48302106506961e-11,6.00623531353191e-08
"HDGFP1",4.29980239615715,-21.1346350448236,3.18497396009166,-6.63573244542803,3.2289508104098e-11,1.08977089851331e-07
"TRIM6-TRIM34",5.53726524164101,17.1540174065144,3.00016618796931,5.7176890651265,1.07982500099106e-08,3.12377946715271e-05
"RPL5P12",5.22085008497581,17.1113181058994,3.04913054984747,5.61186798208932,2.00154117766308e-08,5.06640110595968e-05
"CALCRL-AS1",124.821561782474,-2.65636998822484,0.481989126634855,-5.5112653822111,3.56263086340891e-08,7.21432749840304e-05
"KRBOX1",2.73623788846364,-20.5267008770417,3.71506146197441,-5.52526548676063,3.28987748961233e-08,7.21432749840304e-05
"TBC1D3",4.42981219331281,17.0095387067632,3.19576014858994,5.32253295488032,1.02332238039025e-07,0.000188384347299114
"WDR86-AS1",118.504460452284,-2.49498106484379,0.472355971032609,-5.28199328017292,1.27785886706339e-07,0.000215638683816947
"THBS1",5475.18172682495,2.97565213795315,0.577128503615295,5.15596114091199,2.52333225940976e-07,0.000393057525023443
"TRGC2",123.767112554022,2.5386044603558,0.523601101324374,4.8483558455755,1.24488944545011e-06,0.0018006436621689
"HTRA4",192.71812613363,-2.77247840730066,0.576277593170859,-4.81101198477216,1.5016801128156e-06,0.00202726815230107
"FCN3",1.95445563461689,-20.0690827041655,4.2003257012969,-4.77798250215905,1.77062784835544e-06,0.00224095087057485
"DLGAP1",47.1293251161787,3.85228813810208,0.855345147869717,4.50378206703622,6.6754664050255e-06,0.00795165851186861
"CRH",2315.13956806199,-1.93724920899934,0.454293346573489,-4.26431340808985,2.00517828677506e-05,0.0225582557262195
"TPSAB1",41.628075974878,2.68782267984542,0.643312238995675,4.17809971102305,2.93954789058432e-05,0.031329391991754
"MTCO1P12",8397.73440188104,3.6946748210504,0.892331673840138,4.14047257243533,3.46591050656152e-05,0.0350923438789354
"UBD",15.7805941331315,6.50747878373211,1.57627247252,4.12839715035342,3.65300769965723e-05,0.0352254313895518
"KLRB1",25.0917462500283,3.4845317651744,0.856180061857892,4.06985857345596,4.70416856035192e-05,0.0432997333396029
