"entrez_id","gene_symbol","exp068.d54D_S13_R1_001","exp068.d54G_S14_R1_001","exp068.d54IL10_S15_R1_001","exp068.d54IL4_S16_R1_001","exp068.d54Le_S17_R1_001","exp068.d54Lg_S18_R1_001","exp068.d54Ll_S19_R1_001","exp068.d54M0_S20_R1_001","exp068.d55D_S21_R1_001","exp068.d55G_S22_R1_001","exp068.d55IL10_S23_R1_001","exp068.d55IL4_S24_R1_001","exp068.d55Le_S25_R1_001","exp068.d55Lg_S26_R1_001","exp068.d55Ll_S27_R1_001","exp068.d55M0_S28_R1_001","exp068.d57D_S29_R1_001","exp068.d57G_S30_R1_001","exp068.d57IL10_S31_R1_001","exp068.d57IL4_S32_R1_001","exp068.d57Le_S33_R1_001","exp068.d57Lg_S34_R1_001","exp068.d57Ll_S35_R1_001","exp068.d57M0_S36_R1_001"
"5616","PRKY",1.336967669035,2.42845336688079,2.09673679772851,2.10147800938573,3.08409742092459,2.31510657334215,1.54668167806138,1.38276448113834,-2.41101308404374,-2.65013358666935,-4.19944416506261,-3.9610487286361,-4.52822673114169,-4.35107774431474,-4.2806806615016,-4.2954732491953,1.47450053423635,2.72839265378314,2.36810842146406,2.72204849735749,3.2103479217181,2.99613370842907,2.16849291728519,1.64018326232762
"6192","RPS4Y1",6.24668430872228,5.65646359838052,5.29652459973278,5.59958211987758,5.41300349817453,5.20792198373895,5.27300002802808,5.82250425194997,-3.99597558476489,-4.23509608739051,-2.61448166434145,-3.9610487286361,-2.94326423042053,-4.35107774431474,-2.69571816078045,-2.71051074847414,6.44249321381354,5.61591792452473,5.64455374655742,5.67939060072136,5.45177421390298,5.29141496325069,5.41029804185809,5.99340748770452
"7404","UTY",4.70620147870072,4.23753917701751,4.29837065889816,4.1383147775661,2.37598668943057,4.20980662808389,4.63912792682597,4.39849740740294,-3.99597558476489,-2.65013358666935,-1.392089243005,-3.9610487286361,-2.94326423042053,-4.35107774431474,-4.2806806615016,-4.2954732491953,4.82379352829489,4.13329577592827,4.35561747728087,4.40485832147679,2.8866062564588,4.57479622079448,4.67099325781437,4.43300209122734
"7503","XIST",-0.876026054299197,-2.14443630153979,-4.3126541384092,-0.434574890854483,-1.11229979187891,-1.56403903178346,-0.666312045272819,-2.12819743813904,8.85674897568278,7.90285564732485,9.05720681922448,8.77260218820261,8.66329520698646,8.52024999181927,8.60253537855059,8.46129154020884,-0.379648599300197,-0.777960012241647,-1.7529069794973,0.0590834846350616,-2.8413141981044,-0.560814416122493,-1.46709565650593,-2.60774425111597
"7544","ZFY",4.30478726328585,4.09968964174394,4.04928963532605,4.09732636611526,3.92234635092798,4.14035869992631,4.42500312147313,4.29470830447315,-3.99597558476489,-4.23509608739051,-4.19944416506261,-3.9610487286361,-4.52822673114169,-4.35107774431474,-4.2806806615016,-4.2954732491953,4.75596203761678,3.89703468934198,4.18725977098551,4.23282010002739,3.7684801555967,4.02876471266903,4.04296203520133,4.46907134593486
"8284","KDM5D",5.0929024997678,4.62374802323714,5.16510412803469,4.95085614633904,4.26080702693401,4.65927318240587,5.07638015992034,5.34266476127466,-2.41101308404374,-4.23509608739051,-4.19944416506261,-3.9610487286361,-4.52822673114169,-4.35107774431474,-4.2806806615016,-4.2954732491953,5.23958380350571,4.47341480282041,5.11251699881583,5.12824550914246,4.42234624160379,4.82355425354078,5.1746980668119,5.21880423617495
"8287","USP9Y",5.00216422905601,4.60777706632536,5.33660203910812,4.92766119268642,4.65146586163101,4.93010224114148,4.94839779884239,5.26240146741342,-2.41101308404374,-2.65013358666935,-2.61448166434145,-2.37608622791495,-4.52822673114169,-4.35107774431474,-4.2806806615016,-4.2954732491953,5.31008063875889,4.60495871253486,5.31962762022565,5.14452432830019,4.49556423824894,4.74156088134347,5.00399887965694,5.01430756834041
"8653","DDX3Y",6.50924809147544,6.22973377452871,6.021619146898,6.23501886033385,7.23790275700363,6.34542550748888,6.21966158280768,6.22318354253529,-3.99597558476489,-2.65013358666935,-4.19944416506261,-3.9610487286361,-2.20629863625432,-2.76611524359358,-2.69571816078045,-2.71051074847414,6.47354097647507,6.21690766274095,6.11869028611655,6.22039535577267,7.26328455545997,6.1639617690358,5.95797034861254,6.26159254178278
"9086","EIF1AY",3.95456117399612,4.41933197691224,3.42205548181664,3.90170849700995,3.84189651850796,4.78089088846551,4.37011136297706,3.74463132139585,-2.41101308404374,-4.23509608739051,-4.19944416506261,-1.63912063374874,-4.52822673114169,-4.35107774431474,-1.95875256661424,-4.2954732491953,4.31651646374057,4.78219909747894,4.04928623744452,3.57965539808626,3.97886476431079,4.88085292303897,4.54253304469184,4.16044007366096
"9087","TMSB4Y",1.0908070817656,0.0571975596298633,-0.405763542800676,-0.254002645212662,-0.194761952070885,0.383493548322401,0.518112525864609,0.907426471591683,-3.99597558476489,-4.23509608739051,-4.19944416506261,-3.9610487286361,-4.52822673114169,-2.76611524359358,-4.2806806615016,-4.2954732491953,1.53462152667392,-0.149928789628605,-0.904910072942353,1.02431806647439,-0.725836980684459,-1.09132913282127,0.117866844215221,0.199610670941636
