 Interlukin-1  processing , Interlukin-1  signaling   , Interlukin-10  signaling   , Signaling  by  TGF-beta  Receptor  Complex , Regulation  of  lipid  metabolism  by  PPARalpha , Mitochondrial  Fatty  Acid  Beta-Oxidation , Binding  and  uptake  of  ligands  by  scavenger  receptor   , Unfolded  Protein  Response   ,   Cellular  Senescence 
NFKB1,NFKB1,,,,,,,NFKB1
NFKB2,NFKB2,,,,,,,
RELA,RELA,,,,,,,RELA
IL1A,IL1A,IL1A,,,,,,IL1A
,RIPK2,,,,,,,
,PSMB9,,,,,,,
,PSME2,,,,,,,
,NFKBIA,,,,,,,
,ALPK1,,,,,,,
,PSME1,,,,,,,
,CUL1,,,,,,,
,SQSTM1,,,,,,,
,IL1RN,IL1RN,,,,,,
,,CXCL10,,,,,,
,,IL6,,,,,,IL6
,,CCL19,,,,,,
,,CCL5,,,,,,
,,CD80,,,,,,
,,IL12B,,,,,,
,,CCL20,,,,,,
,,CD86,,,,,,
,,CXCL8,,,,,CXCL8,CXCL8
,,CCL22,,,,,,
,,LIF,,,,,,
,,PTGS2,,,,,,
,,,STAT1,,,,,
,,,ITGB8,,,,,
,,,F11R,,,,,
,,,SMAD7,,,,,
,,,,TIAM2,,,,
,,,,G0S2,,,,
,,,,ALAS1,,,,
,,,,,ACOT9,,,
,,,,,,APOL1,,
,,,,,,,ATF3,
,,,,,,,CREBRF,
,,,,,,,,CCNA1
,,,,,,,,H2BC11
,,,,,,,,MDM2
,,,,,,,,H2BC10
,,,,,,,,H2BC21
,,,,,,,,MOV10
,,,,,,,,LMNB1
,,,,,,,,NBN
,,,,,,,,H2AC18
,,,,,,,,H2BC3
,,,,,,,,MINK1
,,,,,,,,CDK6
