Pathway,Gene
Glycogen metabolism,PFKFB3
Glycogen metabolism,PRKACB
Glycosaminoglycan metabolism,HS3ST1
Glycosaminoglycan metabolism,HS3ST2
Triglyceride catabolism,PRKACB
Nucleotides metabolism,ADA
Nicotinate metabolism,QPRT
Folate metabolism,FOLR2
Folate metabolism,SHMT1
Folate metabolism,SLC46A1
Retinoid metabolism,RBP1
Histidine catabolism,HNMT
Lysine catabolism,ALDH7A1
Selenoamino acid metabolism,HNMT
Carnitine synthesis,SHMT1
Creatine metabolism,GATM
Choline catabolism,ALDH7A1
Post-translational modification: synthesis of GPI-anchored proteins,FOLR2
Asparagine N-linked glycosylation,FUCA1
RAB geranylgeranylation,RAB42
Post-translational protein phosphorylation,C3
Post-translational protein phosphorylation,IGFBP4
Peptide hormone metabolism,IGF1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),C3
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),IGF1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),IGFBP4
