"","M02","F01","F02","M03","M04","M08","M09","M10","F08","F10","F11","F13","M16","M17","M18","F14","F15","F16","F17","M21","M22","M01","M05","F06","M07","F03","F04","F05","M06","F07","M11","F09","F12","M12","M13","M14","M15","M19","M20"
"ENSG00000214207",15,4,2,8,24,10,11,15,2,0,2,1,9,19,14,5,2,0,2,13,12,6,11,3,9,2,6,4,10,6,22,3,1,12,25,12,18,15,28
"ENSG00000092377",12,0,0,8,22,3,29,19,0,0,1,0,21,22,8,0,0,0,0,4,9,11,7,0,17,0,0,0,2,0,15,0,0,10,25,8,13,36,2
"ENSG00000273906",19,0,0,16,54,6,55,20,0,0,0,0,21,43,17,0,0,0,0,31,11,7,19,0,12,0,0,0,3,0,37,0,0,13,28,13,18,42,16
"ENSG00000099725",130,0,0,95,219,154,294,121,0,1,0,0,113,122,125,0,0,1,1,156,119,78,60,1,95,2,8,0,98,3,169,0,0,122,186,89,81,191,199
"ENSG00000278212",4,0,0,5,7,5,2,8,0,0,0,0,9,21,5,1,0,1,0,1,2,3,4,0,7,3,1,0,8,2,16,5,0,8,18,8,11,10,14
"ENSG00000274502",1,0,0,0,2,3,0,1,0,0,0,0,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2,5,1,3,9,3
"ENSG00000274162",8,1,0,11,8,5,7,3,0,1,0,1,10,8,3,1,0,0,0,6,5,6,4,0,5,2,0,0,5,0,6,1,0,10,15,9,9,13,12
"ENSG00000235649",2,0,0,0,13,2,2,0,2,0,0,0,4,1,3,0,0,1,0,0,2,0,5,0,0,0,0,0,3,0,4,1,0,2,0,0,2,0,4
"ENSG00000232730",1,0,0,5,2,1,1,2,0,0,0,0,2,1,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,3,0,0,2,3,3,1,2,4
"ENSG00000224060",7,0,0,4,5,1,0,1,0,0,0,0,0,5,1,0,0,1,0,1,1,3,6,0,3,0,0,0,3,0,2,0,0,1,5,1,2,1,4
"ENSG00000225117",10,0,0,9,8,8,6,14,1,0,0,0,11,15,5,0,0,0,0,3,9,9,7,0,7,0,0,0,9,0,10,0,0,2,17,14,5,21,14
"ENSG00000206159",32,0,0,39,59,45,58,72,0,0,0,0,28,38,33,0,0,0,0,29,27,11,20,0,25,0,0,0,26,0,42,0,0,37,38,34,41,65,68
"ENSG00000226863",4,0,0,2,1,0,1,2,0,0,0,0,5,3,2,0,0,0,0,1,3,1,1,0,0,0,0,0,5,0,5,0,0,5,1,0,3,2,2
"ENSG00000233864",281,0,0,174,648,330,756,624,0,0,0,0,298,359,296,0,0,0,0,390,410,175,219,0,280,0,0,0,205,0,310,0,0,314,351,282,367,464,597
"ENSG00000114374",1155,3,0,213,1769,1032,2580,1676,0,1,1,0,894,1167,817,0,0,0,1,1276,1079,608,669,1,795,0,0,0,667,0,1049,1,0,1048,1141,1108,1093,1517,1645
"ENSG00000228411",32,0,0,1,16,19,28,31,0,0,0,0,22,29,4,0,0,0,0,22,31,14,15,0,9,0,0,0,18,0,36,0,0,11,25,16,27,33,23
"ENSG00000067048",1526,0,0,795,3995,1482,5714,3483,1,3,2,1,1632,1903,1710,0,0,0,0,3349,2381,788,1016,2,1236,1,1,0,1165,0,1641,2,0,1862,1534,1467,1700,2336,3117
"ENSG00000223915",7,0,0,0,15,0,8,8,0,0,0,0,12,7,9,0,0,0,0,7,8,2,2,0,2,0,0,0,4,0,7,0,0,2,9,6,1,8,4
"ENSG00000183878",1038,3,0,535,1665,971,2218,1718,0,1,0,0,1028,1290,838,0,0,0,0,1363,1101,555,641,3,753,0,0,0,715,0,1076,2,0,939,1327,954,1208,1437,1930
"ENSG00000215414",26,3,5,0,35,25,47,28,6,3,4,6,29,35,6,3,3,10,2,27,37,10,13,2,18,13,16,2,24,5,31,4,1,30,43,35,42,37,59
