Gene_Symbol,fc,pval
X1,-1.01106531976588,1.0
LOC145474,1.45199844530585,1.0
LINP1,-1.65040931170553,1.0
LINC01512,-1.16808395669371,1.0
LINC02381,1.52030793997442,1.0
LINC01122,-1.0386895225034,1.0
LOC100130691,1.31189586447992,1.0
XLOC_l2_015760,1.00197396483197,1.0
MIR100HG,1.00663228585144,1.0
HIPK2,-1.0766882701466,1.0
LOC101927354,-1.05064905658379,1.0
SNORA71A,-1.00829041069854,1.0
DUBR,-1.04596407965413,1.0
X2,-1.4451726211322,1.0
LOC101929709,1.28038902736057,1.0
VLDLR-AS1,1.12969763489217,1.0
X3,-1.14629350030406,1.0
PCAT19,1.67992733877758,1.0
X4,1.05924545881983,1.0
SCARNA16,1.17777351322948,1.0
DET1,1.10707939854593,1.0
LINC00877,-1.00695097202307,1.0
MIR570HG,-1.22603166436017,1.0
X5,-1.08181289205507,1.0
X6,-1.03582451915224,1.0
L3MBTL1,1.27942679539287,1.0
LINC00313,1.67161806747908,1.0
LOC101928673,1.03847027773807,1.0
LINC02541,-1.1145887868909,1.0
MIR3150BHG,-1.33566069211261,1.0
LINC02482,1.49200453845859,1.0
FAM107A,-1.35400591782042,1.0
MAP3K13,-1.25326830896817,1.0
LINC00513,1.1655974620272,1.0
lnc-C9orf69-2,1.24914697036148,1.0
LOC100506178,1.84342879614208,0.242793807774399
X7,1.42461167427367,0.850895272607849
CDKN2B-AS1,1.37294816360115,1.0
X8,-2.03975925240669,0.0770178910485799
X9,-1.06672208401214,1.0
X10,-1.23014604687325,1.0
BLCAP,1.04624571018139,1.0
X11,2.7394849789483,0.0254035588929827
LOC653712,-1.27562408921557,1.0
MAGI2-AS3,-1.03599953234015,1.0
X12,-1.19521772432816,1.0
SNHG5,1.05643160498692,1.0
X13,1.1832419817594,1.0
PVT1,1.13401956908344,1.0
MAP3K13,-1.29270187746395,1.0
ARMCX5-GPRASP2,1.18394911471103,1.0
LINC01291,-1.89426739028522,0.678056627820535
MIR570HG,-1.25746182267966,1.0
LINC00472,1.03962042308173,1.0
lnc-MYC-2,1.65673306143541,0.390705019086621
DANT2,1.20265719532694,1.0
SNHG5,1.00429288716157,1.0
PVT1,1.38996730905652,1.0
lnc-AC114947.1.1-2,1.2416811125413,1.0
LINC01137,1.1966886289181,1.0
LOC389602,1.29352403181962,1.0
ZNF678,1.51968430841516,1.0
XIST,1.15259946290182,1.0
X14,1.16032377111734,1.0
MAGI2-AS3,-1.22559836808776,1.0
X15,1.20409566084767,1.0
LINC01278,1.02250469947784,1.0
X16,1.01629217143989,1.0
LOC101929563,-1.09091142192197,1.0
LOC93622,-1.01527433799926,1.0
JPX,-1.06999974873102,1.0
MIR4435-2HG,-1.23449155050311,1.0
PVT1,1.3969274963696,1.0
PVT1,1.38062045799233,1.0
lnc-ZNF674-3,1.69967307266905,1.0
PPP4R1L,-1.13757966097814,1.0
MIR4435-2HG,-1.22062917313784,1.0
SNHG11,-1.00248845516524,1.0
HCG18,1.27084098262303,1.0
SNHG11,-1.13782994800523,1.0
RNASEH1,-1.08245003118649,1.0
LINC01197,1.09411809326173,1.0
GARS-DT,1.3402470114233,1.0
CTD-3080P12.3,-1.08240058802338,1.0
SNORA26,-1.20853048466854,1.0
LINC00513,-1.17623482542686,1.0
LINC01122,-1.22746635979852,1.0
KIF9-AS1,1.03047557574816,1.0
LINC00989,1.00437544878578,1.0
NEAT1,1.707629504469,0.316775862435095
TBXAS1,-1.0730586896606,1.0
LINC00887,1.16513995717179,1.0
X17,-1.13696882672924,1.0
lnc-BTBD10-3,1.00087180940204,1.0
PURPL,-1.22266874816928,1.0
LINC01023,-1.22070464010518,1.0
LOC648987,-1.06140195470663,1.0
X18,-1.07056700034536,1.0
LINC01193,1.22848925905245,1.0
X19,1.15180830628488,1.0
LINC01978,-1.68923836483449,0.154910367102853
X20,-1.14086313470757,1.0
X21,1.15942620971708,1.0
APTR,1.04756467278021,1.0
KIAA1671,-1.15994339670906,1.0
PVT1,-1.10188444542787,1.0
LINC00673,-1.01904262929096,1.0
SNHG5,-1.02155197277769,1.0
RFX8,-1.86063773422611,0.77387939986575
SNHG5,-1.02153114031191,1.0
lnc-RAD23B-2,1.10739424451846,1.0
LINC00574,1.21548249010555,1.0
MIR570HG,1.07895978536234,1.0
UBA6-AS1,1.48314128052257,1.0
LINC00472,-1.04413187289464,1.0
X22,1.03072813288953,1.0
LOC105377329,1.07976937804115,1.0
MAVS,1.07070943468281,1.0
TALAM1,-1.34011938150148,1.0
TSTD3,-1.03554832624217,1.0
LINC01605,-1.00275074057923,1.0
PWAR5,1.26457751392372,1.0
LOC100294145,1.00369587602831,1.0
LINC01104,-1.17495728288782,1.0
LINC00673,-1.04509765521065,1.0
LRRFIP1,1.04044925238569,1.0
FLJ37201,1.08609079129786,1.0
LINC01630,1.05131175362149,1.0
LOC220729,-1.1396366062302,1.0
NUP50-DT,1.49958705372987,1.0
LINC01004,-1.3093632228758,1.0
X23,-1.06459890949146,1.0
HCG18,-1.0394493416654,1.0
LINC02593,-1.02712034773222,1.0
LOC105375451,-1.11992097735514,1.0
TUG1,1.07719348468029,1.0
IPW,1.21400092154076,1.0
SEC14L1,-1.19961550548302,1.0
LINC01237,-1.15049039492608,1.0
SNHG14,1.25836008764813,1.0
ZMIZ1-AS1,-1.17503758634251,1.0
