Gene_Symbol,WT_1.gProcessedSignal,WT_2.gProcessedSignal,RNA5_TLR4_1.gProcessedSignal,RNA5_TLR4_2.gProcessedSignal
LOC105376382,327.4376,620.7716,178.9382,177.9988
,3.692828,3.756752,3.558773,4.728562
,10.36651,4.5721,6.573887,7.925437
lnc-C10orf31-8,2.768073,3.005592,4.528414,3.079814
lnc-C10orf31-6,2.398872,2.978269,3.27352,3.06898
LOC101929073,2.274735,6.236331,2.977057,3.847993
LINC00837,12.88775,10.36563,4.129595,6.254918
lnc-MTPAP-2,11.67264,5.243817,7.217218,7.403766
,5.716789,3.656413,3.912536,3.796795
lnc-CUL2-1,2.802946,3.561252,12.437,9.944281
lnc-CUL2-1,9.179768,11.87076,12.77174,6.883274
LOC105376495,2.720901,3.064172,3.354789,3.171775
ZNF248,2.222605,3.168996,2.902177,2.727111
LOC102724264,3.230225,3.340203,3.637169,3.414059
LOC102724264,2.266542,2.652296,2.882755,2.707293
lnc-ZNF32-4,3.128423,3.302519,3.502587,3.449819
,2.262035,2.768147,2.999934,6.972918
LINC00864,2.588669,9.10318,23.23333,16.17225
LOC107001062,6.611226,2.903218,9.828404,5.023407
C10orf71-AS1,2.479212,3.232778,3.860414,3.384644
lnc-MBL2-5,2.338029,2.849652,3.126493,2.946624
,2.539569,5.513528,6.940622,9.888803
,2.347841,2.661339,2.887956,2.759729
,3.007153,3.196049,3.498235,3.28064
LOC101928887,4.982692,4.538735,3.525536,3.303454
,2.406738,2.801139,3.063059,4.823373
ZNF503,2.835841,2.762562,2.99856,2.942023
,3.283873,3.389933,3.608196,3.648183
LOC105378385,5.496632,4.403416,7.494616,9.230445
LOC105378385,3.285212,5.384561,3.873403,3.689439
,42.63596,46.25992,46.12442,43.45708
LOC101929646,2.4604,3.214191,3.511388,3.365987
,2.955981,4.102185,3.654659,3.282117
,46.58456,33.86567,41.01531,37.99271
lnc-ANKRD1-1,2.782918,3.188543,3.496385,3.290722
TNKS2-AS1,9.232863,19.13526,5.902185,19.07969
,2.733708,3.364895,3.777515,3.648509
lnc-PKD2L1-1,2.358111,4.300133,3.269714,3.07834
,2.314401,2.668617,2.903101,2.779155
,2.961728,3.045665,3.328803,3.303157
CFAP58-DT,5.728389,5.906524,4.575442,3.194977
LINC01435,2.242625,2.668603,2.897917,2.724405
MIR3663HG,2.839772,3.046748,3.262847,3.215102
,2.355422,2.76153,3.003111,2.832001
,47.60595,45.84762,37.93928,23.3931
lnc-CTBP2-2,7.968258,12.64379,21.44545,25.81662
,2.576397,2.805518,3.055502,3.242349
lnc-EBF3-3,12.89851,28.66578,41.59444,23.33871
LINC01166,2.471152,2.838711,3.107667,3.070833
lnc-C10orf108-3,2.456955,2.716953,2.955026,2.772756
lnc-GTPBP4-2,8.887013,5.298669,4.98314,3.296111
,13.92646,12.21844,4.799828,4.781556
lnc-PFKP-9,23.38832,13.21878,10.24255,5.526527
lnc-PFKP-9,2.355535,2.856443,3.138454,2.968654
,2.776588,3.401701,3.871938,3.733327
lnc-PFKP-8,13.65513,8.631882,10.55495,13.92647
LOC105376367,2.621,3.291669,5.270527,3.424142
lnc-PFKP-16,4.202324,2.835555,3.056355,2.995978
lnc-AKR1E2-5,2.721295,2.974002,3.253287,3.048593
lnc-AKR1E2-5,93.28473,95.3153,69.61537,69.22241
lnc-AKR1E2-4,2.548697,3.232798,3.553354,4.594491
lnc-AKR1E2-3,2.329245,2.709893,2.954335,2.840528
lnc-PFKFB3-1,3.936251,2.914533,3.154309,3.142416
,2.39311,2.70546,2.946463,2.761187
PRKCQ-AS1,2.639495,2.870737,3.12093,3.113886
PRKCQ-AS1,2.631479,5.332918,4.272899,3.097528
PRKCQ-AS1,2.573777,5.790616,3.401783,3.336509
lnc-AL137145.1-3,2.657273,3.286828,4.760204,3.517507
lnc-AL137145.1-4,3.339963,3.402298,3.669373,3.463576
LINC00707,2.292107,3.87111,2.867699,3.767155
,3.055248,2.97675,3.335254,3.235851
lnc-ITIH2-6,7.794041,10.45297,9.919272,5.606424
lnc-ITIH2-4,2.493553,2.783235,3.035754,2.84358
LOC105376391,3.430835,8.222178,3.771604,3.578394
lnc-GATA3-2,10.19424,19.95664,13.31294,12.42128
LOC105376395,15.52533,20.59037,12.90943,24.24069
lnc-MCM10-1,3.313737,3.41576,3.608381,3.494595
LOC101928701,8.259984,9.062827,11.05095,15.69983
LOC107984180,2.519471,3.22029,3.524056,3.337436
LOC105376442,2.619768,2.846405,3.103629,2.900541
lnc-SPAG6-1,2.721513,3.352623,3.758929,3.624398
LOC105376454,9.166172,5.707582,7.284914,6.073142
lnc-MYO3A-2,4.551065,3.211884,3.436783,4.786373
lnc-MYO3A-1,2.846143,3.051524,3.265691,3.201354
lnc-PDSS1-2,10.24689,7.628621,10.59124,6.458605
C10orf126,2.914234,3.069989,3.31017,3.132802
lnc-C10orf126-2,4.943967,2.869205,3.133525,4.049653
LOC107984171,2.327319,2.935748,3.187825,3.032288
LOC105376471,3.10176,3.271776,3.580336,3.360186
lnc-LYZL1-2,267.0197,238.341,203.2603,188.3428
LOC107984217,2.472714,3.190389,3.476491,3.304794
lnc-ZEB1-2,9.985293,10.95575,8.45208,3.176884
,5.070742,3.217262,3.579509,4.280633
LOC105376489,2.23402,2.757336,2.992588,3.365739
lnc-GJD4-1,17.54351,3.445514,3.60476,15.19207
lnc-ANKRD30A-6,2.889043,3.282632,3.668279,3.530244
LOC107984175,4.084075,3.185247,7.66855,3.332667
lnc-ANKRD30A-5,2.987721,3.181606,3.483093,3.266301
LOC102724533,2.697749,3.070326,4.49465,4.042586
LOC102724533,2.336321,2.653681,2.880657,6.730216
lnc-FXYD4-1,2.226614,2.725157,2.956676,5.792114
lnc-ZNF487P-1,2.707693,5.339927,3.879662,2.943677
LINC00840,2.597477,3.207038,3.570633,3.387264
LINC00841,2.385947,4.243768,3.255809,3.051045
LINC00840,3.068894,3.187973,4.694961,8.632566
LINC00841,3.075558,4.281249,3.642066,7.631179
lnc-C10orf136-1,6.478755,7.189091,3.489195,8.096567
lnc-TMEM72-1,2.701857,3.185433,3.631149,6.086278
,15.28464,195.0282,9.460738,11.48826
lnc-ANTXRL-3,1042.535,1307.95,1246.969,948.056
LOC101927584,16.83782,18.37747,29.67919,4.9371
lnc-MAPK8-1,2.440749,4.330064,3.433458,7.448389
lnc-MTRNR2L5-3,2.337653,2.819749,3.093612,2.932054
LOC105378316,2.849137,3.623848,3.218899,3.176946
lnc-C10orf107-1,2.257099,2.640232,2.869886,2.694869
lnc-C10orf107-1,15.45576,11.84345,14.40189,5.427782
,2.637255,3.214059,3.585894,3.470618
,5.013285,3.435062,3.858732,10.72441
lnc-SGPL1-3,2.355218,2.695562,2.93358,2.752557
SLC29A3,3.110564,3.75598,3.523989,5.564317
lnc-C10orf11-1,12.66257,18.22226,15.13006,5.35574
LOC105378383,50.05778,74.81092,44.14013,26.5918
,24.38627,41.24198,68.95855,79.36049
LINC00863,34.35504,40.08671,34.76477,32.44132
lnc-SH2D4B-2,2.842609,3.005784,3.267014,3.057228
lnc-FAM190B-1,2.817061,3.515459,3.96379,3.798366
lnc-PTEN-1,37.83116,41.61759,43.95354,50.5351
LOC105378421,8.608509,13.6363,3.081029,6.482837
LINC01374,3.253113,3.500361,6.650566,6.222452
lnc-KIF20B-5,2.257421,2.824885,3.058454,5.311117
,3.261064,10.23093,15.90693,12.11002
LOC105378429,2.788961,2.962574,3.513599,3.206861
lnc-TNKS2-1,3.082776,3.187924,3.446543,3.434656
LOC105378438,5.713768,2.849422,3.123362,3.102083
lnc-C10orf129-1,2.774984,7.186037,3.973401,3.804408
lnc-GOLGA7B-2,11.44938,4.956336,3.504839,13.44531
lnc-CNNM1-2,3.610103,2.818266,15.08751,5.302464
OLMALINC,639.0682,1018.243,582.5663,466.4665
LOC105378453,104.1448,106.2719,113.3904,112.497
LOC105378464,3.439517,3.478606,3.724732,3.551727
lnc-SORCS3-2,2.700438,2.766246,3.102458,6.411406
lnc-ADD3-3,2.822771,3.222912,3.553244,3.344608
lnc-ADD3-2,30.77793,29.04602,33.43726,7.116415
lnc-SMC3-1,2.379983,2.666036,3.197663,2.743905
lnc-ADRA2A-1,2.609574,3.239443,3.689667,6.407457
VTI1A,22.79269,21.33345,24.04491,15.41805
lnc-HABP2-1,2.705658,2.733228,2.97859,4.646671
LOC107984273,2.409853,3.119162,3.412336,3.246477
LOC102724627,2.369515,2.817677,3.090582,6.692708
LOC102724627,3.298248,3.497563,4.935044,3.627155
lnc-EMX2-5,2.548795,2.796918,3.017252,2.907359
lnc-NANOS1-2,2.530514,3.205675,3.525261,3.311374
LOC105378515,3.230833,4.038771,4.845926,3.441687
LOC105378515,15.39821,25.00742,25.55482,8.563188
lnc-WDR11-3,3.38032,3.185473,3.54695,3.385575
LOC105378531,3.350096,3.422885,5.050251,3.489231
LOC105378531,38.62557,45.08088,41.67307,43.00714
lnc-GPR26-4,9.319554,14.39412,3.690421,3.499668
lnc-GPR26-3,3.159609,3.302596,3.607328,3.386235
LOC105378541,87.51795,104.1924,112.9452,91.56745
LOC105378556,2.661636,2.869832,3.099931,4.570902
,2.572868,2.812541,3.066129,2.867366
LOC107984002,2.407926,2.889,3.145335,2.984804
LOC105378572,2.578291,2.843903,3.145533,3.133346
LOC112268067,2.725263,2.967208,3.245215,6.146911
,15.49889,3.332277,4.630241,15.71203
lnc-GPR123-1,7.318193,2.996041,13.34578,4.455452
LOC105376344,2.601508,3.276007,3.612539,3.415789
,2.825294,3.222835,3.55,4.68032
LOC105376351,2.497615,2.931005,3.230468,3.176208
lnc-PITRM1-7,3.404335,2.988419,2.881373,2.703612
lnc-PITRM1-6,2.236343,2.6994,2.94077,2.763031
lnc-PITRM1-4,2.373161,2.703101,2.934934,2.839642
lnc-PITRM1-5,110.6478,164.607,233.8921,141.6839
lnc-KLF6-5,2.52969,3.051416,3.380394,3.271001
LOC101927880,2.273654,2.819543,3.071571,2.8817
lnc-KLF6-3,2.286781,9.732087,2.906113,2.730094
lnc-KLF6-7,2.956327,2.849523,3.110442,2.923372
lnc-AKR1C2-3,3.334077,8.161469,3.961936,4.992152
LOC105376374,2.571667,3.885877,3.246165,3.22348
LOC105376380,2.221326,2.679,2.910501,2.73453
LOC105376381,3.212183,3.379273,3.572658,3.56266
lnc-PRKCQ-1,3.982821,3.187101,3.428934,3.24611
lnc-PRKCQ-2,2.27549,2.882499,3.120763,2.956504
LOC105376387,2.554469,2.972497,3.293827,3.258856
lnc-C10orf31-10,2.339868,2.947001,3.214871,3.015894
LOC101928322,5.454831,9.834763,3.176423,3.021451
lnc-C10orf31-7,2.389641,2.712646,2.943229,2.853709
SFTA1P,28.79979,47.33066,70.69878,72.65658
SFTA1P,34.62172,40.14404,53.08618,49.74325
lnc-C10orf31-7,3.078537,3.613979,3.35248,9.063146
lnc-C10orf31-6,2.858081,3.027094,3.333764,3.124869
lnc-NMT2-1,2.64602,3.172806,3.545765,3.473093
,2.688181,2.949776,3.191336,5.616071
LOC101929117,21.961,29.85156,38.37217,23.05696
LOC102724202,2.829624,3.535762,4.011381,3.864432
LOC102724245,2.528452,3.017555,3.306343,3.130691
LOC102724245,2.541768,3.100705,3.441277,3.295095
LOC105376467,5.584356,4.623229,3.083894,2.918599
lnc-ZNF438-3,24.74957,17.77222,25.6979,22.29685
ZNF438,2.571808,2.90045,3.167888,2.982635
IATPR,28.53938,30.79082,16.36645,11.26988
LOC105378277,12.49193,12.81143,4.750731,6.155296
,2.520345,2.959118,3.23144,3.064514
,17.11495,17.71238,16.24158,8.090259
lnc-GDF10-1,21.48381,15.54501,9.515259,14.23071
LOC101929216,4.26766,7.588559,3.431721,3.240657
lnc-GDF10-3,2.300675,2.632725,2.86303,2.689057
,2.604644,4.121948,9.583225,15.55032
C10orf71-AS1,3.225953,3.070094,3.453262,7.002564
lnc-MBL2-1,2.572593,2.839275,3.085392,3.072236
lnc-MBL2-2,7.83251,8.953743,11.4668,3.169368
lnc-ZWINT-1,375.2404,652.1826,1275.794,1179.872
lnc-ZWINT-3,4.931762,3.142926,3.781607,4.212222
lnc-RHOBTB1-1,3.221415,3.388541,3.579309,3.56938
lnc-RTKN2-3,5.10945,3.130734,3.55769,3.458848
lnc-RTKN2-3,3.283223,3.444746,3.618855,3.646908
lnc-C10orf105-2,2.609976,3.043177,3.397522,3.355684
LOC107984243,183.3856,239.1996,234.4788,221.158
lnc-DYDC1-2,2.410371,2.687767,2.923493,2.743632
lnc-DYDC1-3,47.6428,46.89465,45.1875,35.35555
lnc-GRID1-1,2.710012,2.871568,3.151788,3.13869
lnc-WAPAL-1,3.250635,3.476334,3.79846,3.608875
,3.114955,3.230171,3.514079,5.160019
lnc-PANK1-2,12.93438,19.33691,22.05288,7.815527
lnc-ANKRD1-2,2.236004,2.710563,2.95243,2.772475
LOC107984262,7.590707,7.919035,15.97409,14.98429
lnc-FGF8-1,2.573409,3.097746,3.441043,3.348539
lnc-OBFC1-2,48.54427,62.86052,49.03024,44.32387
lnc-SORCS1-1,9.610315,13.84183,4.57023,5.997734
LOC107984270,2.538158,8.226166,4.632944,3.466519
lnc-VAX1-1,3.268906,3.401024,3.608533,3.63872
MIR3663HG,3.229776,3.374284,5.56008,5.499405
lnc-VAX1-1,5.544934,2.936871,3.164651,3.140203
lnc-RAB11FIP2-2,5.170314,3.329512,3.570381,3.579929
lnc-RAB11FIP2-2,2.291786,2.701153,2.948318,2.806361
lnc-MCMBP-1,2.350064,3.515995,3.128206,2.959541
lnc-FGFR2-2,9.283815,3.219282,3.509053,3.484578
lnc-C10orf120-2,6.668727,5.634713,3.120055,6.291668
lnc-C10orf120-1,2.598497,3.578072,3.290102,9.270027
lnc-CPXM2-1,4.30329,3.253026,3.670484,3.545282
FLJ37035,40.37901,43.95358,43.32105,40.78345
UROS,153.7256,215.0992,195.6547,155.1003
lnc-C10orf90-2,6.962436,11.7567,25.08852,16.23632
lnc-EBF3-7,2.29812,2.701564,2.936073,2.762773
,23.73741,27.5933,27.57672,52.17188
lnc-TCERG1L-1,2.82438,3.51287,3.980162,5.766172
lnc-AL450307.1-2,2.620541,2.837454,3.089374,2.889858
lnc-BNIP3-2,115.1432,117.7568,130.1123,125.0965
,38.68005,19.11507,54.79899,46.69703
lnc-TTC40-3,2.617543,3.272124,3.637979,5.670445
LINC00200,25.31891,27.85297,32.04125,37.51038
LINC00707,38.91696,34.82021,21.49233,23.82203
lnc-GATA3-1,2.577178,2.868638,3.187925,3.168532
lnc-GATA3-1,13.07918,19.50258,13.98861,9.900186
LOC105376442,2.582193,2.828228,4.342239,2.953511
LOC105376442,2.624159,3.091354,3.405579,3.206234
lnc-GPR158-2,3.361859,3.543662,3.858349,3.674216
lnc-APBB1IP-1,2.553135,3.039466,3.369444,3.299951
FAM238B,3.300159,3.656637,3.608233,5.362649
lnc-BAMBI-1,3.013129,2.971697,4.296914,3.044905
LOC102724333,10.4362,11.26276,13.41929,10.31489
lnc-MAP3K8-6,2.42758,2.934529,3.19992,3.038345
lnc-MAP3K8-5,2.448604,2.943817,3.211619,3.04885
FAM157B,36.99457,41.79649,71.15968,65.77353
LINC00841,2.418465,2.713035,2.93714,2.836384
lnc-ANTXRL-1,2.297371,2.624418,2.852857,2.688888
lnc-MTRNR2L5-3,2.684784,3.028427,3.333591,5.099241
LOC102724768,2.673501,5.565919,3.120024,3.530513
LINC00844,9.444281,3.274264,3.883678,9.911137
lnc-PHYHIPL-2,2.338135,3.002721,3.259754,3.103949
lnc-C10orf107-1,3.398001,3.606583,3.916311,3.747786
LINC01515,83.41149,128.5437,108.0879,110.5744
,27.62565,25.44451,36.30377,50.49015
LOC101929506,231.7507,345.2726,488.4173,461.6864
lnc-KIF20B-4,2.628317,2.858661,3.117616,3.112332
lnc-RPP30-2,399.5585,423.5035,443.5444,519.0448
lnc-FRAT1-1,25.37592,19.67251,12.27165,11.34071
lnc-SCD-1,216.7203,254.4852,192.4534,155.3495
LINC01514,4.735564,11.64148,7.888331,4.250866
LOC102724439,2.690702,3.412774,3.888161,5.180702
lnc-ADD3-2,2.649594,3.086896,3.376755,3.170309
lnc-SHOC2-1,18.46519,20.26402,31.65388,21.66608
lnc-SHOC2-2,3.150784,7.247366,13.6593,7.645557
LOC101927760,2.666443,3.308418,3.696204,3.50045
lnc-EMX2-5,3.768101,4.305261,3.433627,5.552134
LOC101927760,2.449055,2.736534,2.981967,2.792219
LOC105378516,8.04523,4.169347,15.69284,10.07494
lnc-GPR26-3,2.358284,3.966405,3.209359,3.007855
lnc-C10orf137-1,2.482192,3.041646,3.367582,3.1479
lnc-C10orf137-1,126.4113,123.7658,108.7182,88.45835
lnc-PITRM1-7,2.248073,3.478679,3.009809,2.825004
LOC101927824,2.426465,2.707282,2.930861,2.810956
,3.835393,3.59344,9.218634,3.535362
lnc-KLF6-1,2.754621,2.912246,6.512273,3.171617
lnc-KLF6-6,12.06511,14.38691,3.364202,12.15948
,6.004555,3.06688,7.569891,3.275508
BEND7,138.7899,175.1432,179.5071,196.0463
LOC107984172,2.521531,3.261017,3.559142,3.439175
lnc-KIAA1462-1,2.519158,3.020506,3.342889,3.247506
lnc-ZNF32-2,2.547441,2.842386,3.11736,3.10894
LOC105378309,2.372474,2.96953,3.238185,4.104359
,2.605835,3.250349,3.711132,3.638619
lnc-JMJD1C-1,2.267895,2.779201,3.012167,2.850043
,2.482269,3.131662,3.504829,3.257838
LOC105378351,41.60556,57.90138,47.64749,44.78674
,6.258879,12.19373,8.872345,7.005849
lnc-WAPAL-1,54.40984,43.90731,60.97599,49.08475
LOC105378424,2.625017,3.253888,3.627407,3.429843
LOC107984257,4.412073,2.658883,5.747319,2.753801
LOC105378458,30.14182,32.08754,29.19685,19.37387
lnc-ABLIM1-1,2.898139,2.925665,3.244905,7.243735
lnc-CPXM2-1,3.391895,3.761598,12.23876,12.31175
,2.515854,3.249834,3.544253,3.408949
ZBED5-AS1,121.6563,179.1811,132.6696,107.0
LOC101927120,8.091483,3.104535,3.297041,8.425514
LOC101927495,2.694499,8.177887,3.339225,3.158876
LOC105369360,2.360649,4.161227,14.66942,16.93809
LOC101929295,1121.651,1047.416,672.6563,812.0692
LOC101929473,2.532311,3.251185,3.549891,13.53857
CASC23,2.746487,3.457055,3.939588,3.761114
LINC00678,2.981414,6.416711,6.679153,9.017415
CDCA5,7.549481,9.65622,14.74863,12.78206
LINC00900,5.948378,6.280288,3.617223,3.392631
LINC01150,372.2091,385.1888,338.8604,311.0686
lnc-PGAP2-1,6.760617,5.201553,7.025881,3.52146
PPP2R5B,71.45219,63.46377,63.73084,56.77064
lnc-NDUFV1-2,2.631186,3.306257,3.115386,5.101348
lnc-APOC3-2,5.581378,7.995203,9.259106,5.326491
LOC143666,26.31645,25.108,14.01944,18.48253
lnc-RHOG-2,16.37094,32.98754,23.97196,11.21064
,2.338067,2.991376,3.249182,3.092763
LOC101928443,4.914443,7.655497,103.068,113.6628
,2.747746,4.209341,3.182075,3.172684
ZPR1,2.849659,3.579474,4.047262,3.874161
lnc-APOA4-1,25.32862,24.25446,24.85356,26.40131
,3.120399,2.646181,2.878033,2.702933
lnc-B4GALNT4-1,2.274441,2.672746,2.914348,2.766587
LOC101927503,112.9295,111.3227,105.4736,66.05003
,7.433676,2.770635,3.021258,2.834005
LOC105376528,29.25445,39.63151,36.29673,24.28992
lnc-ILK-4,3.101896,3.257164,3.468416,3.353568
lnc-ADM-1,2.673779,2.895268,3.140468,3.13104
CTR9,2.851264,3.584394,4.054488,3.882844
lnc-CTR9-3,29.24905,30.18619,19.71237,20.31937
lnc-CTR9-4,2.324631,2.984087,3.234798,9.15512
LOC105379882,91.25406,121.6491,125.6022,103.8868
lnc-PDE3B-1,13.451,21.24897,13.93238,25.21884
lnc-INSC-2,3.147266,3.307459,3.508895,3.421296
LOC102724957,2.229294,3.42395,2.868634,2.695174
lnc-INSC-3,3.243476,3.724662,10.0128,21.81524
lnc-NUCB2-2,2.26366,2.664083,2.894936,2.720413
lnc-NAV2-2,3.22433,3.392327,3.580297,3.564602
,13.27015,2.998997,3.343513,3.309194
lnc-NELL1-1,3.961731,4.130347,6.947168,12.01272
LOC102723370,2.825579,3.522484,3.996368,3.852376
lnc-SLC17A6-1,2.64557,3.025245,3.432994,3.347172
lnc-METTL15-4,9.561851,15.15929,7.028404,3.43649
METTL15,4.898848,3.240723,3.634044,3.423145
lnc-C11orf74-2,2.574923,3.04507,3.38145,3.327554
LINC01493,21.7911,37.294,40.02918,20.1112
LOC105376635,2.615524,3.287917,3.635284,7.267838
LINC01499,2.56392,2.891187,3.204018,3.187478
lnc-API5-4,2.60785,2.886391,3.115634,10.93423
LOC105376642,2.429474,2.729311,2.973986,2.785673
,2.511076,3.213422,3.514761,3.328533
LOC105376650,9.964325,9.229669,5.922443,5.426302
LOC101928812,2.596993,2.948239,3.29698,5.038911
lnc-PRDM11-3,16.30937,17.62708,8.981718,12.24418
lnc-CTD-2210P24.4.1-3,44.15355,42.4088,55.44907,36.25516
LOC100507384,2.228005,2.642034,2.872145,2.698293
lnc-CTD-2210P24.4.1-1,3.34326,3.427032,3.719349,4.985165
lnc-CREB3L1-3,2.830361,3.320121,4.275709,3.046831
lnc-SERPING1-1,2.376204,2.817236,3.089449,3.405399
,2.392845,2.712253,2.954152,2.769115
LINC00301,7.550585,9.422863,3.274899,7.558182
lnc-PGA3-1,2.52813,2.81059,3.043229,3.008089
LOC105369329,14.61776,12.64394,16.53893,15.2575
lnc-LGALS12-2,53.70044,53.75473,53.83293,28.77
BCAS4,76.92513,96.78342,129.5969,112.5104
lnc-AP000769.1-1,7.145551,10.70756,22.63268,18.43604
LINC02614,9.701203,10.17898,24.84647,11.61501
LINC02614,12.82349,11.18745,24.44122,20.8435
lnc-LRP5-1,3.951237,4.698562,3.079077,2.899321
lnc-TPCN2-4,2.36274,3.055498,3.32129,3.165009
lnc-MYEOV-3,2.689773,5.135425,3.048699,7.688384
,307.7964,512.2578,485.9906,481.0227
lnc-CCND1-1,25.15408,36.98755,59.09613,53.76515
lnc-ANO1-2,3.112594,3.193094,3.463001,3.446929
lnc-NADSYN1-2,2.274627,2.619376,2.848159,2.684682
lnc-P2RY2-3,4.181586,2.833044,3.051754,2.971335
lnc-P2RY2-2,49.76912,62.75383,55.07937,35.70565
LOC105369382,9.576855,8.527835,4.378928,3.664528
LOC105369397,2.501526,3.776483,3.581548,3.406257
lnc-USP35-1,4.844451,4.437727,3.046408,3.010849
lnc-USP35-1,4.757373,7.410521,13.19937,5.73771
LOC105369405,4.251155,3.29007,3.675973,3.507283
lnc-USP35-9,5.904685,8.563695,2.959544,5.906983
lnc-USP35-10,2.845315,3.592413,4.067166,3.896856
lnc-C11orf82-4,2.258092,2.784361,3.016382,2.853524
RAB30-AS1,434.3091,617.8795,660.996,583.3527
lnc-PCF11-1,171.1436,237.8643,319.2802,242.2474
RAB30-AS1,55.74712,64.06248,121.5916,112.1703
RAB30-AS1,151.5938,246.6644,252.6147,237.3533
,3.199615,3.368672,3.559336,3.525594
LOC107984361,3.370932,3.425472,3.683062,3.487973
LOC105369427,2.600431,3.171233,3.531283,3.401375
lnc-RP11-201M22.1.1-1,6.860017,4.841505,3.942322,3.754248
,2.750735,3.441205,8.216074,4.918075
,3.224297,3.318978,3.560492,3.374818
lnc-RP11-201M22.1.1-2,2.8976,3.093994,3.306923,3.230087
LOC105369428,3.018294,3.145092,3.405987,3.197409
lnc-CCDC67-1,2.504862,3.214409,3.511136,4.439222
LOC105369436,17.00101,14.97229,12.51028,10.36178
lnc-ENDOD1-1,3.393862,3.627787,3.826535,3.752287
LOC107984377,3.218085,4.017648,3.570796,3.357283
,2.582589,2.838961,3.099109,2.898752
LOC101928477,3.097531,2.983372,3.258005,3.055662
lnc-DDI1-2,3.430859,5.135324,3.864681,3.683568
LOC102723879,3.284309,3.402674,3.595349,3.489261
LOC112267909,18.19467,49.68526,15.35249,23.32749
lnc-ZC3H12C-1,3.283383,3.359168,3.633516,3.418662
,6.438319,3.187858,3.410413,3.392329
lnc-HTR3A-1,2.562469,2.834368,3.07864,3.063268
LOC107984391,14.94252,11.37959,22.99033,12.14021
lnc-FAM55B-8,3.237797,3.119989,3.93009,3.292598
lnc-CXCR5-1,20.99547,19.27888,19.66715,13.63476
lnc-CTD-2523D13.1.1-3,2.759079,3.72422,3.183334,2.999802
lnc-CTD-2523D13.1.1-4,3.009452,3.205859,3.510423,3.294311
LOC105369526,2.384048,11.68909,4.460987,2.897426
LOC105369527,2.845525,3.143368,5.462796,5.39415
LOC105369527,3.339201,3.42218,3.712993,3.499098
LOC107984402,3.101886,2.867913,3.132787,2.933671
lnc-GRAMD1B-2,2.70495,2.933446,3.157256,3.124842
lnc-RP11-688I9.2.1-3,2.488503,2.997658,3.313651,3.196124
lnc-RP11-688I9.2.1-3,4.19306,6.916967,3.905874,3.708698
LOC101929473,4.331957,2.830041,3.090075,2.898031
LOC101929497,3.501257,11.69245,3.91679,3.77704
LINC02098,2.719584,3.132505,3.439943,3.255501
lnc-RP11-1007G5.2.1-2,8.697298,3.452856,3.920495,8.057724
lnc-C11orf44-1,56.8369,37.99612,93.44273,86.08843
LOC107984411,2.874958,3.252218,3.577407,3.379634
lnc-NTM-4,2.35469,2.719051,2.959556,2.781258
LOC100128239,2.671965,6.678968,5.406214,9.573917
lnc-GLB1L2-1,2.682733,3.412971,3.884538,3.695769
lnc-GLB1L2-1,2.725019,15.95063,3.750042,5.318917
lnc-GLB1L2-3,195.8847,214.4908,320.7105,254.0068
MRPL23-AS1,3.243741,3.962932,6.535383,4.681728
LOC107987374,577.1474,640.936,616.109,601.1156
lnc-CDKN1C-1,2.947477,5.186331,3.616893,5.627939
,2.806113,2.987791,3.258618,3.042386
,2.285449,2.699438,2.93273,4.892119
lnc-SBF2-2,3.247295,4.321611,3.594991,3.583039
LOC440028,26.28269,30.88221,29.00113,20.90355
lnc-GALNTL4-1,2.836326,2.999187,3.251519,3.241663
lnc-BTBD10-3,2280.866,3194.116,2838.006,2803.185
lnc-SOX6-1,363.5933,412.6475,467.6874,538.9973
lnc-PLEKHA7-1,3.362136,3.25919,3.53785,3.524932
LOC102723330,38.38915,29.19862,40.38869,30.52883
lnc-UEVLD-1,9.188087,3.584396,3.901064,3.725917
lnc-FANCF-1,3.139566,2.763037,3.947782,2.850875
,117.2832,91.53015,97.51638,86.68865
lnc-RP11-17A1.2.1-2,2.302623,2.788748,3.053118,2.878852
lnc-CCDC34-1,2.646886,11.15531,8.066996,2.803374
LOC105376607,2.388319,4.40571,3.306351,3.940214
DCDC1,2.750368,3.061551,3.352006,3.161237
lnc-LMO2-1,2.936183,3.080659,3.334136,3.133855
lnc-LMO2-2,2.539998,2.824116,3.623179,2.88773
APIP,3.113848,9.170617,3.99832,7.36611
LOC100507144,2.650853,7.912247,3.426581,3.223791
LOC103312105,2.60607,3.277054,12.32266,3.404032
lnc-LRRC4C-5,2.556555,2.950282,3.268566,3.241193
lnc-LRRC4C-4,2.587192,2.823644,3.078595,2.877965
,2.626029,2.960954,3.35767,6.294545
LOC105376646,9.828794,13.24773,3.030613,5.43989
LOC105376646,2.302994,2.670156,2.903858,2.726637
LOC105376649,29.53287,25.21013,23.04285,8.194125
lnc-TP53I11-2,3.22838,3.357516,3.579145,3.592652
lnc-CHST1-1,3.451128,3.498015,3.758894,3.579
,4.135674,2.751354,3.092397,3.033352
LINC02489,2.265656,2.717684,2.967784,2.799003
LOC107984330,3.400817,3.633674,3.937658,3.775495
FAM111A-DT,26.12219,23.89272,20.64883,21.13088
lnc-SLC15A3-3,2.58585,6.139499,5.162149,3.327418
lnc-FTH1-1,2.60124,4.154907,3.692126,3.533732
,7.211926,7.203762,9.874744,5.849262
