Gene_Symbol,fc,pval
X1,-1.82003663499066,3.49256006355237e-08
LOC145474,2.39301724084074,2.2521837907781e-05
LINP1,-3.33076363665832,9.4427461187092e-12
LINC01512,-1.49488683062865,0.105181622747377
LINC02381,1.67322835886357,0.0192769971918869
LINC01122,1.15246790208099,0.21302671895735
LOC100130691,1.85832382221945,0.0022375563831245
XLOC_l2_015760,2.8289266317432,0.0
MIR100HG,1.11530714004278,0.764938322798971
HIPK2,-1.22779653444445,0.288643080569597
LOC101927354,-1.21423715210999,0.427339054546357
SNORA71A,1.15681204681867,0.541515208772967
DUBR,1.47344609652346,0.024078533858505
X2,1.03160750297971,0.901784563921839
LOC101929709,1.71156453096656,0.0060795315919181
VLDLR-AS1,-1.58210616270868,0.0185810877936492
X3,-1.49863112742311,0.0518046168920942
PCAT19,1.35068725748359,0.219567228172952
X4,-1.53071606179774,0.135583211396082
SCARNA16,2.50436251479318,0.0
DET1,1.57803956264195,0.0288419146284164
LINC00877,-1.05101112294889,0.868848153311888
MIR570HG,1.09445054974359,0.786236063112172
X5,-1.78247216669495,0.0029345619518728
X6,1.84673549808955,0.0078055489241409
L3MBTL1,1.24758843100784,0.396339961096452
LINC00313,1.04001249025715,0.919104743566362
LOC101928673,1.78429898128569,0.0248993038356837
LINC02541,-1.11205013934652,0.640355139187373
MIR3150BHG,-1.58618274474387,0.0056672866708388
LINC02482,-1.16282442083375,0.705829944675562
FAM107A,-1.3452306070926,0.338809039624167
MAP3K13,-1.11617190155788,0.491016295316424
LINC00513,3.10139140434925,5.52493307514313e-12
lnc-C9orf69-2,1.16200098215566,0.493911361196485
LOC100506178,1.24418996388503,0.309644388528881
X7,1.04345287028994,0.819623159252727
CDKN2B-AS1,1.46817510295991,0.100856064293876
X8,2.00969040608464,8.70280725251765e-08
X9,-1.27831518520205,0.435417693825179
X10,-1.51453825932474,0.0945658191452942
BLCAP,-1.09364970806911,0.816893129744884
X11,1.71803765047011,0.0196187219567799
LOC653712,-1.12647542646653,0.727577424757943
MAGI2-AS3,1.21209809821908,0.249064992194523
X12,-1.22885687954435,0.538266629868781
SNHG5,1.11766492615593,0.175828086694248
X13,1.35695902000417,0.0206789540506937
PVT1,2.02367246334759,8.73225093850979e-07
MAP3K13,-1.15568750111856,0.283567689534908
ARMCX5-GPRASP2,-1.36767988232349,0.264832997742573
LINC01291,-2.1254146626568,0.001093765456118
MIR570HG,1.02116104867378,0.943254902030137
LINC00472,2.01818028021255,5.89986704600545e-06
lnc-MYC-2,4.83326256653389,0.0
DANT2,1.20652204115774,0.596902065566575
SNHG5,1.29501520545748,0.0054916466930512
PVT1,1.8603065065511,1.21700785732364e-05
lnc-AC114947.1.1-2,1.57011677844137,0.0035448497602679
LINC01137,-1.49071549324117,0.01409637290357
LOC389602,2.00505336140129,0.0005094165081771
ZNF678,1.56035407774057,0.0154330573667982
XIST,-1.53872897706433,0.136672832727038
X14,-1.50137268215137,0.11791322727759
MAGI2-AS3,-1.4216647131028,0.0930652596327818
X15,1.05107212084653,0.882074041274358
LINC01278,1.29017930985721,0.305015653368274
X16,-1.06819549558511,0.739549697515129
LOC101929563,-1.11064508426084,0.772533036292261
LOC93622,1.04545026617313,0.800504996051235
JPX,-1.40544776651,0.0021188346652079
MIR4435-2HG,-1.12261172122711,0.726004541170964
PVT1,1.253973412576,0.121442818947575
PVT1,1.17407755246779,0.362740632050824
lnc-ZNF674-3,4.18221174014625,9.72115281165479e-14
PPP4R1L,1.0656175876507,0.850326641683139
MIR4435-2HG,-1.15179931463995,0.589309601479358
SNHG11,-1.05199837206127,0.773402763563153
HCG18,1.17951865149743,0.38361573192655
SNHG11,-1.32693462236573,0.0209259040139411
RNASEH1,1.24840000639364,0.250580453350366
LINC01197,11.8661893344038,0.0
GARS-DT,1.64352035128769,0.0531351188189777
CTD-3080P12.3,-1.10566471215202,0.725152806729406
SNORA26,1.63058136827869,0.0010843173840055
LINC00513,1.9251965043567,0.0002017156094783
LINC01122,-1.04885811110112,0.845545875789401
KIF9-AS1,1.31789927516049,0.202441333892522
LINC00989,1.0976339528403,0.681793835922102
NEAT1,1.50963666616542,0.0100965691232421
TBXAS1,-1.04928400201854,0.83634918173137
LINC00887,1.21826944973948,0.468414336015183
X17,-1.22862420648313,0.443566382333024
lnc-BTBD10-3,1.06176406282519,0.808740017285068
PURPL,1.08294435063037,0.836235068760482
LINC01023,-1.17966717097793,0.486989913843101
LOC648987,-1.15547137287834,0.422961934348991
X18,-1.36077498131872,0.259333165081311
LINC01193,4.09124724596333,3.05416318447962e-12
X19,1.01922933993345,0.969734508749538
LINC01978,-1.95058217715244,1.02473377834256e-09
X20,-1.27568084985936,0.318181548580705
X21,1.28254055848808,0.060248327794337
APTR,1.24868778246022,0.246185295625432
KIAA1671,-1.26901371143648,0.467314837085772
PVT1,1.14364086756038,0.433327899227698
LINC00673,1.20028962221519,0.592073869498485
SNHG5,1.01709020672194,0.8806743400921
RFX8,-1.47137193034106,0.160439987578227
SNHG5,1.11142491566874,0.216316954796953
lnc-RAD23B-2,1.07473859558404,0.807965743334149
LINC00574,-1.24332662919233,0.462855812025652
MIR570HG,1.23343723855037,0.335701470832296
UBA6-AS1,1.35361235337271,0.32045165826419
LINC00472,2.38731672856791,6.0922325132562e-12
X22,-1.6110657829569,2.65850107580181e-06
LOC105377329,-1.32925693537967,0.325363113025003
MAVS,1.07771410457199,0.689292204128036
TALAM1,1.16534756631062,0.552944900720298
TSTD3,1.0455071644414,0.812892756590164
LINC01605,-1.90276231185738,4.68496660881171e-05
