"ProbeID","Gene_Symbol","median_diff_log2fc","fold_change","z_stat","p_value","p_value_adj"
"A_19_P00315452","",0.863304120134199,1.819199950559,6.10180168752764,1.04879453534257e-09,3.34870034425147e-08
"A_19_P00315493","LOC145474",-1.23224788851194,-0.425653710398314,-4.83610437976067,1.32408411108618e-06,2.32460951814826e-05
"A_19_P00315502","LINP1",1.71650589449909,3.28639500610364,7.37581965698608,1.63336992997125e-13,9.14461349272842e-12
"A_19_P00315543","LINC01512",0.568415721420389,1.48289425331335,2.19435757672318,0.0282097132183248,0.105354997199332
"A_19_P00315551","LINC02381",-0.73061670443991,-0.602646247427808,-2.95676455430939,0.00310885407823864,0.0190226482984242
"A_19_P00315581","LINC01122",-0.204691739607849,-0.867724073793728,-1.76852841298094,0.0769726065246661,0.212946987813721
"A_19_P00315584","LOC100130691",-0.88203531055967,-0.54260140538387,-3.68819281809963,0.000225852475983049,0.00216223934650753
"A_19_P00315603","XLOC_l2_015760",-1.49742578060049,-0.354184803627329,-8.62117962335799,6.62678636697093e-18,6.54543313596177e-16
"A_19_P00315649","MIR100HG",-0.15278122800388,-0.899514705288479,-0.533516833427964,0.593675861578548,0.766723508272327
"A_19_P00315668","HIPK2",0.294902332238385,1.22680192224207,1.55067324225987,0.120980010037107,0.289270710544891
"A_19_P00315705","LOC101927354",0.27750819531163,1.21209955233301,1.22005929042856,0.222442399518416,0.427197709729567
"A_19_P00315716","SNORA71A",-0.208754277333389,-0.865284054922865,-0.979981423197824,0.327095288601018,0.542102266041029
"A_19_P00315753","DUBR",-0.557068598804084,-0.679681801949031,-2.86686265241638,0.00414562884680925,0.024095190368515
"A_19_P00315764","",-0.0447451392671816,-0.969461062920773,-0.243972592325726,0.807252046771566,0.901987042787433
"A_19_P00315780","LOC101929709",-0.76727352972813,-0.587526760714223,-3.37278355648009,0.000744124223560762,0.00595740704582517
"A_19_P00315804","VLDLR-AS1",0.656201465651,1.57592782772334,2.96339611806472,0.00304264742313993,0.0186928564064359
"A_19_P00315810","",0.577407376383365,1.49216531260166,2.54227405218713,0.0110133782644301,0.0521236979098406
"A_19_P00315824","PCAT19",-0.427114564341094,-0.743747817895128,-1.749740250852,0.0801631448357093,0.218977413515241
"A_19_P00315841","",0.59395514453972,1.50937903902948,2.03480057349642,0.041870943355073,0.139462670547164
"A_19_P00315843","SCARNA16",-1.32287715657814,-0.399736950757513,-8.36128652056092,6.20379738232572e-17,5.36440814219752e-15
"A_19_P00315869","DET1",-0.65045979539754,-0.637077241036207,-2.8009441735865,0.00509533328279994,0.0284547019318485
"A_19_P00315936","LINC00877",0.0712376643349346,1.05061760467948,0.313794804821931,0.753676890396199,0.8689457867094
"A_19_P00315941","MIR570HG",-0.125419937131119,-0.916737162126647,-0.485182485815986,0.627546904622575,0.790468361250353
"A_19_P00315967","",0.824048432715605,1.77036696115122,3.58930026053242,0.000331566766753682,0.00297944130864681
"A_19_P00316050","",-0.865770152107935,-0.548753388347555,-3.27772523746015,0.00104647204212212,0.00788439617968473
"A_19_P00316107","L3MBTL1",-0.314431056543315,-0.804168061184247,-1.28932474166709,0.197285212953061,0.395703413133766
"A_19_P00316110","LINC00313",-0.0546005940034204,-0.962860971512828,-0.198667876786428,0.842522553711351,0.92036204693964
"A_19_P00316156","LOC101928673",-0.808724820380775,-0.570886234006396,-2.82765020323516,0.0046891012125503,0.0266578805012979
"A_19_P00316185","LINC02541",0.152566087500711,1.11154479321667,0.77995581092384,0.435416885754466,0.640694625778389
"A_19_P00316202","MIR3150BHG",0.66244974342789,1.58276793499779,3.38816169314287,0.000703627709714976,0.00570652406230123
"A_19_P00316219","LINC02482",0.207536989532415,1.15471513727008,0.640850636682595,0.52161973018721,0.712400438653748
"A_19_P00316225","FAM107A",0.413594575991899,1.33200045571121,1.40907990389945,0.158811542400553,0.343860210284578
"A_19_P00316326","MAP3K13",0.15841961657955,1.11606388905481,1.08141669328303,0.279511799329617,0.491267228336338
"A_19_P00316340","LINC00513",-1.62051015854783,-0.325220440711898,-7.47134504808116,7.93792038702945e-14,4.67011112745863e-12
"A_19_P00316344","lnc-C9orf69-2",-0.215709720323074,-0.861122434374424,-1.07555884315456,0.282124602382068,0.493936399721872
"A_19_P00316371","LOC100506178",-0.313469490714935,-0.804704223196929,-1.49613747059494,0.134617835123703,0.309953961701481
"A_19_P00316423","",-0.0613150165581509,-0.958390148434381,-0.422049320083747,0.6729890185765,0.819745697482044
"A_19_P00316427","CDKN2B-AS1",-0.54489973227371,-0.685439039047666,-2.2200859650711,0.0264129327310689,0.100576937705612
"A_19_P00316467","",-1.00516170739383,-0.498214284927594,-5.93589283883315,2.92250650170522e-09,8.55554975643776e-08
"A_19_P00316493","",0.34326778831465,1.26862685582276,1.19458767481598,0.232248167096388,0.438986072664958
"A_19_P00316528","",0.586680850444814,1.5017876683063,2.25144243420871,0.0243575290475835,0.0947549216775829
"A_19_P00316533","BLCAP",0.12386577747583,1.08965073079097,0.421022817406224,0.673738420255999,0.82028842688682
"A_19_P00316547","",-0.765338277113016,-0.588315406694048,-2.94641823162948,0.00321477402689213,0.019562378989588
"A_19_P00316564","LOC653712",0.16780369221346,1.12334703858815,0.609272539970327,0.54234380534116,0.727777643020904
"A_19_P00316625","MAGI2-AS3",-0.276980348473948,-0.825316650404212,-1.65958401579173,0.0969981661128984,0.24913968712592
"A_19_P00316682","",0.287033471361095,1.22012881763957,0.977879541762755,0.328133904603454,0.543267757839651
"A_19_P00316701","SNHG5",-0.160485126062099,-0.89472415702645,-1.89431208630842,0.058183597696404,0.176057914922444
"A_19_P00316726","",-0.4399386604775,-0.737165950297712,-2.92610713156496,0.00343232717940324,0.0206177220779085
"A_19_P00316753","PVT1",-1.01424044983468,-0.495088914043949,-5.51294121644272,3.52886121143869e-08,8.5916101919376e-07
"A_19_P00316758","MAP3K13",0.20864995658205,1.15560628592509,1.56740066063547,0.117021069652716,0.282848810867754
"A_19_P00316815","ARMCX5-GPRASP2",0.440714026314495,1.35727591146595,1.6126124400576,0.106828734089591,0.265955387388205
"A_19_P00316836","LINC01291",1.06003820264116,2.08498673151043,3.87145167623316,0.000108189107363352,0.00114294736118031
"A_19_P00316857","MIR570HG",-0.0297597872466149,-0.979583387378821,-0.14494369582676,0.884755326409831,0.944044656644391
"A_19_P00316985","LINC00472",-1.00921747306615,-0.496815650606656,-5.12960035139631,2.90357952672524e-07,5.85486932285227e-06
"A_19_P00317023","lnc-MYC-2",-2.26872244546256,-0.207513565292329,-12.9939795701987,1.32361429406742e-38,7.84419027250006e-36
"A_19_P00317094","DANT2",-0.2597924350691,-0.835208074714893,-0.851915052435274,0.394261241724676,0.604324984319088
"A_19_P00317178","SNHG5",-0.372928270018999,-0.772213526156855,-3.40053454061464,0.000672542385402275,0.00548738578928962
"A_19_P00317180","PVT1",-0.893339031504521,-0.538366657748229,-4.97714790014942,6.45280160430835e-07,1.20793662081267e-05
"A_19_P00317237","lnc-AC114947.1.1-2",-0.64900815826363,-0.637718589608614,-3.53795390078109,0.000403240453163279,0.00354099621646597
"A_19_P00317412","LINC01137",0.57383713046239,1.48847720767741,3.06864298378201,0.00215033398955818,0.0141698866806616
"A_19_P00317444","LOC389602",-0.989493250971325,-0.503654653495461,-4.10217073241258,4.09292071707014e-05,0.000489659220006747
"A_19_P00317449","ZNF678",-0.63736777666435,-0.642884834463506,-3.03313804460963,0.00242024858266832,0.0155492332262493
"A_19_P00317451","XIST",0.600311426831024,1.5160437914229,2.02816124440128,0.04254379390957,0.141027162948804
"A_19_P00317504","",0.572183622329435,1.48677220474087,2.12699868171689,0.0334201927268583,0.118998732374574
"A_19_P00317507","MAGI2-AS3",0.50312916049599,1.41728427636907,2.2592640821063,0.0238669627442568,0.0933096477489867
"A_19_P00317597","",-0.0704119071859894,-0.952366046998179,-0.283412056495478,0.776860987362699,0.882641366825907
"A_19_P00317647","LINC01278",-0.362512815251145,-0.777808650313709,-1.51124780415704,0.130725326959234,0.304277069329669
"A_19_P00317653","",0.0950173068690106,1.06807822085892,0.587091279982661,0.557142403710179,0.739549091797319
"A_19_P00317753","LOC101929563",0.146646554744911,1.10699334942276,0.518073281163693,0.604407141383131,0.774449439504684
"A_19_P00317789","LOC93622",-0.0640866856246483,-0.956550681160062,-0.463355112854135,0.643109847577545,0.800444784163466
"A_19_P00317824","JPX",0.490785660415002,1.4052099142358,3.69970982592005,0.000215846119784677,0.00207939591226549
"A_19_P00317836","MIR4435-2HG",0.16421450779913,1.12055581218303,0.616430234533969,0.537610603744772,0.724677929261937
"A_19_P00317871","PVT1",-0.326132495069917,-0.797671979379814,-2.11658636979157,0.0342949679186707,0.12142745391847
"A_19_P00317872","PVT1",-0.23104393569135,-0.852018147403806,-1.36438927255612,0.172445082343559,0.362996674242728
