"ProbeID","Gene_Symbol","x.WT_1.gProcessedSignal","x.WT_2.gProcessedSignal","median.1","std.dev.1","p.outlier.x","flag.outlier.x","y.RNA5_TLR4_1.gProcessedSignal","y.RNA5_TLR4_2.gProcessedSignal","median.2","std.dev.2","p.outlier.y","flag.outlier.y","median.diff","pooled.std.dev","z.stats"
"A_19_P00315452","",10.5895348654201,11.0335345376648,10.8115347015424,0.165222607663002,0.0569269218163679,".",9.9901518898442,9.9063092729723,9.94823058140825,0.112856717020318,0.597285453542724,".",0.863304120134199,0.141483477232443,6.10180168752764
"A_19_P00315493","LOC145474",4.58882058035391,5.96001128881902,5.27441593458646,0.31052512360968,0.00177564817805909,"**",6.59960376924716,6.41372387694965,6.50666382309841,0.182816895833632,0.473174629539068,".",-1.23224788851194,0.254801756072296,-4.83610437976067
"A_19_P00315502","LINP1",7.16688237736285,7.77175405073811,7.46931821405048,0.250038620608302,0.0848313621294379,".",5.99680317017521,5.50882146892756,5.75281231955138,0.214005920956875,0.108587909925565,".",1.71650589449909,0.232720697403887,7.37581965698608
"A_19_P00315543","LINC01512",6.0801006889521,5.87093391655724,5.97551730275467,0.284045742286482,0.604740512482868,".",5.57646443956796,5.2377387231006,5.40710158133428,0.231336169846586,0.302016422835321,".",0.568415721420389,0.259035139691864,2.19435757672318
"A_19_P00315551","LINC02381",5.85695239357714,5.45284509223871,5.65489874290792,0.29507869502723,0.334889753746537,".",6.42773839272464,6.34329250197103,6.38551544734784,0.187204286645588,0.750456737625554,".",-0.73061670443991,0.24710006191567,-2.95676455430939
"A_19_P00315581","LINC01122",12.5121000151645,12.3874834977329,12.4497917564487,0.139843473140724,0.527808252634575,".",12.5469878996718,12.7619790924413,12.6544834960565,0.0850640354341239,0.0725773140258348,".",-0.204691739607849,0.115741278514622,-1.76852841298094
"A_19_P00315584","LOC100130691",5.74772201904451,5.90930287794914,5.82851244849683,0.288808585996278,0.69402225115094,".",6.64838963307845,6.77270588503454,6.7105477590565,0.176000234772982,0.617727299989706,".",-0.88203531055967,0.23915108402986,-3.68819281809963
"A_19_P00315603","XLOC_l2_015760",8.21833871431065,8.61290946123253,8.41562408777159,0.217959153099385,0.202594014913837,".",9.97355162069151,9.85254811605265,9.91304986837208,0.11327530544145,0.447467246746511,".",-1.49742578060049,0.173691518564746,-8.62117962335799
"A_19_P00315649","MIR100HG",4.96656033858046,5.01459868363768,4.99057951110907,0.322154250217136,0.915699936110574,".",5.23402344915252,5.05269802907338,5.14336073911295,0.245413784205212,0.601489462845837,".",-0.15278122800388,0.286366274560123,-0.533516833427964
"A_19_P00315668","HIPK2",8.23333169512622,8.1085097124252,8.17092070377571,0.22644145647863,0.697195176504344,".",7.78663071020902,7.96540603286563,7.87601837153733,0.145116585778349,0.382420844529333,".",0.294902332238385,0.1901769658504,1.55067324225987
"A_19_P00315705","LOC101927354",7.10301628535883,6.49585827915752,6.79943728225818,0.265036819093702,0.104622696599486,".",6.59450697472123,6.44935119917186,6.52192908694655,0.182282054253492,0.574209738034299,".",0.27750819531163,0.227454679857528,1.22005929042856
"A_19_P00315716","SNORA71A",7.33915079210728,7.0412484842724,7.19019963818984,0.257278850318866,0.40953787873212,".",7.311162725249,7.48674510579746,7.39895391552323,0.156720919966013,0.42643159940038,".",-0.208754277333389,0.213018606671332,-0.979981423197824
"A_19_P00315753","DUBR",7.76280606395121,7.83147862266272,7.79714234330697,0.239499098691565,0.838775061425456,".",8.36663565042432,8.34178623379778,8.35421094211105,0.134741392865088,0.896344452430583,".",-0.557068598804084,0.194312970778196,-2.86686265241638
"A_19_P00315764","",8.40362642512498,8.21413209312021,8.30887925912259,0.22161778407956,0.546818530953997,".",8.31375616477186,8.39349263200769,8.35362439838978,0.134753030377271,0.675941243893814,".",-0.0447451392671816,0.183402319254954,-0.243972592325726
"A_19_P00315780","LOC101929709",6.04935920450168,6.52316700336927,6.28626310393548,0.27565655204383,0.226280610627988,".",6.92844781005279,7.17862545727442,7.05353663366361,0.16588126870219,0.285109853288234,".",-0.76727352972813,0.227489703053722,-3.37278355648009
"A_19_P00315804","VLDLR-AS1",7.1791560415243,7.29979989864446,7.23947797008438,0.256134928044896,0.737178450968917,".",6.64413829353685,6.52241471532991,6.58327650443338,0.180173163699931,0.633454039513917,".",0.656201465651,0.221435623017398,2.96339611806472
"A_19_P00315810","",7.10772643426684,6.8607327935615,6.98422961391417,0.261569969784841,0.502281743965932,".",6.75833655177188,6.05530792328973,6.4068222375308,0.186414369833405,0.00783219560834669,"*",0.577407376383365,0.227122396929088,2.54227405218713
"A_19_P00315824","PCAT19",5.95301550998857,5.7720885675229,5.86255203875574,0.287657824275981,0.658348300070021,".",6.23161668782864,6.34771651836502,6.28966660309683,0.190851389770045,0.668135427259474,".",-0.427114564341094,0.244101696885078,-1.749740250852
"A_19_P00315841","",5.17523179631457,5.33993418518852,5.25758299075155,0.311234663875565,0.707922598159854,".",4.51415056228352,4.81310513014013,4.66362784621183,0.271187021413619,0.433138683086507,".",0.59395514453972,0.291898455443778,2.03480057349642
"A_19_P00315843","SCARNA16",9.27312707871907,9.03031993350285,9.15172350611096,0.196943813885893,0.385056528997167,".",10.3952102696977,10.5539910556805,10.4746006626891,0.106192371380387,0.288956409139133,".",-1.32287715657814,0.158214546687893,-8.36128652056092
"A_19_P00315869","DET1",6.30813415702464,5.99370195018165,6.15091805360315,0.279052332889656,0.428115764946703,".",6.86854623981013,6.73420945819124,6.80137784900069,0.173176760829091,0.583320879060011,".",-0.65045979539754,0.232228761119737,-2.8009441735865
"A_19_P00315936","LINC00877",6.47303663611441,6.93414068548894,6.70358866080167,0.266837392452845,0.22157347328909,".",6.63302710996477,6.63167488296871,6.63235099646674,0.17853255570122,0.995732794737412,".",0.0712376643349346,0.227019897207539,0.313794804821931
