 Toll  Like  Receptor  4  Cascade , Interlukin-1  processing , Interlukin-1  signaling   , Interlukin-10  signaling   , Signaling  by  TGF-beta  Receptor  Complex ,Glycolisis, Regulation  of  lipid  metabolism  by  PPARalpha , Mitochondrial  Fatty  Acid  Beta-Oxidation , Binding  and  uptake  of  ligands  by  scavenger  receptor   , Unfolded  Protein  Response   , Cellular  Senescence 
TLR4,,,,,,,,,,
,CTSG,,,,,,,,,
,,MAP2K6,,,,,,,,MAP2K6
,,UBA52,,UBA52,,,,,,UBA52
,,LRRC14,,,,,,,,
,,,IL10,,,,,,,
,,,CCR2,,,,,,,
,,,TIMP1,,,,,,,
,,,,SMAD3,,,,,,
,,,,YBX1,,,,,,
,,,,TGFBR2,,,,,,
,,,,ITGB5,,,,,,
,,,,NEDD4L,,,,,,
,,,,TGFB1,,,,,,
,,,,LTBP2,,,,,,
,,,,TGFBR1,,,,,,
,,,,TGFB2,,,,,,
,,,,SKI,,,,,,
,,,,TGFBR3,,,,,,
,,,,WWTR1,,,,,,
,,,,,PRKACB,,,,,
,,,,,PGK1,,,,,
,,,,,SEC13,,,,,
,,,,,GPI,,,,,
,,,,,HK3,,,,,
,,,,,,CD36,,CD36,,
,,,,,,TNFRSF21,,,,
,,,,,,RXRA,,,,
,,,,,,PPARGC1A,,,,
,,,,,,ABCB4,,,,
,,,,,,PLIN2,,,,
,,,,,,HMGCR,,,,
,,,,,,FAM120B,,,,
,,,,,,,PCCA,,,
,,,,,,,MECR,,,
,,,,,,,THEM4,,,
,,,,,,,ACOT11,,,
,,,,,,,,STAB1,,
,,,,,,,,MARCO,,
,,,,,,,,COLEC12,,
,,,,,,,,CD163,,
,,,,,,,,MSR1,,
,,,,,,,,SPARC,,
,,,,,,,,CALR,CALR,
,,,,,,,,,EIF2S3,
,,,,,,,,,,H3-3A
,,,,,,,,,,FOS
,,,,,,,,,,CDK4
,,,,,,,,,,RBBP4
,,,,,,,,,,H3C1
,,,,,,,,,,CCNA2
,,,,,,,,,,ATM
,,,,,,,,,,MAPKAPK3
,,,,,,,,,,ID1
,,,,,,,,,,E2F2
,,,,,,,,,,H4C4
