NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS	REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS	Details ...	56	0.40156308	1.3092024	0.026871402	0.9809891	1.0	3924	tags=39%, list=24%, signal=52%	
REACTOME_SIGNALING_BY_LRP5_MUTANTS	REACTOME_SIGNALING_BY_LRP5_MUTANTS	Details ...	6	0.693472	1.3073334	0.12450593	0.9783277	1.0	4015	tags=50%, list=25%, signal=66%	
REACTOME_VISUAL_PHOTOTRANSDUCTION	REACTOME_VISUAL_PHOTOTRANSDUCTION	Details ...	92	0.4257264	1.3058386	0.13645224	0.97513807	1.0	3511	tags=32%, list=22%, signal=40%	
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	Details ...	52	0.40456477	1.3042434	0.10444874	0.97419673	1.0	3971	tags=42%, list=24%, signal=56%	
REACTOME_SUMO_IS_CONJUGATED_TO_E1_UBA2_SAE1	REACTOME_SUMO_IS_CONJUGATED_TO_E1_UBA2_SAE1	Details ...	5	0.6465276	1.3009765	0.10139165	0.9797364	1.0	4461	tags=60%, list=27%, signal=83%	
REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES	REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES	Details ...	37	0.5099116	1.2979609	0.0	0.9850287	1.0	3752	tags=41%, list=23%, signal=53%	
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1	Details ...	31	0.53156936	1.2960353	0.12915851	0.9863526	1.0	3142	tags=39%, list=19%, signal=48%	
REACTOME_ANDROGEN_BIOSYNTHESIS	REACTOME_ANDROGEN_BIOSYNTHESIS	Details ...	10	0.5777462	1.2948328	0.21621622	0.98047423	1.0	2565	tags=30%, list=16%, signal=36%	
REACTOME_TRANSPORT_OF_ORGANIC_ANIONS	REACTOME_TRANSPORT_OF_ORGANIC_ANIONS	Details ...	12	0.6413344	1.2917054	0.16190477	0.9857808	1.0	2393	tags=42%, list=15%, signal=49%	
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	Details ...	51	0.47559887	1.2909029	0.15264188	0.9789214	1.0	1626	tags=31%, list=10%, signal=35%	
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS	REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS	Details ...	33	0.40495607	1.2906425	0.07322176	0.96784574	1.0	1455	tags=15%, list=9%, signal=17%	
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	Details ...	24	0.49985102	1.2858899	0.14559387	0.9863057	1.0	2710	tags=46%, list=17%, signal=55%	
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_UNSATURATED_FATTY_ACIDS	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_UNSATURATED_FATTY_ACIDS	Details ...	5	0.77036566	1.2858007	0.07465619	0.97443706	1.0	3335	tags=80%, list=21%, signal=101%	
REACTOME_SIGNALING_BY_RETINOIC_ACID	REACTOME_SIGNALING_BY_RETINOIC_ACID	Details ...	42	0.4838248	1.2841132	0.14430894	0.9744553	1.0	3949	tags=48%, list=24%, signal=63%	
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	Details ...	9	0.5544812	1.2840493	0.18699187	0.96284103	1.0	432	tags=22%, list=3%, signal=23%	
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	Details ...	38	0.5221056	1.2810589	0.20196079	0.9710966	1.0	1603	tags=37%, list=10%, signal=41%	
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS	REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS	Details ...	6	0.7821049	1.2801107	0.11025145	0.96485853	1.0	3532	tags=67%, list=22%, signal=85%	
REACTOME_N_GLYCAN_TRIMMING_AND_ELONGATION_IN_THE_CIS_GOLGI	REACTOME_N_GLYCAN_TRIMMING_AND_ELONGATION_IN_THE_CIS_GOLGI	Details ...	5	0.72260344	1.2792519	0.13976377	0.9571415	1.0	3136	tags=60%, list=19%, signal=74%	
