NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_DEATH_RECEPTOR_SIGNALLING	REACTOME_DEATH_RECEPTOR_SIGNALLING		124	-0.4279494	-1.3016493	0.122137405	0.39346284	1.0	3386	tags=40%, list=21%, signal=50%	
REACTOME_THE_NLRP3_INFLAMMASOME	REACTOME_THE_NLRP3_INFLAMMASOME		15	-0.5468202	-1.2977359	0.061185468	0.4023296	1.0	1717	tags=33%, list=11%, signal=37%	
REACTOME_OTHER_INTERLEUKIN_SIGNALING	REACTOME_OTHER_INTERLEUKIN_SIGNALING		21	-0.5174881	-1.2965038	0.13384321	0.40431732	1.0	1477	tags=19%, list=9%, signal=21%	
REACTOME_DEADENYLATION_OF_MRNA	REACTOME_DEADENYLATION_OF_MRNA		19	-0.4481879	-1.2932057	0.12992126	0.41148168	1.0	2269	tags=37%, list=14%, signal=43%	
REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA	REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA		8	-0.55608106	-1.2926607	0.11900192	0.411235	1.0	350	tags=25%, list=2%, signal=26%	
REACTOME_IRS_ACTIVATION	REACTOME_IRS_ACTIVATION		5	-0.8230366	-1.2906486	0.1237525	0.41392213	1.0	2878	tags=80%, list=18%, signal=97%	
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS	REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS		13	-0.6334406	-1.2903891	0.18307087	0.41321576	1.0	3707	tags=54%, list=23%, signal=70%	
REACTOME_INLB_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELL	REACTOME_INLB_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELL		15	-0.48648587	-1.290095	0.1009901	0.41249028	1.0	4149	tags=53%, list=26%, signal=72%	
REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM	REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM		9	-0.63753355	-1.2898812	0.076620825	0.41149968	1.0	2694	tags=33%, list=17%, signal=40%	
REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING	REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING		22	-0.5101691	-1.2898681	0.15264188	0.40998647	1.0	1522	tags=32%, list=9%, signal=35%	
REACTOME_SIGNALING_BY_NOTCH3	REACTOME_SIGNALING_BY_NOTCH3		42	-0.47089493	-1.289651	0.15445544	0.409223	1.0	3900	tags=45%, list=24%, signal=59%	
REACTOME_SIGNALING_BY_WNT	REACTOME_SIGNALING_BY_WNT		254	-0.3392503	-1.2888132	0.0	0.40994567	1.0	3481	tags=31%, list=21%, signal=38%	
REACTOME_MODULATION_BY_MTB_OF_HOST_IMMUNE_SYSTEM	REACTOME_MODULATION_BY_MTB_OF_HOST_IMMUNE_SYSTEM		7	-0.66867113	-1.2886964	0.17624521	0.40858513	1.0	2059	tags=57%, list=13%, signal=65%	
REACTOME_GAP_JUNCTION_DEGRADATION	REACTOME_GAP_JUNCTION_DEGRADATION		12	-0.58254725	-1.2882848	0.21747573	0.40781957	1.0	5164	tags=58%, list=32%, signal=85%	
REACTOME_REGULATION_OF_PTEN_MRNA_TRANSLATION	REACTOME_REGULATION_OF_PTEN_MRNA_TRANSLATION		5	-0.7387977	-1.286324	0.17202269	0.4115056	1.0	1221	tags=40%, list=8%, signal=43%	
REACTOME_NOTCH2_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	REACTOME_NOTCH2_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION		10	-0.621922	-1.2847066	0.18336484	0.41350278	1.0	4591	tags=80%, list=28%, signal=111%	
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION	REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION		22	-0.46112424	-1.2834563	0.17979798	0.41702712	1.0	2912	tags=45%, list=18%, signal=55%	
REACTOME_SUMOYLATION_OF_DNA_METHYLATION_PROTEINS	REACTOME_SUMOYLATION_OF_DNA_METHYLATION_PROTEINS		16	-0.5240235	-1.2828095	0.07569721	0.41729975	1.0	5372	tags=81%, list=33%, signal=121%	
REACTOME_PURINE_SALVAGE	REACTOME_PURINE_SALVAGE		12	-0.5987941	-1.2827389	0.20641282	0.41588467	1.0	27	tags=8%, list=0%, signal=8%	
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS		53	-0.39733014	-1.2797359	0.02739726	0.42268986	1.0	2918	tags=30%, list=18%, signal=37%	
REACTOME_EGFR_DOWNREGULATION	REACTOME_EGFR_DOWNREGULATION		30	-0.43912056	-1.2789761	0.125	0.4229424	1.0	4149	tags=50%, list=26%, signal=67%	
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES		36	-0.44316104	-1.2788768	0.026156941	0.42171273	1.0	1340	tags=25%, list=8%, signal=27%	
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY		51	-0.42626315	-1.2788285	0.0	0.42028993	1.0	2561	tags=31%, list=16%, signal=37%	
REACTOME_PTK6_REGULATES_PROTEINS_INVOLVED_IN_RNA_PROCESSING	REACTOME_PTK6_REGULATES_PROTEINS_INVOLVED_IN_RNA_PROCESSING		5	-0.5649932	-1.276684	0.11530815	0.4251193	1.0	866	tags=40%, list=5%, signal=42%	
REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF	REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF		11	-0.6110338	-1.2766653	0.14398421	0.4238251	1.0	4477	tags=45%, list=28%, signal=63%	
REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING		13	-0.5657538	-1.2762139	0.10040161	0.42396063	1.0	350	tags=15%, list=2%, signal=16%	
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION	REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION		80	-0.39687988	-1.2752681	0.088757396	0.4250538	1.0	3575	tags=40%, list=22%, signal=51%	
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS		154	-0.36500093	-1.2750045	0.0	0.42399222	1.0	2677	tags=27%, list=16%, signal=32%	
