NAME	TITLE	SCORE	
CDKN2B	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	1.3917636	
SNORA39	small nucleolar RNA, H/ACA box 39	1.3881371	
LOC646903	-	1.3857626	
MAOA	monoamine oxidase A	1.3817025	
ZNF729	zinc finger protein 729	1.37308	
TSPAN7	tetraspanin 7	1.3719232	
RAI14	retinoic acid induced 14	1.3641667	
HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	1.3619442	
IL1R2	interleukin 1 receptor, type II	1.3592155	
G6PC	glucose-6-phosphatase, catalytic subunit	1.3469514	
KRT10	keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris)	1.3463069	
LEF1	lymphoid enhancer-binding factor 1	1.3389143	
COL16A1	collagen, type XVI, alpha 1	1.3292917	
EXTL1	exostoses (multiple)-like 1	1.3271023	
GALNT11	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)	1.3205404	
SEMA6B	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B	1.3186545	
MPG	N-methylpurine-DNA glycosylase	1.3161114	
RAB37	RAB37, member RAS oncogene family	1.3103298	
CYBRD1	cytochrome b reductase 1	1.3054845	
CSAD	cysteine sulfinic acid decarboxylase	1.3027669	
PADI2	peptidyl arginine deiminase, type II	1.300493	
ARHGEF2	rho/rac guanine nucleotide exchange factor (GEF) 2	1.300093	
CDCA3	cell division cycle associated 3	1.2990408	
STK19	serine/threonine kinase 19	1.2956283	
LTBP1	latent transforming growth factor beta binding protein 1	1.2951458	
TDRD9	tudor domain containing 9	1.2910582	
SLC35A3	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3	1.2818815	
CNGA1	cyclic nucleotide gated channel alpha 1	1.2795337	
KLHL3	kelch-like 3 (Drosophila)	1.2752578	
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	1.2675971	
ADORA3	adenosine A3 receptor	1.2651749	
AKAP6	A kinase (PRKA) anchor protein 6	1.2644093	
PGF	placental growth factor, vascular endothelial growth factor-related protein	1.2619466	
PGBD3	piggyBac transposable element derived 3	1.2600464	
YOD1	YOD1 OTU deubiquinating enzyme 1 homolog (S. cerevisiae)	1.2600461	
ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	1.2596295	
CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1	1.2591645	
SCGN	secretagogin, EF-hand calcium binding protein	1.2586536	
SLC41A3	solute carrier family 41, member 3	1.2584524	
CENPP	centromere protein P	1.2573702	
SPAG9	sperm associated antigen 9	1.256952	
ZNF425	zinc finger protein 425	1.2542441	
KLHL7	kelch-like 7 (Drosophila)	1.2536262	
LOC728040	-	1.2520123	
PLTP	phospholipid transfer protein	1.2511463	
PHF21A	PHD finger protein 21A	1.23984	
SLC28A2	solute carrier family 28 (sodium-coupled nucleoside transporter), member 2	1.2389654	
