NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	11	10		
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	50	48		
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	13	12		
REACTOME_METHIONINE_SALVAGE_PATHWAY	6		Rejected!	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	9	9		
REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING	22	22		
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	10	10		
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING	14	14		
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	32	30		
REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING	9	9		
REACTOME_INTERLEUKIN_7_SIGNALING	36	23		
REACTOME_DEVELOPMENTAL_BIOLOGY	1143		Rejected!	
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	65	49		
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	719		Rejected!	
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	825		Rejected!	
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	16	16		
REACTOME_CA2_ACTIVATED_K_CHANNELS	9	9		
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	35	35		
REACTOME_POTASSIUM_CHANNELS	103	103		
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	43	43		
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS	12	12		
REACTOME_SPERM_MOTILITY_AND_TAXES	9	6		
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING	6		Rejected!	
REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING	5	5		
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	13	13		
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX	19	16		
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1	16	12		
REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS	13	8		
REACTOME_RORA_ACTIVATES_GENE_EXPRESSION	18	15		
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION	27	20		
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	18	18		
REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS	16	13		
REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA	9	8		
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	13	7		
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND	16	16		
REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	5	5		
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	23	23		
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	22	22		
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	39	39		
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	21	19		
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	178	131		
REACTOME_SIGNALING_BY_SCF_KIT	43	43		
REACTOME_REGULATION_OF_KIT_SIGNALING	16	16		
REACTOME_REGULATION_OF_SIGNALING_BY_NODAL	11	11		
REACTOME_COLLAGEN_DEGRADATION	64	59		
REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE	72	58		
REACTOME_BETA_DEFENSINS	42	31		
REACTOME_DEFENSINS	52	39		
REACTOME_ALPHA_DEFENSINS	10	8		
REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION	10	10		
REACTOME_REPRODUCTION	145	73		
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	140	132		
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	301	284		
REACTOME_COLLAGEN_FORMATION	90	80		
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	12	12		
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	27	21		
REACTOME_ACYL_CHAIN_REMODELING_OF_CL	6	5		
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	22	19		
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	29	21		
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	7	6		
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	17	14		
