"sample","Donante","Tratamiento","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"GSM758966","M20","Estrogeno",-1.00760162601577,1.37413765738537,-0.457430709278388,0.127824174178393,-0.0165606783909392,-0.0752577444737202,-0.347236890485857,-0.0178079732674355,-0.223167954556597,-0.280237789561431,-0.0397430868690533
"GSM758967","M20","Progesterona",-0.957679294481533,1.33963795686977,-1.04517510829188,0.575547296333863,0.249172262456419,0.054559910423865,-0.152438949269036,0.0275491450521428,-0.414639381854108,0.266303140671084,0.112915887475361
"GSM758902","M20","Combo",0.621279820815785,-0.350985311893979,1.15682847152729,1.5774981313189,-1.35894771197931,-0.807736333095196,0.232507036663052,-0.398982175322741,0.0472050238344195,0.168596080661702,0.0479258786889788
"GSM758970","M21","Estrogeno",4.2388931967094,0.940000298857461,-0.646269178534652,0.863909535921685,0.280163650809664,-0.14004103701957,0.424983821022394,0.176897806019725,0.253470494941162,0.0784701033328328,-0.171811936049604
"GSM758971","M21","Progesterona",2.99800932119557,2.05898140819713,-0.6547685726378,0.331724995852126,0.514795787792824,0.188765664888895,0.0537688428675692,-0.218993073045917,-0.11863985020747,-0.177513254354295,-0.0659310283262615
"GSM758974","M21","Combo",1.00475025323059,0.792862411780487,1.49561070126985,0.462406359040803,0.64959445762583,-0.117458892160973,-0.535740938615563,0.0895586255326195,0.361767383875584,-0.134557202516279,0.0785782113894531
"GSM758911","M23_excluido","Estrogeno",-0.426513319124875,0.352502712852017,0.465042536628719,-1.39593335392159,-0.713809507748716,0.319354295498873,-0.365476208963103,0.097371791435422,0.224073228054176,0.118015521438195,-0.185959813990525
"GSM758912","M23_excluido","Progesterona",0.703686419924534,-0.00346643487861564,-0.90284940241846,-1.15796269560223,-0.839188136829087,0.51810481414329,-0.217622589671676,-0.533980358038328,-0.0403952772190695,0.077446798290405,-0.0663530570960083
"GSM758922","M23_excluido","Combo",2.21034560290454,-4.1944234003124,-0.516283950983405,0.713819386355828,0.446820278184831,0.624183857426528,0.00882548912494421,-0.047896350391901,-0.12114073637664,-0.093021810774279,-0.0652099424348523
"GSM758925","M24","Estrogeno",-3.25765029155797,-1.18385730875204,-0.84862771973909,-0.324061119089664,0.763962861734442,-1.49810175320091,-0.433810159425209,0.0182145840159152,0.0152927433120034,0.0772081705374965,-0.136532253033536
"GSM758926","M24","Progesterona",1.38688203580192,-0.562875889264351,-1.62158194662923,-0.620948131396634,-0.0322594594548185,-0.02435468936858,-0.304301997018839,-0.0195971795583525,0.350084121376296,0.000549892207195729,0.309249546644992
"GSM758905","M25","Estrogeno",-0.922180014084307,0.0207218287795644,-0.945823932444748,0.406859019185815,-0.258176226209872,0.372996465229479,-0.0200990352090085,0.50875223670542,-0.0946182587716799,0.182973068355609,0.0311066340483234
"GSM758906","M25","Progesterona",-5.8982089026154,0.0250892446969091,-0.577450751430294,0.766056327417534,-0.527699709974825,0.3921597676563,0.451537027318155,-0.0281491670394597,0.170720602683787,-0.331507890441275,-0.00537818182190442
"GSM758909","M25","Combo",-1.7161216083917,-0.017665671377749,1.75876025119268,0.320611401548489,0.0644553676164685,0.725549008379256,-0.169972355119346,0.402382507540496,0.0105334523439664,0.171058403339869,-0.0130410341979105
"GSM758958","M27","Estrogeno",2.77614238376869,-0.535615377686993,0.962032347319991,-1.13035384277081,-0.832748375272491,-0.6833982430144,0.270033625433564,0.477196231146423,-0.306320984515038,-0.248783756291396,0.0663088097858656
"GSM758959","M27","Progesterona",-1.21608878151513,0.186359889619054,0.255073016652189,-1.16742579385124,0.80704564134746,-0.0734668389571502,1.29807142577904,-0.0960496157832462,0.0748471115974569,0.118310103620322,0.0449061112177375
"GSM758962","M27","Combo",-0.537945196564367,-0.241404014871618,2.12291394779722,-0.349571690521264,0.803379498292116,0.224141747644006,-0.193028144431091,-0.436467035000768,-0.189071718518239,0.00669042148425034,0.0589692545689483
