"","GSM758966","GSM758967","GSM758902","GSM758970","GSM758971","GSM758974","GSM758911","GSM758912","GSM758922","GSM758925","GSM758926","GSM758905","GSM758906","GSM758909","GSM758958","GSM758959","GSM758962"
"EIF1AY",0.469998511430338,0.499092337443803,0.472248868295446,0.751594374696253,0.715144913569647,0.613956578198985,0.528591962124524,0.649240020474316,1,0.482652434978838,0.693609420237456,0.486855419386916,0,0.456028878645374,0.797087741869153,0.439007446490689,0.659400967828397
"KDM5D",0.54177526009936,0.454247796698952,1,0.861222840774866,0.795825461645434,0.855422993733525,0.769053517009316,0.79847931978524,0.867118985856859,0,0.591441322451457,0.547747939696893,0.276820833821095,0.809581471249674,0.896894489270046,0.332344293840629,0.80055413708155
"RPS4Y2",0,0.0316851499920315,0.836500090930649,0.406262606225406,0.0113488339627911,0.15536703369736,0.0971250094975711,0.191138382952042,1,0.357148461589997,0.302871262184826,0.261202874533083,0.119438448745604,0.18959762798705,0.648141809997024,0.137357911355517,0.1856045026183
"TBL1Y",0.588514335554862,0.716848466103315,0.33804059408606,0.783543159206267,0.763095333528625,0.119482135579455,0.585695639014673,0.973055443728713,0.70644815848587,0.375080159176301,1,0.776431605097142,0.480155728335434,0.123015282388075,0.586777709965545,0.457401647570286,0
"TMSB4Y",0.567405817525013,0.416343713161879,0.570588326592897,0.89301740896606,0.826234064341014,0.66770638567139,0.652599843342386,0.684710423813712,0.5403187199003,0.401146565850885,0.769964636904431,0.439929901782612,0,0.291785773263456,1,0.373002771647317,0.409279761410486
"UTY",0,0.0295287876278413,0.0723323625942622,0.197271563013871,0.00668337063631527,0.152342205594211,0.0944949316109268,0.187029245659861,1,0.352971544200469,0.42670015336378,0.256625883954728,0.17387097725031,0.185314802205911,0.129648053935677,0.137911630320351,0.183901032224362
"DDX3X",0.47852813997431,0.505081932425084,0.614940644249616,1,0.920412976348807,0.811443091559564,0.435020933421517,0.452703230679493,0.641595818366908,0.136736252061653,0.597956455810359,0.449699261528765,0,0.532402166272747,0.863993913204236,0.602217515845807,0.666367712103258
"EIF1AX",0.39198240979522,0.371799987535831,0.477571173251616,1,0.903919280721357,0.546014175706245,0.484444034173583,0.668185773538168,0.811361913333707,0.163893346133046,0.638762891582444,0.362381632451428,0,0.299637753292278,0.806536995896604,0.733063573377219,0.554820760483676
"RPS4X",0.438638699425948,0.505628430994075,0.502977793944104,1,0.835426769425935,0.629937401910034,0.441026725077953,0.420532701134126,0.494472922504359,0.0730461790167071,0.505090930496365,0.523500460370178,0,0.45348373576531,0.644600639559586,0.335686870496838,0.336390874132858
"TMSB4X",0.518358238347996,0.533164662374073,0.708416775686023,1,0.875810931940554,0.774211508214725,0.740868597533621,0.815880080623868,0.737438245999721,0.519083863628529,0.888605078128305,0.501742147070025,0,0.443452256881319,0.934062588154461,0.637676874809504,0.657508365266996
"ZFX",0.557041850623852,0.694487444469283,0.636978551165331,1,0.950509231800395,0.539049148904677,0,0.288598809672261,0.430971021149509,0.264633427169529,0.514974982334195,0.448233459974713,0.195009682548415,0.0948414345321371,0.122860481033145,0.0385863525119632,0.125583167339146
