"gene","PC1","PC2","PC3","PC4","PC5","PC6"
"EIF1AY",0.55147807634406,0.0464180713431293,0.00304521708208688,0.577646934718396,-0.00256635107212264,0.600021210683571
"KDM5D",0.410970017271114,0.269349780441671,-0.501872994361831,-0.317996100948908,0.630838187146315,-0.0871751090032984
"RPS4Y2",0.41277583916692,-0.464414448092086,-0.180707504415265,-0.564925109058285,-0.471611064633016,0.199305669067823
"TBL1Y",0.22359726828303,0.182521328618556,0.818308203154282,-0.399011241877286,0.248590342046934,0.161414935996112
"TMSB4Y",0.459309049002578,0.480917583489275,0.0742449003937315,0.108389379999767,-0.469085240633586,-0.566084754682288
"UTY",0.30924285268506,-0.667097834895515,0.200794425836864,0.274050891087825,0.312700300697901,-0.496130594028606
