"sample","Donante","Tratamiento","PC1","PC2","PC3","PC4","PC5","PC6"
"GSM758966","M20","Estrogeno",-1.09764370533506,0.975700871199641,0.325044296480258,0.136896636846899,-0.0657937477534959,0.00145959508917787
"GSM758967","M20","Progesterona",-1.25576261363055,0.541918875566451,0.810986563589323,0.0493307658884357,0.114743381862002,0.491867307844449
"GSM758902","M20","Combo",0.724055874486117,-0.276266496055818,-1.70278084227428,-1.61690881039636,-0.485020980845054,0.138605278075958
"GSM758970","M21","Estrogeno",1.73389043989175,0.896227665960294,0.293914192480322,-0.16534763816579,-0.17585470670361,-0.0885279563416813
"GSM758971","M21","Progesterona",0.575572795441977,1.86541138999107,0.421898166667865,0.364032386733052,0.173458603564958,0.105514353892889
"GSM758974","M21","Combo",0.0116557044970735,0.535401643106037,-1.51834004928073,0.720220429209876,0.0270240179863534,-0.403158203495279
"GSM758911","M23_excluido","Estrogeno",-0.173175376183921,0.953840495465442,-0.06144219479417,-0.0111933851020918,0.270688293310831,-0.239530948418602
"GSM758912","M23_excluido","Progesterona",0.803219992741885,0.898396796934749,1.00769511337026,-0.31121065836264,0.57883093581151,0.101363376753116
"GSM758922","M23_excluido","Combo",3.59226506142938,-3.05251449271396,0.282528561536506,0.23347960109434,0.550002455128691,0.0826402146051715
"GSM758925","M24","Estrogeno",-1.38803802674224,-1.61944589110729,0.768443274972836,0.747723710637931,-1.31758236207067,-0.0269675514997586
"GSM758926","M24","Progesterona",1.26184237998147,0.0147459624183082,1.63493171780343,0.119180430867862,0.0896905428285115,-0.32230471344106
"GSM758905","M25","Estrogeno",-0.421306994854282,-0.307099980534881,0.862635556744703,-0.350321997729408,0.269525123390502,0.0794689495089247
"GSM758906","M25","Progesterona",-3.47215493892792,-1.26925607665218,0.412295285559748,-0.962497960396328,0.348103877039716,-0.28078868056297
"GSM758909","M25","Combo",-1.07912487681766,-0.43158806935092,-1.5318003277676,0.144202459274213,0.632346959368299,-0.0112318985653713
"GSM758958","M27","Estrogeno",2.21409700270749,0.831259674232871,-0.505342818959049,-0.321907252095343,-0.954563050229486,-0.0154592557515235
"GSM758959","M27","Progesterona",-1.58393416050727,-0.324585234399708,0.321159447239138,0.287484547291561,-0.338444453785222,0.159035344714025
"GSM758962","M27","Combo",-0.445458558178256,-0.232147134060106,-1.82182594336855,0.936836734403791,0.282845111096158,0.228014787592527
