"Symbol","logFC","AveExpr","P.Value","adj.P.Val"
"SELENOP",-10.413917076048,11.4080999726589,1.56222694100508e-07,0.000582652212952729
"A2M",-10.3968050208856,11.6870439410307,7.13963502187382e-07,0.000582652212952729
"APOE",-9.76803891210036,13.3131325921617,9.45294387171714e-06,0.00111442147597732
"SPP1",-9.51560483733515,10.7393969369815,3.16425685845127e-07,0.000582652212952729
"SLCO2B1",-8.68564713776426,10.3303878267143,3.1039921622792e-07,0.000582652212952729
"RNASE1",-8.50443866629625,13.5814933993853,2.71394057497686e-06,0.000619138595376413
"APOC1",-8.30918643747401,10.1212387311526,5.25251050230556e-06,0.000858926663645838
"NUPR1",-7.79227229384183,10.266622085554,1.98713714267844e-05,0.00136127845341683
"PLTP",-7.77245095382843,11.2406326742081,1.48781508730564e-06,0.000600266002738161
"RGS1",-7.61750127643449,10.5432706497881,0.000125978286438111,0.0028141932237327
"PAEP",-7.60197096692536,9.74023341732605,1.92688918423721e-05,0.00135924231222978
"IGF2",-7.60047149746136,9.81856720182356,0.000287424936053758,0.00423151832285146
"C1QB",-7.46830587870002,13.8246724527867,7.20119743787458e-05,0.00217725269652478
"CCL18",-7.35977899520703,9.5074544401089,0.000762709323213185,0.00694946975347108
"C1QC",-7.35703333912759,10.4519987085799,7.58278070824648e-06,0.000969066630344643
"C3",-7.04999809005781,11.9405458074321,4.53512434280082e-05,0.00187418942949225
"GPNMB",-6.87618224963394,11.0293672276768,2.87216876466035e-05,0.00164735045711405
"HPGDS",-6.65245889326404,9.44961721086517,1.49392840525688e-06,0.000600266002738161
"CCL13",-6.62816409489361,9.38188819720794,3.43971346921692e-06,0.000695052262422926
"C1QA",-6.45945953681495,12.8947134921059,3.91385343051145e-05,0.00178209230452749
"LILRB5",-6.25620757128357,10.1192538127731,1.77772211498289e-06,0.000600266002738161
"TREM2",-6.19296658519175,9.4941229972235,6.27244205109889e-07,0.000582652212952729
"CCL4",-6.09113555949924,12.4975181605552,0.000202858246380587,0.00359338218713332
"IGF1",-5.90902278622804,9.08829914341224,7.81341329286748e-07,0.000582652212952729
"CCL2",-5.80685669297479,10.4529653774066,3.14216088316224e-05,0.00169053696626155
"DAB2",-5.75467973950108,11.5204767820196,9.75285136971894e-07,0.000582652212952729
"DHRS3",-5.72308551655816,9.84851167297635,3.12087580148556e-06,0.000678032559842748
"IFI27",-5.59249288479588,10.177050426917,0.000241075382701649,0.00396739514261542
"ENPP2",-5.50462527754219,9.23830062316813,5.86579019881403e-05,0.00204162671207463
"FOLR2",-5.46599412692413,13.1989297631933,2.11079809290624e-06,0.000619138595376413
"CADM1",-5.43689434849153,8.53111722373232,1.12197128421435e-06,0.000582652212952729
"VSIG4",-5.40957279774439,12.9701457543708,2.01350798483834e-05,0.00137315827055701
"GATM",-5.4034172617772,9.58570189495659,7.23834235851301e-06,0.000943181239860044
"CXCL12",-5.397613391869,8.8727551671014,4.26357733731969e-06,0.000745292921217907
"ITGB5",-5.35901909170491,9.62871458491635,6.95061262852163e-06,0.000943181239860044
"SLC2A5",-5.33610445620389,9.9720339319676,9.73758482185137e-05,0.00251424770748244
"SLC1A3",-5.14800914739448,10.2981780836271,5.10162520541547e-05,0.00197922235010098
"CCL3",-5.10987341768851,14.645732399437,0.00100689102316465,0.00785271727194256
