"gene","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"EIF1AY",0.353082339154353,-0.266790446176212,0.000744860124522153,-0.159825072832491,0.301195407260277,0.0378737380274635,-0.412703438913426,-0.0610864681556559,-0.698390781865448,0.115666829047874,-0.106178307001443
"KDM5D",0.295509962847261,-0.0229972907709013,0.417659034146977,0.182672446209449,-0.51613490420805,0.539572309319778,-0.243527107792007,-0.275117548650084,0.075543415832631,-0.0744523810892056,0.023624059974161
"RPS4Y2",0.152635408528527,-0.574081863012389,0.0913408823421772,0.329906174625062,-0.410641913260101,-0.456356042649422,0.329151195919122,0.0784806515843654,-0.162480744722985,0.109864688467551,-0.00967587548003341
"TBL1Y",0.147690117339747,0.00970748839525724,-0.764351550459292,-0.189625535540288,-0.40807511861389,0.285311761513086,0.131823701930758,0.0358216981018536,-0.150844981634895,0.0883859423633301,0.246469446511749
"TMSB4Y",0.367244036009876,0.0972289377239565,-0.0634462202686198,-0.275190604884095,-0.22531427581405,-0.394931455853437,-0.305018889010821,0.230729415948567,0.164340214132797,-0.6219949912682,-0.0950137932721897
"UTY",0.0572906372409105,-0.669797426833107,-0.202863037428815,0.10405328765744,0.337914237648017,0.298541741564714,-0.155614318149985,0.145594712513715,0.46517597592899,-0.164526483749019,0.0626434277625245
"DDX3X",0.371233954955756,0.13962632159733,0.235897354635084,0.0723602813803816,0.259564806951216,0.0435333013216418,0.289221711598521,0.21156943108495,-0.0934256810358842,-0.138684585942257,0.745764464521918
"EIF1AX",0.376303168236071,-0.0143671864238454,-0.0155914390063696,-0.192466874989293,0.208784623089913,0.140422802792948,0.622047175115394,-0.378138039048077,0.027570146905851,-0.232648207269334,-0.415664492371056
"RPS4X",0.366720836205251,0.231907359654038,0.00272389296026558,0.216934649182466,0.0276320557201187,0.176631541416915,0.05826089826678,0.664975834595679,0.0936759417128006,0.338966680205706,-0.404281740976847
"TMSB4X",0.380033495252934,0.00685492884442222,0.0148942454902785,-0.303593946586845,0.0260551016445645,-0.295055462251395,-0.145137694355128,-0.296537308924906,0.441362864335487,0.591322908887186,0.148109921548175
"ZFX",0.215448445992708,0.258877892282615,-0.362884525772752,0.726790482399692,0.17428179016612,-0.181095275167278,-0.179858036596924,-0.347599267093202,0.0304644338401714,-0.0965876515036806,-0.00731837541364344
