UniqueCount	AmbigCount
0	15
0	1
1	714
0	0
0	0
0	0
0	0
0	18
0	17
0	0
0	0
0	0
0	0
1	275
0	38
0	143
0	67
0	37
0	254
1	41
23	3233
12	548
0	352
884	576
0	331
13	1136
2	168
0	96
7	481
0	1
0	0
0	1
2	807
0	83
1	438
0	428
0	433
0	76
30	407
2	1
0	66
0	2
0	2
0	3
0	0
0	300
0	0
0	37
0	209
5	299
0	48
21	259
0	1429
0	1166
0	1394
0	946
0	919
6	863
9	363
0	1146
0	885
2	414
0	580
0	268
10	184
1	281
0	204
4	271
0	0
0	1
0	41
0	1
6	4180
0	20
0	4
0	42
1	1
4	6
15	535
0	6
0	0
0	451
0	37
0	0
0	143
0	247
0	40
0	51
0	2
0	2
2	16704
571	23793
1479	137088
12	2
1	27083
4	4319
3685	47221
5	26971
0	0
0	1
8	12496
4	69
0	1
0	0
0	338
0	12
0	15
0	15
0	12
0	14
0	59
0	58
0	15
0	15
0	29
0	14
0	15
0	15
0	12
0	54
0	58
6	9
0	3
4	3
0	15
0	1
1	3
0	2
0	2
0	2
0	2
0	2
0	2
0	1
0	61
0	2
0	2
0	42
4	7
0	7
2	3
35	35
0	4
1	194
0	184
73	341
37	161
1	488
13	607
0	309
0	344
15	15
0	208
0	345
0	201
0	320
2	16
0	183
0	157
0	18
0	185
0	209
0	212
0	184
0	43
8	222
0	140
0	158
0	202
0	297
0	295
0	309
0	184
0	190
0	197
0	195
0	53
0	202
0	308
0	190
0	53
0	35
0	109
0	44
0	140
6	23
0	2
0	2
2	33
0	25
0	22
0	25
0	0
0	0
1	110
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	470
6	315
25	822
0	1
0	113
6	76
34	33
6	8
1	25
5	7
6	6
0	6
1	5
0	0
0	3
1	1
0	1
0	1
0	1
12	0
3	154
1	149
15	152
3	128
0	480
0	357
20	480
1	208
0	0
0	202
0	200
0	194
0	196
0	4
0	8
0	7
0	5
1	69
12	69
0	17
0	60
0	62
0	37
0	54
0	152
0	62
4	103
0	54
0	37
0	39
2	0
2	7
4	81
0	41
0	32
0	33
0	39
7	34
0	39
4	42
0	10
0	33
0	10
0	11
0	13
0	8
0	8
0	6
0	3
0	2
0	2
1	2
1	72
0	0
0	0
0	0
0	0
1	0
6	60
0	5
0	5
1	193
0	0
2	3
0	0
0	0
0	0
0	197
1	269
21	144
1	154
0	91
0	94
0	124
0	96
5	91
0	119
0	77
0	101
0	65
0	72
0	73
0	87
0	86
0	25
0	1139
0	1116
0	1099
53	754
3	727
0	424
