"class","sex_overexpressed","n","total","percentage","genes"
"Anti-inflammatory / resolving","Male",8,23,34.7826086956522,"ABCG1; ATG5; GPX4; PTGER4; SLC7A11; SOD2; SQSTM1; ULK1"
"Anti-inflammatory / resolving","Female",15,23,65.2173913043478,"ARG1; BNIP3L; CAT; CD36; EPAS1; HPGD; HPGDS; LAMP2; LIPA; MSR1; RXRA; SLC40A1; TSC1; TXN2; UCP2"
