"gene_set","sex_overexpressed","n","total","percentage","genes"
"General anti-inflammatory/resolution","Male",25,57,43.859649122807,"ABCG1; ADORA2A; ATF3; ATG5; BCL3; CCL22; CD274; DUSP1; DUSP10; GPX4; IL10RA; IL13RA1; IL1RN; IL4R; NFKBIA; PTGER4; SLC7A11; SOCS1; SOCS3; SOD2; SPHK1; SQSTM1; STAT3; TNFAIP3; ULK1"
"General anti-inflammatory/resolution","Female",32,57,56.140350877193,"ARG1; BNIP3L; CAT; CD163; CD36; CD68; CD93; CLEC7A; CX3CR1; EPAS1; FCGR2B; HPGD; HPGDS; IL10; LAMP2; LIPA; MAF; MARCO; MERTK; MSR1; RXRA; SLC40A1; STAB1; TGFB1; TGFB2; TGFBR1; TGFBR2; TREM2; TSC1; TXN2; UCP2; VSIG4"
