"gene_set","sex_overexpressed","n","total","percentage","genes"
"General pro-inflammatory/activation","Male",56,75,74.6666666666667,"AIM2; B2M; BCL2A1; C2; CCL5; CCL7; CCL8; CD40; CD48; CD80; CD83; CD86; CXCL10; CXCL8; CXCL9; GBP1; GBP2; GBP5; GCH1; HLA-A; HLA-B; IDO1; IFIT1; IFIT2; IFIT3; IFNG; IKBKE; IL12B; IL15RA; IL1A; IL23A; IL6; IRF1; IRF7; ISG15; JAK2; KYNU; NAMPT; NFKB1; NFKB2; OAS1; OAS2; OAS3; OLR1; P2RX7; PFKP; PGD; PTGS2; RELA; STAT1; STAT4; TBK1; TFRC; TNF; TNFSF10; TRAF6"
"General pro-inflammatory/activation","Female",19,75,25.3333333333333,"ALOX5; BTK; C1QA; C1QC; CCR2; CTSS; CYBB; FCGR1A; FCGR3A; HLA-DRA; IL1R1; ITGAM; ITGB2; PDK3; PDK4; PGK1; S100A9; TLR4; TLR7"
