"","GSM758942","GSM758928","GSM758925","GSM758926","GSM758957","GSM758961","GSM758958","GSM758959","GSM758962"
"CD163",13.8096378186309,8.97566114289247,11.5849004131775,12.0528049986671,13.7610491650955,6.29510859888504,13.985387144853,13.6055585091375,16.0390360239811
"MSR1",10.9806775948755,3.90725548073127,10.241314102801,9.29399413177146,10.6537429689809,8.57773892606146,10.1921567606139,10.2198703517423,7.96744692681357
"MERTK",9.19066345453682,1.98513381684006,6.90565207087514,6.25049396832957,6.1619001031383,6.44005526418958,6.52449368512066,5.51514962101449,8.83380224516046
"STAB1",11.7041798905462,12.3691951785164,8.51972037484261,10.4625288563857,6.58184833086697,11.3078832804292,6.40599899469673,5.86492105081277,12.7882750171269
"CD36",12.593728343366,11.5169214315298,10.6556147315991,10.9415402367099,11.8262074768936,14.118158261928,11.8056164258317,12.0552114763267,8.10619058908026
"CCL18",10.3537567203751,17.819769878885,7.61787190527651,8.84190376157007,8.97514466807612,12.997934564605,8.33978884396663,7.68716608984276,18.2423504869888
"CCL22",11.2905212675814,9.64924667156719,9.87506343236156,10.6985521095114,9.04504854596262,14.1923484748544,8.99397157327847,8.64717505428186,10.3170224459062
"IL10",7.42315129781748,7.15523791437974,4.77950535828367,5.9152818311144,4.51060426442266,7.5804080968812,4.26100235206325,3.59646343966328,9.83627424238238
"IL10RA",13.6011753449572,12.7411553660131,10.3225309703475,13.0381302284197,12.6165261004773,15.3193514158516,12.8698164760849,12.707528026234,12.8793519710425
"IL4R",10.3426513350993,9.46668859737131,8.86322770285203,9.54240146660268,9.50082748673881,10.2266438722794,8.9765329664538,9.41593675812713,9.10245882251386
"IL13RA1",10.3422969459506,9.52151662357714,8.17185481758512,10.1726175218219,8.50631353239105,10.8337115785207,8.58035128900872,8.30166903367022,8.11699991340581
"TGFB1",11.7349060787281,10.2635901515576,10.3990348187586,10.8512190725149,11.8860106568886,12.8221883849889,11.743499296395,11.5296302919606,10.1461354186153
"TGFB2",6.42782831382125,1.79408827136021,3.92029893669683,5.0152642100266,2.58767985186033,2.54331989012901,2.09912501992065,1.74980741823018,1.54955031634297
"MAF",11.8329125542428,12.9038771580648,10.8479240426001,10.0419971725068,10.7765616103485,12.9457023845281,10.2877511960526,9.46959756608037,12.7602303797046
"STAT6",14.5024380848464,12.6332615332265,11.285421176458,12.7326154691778,11.8172044498836,14.2180725850955,11.7879521825109,12.2205085651253,11.342771135567
"TREM2",13.3714258732343,9.82635437998466,12.0036987850642,11.8695046968116,11.4445886643106,14.9542198563154,11.4086901230549,10.6616309455539,12.3409331208279
