"gene","donor","condition","sample","baseline_sample","delta_log2_vs_GMCSF","panel"
"CAT","M24","GM-CSF+P","GSM758926","GSM758942",-1.0329672325627,"Inmunometabolico_M2"
"CAT","M27","Combo_separado","GSM758962","GSM758957",-0.678664155888621,"Inmunometabolico_M2"
"CAT","M27","GM-CSF+IL4/13","GSM758961","GSM758957",2.47832790825381,"Inmunometabolico_M2"
"CAT","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-1.4744836104364,"Inmunometabolico_M2"
"CAT","M27","GM-CSF+E","GSM758958","GSM758957",0.159294125400429,"Inmunometabolico_M2"
"CAT","M27","GM-CSF+P","GSM758959","GSM758957",-0.4214983342506,"Inmunometabolico_M2"
"CCL18","M27","Combo_separado","GSM758962","GSM758957",9.2672058189127,"M2_canonico"
"CCL18","M24","GM-CSF+IL4/13","GSM758928","GSM758942",7.46601315850987,"M2_canonico"
"CCL18","M24","GM-CSF+E","GSM758925","GSM758942",-2.73588481509864,"M2_canonico"
"CCL18","M24","GM-CSF+P","GSM758926","GSM758942",-1.51185295880507,"M2_canonico"
"CCL18","M27","GM-CSF+IL4/13","GSM758961","GSM758957",4.02278989652892,"M2_canonico"
"CCL18","M27","GM-CSF+E","GSM758958","GSM758957",-0.635355824109489,"M2_canonico"
"CCL18","M27","GM-CSF+P","GSM758959","GSM758957",-1.28797857823336,"M2_canonico"
"CCL22","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-1.64127459601423,"M2_canonico"
"CCL22","M24","GM-CSF+E","GSM758925","GSM758942",-1.41545783521985,"M2_canonico"
"CCL22","M24","GM-CSF+P","GSM758926","GSM758942",-0.591969158069972,"M2_canonico"
"CCL22","M27","Combo_separado","GSM758962","GSM758957",1.27197389994355,"M2_canonico"
"CCL22","M27","GM-CSF+IL4/13","GSM758961","GSM758957",5.14729992889177,"M2_canonico"
"CCL22","M27","GM-CSF+E","GSM758958","GSM758957",-0.0510769726841502,"M2_canonico"
"CCL22","M27","GM-CSF+P","GSM758959","GSM758957",-0.397873491680766,"M2_canonico"
"CD163","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-4.83397667573841,"M2_canonico"
"CD163","M27","GM-CSF+E","GSM758958","GSM758957",0.224337979757506,"M2_canonico"
"CD163","M24","GM-CSF+E","GSM758925","GSM758942",-2.22473740545339,"M2_canonico"
"CD163","M27","GM-CSF+P","GSM758959","GSM758957",-0.155490655958037,"M2_canonico"
"CD163","M24","GM-CSF+P","GSM758926","GSM758942",-1.75683281996379,"M2_canonico"
"CD163","M27","Combo_separado","GSM758962","GSM758957",2.27798685888563,"M2_canonico"
"CD163","M27","GM-CSF+IL4/13","GSM758961","GSM758957",-7.46594056621047,"M2_canonico"
"CD36","M27","Combo_separado","GSM758962","GSM758957",-3.72001688781336,"M2_canonico+inmunometabolico"
"CD36","M27","GM-CSF+IL4/13","GSM758961","GSM758957",2.29195078503441,"M2_canonico+inmunometabolico"
"CD36","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-1.07680691183621,"M2_canonico+inmunometabolico"
"CD36","M27","GM-CSF+E","GSM758958","GSM758957",-0.0205910510619578,"M2_canonico+inmunometabolico"
"CD36","M24","GM-CSF+E","GSM758925","GSM758942",-1.93811361176692,"M2_canonico+inmunometabolico"
"CD36","M27","GM-CSF+P","GSM758959","GSM758957",0.229003999433111,"M2_canonico+inmunometabolico"
"CD36","M24","GM-CSF+P","GSM758926","GSM758942",-1.65218810665609,"M2_canonico+inmunometabolico"
"CLEC7A","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-1.10116321526325,"M2_canonico"
"CLEC7A","M27","GM-CSF+P","GSM758959","GSM758957",-1.24268892981177,"M2_canonico"
"CLEC7A","M24","GM-CSF+E","GSM758925","GSM758942",-1.96820383170945,"M2_canonico"
"CLEC7A","M27","GM-CSF+E","GSM758958","GSM758957",-0.262735153357383,"M2_canonico"
"CLEC7A","M24","GM-CSF+P","GSM758926","GSM758942",-0.986412283898753,"M2_canonico"
"CLEC7A","M27","Combo_separado","GSM758962","GSM758957",-0.356345291363958,"M2_canonico"
"CLEC7A","M27","GM-CSF+IL4/13","GSM758961","GSM758957",1.12440444981558,"M2_canonico"
"CPT1A","M24","GM-CSF+IL4/13","GSM758928","GSM758942",1.25756343103893,"Inmunometabolico_M2"
"CPT1A","M24","GM-CSF+E","GSM758925","GSM758942",-0.728767035202855,"Inmunometabolico_M2"
"CPT1A","M27","GM-CSF+P","GSM758959","GSM758957",-0.688187069593156,"Inmunometabolico_M2"
"CPT1A","M24","GM-CSF+P","GSM758926","GSM758942",-0.733010474847541,"Inmunometabolico_M2"
"CPT1A","M27","Combo_separado","GSM758962","GSM758957",0.241019307124072,"Inmunometabolico_M2"
"CPT1A","M27","GM-CSF+IL4/13","GSM758961","GSM758957",2.6717227825721,"Inmunometabolico_M2"
"CPT1A","M27","GM-CSF+E","GSM758958","GSM758957",-0.491267095306423,"Inmunometabolico_M2"
"FABP5","M27","GM-CSF+P","GSM758959","GSM758957",-1.12838142779193,"Inmunometabolico_M2"
"FABP5","M27","GM-CSF+E","GSM758958","GSM758957",-0.596403231577803,"Inmunometabolico_M2"
"FABP5","M27","GM-CSF+IL4/13","GSM758961","GSM758957",2.22515366102606,"Inmunometabolico_M2"
"FABP5","M27","Combo_separado","GSM758962","GSM758957",-0.556411645852966,"Inmunometabolico_M2"
"FABP5","M24","GM-CSF+E","GSM758925","GSM758942",-2.0061669035997,"Inmunometabolico_M2"
"FABP5","M24","GM-CSF+P","GSM758926","GSM758942",-1.89686411718291,"Inmunometabolico_M2"
"FABP5","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-3.55572669808893,"Inmunometabolico_M2"
"GPX4","M24","GM-CSF+P","GSM758926","GSM758942",-0.995877179017361,"Inmunometabolico_M2"
"GPX4","M27","GM-CSF+IL4/13","GSM758961","GSM758957",2.12061301962258,"Inmunometabolico_M2"
"GPX4","M27","GM-CSF+E","GSM758958","GSM758957",-0.619143681719818,"Inmunometabolico_M2"
"GPX4","M27","GM-CSF+P","GSM758959","GSM758957",-1.05960211100273,"Inmunometabolico_M2"
"GPX4","M27","Combo_separado","GSM758962","GSM758957",-0.206960873295941,"Inmunometabolico_M2"
"GPX4","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-0.426809049355979,"Inmunometabolico_M2"
"GPX4","M24","GM-CSF+E","GSM758925","GSM758942",-1.25720114749859,"Inmunometabolico_M2"
"HPGD","M24","GM-CSF+P","GSM758926","GSM758942",-2.4264043937756,"Inmunometabolico_M2"
"HPGD","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-8.02381230987789,"Inmunometabolico_M2"
"HPGD","M27","GM-CSF+IL4/13","GSM758961","GSM758957",-6.83270044182072,"Inmunometabolico_M2"
"HPGD","M27","GM-CSF+E","GSM758958","GSM758957",0.0688588071582075,"Inmunometabolico_M2"
"HPGD","M27","GM-CSF+P","GSM758959","GSM758957",-0.533640891680129,"Inmunometabolico_M2"
"HPGD","M27","Combo_separado","GSM758962","GSM758957",-7.02413329449364,"Inmunometabolico_M2"
"HPGD","M24","GM-CSF+E","GSM758925","GSM758942",-2.59562526970672,"Inmunometabolico_M2"
"HPGDS","M27","GM-CSF+IL4/13","GSM758961","GSM758957",-3.15277021504013,"Inmunometabolico_M2"
"HPGDS","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-7.49122899466787,"Inmunometabolico_M2"
"HPGDS","M27","GM-CSF+E","GSM758958","GSM758957",-0.536055230459402,"Inmunometabolico_M2"
"HPGDS","M24","GM-CSF+P","GSM758926","GSM758942",-2.64151858424892,"Inmunometabolico_M2"
"HPGDS","M27","GM-CSF+P","GSM758959","GSM758957",-0.67456709002111,"Inmunometabolico_M2"
"HPGDS","M27","Combo_separado","GSM758962","GSM758957",-1.42929846367816,"Inmunometabolico_M2"
"HPGDS","M24","GM-CSF+E","GSM758925","GSM758942",-1.52395873388421,"Inmunometabolico_M2"
"IL10","M24","GM-CSF+P","GSM758926","GSM758942",-1.50786946670308,"M2_canonico"
"IL10","M27","GM-CSF+IL4/13","GSM758961","GSM758957",3.06980383245854,"M2_canonico"
"IL10","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-0.267913383437741,"M2_canonico"
"IL10","M27","GM-CSF+E","GSM758958","GSM758957",-0.249601912359409,"M2_canonico"
"IL10","M24","GM-CSF+E","GSM758925","GSM758942",-2.64364593953381,"M2_canonico"
"IL10","M27","GM-CSF+P","GSM758959","GSM758957",-0.914140824759381,"M2_canonico"
"IL10","M27","Combo_separado","GSM758962","GSM758957",5.32566997795972,"M2_canonico"
"IL10RA","M27","GM-CSF+P","GSM758959","GSM758957",0.0910019257567676,"M2_canonico"
"IL10RA","M27","Combo_separado","GSM758962","GSM758957",0.262825870565274,"M2_canonico"
"IL10RA","M27","GM-CSF+IL4/13","GSM758961","GSM758957",2.70282531537436,"M2_canonico"
