"gene","donor","condition","sample","baseline_sample","delta_log2_vs_GMCSF","panel"
"STK11","M24","GM-CSF+P","GSM758926","GSM758942",-0.418767526611541,"Inmunometabolico_M2"
"STK11","M27","Combo_separado","GSM758962","GSM758957",-0.133715750008619,"Inmunometabolico_M2"
"STK11","M27","GM-CSF+IL4/13","GSM758961","GSM758957",1.96028456555689,"Inmunometabolico_M2"
"STK11","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-1.88433396643372,"Inmunometabolico_M2"
"TGFB1","M24","GM-CSF+E","GSM758925","GSM758942",-1.33587125996958,"M2_canonico"
"TGFB1","M24","GM-CSF+P","GSM758926","GSM758942",-0.883687006213203,"M2_canonico"
"TGFB1","M27","Combo_separado","GSM758962","GSM758957",-1.73987523827334,"M2_canonico"
"TGFB1","M27","GM-CSF+IL4/13","GSM758961","GSM758957",0.936177728100267,"M2_canonico"
"TGFB1","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-1.47131592717058,"M2_canonico"
"TGFB1","M27","GM-CSF+E","GSM758958","GSM758957",-0.142511360493577,"M2_canonico"
"TGFB1","M27","GM-CSF+P","GSM758959","GSM758957",-0.356380364927963,"M2_canonico"
"TGFB2","M27","GM-CSF+E","GSM758958","GSM758957",-0.488554831939679,"M2_canonico"
"TGFB2","M27","GM-CSF+P","GSM758959","GSM758957",-0.837872433630153,"M2_canonico"
"TGFB2","M27","Combo_separado","GSM758962","GSM758957",-1.03812953551736,"M2_canonico"
"TGFB2","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-4.63374004246105,"M2_canonico"
"TGFB2","M27","GM-CSF+IL4/13","GSM758961","GSM758957",-0.044359961731316,"M2_canonico"
"TGFB2","M24","GM-CSF+E","GSM758925","GSM758942",-2.50752937712442,"M2_canonico"
"TGFB2","M24","GM-CSF+P","GSM758926","GSM758942",-1.41256410379465,"M2_canonico"
"TREM2","M24","GM-CSF+E","GSM758925","GSM758942",-1.36772708817003,"M2_canonico"
"TREM2","M24","GM-CSF+P","GSM758926","GSM758942",-1.50192117642261,"M2_canonico"
"TREM2","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-3.5450714932496,"M2_canonico"
"TREM2","M27","Combo_separado","GSM758962","GSM758957",0.896344456517276,"M2_canonico"
"TREM2","M27","GM-CSF+IL4/13","GSM758961","GSM758957",3.50963119200479,"M2_canonico"
"TREM2","M27","GM-CSF+E","GSM758958","GSM758957",-0.035898541255726,"M2_canonico"
"TREM2","M27","GM-CSF+P","GSM758959","GSM758957",-0.782957718756681,"M2_canonico"
"TSC1","M24","GM-CSF+E","GSM758925","GSM758942",-3.18959326734059,"Inmunometabolico_M2"
"TSC1","M24","GM-CSF+P","GSM758926","GSM758942",-2.49320268616381,"Inmunometabolico_M2"
"TSC1","M27","GM-CSF+IL4/13","GSM758961","GSM758957",0.841259395848807,"Inmunometabolico_M2"
"TSC1","M27","GM-CSF+E","GSM758958","GSM758957",-0.0633721342001561,"Inmunometabolico_M2"
"TSC1","M27","GM-CSF+P","GSM758959","GSM758957",-0.347403716719523,"Inmunometabolico_M2"
"TSC1","M27","Combo_separado","GSM758962","GSM758957",-0.471047481577601,"Inmunometabolico_M2"
"TSC1","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-3.03594973055571,"Inmunometabolico_M2"
"UCP2","M27","GM-CSF+E","GSM758958","GSM758957",-0.150407648286869,"Inmunometabolico_M2"
"UCP2","M27","GM-CSF+P","GSM758959","GSM758957",-0.351369017847166,"Inmunometabolico_M2"
"UCP2","M24","GM-CSF+P","GSM758926","GSM758942",-1.1047608662497,"Inmunometabolico_M2"
"UCP2","M27","Combo_separado","GSM758962","GSM758957",-0.220490556266249,"Inmunometabolico_M2"
"UCP2","M27","GM-CSF+IL4/13","GSM758961","GSM758957",2.99415799420709,"Inmunometabolico_M2"
"UCP2","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-2.04998307685612,"Inmunometabolico_M2"
"UCP2","M24","GM-CSF+E","GSM758925","GSM758942",-2.06563309147032,"Inmunometabolico_M2"
"VSIG4","M27","Combo_separado","GSM758962","GSM758957",-1.47089842837132,"M2_canonico"
"VSIG4","M27","GM-CSF+E","GSM758958","GSM758957",0.875065512848328,"M2_canonico"
"VSIG4","M27","GM-CSF+P","GSM758959","GSM758957",0.0255203046625496,"M2_canonico"
"VSIG4","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-7.66104278868227,"M2_canonico"
"VSIG4","M27","GM-CSF+IL4/13","GSM758961","GSM758957",-10.9672553451927,"M2_canonico"
"VSIG4","M24","GM-CSF+P","GSM758926","GSM758942",-1.21779070720391,"M2_canonico"
"VSIG4","M24","GM-CSF+E","GSM758925","GSM758942",-2.22870135524763,"M2_canonico"
