"gene","condition","panel","n","mean_delta_log2","sd_delta_log2"
"CCL18","Combo_separado","M2_canonico",1,9.2672058189127,NA
"ALOX15","Combo_separado","Inmunometabolico_M2",1,7.75465387367092,NA
"HPGD","Combo_separado","Inmunometabolico_M2",1,-7.02413329449364,NA
"STAB1","Combo_separado","M2_canonico",1,6.20642668625995,NA
"ARG1","Combo_separado","M2_canonico+inmunometabolico",1,-5.96016425794641,NA
"IL10","Combo_separado","M2_canonico",1,5.32566997795972,NA
"MARCO","Combo_separado","M2_canonico",1,-3.92920516725892,NA
"CD36","Combo_separado","M2_canonico+inmunometabolico",1,-3.72001688781336,NA
"SLC40A1","Combo_separado","Inmunometabolico_M2",1,3.66602983497063,NA
"MSR1","Combo_separado","M2_canonico",1,-2.68629604216736,NA
"MERTK","Combo_separado","M2_canonico",1,2.67190214202215,NA
"ABCG1","Combo_separado","Inmunometabolico_M2",1,-2.54534296101999,NA
"APOE","Combo_separado","Inmunometabolico_M2",1,-2.37959033309578,NA
"CD163","Combo_separado","M2_canonico",1,2.27798685888563,NA
"MAF","Combo_separado","M2_canonico",1,1.98366876935614,NA
"TGFB1","Combo_separado","M2_canonico",1,-1.73987523827334,NA
"VSIG4","Combo_separado","M2_canonico",1,-1.47089842837132,NA
"HPGDS","Combo_separado","Inmunometabolico_M2",1,-1.42929846367816,NA
"CCL22","Combo_separado","M2_canonico",1,1.27197389994355,NA
"BNIP3L","Combo_separado","Inmunometabolico_M2",1,-1.08375430051839,NA
"TGFB2","Combo_separado","M2_canonico",1,-1.03812953551736,NA
"LAMP2","Combo_separado","Inmunometabolico_M2",1,-1.0256691247028,NA
"TREM2","Combo_separado","M2_canonico",1,0.896344456517276,NA
"CAT","Combo_separado","Inmunometabolico_M2",1,-0.678664155888621,NA
"PPARGC1B","Combo_separado","Inmunometabolico_M2",1,-0.671213074481487,NA
"RXRA","Combo_separado","Inmunometabolico_M2",1,-0.627868304293036,NA
"ABCA1","Combo_separado","Inmunometabolico_M2",1,-0.602938316214521,NA
"FABP5","Combo_separado","Inmunometabolico_M2",1,-0.556411645852966,NA
"STAT6","Combo_separado","M2_canonico",1,-0.474433314316592,NA
"TSC1","Combo_separado","Inmunometabolico_M2",1,-0.471047481577601,NA
"SOD2","Combo_separado","Inmunometabolico_M2",1,-0.411229579480006,NA
"IL4R","Combo_separado","M2_canonico",1,-0.398368664224952,NA
"IL13RA1","Combo_separado","M2_canonico",1,-0.389313618985243,NA
"MTOR","Combo_separado","Inmunometabolico_M2",1,-0.387379189827959,NA
"ATG5","Combo_separado","Inmunometabolico_M2",1,-0.375000654157274,NA
"CLEC7A","Combo_separado","M2_canonico",1,-0.356345291363958,NA
"IL10RA","Combo_separado","M2_canonico",1,0.262825870565274,NA
"PPARGC1A","Combo_separado","Inmunometabolico_M2",1,0.261134727322086,NA
"LIPA","Combo_separado","Inmunometabolico_M2",1,-0.243667435027092,NA
"CPT1A","Combo_separado","Inmunometabolico_M2",1,0.241019307124072,NA
"UCP2","Combo_separado","Inmunometabolico_M2",1,-0.220490556266249,NA
