"","GSM758942","GSM758928","GSM758925","GSM758926","GSM758957","GSM758961","GSM758958","GSM758959","GSM758962"
"CD163",0.530341904632414,-1.09708087392033,-0.218645641812486,-0.0611193168641477,0.51398388579059,-1.9995246716159,0.589510261452322,0.461635880756089,1.28089857158146
"MSR1",0.853200705603361,-2.38142045463401,0.515095505888341,0.0818934186440081,0.703696032777692,-0.245644540653934,0.492616233952726,0.505289444577424,-0.524726346155601
"MERTK",1.3359835674662,-2.14225805536508,0.232966564841549,-0.0832902957072308,-0.126056183147847,0.00821442670605052,0.0489744048084426,-0.438254530753048,1.16372010115097
"STAB1",0.782212714106249,1.02437038458433,-0.377371602230595,0.330079767062703,-1.08302542454502,0.637905860323689,-1.14705893831893,-1.34408625003371,1.17697348905129
"CD36",0.665298554704301,0.00226482462174537,-0.528076676461622,-0.35202073542378,0.192704798646781,1.60395194190264,0.180026052585754,0.333711857831646,-2.09786061840746
"CCL18",-0.203411575525761,1.5735360403868,-0.854565530975152,-0.563239967697416,-0.53152798084027,0.425915672712159,-0.682745771773397,-0.838073176428301,1.67411229014134
"CCL22",0.584772930419984,-0.385158239634659,-0.251709080336676,0.234941561849838,-0.742216465196431,2.29964298646165,-0.772401022977741,-0.977344640735625,0.00947197014965599
"IL10",0.643161807185415,0.511183273445919,-0.659141610243987,-0.0996394621370411,-0.791606706363268,0.720629089688007,-0.914564708643971,-1.24192749338432,1.83190581045324
"IL10RA",0.547258181297891,-0.123504849457898,-2.00988408437822,0.108117396121476,-0.220708060916265,1.88733052485012,-0.0231570456335324,-0.149732119636189,-0.0157199422473751
"IL4R",1.6641651114626,-0.0516174871921847,-1.23364002900756,0.0966842817373436,0.0152516954697365,1.43693674038282,-1.01170456160612,-0.151027106887591,-0.765048644359048
"IL13RA1",1.10848207979615,0.331104578305294,-0.94718718137748,0.947775294816021,-0.630414626065916,1.57391073208008,-0.560291982178695,-0.824237534306975,-0.999141361068489
"TGFB1",0.52215308733193,-1.10936328768077,-0.95917107650045,-0.457751904110224,0.689710298570895,1.72782132905164,0.531681955387159,0.294526374863146,-1.23960677691332
"TGFB2",1.98018423494529,-0.757593247732128,0.498647203748941,1.14559140911352,-0.288711277741063,-0.314920711858546,-0.577366749494136,-0.783755941690409,-0.902074919291459
"MAF",0.387063291675029,1.19290662151939,-0.354087647625734,-0.960504321238773,-0.407784044151067,1.22437785749149,-0.775587620957471,-1.39120427453145,1.08482013781857
"STAT6",1.7117529395472,0.110340393260381,-1.04441861323917,0.195461640591153,-0.588814563835052,1.46812347680997,-0.613876374040895,-0.24328472634728,-0.995284172746311
"TREM2",0.925307726650994,-1.443737722969,0.0113042599448608,-0.0783728861285084,-0.362329188613221,1.98303276560843,-0.386318909546018,-0.885552041635319,0.236665996687786
"VSIG4",0.465213713147063,-1.39164014935927,-0.0749702845168472,0.170050320803598,0.725555481982963,-1.93264536750178,0.937650469871418,0.731740994528984,0.369044821043871
"MARCO",0.153234280250637,-2.03872776587875,-0.366354535394822,-0.446776693532897,1.07341402186282,-0.0769121104457155,1.13437079985435,0.947269503742836,-0.379517500458458
"CLEC7A",1.14123998784783,-0.259858140767493,-1.36306334077576,-0.113851342716916,0.306748254147449,1.73741806640295,-0.0275507186006407,-1.274424373013,-0.146658392524419
"ARG1",-0.412998723603349,-0.79300052221002,-0.671494813111297,-0.623345566042817,1.40999888514399,-0.673389070108703,1.39241072880148,1.16356878571649,-0.791749704585773
"PPARGC1A",0.0158774512438024,-0.506666443472438,1.9662075207162,0.364937888164077,-1.28867886307617,1.06650343431029,-0.414067213932017,-0.759164985688389,-0.444948788265353
"PPARGC1B",0.407081078103293,-1.49886886326775,-1.64094150727653,-0.429224745373418,0.470261646636236,1.22861219691733,0.671815376936913,0.724063802765509,0.0672010145584243
"RXRA",1.69105611012776,-0.269053893196648,-1.55427075338318,-0.106169378027952,-0.124198306637728,1.41890866421969,-0.0271117664103714,-0.312266461621124,-0.716894215070458
"ABCA1",0.561003750704431,-2.31306193495238,-0.787130673365334,-0.124911310715998,0.646924952037476,0.492730406984499,0.553062049193721,0.84685390106045,0.124528859053135
"ABCG1",0.397100480300596,-2.07103720269699,-0.89429590987234,-0.161546270348479,0.821243301623559,0.738086207101217,0.820623118550569,0.796777438776124,-0.446951163434253
"APOE",0.680463065907379,-2.51910336192267,0.321706348556012,-0.111891607583674,0.668817515323258,0.127917096260186,0.681913787174887,0.335002897432367,-0.184825741147745
"LIPA",0.794533694958321,-0.196694109919692,-1.39616327183681,-1.06541900053045,0.248061685599984,1.98422959246896,0.138912708090997,-0.476083078584108,-0.0313782202472126
"FABP5",1.2561486468264,-1.46950111117354,-0.281682800748833,-0.197896520575566,0.14717827842423,1.85287448419507,-0.309995869604108,-0.717784871653002,-0.279340235690647
"ALOX15",-0.0847126693349194,0.963027991138432,-0.876094458274111,-0.0692309954561646,-0.758573063343075,1.51966023977494,-0.751241106044389,-1.16353143283783,1.22069549437711
"HPGD",1.01970636332111,-1.37348824609565,0.245531175314678,0.296003254226664,0.816766926221967,-1.22116482412498,0.837304860029195,0.65760237251462,-1.2782618814076
"HPGDS",0.889971689687131,-2.35067730603448,0.230718669388558,-0.252729268102206,0.797718104505308,-0.566146441403392,0.565824666796214,0.505905484122226,0.179414401040639
"SLC40A1",0.178092481120506,1.08525678258394,-1.83650845181726,-0.651181824557095,-0.134746512414157,-0.238488810531484,0.000693618408821036,-0.108103868915481,1.70498658612221
"CAT",1.07749794414549,-0.258721399524368,-1.23917067183083,0.141393407100902,-0.222857844119128,2.02307399773124,-0.0785009382936182,-0.604831725391082,-0.83788276981861
"SOD2",2.01386872992895,-0.928633590438549,0.09713691520579,0.208286452430402,-0.348819267607898,1.10677046778307,-0.422109787777457,-0.779703092812298,-0.946796826712022
"GPX4",0.930204074779557,0.484833482639015,-0.381671623137555,-0.108982909628277,-0.233901048981157,1.97893552905149,-0.879970734157028,-1.33958430551646,-0.449862465049585
"UCP2",0.948090727900897,-0.781326631870886,-0.79452937840087,0.0160866337896126,-0.260989126437555,2.26495797602463,-0.387876807085475,-0.557412880375452,-0.4470005135449
"CPT1A",0.342603556197293,1.42401856081203,-0.284084201481762,-0.287733257417771,-0.537061770582272,1.76042957970101,-0.959516491374339,-1.12885364737457,-0.329802328479624
"MTOR",1.2292084202396,-1.19685618494124,-1.50342871804791,0.295892996312572,0.0427623032475914,1.59143265488136,0.110261693510092,-0.279575076160691,-0.289698089041365
"TSC1",1.75738088971313,-1.17327264185358,-1.32158734191241,-0.64934975657466,0.285197180704976,1.09727907870027,0.224022989634753,-0.0501574923439463,-0.169512906068536
"STK11",0.835548027426758,-0.918218844823139,-1.79597597812866,0.445797256901027,-0.101591728025661,1.72286306209998,0.0640208470206297,-0.0264004418430117,-0.22604220062792
"SQSTM1",1.31259137459349,-0.203551689606732,-1.71494491355734,0.125738222001969,-0.17884249858157,1.69376857100392,-0.302071707684577,-0.46206495566167,-0.270622402507496
"ATG5",1.4337678464351,-0.891159261181253,-1.20123142290784,-0.316422779263108,-0.00693042250086356,1.74457155561119,0.22368229251307,-0.609502467724815,-0.376775340981483
