"gene","condition","panel","n","mean_delta_log2","sd_delta_log2"
"CCL18","Combo_separado","M2_canonico",1,9.2672058189127,NA
"ALOX15","Combo_separado","Inmunometabolico_M2",1,7.75465387367092,NA
"HPGD","Combo_separado","Inmunometabolico_M2",1,-7.02413329449364,NA
"STAB1","Combo_separado","M2_canonico",1,6.20642668625995,NA
"ARG1","Combo_separado","M2_canonico+inmunometabolico",1,-5.96016425794641,NA
"IL10","Combo_separado","M2_canonico",1,5.32566997795972,NA
"MARCO","Combo_separado","M2_canonico",1,-3.92920516725892,NA
"CD36","Combo_separado","M2_canonico+inmunometabolico",1,-3.72001688781336,NA
"SLC40A1","Combo_separado","Inmunometabolico_M2",1,3.66602983497063,NA
"MSR1","Combo_separado","M2_canonico",1,-2.68629604216736,NA
"MERTK","Combo_separado","M2_canonico",1,2.67190214202215,NA
"ABCG1","Combo_separado","Inmunometabolico_M2",1,-2.54534296101999,NA
"SLC40A1","GM-CSF+E","Inmunometabolico_M2",2,-1.87229864232504,3.02951376431023
"CCL18","GM-CSF+E","M2_canonico",2,-1.68562031960406,1.48529829360736
"STAB1","GM-CSF+E","M2_canonico",2,-1.6801544259369,2.12740865989489
"RXRA","GM-CSF+E","Inmunometabolico_M2",2,-1.66753328744412,2.503697161877
"TSC1","GM-CSF+E","Inmunometabolico_M2",2,-1.62648270077038,2.2105721627323
"STAT6","GM-CSF+E","M2_canonico",2,-1.62313458788054,2.25408999448894
"MTOR","GM-CSF+E","Inmunometabolico_M2",2,-1.55269458491242,2.30706899567319
"PPARGC1B","GM-CSF+E","Inmunometabolico_M2",2,-1.53745359694757,2.64896218728776
"ALOX15","GM-CSF+E","Inmunometabolico_M2",2,-1.53592978587134,2.21275766324013
"IL10RA","GM-CSF+E","M2_canonico",2,-1.51267699950105,2.49745501258707
"TGFB2","GM-CSF+E","M2_canonico",2,-1.49804210453205,1.42763059194316
"LAMP2","GM-CSF+E","Inmunometabolico_M2",2,-1.4735849146683,2.12916936816007
"VSIG4","GM-CSF+IL4/13","M2_canonico",2,-9.31414906693747,2.33784531875261
"HPGD","GM-CSF+IL4/13","Inmunometabolico_M2",2,-7.4282563758493,0.842243279055004
"ALOX15","GM-CSF+IL4/13","Inmunometabolico_M2",2,6.51548188847111,3.40895851285583
"CD163","GM-CSF+IL4/13","M2_canonico",2,-6.14995862097444,1.86107951479092
"CCL18","GM-CSF+IL4/13","M2_canonico",2,5.74440152751939,2.434726517686
"HPGDS","GM-CSF+IL4/13","Inmunometabolico_M2",2,-5.321999604854,3.06775362297309
"APOE","GM-CSF+IL4/13","Inmunometabolico_M2",2,-5.21340658563175,5.24052222753543
"MSR1","GM-CSF+IL4/13","M2_canonico",2,-4.57471307853187,3.53370820658725
"MARCO","GM-CSF+IL4/13","M2_canonico",2,-4.51932378760889,1.99186778502984
"MERTK","GM-CSF+IL4/13","M2_canonico",2,-3.46368723832275,5.29176426945742
"ARG1","GM-CSF+IL4/13","M2_canonico+inmunometabolico",2,-3.33421527617421,3.26053313089109
"STAB1","GM-CSF+IL4/13","M2_canonico",2,2.69552511876624,2.87157454124357
"MERTK","GM-CSF+P","M2_canonico",2,-1.79345998416553,1.6216921298895
"HPGDS","GM-CSF+P","Inmunometabolico_M2",2,-1.65804283713502,1.3908447398335
"APOE","GM-CSF+P","Inmunometabolico_M2",2,-1.56963786622077,0.903832728768527
"MAF","GM-CSF+P","M2_canonico",2,-1.54893971300207,0.342205272487826
"FABP5","GM-CSF+P","Inmunometabolico_M2",2,-1.51262277248742,0.543399320892831
"HPGD","GM-CSF+P","Inmunometabolico_M2",2,-1.48002264272787,1.33838590751411
"TSC1","GM-CSF+P","Inmunometabolico_M2",2,-1.42030320144166,1.51730900235716
"CCL18","GM-CSF+P","M2_canonico",2,-1.39991576851922,0.158303092636196
"IL10","GM-CSF+P","M2_canonico",2,-1.21100514573123,0.419829548903071
"ATG5","GM-CSF+P","Inmunometabolico_M2",2,-1.19278040144123,0.822801249419319
"TREM2","GM-CSF+P","M2_canonico",2,-1.14243944758965,0.508383936340909
"LIPA","GM-CSF+P","Inmunometabolico_M2",2,-1.12664724451135,0.700323927087698
