"gene"
"CD163"
"MSR1"
"MERTK"
"STAB1"
"CD36"
"CCL18"
"CCL22"
"IL10"
"IL10RA"
"IL4R"
"IL13RA1"
"TGFB1"
"TGFB2"
"MAF"
"STAT6"
"TREM2"
"VSIG4"
"MARCO"
"CLEC7A"
"ARG1"
