Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Epithelial Mesenchymal Transition,-0.3090872183459817,-1.1413468962962872,0.11,0.6314975226892325,1.0,75/199,33.56%,MFAP5;FSTL3;COL6A3;VEGFC;LOX;PTHLH;MMP14;SPARC;HTRA1;TNC;TPM1;FGF2;FSTL1;AREG;NID2;IGFBP3;VCAN;SERPINH1;SLC6A8;PDGFRB;TGM2;EMP3;INHBA;VIM;MMP1;VCAM1;CCN1;GADD45A;FAP;LRP1;CXCL8;WIPF1;NT5E;LAMA1;COL12A1;TAGLN;CTHRC1;CALD1;COL5A3;CXCL1;SERPINE2;MATN2;POSTN;DKK1;MATN3;ITGB3;GEM;MMP2;TFPI2;LOXL2;BASP1;COL1A1;CCN2;NNMT;COL1A2;IL15;THBS1;PMP22;LAMA2;BDNF;ENO2;MGP;SAT1;LGALS1;PVR;TGFBR3;FBLN2;GAS1;TPM2;ITGAV;FBLN5;CD59;CXCL12;FBLN1;CALU
prerank,IL-2/STAT5 Signaling,-0.29332446071352497,-1.0910163578717744,0.205,0.9595571771737574,1.0,79/198,34.91%,TLR7;BHLHE40;SOCS2;IL1RL1;XBP1;ADAM19;S100A1;IL2RB;TGM2;P2RX4;CASP3;IL4R;TNFSF10;F2RL2;GATA1;PTRH2;GBP4;TNFRSF1B;FAH;NT5E;FURIN;LTB;SCN9A;PDCD2L;IRF4;SLC39A8;IRF8;SLC2A3;HUWE1;BCL2L1;RABGAP1L;ENO3;MAFF;IL1R2;MAP3K8;IL10;NCS1;MYC;CD83;SH3BGRL2;PRAF2;LCLAT1;FLT3LG;TNFSF11;NRP1;SNX14;SERPINB6;ENPP1;PLPP1;GLIPR2;ANXA4;IKZF4;CD86;PTCH1;ITGA6;CCND2;CDC42SE2;TNFRSF4;PLIN2;KLF6;TTC39B;DCPS;IFITM3;ALCAM;TNFRSF18;CA2;RGS16;LIF;ITGAV;SOCS1;HIPK2;RNH1;NDRG1;UMPS;IL3RA;ITGAE;HOPX;CSF2;CCR4
prerank,UV Response Dn,-0.29677268923547584,-1.0857421025520684,0.257,0.9341000088594462,1.0,78/144,48.13%,SYNJ2;BHLHE40;NR1D2;IGFBP5;MRPS31;DBP;SIPA1L1;ATXN1;PIK3R3;SFMBT1;PDGFRB;ZMIZ1;PLPP3;PIK3CD;PIAS3;CCN1;INSIG1;TJP1;BCKDHB;ADD3;LPAR1;ITGB3;PLCB4;MTA1;NR3C1;MAP2K5;SMAD3;PEX14;MYC;MAP1B;COL1A1;COL1A2;NRP1;KALRN;ANXA4;PMP22;PTPRM;BDNF;PTPN21;RND3;TGFBR2;CITED2;SLC22A18;ATP2C1;FZD2;DMAC2L;TGFBR3;ATP2B4;FHL2;PRKAR2B;FBLN5;LDLR;CDC42BPA;ATRX;PPARG;TFPI;COL3A1;CAP2;IRS1;SNAI2;MGLL;AKT3;RUNX1;CDKN1B;ATRN;SCAF8;GRK5;SLC7A1;DDAH1;CACNA1A;VAV2;INPP4B;ABCC1;DUSP1;MAGI2;NFKB1;ANXA2;SRI
prerank,Coagulation,-0.2990836111606071,-1.0787332995706165,0.258,0.9252405625462622,1.0,43/138,26.37%,HMGCS2;CD9;ITIH1;C9;MMP14;C8B;SPARC;HTRA1;S100A1;OLR1;CSRP1;PLAU;CLU;F2RL2;MMP1;HPN;LRP1;DPP4;FURIN;VWF;WDR1;MMP11;CPN1;CPQ;PDGFB;MST1;ITGB3;PRSS23;C8G;MAFF;MMP2;PECAM1;PLAT;USP11;GP9;TFPI2;GP1BA;THBS1;CRIP2;FGG;DUSP14;ISCU;KLKB1
prerank,Protein Secretion,-0.30210409811017314,-1.0700955402017096,0.315,0.933430191849881,1.0,24/96,19.34%,NAPA;AP2M1;ADAM10;CD63;M6PR;ARCN1;COPB2;ABCA1;YIPF6;CLTA;CLN5;COPE;TSPAN8;SEC22B;PAM;RAB22A;TMX1;COPB1;ARFGAP3;EGFR;PPT1;YKT6;COG2;KIF1B
prerank,Angiogenesis,-0.32643286130652993,-1.0525584855362082,0.39518555667001004,1.0,1.0,17/36,46.07%,OLR1;FSTL1;VCAN;VTN;APOH;POSTN;NRP1;KCNJ8;JAG2;CCND2;ITGAV;S100A4;COL3A1;THBD;VAV2;JAG1;APP
prerank,Interferon Gamma Response,-0.28309557101338206,-1.0457912458955723,0.336,1.0,1.0,86/197,41.10%,PSMB10;TNFAIP2;IRF1;SPPL2A;MX1;WARS1;RNF31;RBCK1;TAP1;IFIT1;LY6E;MT2A;PLA2G4A;BST2;HLA-DRB1;CCL2;IL2RB;CCL7;HLA-A;IFITM2;CASP3;IRF5;IL4R;TNFSF10;NOD1;RTP4;FCGR1A;VCAM1;LATS2;GBP4;BANK1;IRF4;HLA-DQA1;PDE4B;STAT1;IRF8;CD74;IFI27;TXNIP;CD69;RAPGEF6;RIPK2;FPR1;XAF1;PTPN6;PNPT1;IDO1;CXCL11;TRIM26;IL15;IFI35;OAS2;SSPN;CD86;HLA-B;HELZ2;IFITM3;PARP12;TNFAIP6;HIF1A;IFNAR2;NLRC5;TAPBP;SOCS1;STAT4;IFIH1;IFI44;LGALS3BP;UBE2L6;GBP6;CFB;TDRD7;CD38;BATF2;ISOC1;IL7;SLAMF7;IRF2;MVP;ICAM1;CD40;STAT3;XCL1;IL6;IFIT2;PNP
prerank,DNA Repair,-0.28613630505844045,-1.0433876222468295,0.365,0.9727792383914555,1.0,57/149,36.72%,SUPT4H1;COX17;GTF3C5;SDCBP;DUT;POLR2I;PRIM1;XPC;ERCC5;DAD1;HCLS1;ALYREF;MPC2;RRM2B;CANT1;NPR2;TYMS;PDE4B;PDE6G;RFC4;APRT;POLR2C;SURF1;CDA;POLR1C;AK1;TP53;AGO4;ARL6IP1;USP11;POLL;NT5C;POLR2H;TK2;HPRT1;POLR2G;ELL;STX3;ERCC2;SRSF6;POLR2F;TAF9;BRF2;NCBP2;GTF2H1;NFX1;SUPT5H;UMPS;GTF2A2;GSDME;CSTF3;RBX1;RAD52;TAF6;DDB2;ERCC8;RFC2
prerank,Pperoxisome,-0.293262069473766,-1.0412309770893966,0.39,0.9386440474523375,1.0,46/104,40.45%,ALDH9A1;PEX11A;ABCD3;ATXN1;GNPAT;CRABP2;HSD17B4;RDH11;PEX6;PEX5;ACSL1;HSD11B2;DIO1;ACSL5;CLN6;SLC35B2;CTPS1;FIS1;BCL10;DLG4;PEX14;PABPC1;NUDT19;CAT;ABCB9;ITGB1BP1;PRDX1;SLC25A4;ABCC8;GSTK1;MLYCD;PRDX5;TSPO;ACOX1;SEMA3C;SIAH1;SERPINA6;ALDH1A1;FDPS;CACNA1B;CLN8;ISOC1;IDI1;MVP;NR1I2;SLC25A19
prerank,Interferon Alpha Response,-0.2937295056969163,-1.0401716370491767,0.382,0.9004245865829879,1.0,36/96,33.44%,GMPR;HLA-C;IRF1;MX1;WARS1;RNF31;TAP1;LY6E;BST2;ELF1;IFITM2;IL4R;RTP4;GBP4;CD74;IFI27;TXNIP;RIPK2;LAMP3;PNPT1;MOV10;CXCL11;TRIM26;IL15;UBA7;IFI35;SAMD9;HELZ2;IFITM3;PARP12;CD47;IFIH1;IFI44;CCRL2;LGALS3BP;UBE2L6
