"donor_id","y_marker_score","xist_score","sex_inferred_donor"
"1",5.5323878795,7.301916911,"female"
"2",5.538426955,7.542229615,"female"
"3",5.554898685,7.478747395,"female"
"4",6.520989013,6.4802636095,"female"
"5",7.901945793,5.808065688,"male"
"6",7.8317227485,5.7928977515,"male"
