"donor_id","geo_accession","sample_title","source_name","id_raw","treatment_raw","cell_type_raw","batch_raw","line_raw","treatment","cell_type","is_macrophage_culture","xist_score","y_marker_score","sex_inferred","sex_inferred_donor"
"4","GSM464230","Macrophage culture, ID 4, IL17 (rep)","Macrophages culture","ID: 4","treatment group: IL17","cell type: cultured macrophages","batch: 69","line: F","IL17","cultured macrophages",TRUE,7.51460947,5.495782553,"female","female"
"4","GSM464231","Macrophage culture, ID 4, IFNg (rep)","Macrophages culture","ID: 4","treatment group: IFNg","cell type: cultured macrophages","batch: 69","line: G","IFNg","cultured macrophages",TRUE,7.239916759,5.5238420065,"female","female"
"4","GSM464232","Macrophage culture, ID 4, IL4 (rep)","Macrophages culture","ID: 4","treatment group: IL4","cell type: cultured macrophages","batch: 69","line: H","IL4","cultured macrophages",TRUE,7.746836802,5.483385691,"female","female"
"5","GSM464237","Macrophage culture, ID 5, IL17","Macrophages culture","ID: 5","treatment group: IL17","cell type: cultured macrophages","batch: 71","line: B","IL17","cultured macrophages",TRUE,5.815674036,8.043840329,"male","male"
"5","GSM464238","Macrophage culture, ID 5, IFNg","Macrophages culture","ID: 5","treatment group: IFNg","cell type: cultured macrophages","batch: 71","line: C","IFNg","cultured macrophages",TRUE,5.964014391,8.14669686,"male","male"
"5","GSM464239","Macrophage culture, ID 5, IL4","Macrophages culture","ID: 5","treatment group: IL4","cell type: cultured macrophages","batch: 71","line: D","IL4","cultured macrophages",TRUE,5.808065688,8.00501212,"male","male"
"5","GSM464236","Macrophage culture, ID 5, Control","Macrophages culture","ID: 5","treatment group: control","cell type: cultured macrophages","batch: 71","line: A","control","cultured macrophages",TRUE,5.863599477,7.901945793,"male","male"
"5","GSM464241","Macrophage culture, ID 5, LPS","Macrophages culture","ID: 5","treatment group: LPS","cell type: cultured macrophages","batch: 71","line: F","LPS","cultured macrophages",TRUE,5.71726886,7.886199388,"male","male"
"5","GSM464242","Macrophage culture, ID 5, LPSandIFNg","Macrophages culture","ID: 5","treatment group: LPS and IFNg","cell type: cultured macrophages","batch: 71","line: G","LPS and IFNg","cultured macrophages",TRUE,5.682698542,7.87646373,"male","male"
"5","GSM464240","Macrophage culture, ID 5, TNFa","Macrophages culture","ID: 5","treatment group: TNFa","cell type: cultured macrophages","batch: 71","line: E","TNFa","cultured macrophages",TRUE,5.705378657,7.80668779,"male","male"
"6","GSM464248","Macrophage culture, ID 6, LPSandIFNg","Macrophages culture","ID: 6","treatment group: LPS and IFNg","cell type: cultured macrophages","batch: 35","line: B","LPS and IFNg","cultured macrophages",TRUE,5.4750887,7.489492308,"male","male"
"6","GSM464246","Macrophage culture, ID 6, TNFa","Macrophages culture","ID: 6","treatment group: TNFa","cell type: cultured macrophages","batch: 71","line: L","TNFa","cultured macrophages",TRUE,5.984977741,7.827590849,"male","male"
"6","GSM464247","Macrophage culture, ID 6, LPS","Macrophages culture","ID: 6","treatment group: LPS","cell type: cultured macrophages","batch: 71","line: A","LPS","cultured macrophages",TRUE,5.786757865,7.569452803,"male","male"
"6","GSM464243","Macrophage culture, ID 6, IL17","Macrophages culture","ID: 6","treatment group: IL17","cell type: cultured macrophages","batch: 71","line: I","IL17","cultured macrophages",TRUE,5.691212734,7.845671468,"male","male"
"6","GSM464244","Macrophage culture, ID 6, IFNg","Macrophages culture","ID: 6","treatment group: IFNg","cell type: cultured macrophages","batch: 71","line: J","IFNg","cultured macrophages",TRUE,5.799037638,7.900477692,"male","male"
"6","GSM464245","Macrophage culture, ID 6, IL4","Macrophages culture","ID: 6","treatment group: IL4","cell type: cultured macrophages","batch: 71","line: K","IL4","cultured macrophages",TRUE,5.820178726,7.835854648,"male","male"
"P 001","GSM464250","Psoriasis skin, ID P 002, LS","Psoriasis Lesional skin","ID: P 001","tissue: skin","disease status: lesional psoriasis","batch: 35","line: D","tissue: skin","disease status: lesional psoriasis",FALSE,NA,NA,NA,NA
"P 001","GSM464249","Psoriasis skin, ID P 001, NL","Psoriasis Non-lesional skin","ID: P 001","tissue: skin","disease status: non-lesional psoriasis","batch: 35","line: C","tissue: skin","disease status: non-lesional psoriasis",FALSE,NA,NA,NA,NA
"P 002","GSM464251","Psoriasis skin, ID P 003, NL","Psoriasis Non-lesional skin","ID: P 002","tissue: skin","disease status: non-lesional psoriasis","batch: 35","line: E","tissue: skin","disease status: non-lesional psoriasis",FALSE,NA,NA,NA,NA
"P 002","GSM464252","Psoriasis skin, ID P 004, LS","Psoriasis Lesional skin","ID: P 002","tissue: skin","disease status: lesional psoriasis","batch: 35","line: F","tissue: skin","disease status: lesional psoriasis",FALSE,NA,NA,NA,NA
"P 003","GSM464253","Psoriasis skin, ID P 005, NL","Psoriasis Non-lesional skin","ID: P 003","tissue: skin","disease status: non-lesional psoriasis","batch: 35","line: G","tissue: skin","disease status: non-lesional psoriasis",FALSE,NA,NA,NA,NA
"P 003","GSM464254","Psoriasis skin, ID P 006, LS","Psoriasis Lesional skin","ID: P 003","tissue: skin","disease status: lesional psoriasis","batch: 35","line: H","tissue: skin","disease status: lesional psoriasis",FALSE,NA,NA,NA,NA
"P 004","GSM464255","Psoriasis skin, ID P 007, NL","Psoriasis Non-lesional skin","ID: P 004","tissue: skin","disease status: non-lesional psoriasis","batch: 35","line: I","tissue: skin","disease status: non-lesional psoriasis",FALSE,NA,NA,NA,NA
"P 004","GSM464256","Psoriasis skin, ID P 008, LS","Psoriasis Lesional skin","ID: P 004","tissue: skin","disease status: lesional psoriasis","batch: 35","line: J","tissue: skin","disease status: lesional psoriasis",FALSE,NA,NA,NA,NA
"P 005","GSM464257","Psoriasis skin, ID P 009, NL","Psoriasis Non-lesional skin","ID: P 005","tissue: skin","disease status: non-lesional psoriasis","batch: 35","line: K","tissue: skin","disease status: non-lesional psoriasis",FALSE,NA,NA,NA,NA
"P 005","GSM464258","Psoriasis skin, ID P 010, LS","Psoriasis Lesional skin","ID: P 005","tissue: skin","disease status: lesional psoriasis","batch: 35","line: L","tissue: skin","disease status: lesional psoriasis",FALSE,NA,NA,NA,NA
