SYMBOLS,logFC,AveExpr,t,P.Value,adj.P.Val,B
SERBP1,0.112880936,7.20130285,0.528344468,0.607675101,0.999966589,-4.629244371
AJM1,0.318041585,0.119236727,0.528314473,0.607695236,0.999966589,-4.607303441
TP53I3,0.269917623,3.654115915,0.528150375,0.607805396,0.999966589,-4.618004722
IP6K2,-0.117029319,5.471343465,-0.528121148,0.607825017,0.999966589,-4.628539052
DDX10,-0.15344179,3.695887249,-0.528119538,0.607826098,0.999966589,-4.621113701
MTMR4,-0.146410866,6.440305463,-0.527881969,0.607985601,0.999966589,-4.62826544
SAP130,0.143176307,5.279800615,0.527620413,0.608161232,0.999966589,-4.625366292
VENTX,-0.507628207,2.832640535,-0.527356911,0.608338196,0.999966589,-4.617927717
FSTL3,0.792436341,5.568884672,0.527312618,0.608367946,0.999966589,-4.629246457
COPG1,0.197651953,7.396414696,0.527248184,0.608411224,0.999966589,-4.62956121
STARD8,0.243456709,5.981537896,0.527232967,0.608421444,0.999966589,-4.629639958
NOL8,0.122658414,4.861866323,0.526995437,0.608581,0.999966589,-4.624727515
FBXL6,0.177554125,2.407259389,0.526952786,0.608609652,0.999966589,-4.613879143
C19orf47,-0.250428237,4.120861744,-0.526952242,0.608610018,0.999966589,-4.6167926
SYNPO2,0.28180387,0.75647924,0.526893805,0.608649275,0.999966589,-4.609858169
TMCC2,1.16065403,2.832114082,0.526610009,0.608839948,0.999966589,-4.617783552
GSTM3,-0.310112013,1.870503278,-0.52657176,0.608865648,0.999966589,-4.612987617
SSR4,0.212116872,6.328245009,0.526453526,0.608945096,0.999966589,-4.629686013
ATP1A3,0.40134108,0.474035432,0.526411732,0.608973181,0.999966589,-4.610751682
DPH7,-0.156746051,3.383030068,-0.526251433,0.609080906,0.999966589,-4.619394996
CXorf40A,0.200744256,5.24674008,0.526233896,0.609092691,0.999966589,-4.626219608
RAPGEF2,0.201835228,6.970527804,0.526017222,0.609238317,0.999966589,-4.627863855
MAP4K5,0.158120437,4.569459966,0.525971416,0.609269106,0.999966589,-4.626336379
LRRC27,0.26808168,1.706956532,0.525882406,0.609328936,0.999966589,-4.608445372
ATP5MC2,0.112676498,6.596716265,0.525825858,0.609366948,0.999966589,-4.629791397
MMP1,-0.963316554,4.174521581,-0.525798225,0.609385523,0.999966589,-4.62985533
WSCD1,0.556878032,-1.275977929,0.525765088,0.609407799,0.999966589,-4.603758025
