"Symbol","logFC","AveExpr","P.Value","adj.P.Val"
"SELENOP",-10.413917076048,11.4080999726589,1.56222694100508e-07,0.000582652212952729
"SLCO2B1",-8.68564713776426,10.3303878267143,3.1039921622792e-07,0.000582652212952729
"SPP1",-9.51560483733515,10.7393969369815,3.16425685845127e-07,0.000582652212952729
"TREM2",-6.19296658519175,9.4941229972235,6.27244205109889e-07,0.000582652212952729
"A2M",-10.3968050208856,11.6870439410307,7.13963502187382e-07,0.000582652212952729
"IGF1",-5.90902278622804,9.08829914341224,7.81341329286748e-07,0.000582652212952729
"DAB2",-5.75467973950108,11.5204767820196,9.75285136971894e-07,0.000582652212952729
"CADM1",-5.43689434849153,8.53111722373232,1.12197128421435e-06,0.000582652212952729
"PLTP",-7.77245095382843,11.2406326742081,1.48781508730564e-06,0.000600266002738161
"HPGDS",-6.65245889326404,9.44961721086517,1.49392840525688e-06,0.000600266002738161
"LILRB5",-6.25620757128357,10.1192538127731,1.77772211498289e-06,0.000600266002738161
"NUAK1",-4.81368340315325,8.54022938691595,1.81456077562983e-06,0.000600266002738161
"FOLR2",-5.46599412692413,13.1989297631933,2.11079809290624e-06,0.000619138595376413
"CNRIP1",-4.54275049094874,8.5690549864185,2.23203847311971e-06,0.000619138595376413
"TNFRSF25",-4.60555522696606,10.3483378003976,2.26123709476335e-06,0.000619138595376413
"EBI3",-4.72095194333745,9.31559515411778,2.50558958341692e-06,0.000619138595376413
"MEGF9",4.21656027069838,10.0560637665031,2.61220905903559e-06,0.000619138595376413
"RNASE1",-8.50443866629625,13.5814933993853,2.71394057497686e-06,0.000619138595376413
"SLC22A23",-4.79838454708616,8.57872944270086,2.76837351956839e-06,0.000619138595376413
"DHRS3",-5.72308551655816,9.84851167297635,3.12087580148556e-06,0.000678032559842748
"C11orf21",4.01712561659966,9.43267325167536,3.33971974926743e-06,0.000692219829048894
"CCL13",-6.62816409489361,9.38188819720794,3.43971346921692e-06,0.000695052262422926
"MSR1",-4.42800075628,9.76414023525043,3.54939629223691e-06,0.000695052262422926
"SLC7A8",-4.20120143136816,8.22667379629573,3.70779906703094e-06,0.000701441072611816
"TNFRSF21",-4.5258177753346,10.0769795865721,3.7283019112816e-06,0.000701441072611816
"CXCL12",-5.397613391869,8.8727551671014,4.26357733731969e-06,0.000745292921217907
"SOCS2",-3.67475323693652,8.41452791980452,4.83080884622415e-06,0.000816299343704188
"APOC1",-8.30918643747401,10.1212387311526,5.25251050230556e-06,0.000858926663645838
"C2",-3.93057072271578,11.1974681083377,5.61031661594226e-06,0.000867385107932377
"CD244",3.52906900831872,10.1385064452237,5.68248027801415e-06,0.000867385107932377
"VCAN",4.07398937297665,12.4758432146105,6.13292609376934e-06,0.000881951457120519
"ITGB5",-5.35901909170491,9.62871458491635,6.95061262852163e-06,0.000943181239860044
"EMP2",-3.42748421015369,7.66002400747177,7.13301506446357e-06,0.000943181239860044
"GATM",-5.4034172617772,9.58570189495659,7.23834235851301e-06,0.000943181239860044
"C1QC",-7.35703333912759,10.4519987085799,7.58278070824648e-06,0.000969066630344643
"CTSL",-5.04763848135062,12.2561896779239,7.97122108371454e-06,0.000993658444599432
"APOE",-9.76803891210036,13.3131325921617,9.45294387171714e-06,0.00111442147597732
"PLAU",-4.42721373237796,12.3071087845201,9.95849526730617e-06,0.00114441414060487
"COLEC12",-4.09891873736404,8.56851002550165,1.092403910139e-05,0.00115137194428132
"OLR1",-3.03433741942099,7.362586616288,1.12360104628305e-05,0.00115137194428132
"MAF",-4.01171394040926,10.9309898621587,1.13987448698149e-05,0.00115137194428132
"S100A9",3.96168091876249,14.7112447229653,1.16659047241238e-05,0.00115906594383699
"CSF3R",2.92810514884317,13.7917356169177,1.1952878737321e-05,0.00116525243485371
"FGR",3.22808118444423,15.6596371642221,1.23125766750166e-05,0.00119267303231625
"EPAS1",-4.13261775811818,10.0632392809087,1.2852355701366e-05,0.00121402872985326
"ATP1B1",-4.06641726894705,10.4943940965645,1.38394405242484e-05,0.0012414779680682
"CD48",3.40596462058869,11.7547314309986,1.38596851235236e-05,0.0012414779680682
"CYP1B1",3.69046700750386,8.80299297984645,1.43017726368712e-05,0.00124705642320198
"TRIM47",-4.16606083125761,8.78666727319679,1.49617207239187e-05,0.0012703077582104
"RAB27A",3.08672431784004,8.9555349013134,1.51276667872297e-05,0.0012703077582104
"CD209",-3.36944611710007,9.90648542931415,1.54524642510401e-05,0.0012703077582104
"TMEM154",3.19425030107397,9.88388569933239,1.56423680407637e-05,0.0012703077582104
"PROS1",-2.98343674805943,8.41543561205147,1.58587874774694e-05,0.0012703077582104
"SPRY2",-3.5542553559782,8.72435247372433,1.58726911167968e-05,0.0012703077582104
"MS4A4A",-4.85498307646002,13.0596940965678,1.59087603073499e-05,0.0012703077582104
"F5",2.84764366377125,7.55149681972679,1.60093421557039e-05,0.0012703077582104
"NRP1",-3.93788387074178,9.27499653700596,1.70299848974448e-05,0.00130340936745872
"CCL8",-3.14579404559727,7.78006657219946,1.75993379228574e-05,0.00131201338789615
"CLEC4E",2.66709361182774,7.5147211548025,1.77753150445961e-05,0.0013186682497474
"LTB4R",2.89304473882849,9.43528570779208,1.79126413445343e-05,0.00132111581199182
"SLCO3A1",2.74301573677025,8.86891763505411,1.88244817640544e-05,0.0013579435281744
"PAEP",-7.60197096692536,9.74023341732605,1.92688918423721e-05,0.00135924231222978
"CD36",3.11148207969392,11.6107927737328,1.93741593444108e-05,0.00135924231222978
"MSRB1",3.05457995773724,12.2451683313687,1.94461230642855e-05,0.00135924231222978
"TKT",3.04553585205163,14.9488584235958,1.96841636408477e-05,0.00135924231222978
"TPPP3",3.77772214112557,9.20227364141387,1.97522718965532e-05,0.00135924231222978
"NUPR1",-7.79227229384183,10.266622085554,1.98713714267844e-05,0.00136127845341683
"VSIG4",-5.40957279774439,12.9701457543708,2.01350798483834e-05,0.00137315827055701
"CD44",2.65777560664943,14.5282916073994,2.14752901837155e-05,0.00141383642040669
"ADORA3",-4.35371368965214,9.79161207560845,2.20468160713789e-05,0.00143045552997069
"FCAR",2.59221114965435,7.88740821187714,2.20571646657124e-05,0.00143045552997069
"RAB3D",2.47101850262026,7.55917373824438,2.24478280155458e-05,0.00144655325618822
"SLC2A6",3.17849239970408,8.75442642562446,2.29593934667653e-05,0.00146708594891835
"SLAMF8",-2.78474910322009,11.3680348881108,2.5340320505697e-05,0.00157789884445537
"FABP3",-3.59715392606437,7.79317538430707,2.55381632693981e-05,0.00157789884445537
"CXCL10",-2.38835439613775,8.93070148140012,2.56273681339082e-05,0.00157789884445537
"RGS16",-3.31790746043708,8.09326260181587,2.59587120141246e-05,0.00158475501952806
"LIMD2",3.00005632883007,9.39177576355139,2.60513384325365e-05,0.00158475501952806
"FYN",2.53946359566872,11.2151057670229,2.64714157176035e-05,0.0015894275440743
"LILRA3",3.05794375580726,10.9300830959969,2.64845956623598e-05,0.0015894275440743
"HSD17B14",-3.09823280395874,8.61796361894782,2.66351904220737e-05,0.0015894275440743
"CCND1",-2.74687917716831,7.5410226593709,2.67508642242261e-05,0.0015894275440743
"S1PR1",-2.4124400958253,7.44153610459825,2.68514619569331e-05,0.0015894275440743
