"Symbol","t","logFC","P.Value","adj.P.Val"
"MEGF9",41.4928642373305,4.21656027069838,2.61220905903559e-06,0.000619138595376413
"C11orf21",38.956115926507,4.01712561659966,3.33971974926743e-06,0.000692219829048894
"CD244",33.9844067625514,3.52906900831872,5.68248027801415e-06,0.000867385107932377
"VCAN",33.3246608522301,4.07398937297665,6.13292609376934e-06,0.000881951457120519
"S100A9",28.2461351445083,3.96168091876249,1.16659047241238e-05,0.00115906594383699
"CSF3R",28.0700669353776,2.92810514884317,1.1952878737321e-05,0.00116525243485371
"FGR",27.8567298153899,3.22808118444423,1.23125766750166e-05,0.00119267303231625
"CD48",27.0209624068459,3.40596462058869,1.38596851235236e-05,0.0012414779680682
"CYP1B1",26.8034542139911,3.69046700750386,1.43017726368712e-05,0.00124705642320198
"RAB27A",26.4188654169707,3.08672431784004,1.51276667872297e-05,0.0012703077582104
"TMEM154",26.1922743540817,3.19425030107397,1.56423680407637e-05,0.0012703077582104
"F5",26.0363568912286,2.84764366377125,1.60093421557039e-05,0.0012703077582104
"CLEC4E",25.3441574050142,2.66709361182774,1.77753150445961e-05,0.0013186682497474
"LTB4R",25.2939726013698,2.89304473882849,1.79126413445343e-05,0.00132111581199182
"SLCO3A1",24.9725555432624,2.74301573677025,1.88244817640544e-05,0.0013579435281744
"CD36",24.7880912559074,3.11148207969392,1.93741593444108e-05,0.00135924231222978
"MSRB1",24.7644277952821,3.05457995773724,1.94461230642855e-05,0.00135924231222978
"TKT",24.6869303000465,3.04553585205163,1.96841636408477e-05,0.00135924231222978
"TPPP3",24.6649728397615,3.77772214112557,1.97522718965532e-05,0.00135924231222978
"CD44",24.1391697599938,2.65777560664943,2.14752901837155e-05,0.00141383642040669
"FCAR",23.9734421943059,2.59221114965435,2.20571646657124e-05,0.00143045552997069
"RAB3D",23.8652224209866,2.47101850262026,2.24478280155458e-05,0.00144655325618822
"SLC2A6",23.7270318852573,3.17849239970408,2.29593934667653e-05,0.00146708594891835
"LIMD2",22.9667340027737,3.00005632883007,2.60513384325365e-05,0.00158475501952806
"FYN",22.8722048440135,2.53946359566872,2.64714157176035e-05,0.0015894275440743
"LILRA3",22.8692694885742,3.05794375580726,2.64845956623598e-05,0.0015894275440743
"ECE1",22.4760906234028,3.06836601891779,2.83269678135886e-05,0.00164426155156128
