"Symbol","t","logFC","P.Value","adj.P.Val"
"SLC22A15",22.4485108707281,2.72031213609768,2.84621502702856e-05,0.00164582654490686
"P2RX1",22.4034744091362,3.48156745942469,2.86846416921706e-05,0.00164735045711405
"LCK",22.3775973969188,3.45706236585986,2.88134680163294e-05,0.00164735045711405
"PSTPIP1",22.1190211640043,2.33425654322747,3.01415034291676e-05,0.00166893957348994
"PLP2",21.8259806663436,3.33515706366904,3.17407632444421e-05,0.00169053696626155
"ADGRE1",21.6871447340657,2.29065194514198,3.25356032156984e-05,0.00169053696626155
"CLEC12A",21.6819789883093,3.22507103917129,3.25656563401767e-05,0.00169053696626155
"DPEP2",21.6698660228058,2.39915496655839,3.26362634836295e-05,0.00169053696626155
"VIPR1",21.5487590599886,2.88823462123095,3.33528717568329e-05,0.00169053696626155
"RNF24",21.5374947027957,2.23733828304282,3.34205236267915e-05,0.00169053696626155
"MYO1G",21.4891514696636,2.77937272489055,3.37128274037042e-05,0.00169053696626155
"BCL11A",21.4843380524767,2.35421375760254,3.37421066296836e-05,0.00169053696626155
"ZBTB16",21.4577988023471,2.24570688411396,3.39041145916473e-05,0.00169053696626155
"RAB11FIP1",21.3553379769909,2.56414395476378,3.45388139719721e-05,0.00170271061487569
"CRISPLD2",21.3243455264733,2.46912220313086,3.47337293303942e-05,0.00170396953437624
"LILRA1",21.198707889726,2.34545898842529,3.55381585873707e-05,0.00172672305366369
"KSR1",20.8677624586017,2.75471885321891,3.77718285113681e-05,0.00176165672977226
"RAB37",20.8534150460267,3.3345639037502,3.78725918747452e-05,0.00176165672977226
"CKAP4",20.8417875418615,3.15998636356396,3.79545004994617e-05,0.00176165672977226
"CCND3",20.8292079257814,2.39869150942324,3.80433665697868e-05,0.00176165672977226
"ITGAL",20.6341056592193,2.54132135784193,3.9455638870881e-05,0.00178809273861894
"TNFRSF10B",20.1733197258772,2.19866362489774,4.3061501680352e-05,0.00182953079529745
"CD79B",20.105227971837,2.33743613980717,4.36288649437059e-05,0.00182953079529745
"APOL3",19.9987784783203,2.13822598469649,4.45347570012074e-05,0.00185557420403935
"LILRA2",19.756006937568,3.06865264647964,4.66906787019303e-05,0.00189433933980213
"CCDC69",19.5945343165028,3.46738887605549,4.81974152450051e-05,0.00194672792471706
"VNN1",19.0395269791906,2.52534040723431,5.38643759945047e-05,0.00200383318517556
"IRF1",18.937970985458,2.18253790259072,5.49901680470003e-05,0.00200402164506413
"MTARC1",18.9181450080476,3.97376262394926,5.5213379095336e-05,0.00200402164506413
"MAP3K7CL",18.8112541879238,2.24400482521438,5.64365828986727e-05,0.00201558346676719
"SYNGR1",18.7978640855553,2.2133760859299,5.65921975479741e-05,0.00201558346676719
"XYLT1",18.7800853531859,2.05293940695017,5.67996475785106e-05,0.00201824542143455
"ICAM3",18.3532407587018,3.6521735691329,6.20793956977917e-05,0.00207040230213162
"PELI3",18.3263443073203,1.88175569529644,6.24322933054532e-05,0.00207758154660846
"PRELID1",18.2606096216489,1.91548278617028,6.33054164513972e-05,0.00208924981101982
"LILRB3",18.2062890161337,1.97275997383137,6.40385114937342e-05,0.00209644887784227
"TNFSF10",18.1627022564058,2.34475855357983,6.46344561908215e-05,0.00209644887784227
"KCTD15",18.0809364609111,2.45307195456211,6.57712858237777e-05,0.00210589232151935
"LILRB2",18.01052749309,2.1255888045074,6.67703686739405e-05,0.0021096968598992
"BPI",17.9756708307549,2.08834422781723,6.72720159012676e-05,0.0021096968598992
"VNN2",17.9409114018615,3.88725432361805,6.77769779894713e-05,0.00211653445844739
"FLT3",17.7478752377762,2.90325279376638,7.06694284262767e-05,0.00215378891283931
"CCNY",17.5853381902256,2.33605647902064,7.32257828350988e-05,0.00220518357496274
"IL27RA",17.5533411841321,2.8581597238443,7.37426096688056e-05,0.00221245399672463
"CD300LB",17.4386834997015,2.65704678026654,7.56325666416544e-05,0.0022319615100813
"EIF4EBP2",17.3602175269822,2.0169355804053,7.69610389539284e-05,0.00225081438540643
"SLC16A6",17.3331165173112,2.25033787986925,7.74266610304117e-05,0.00225763613216071
"PTPRE",17.3276372481585,2.26297511014163,7.75212290374889e-05,0.00225763613216071
"RASGRP4",17.2446765542048,1.92829963781774,7.89709191008717e-05,0.00226227390713583
"DAPP1",17.235372816385,2.0795499564102,7.9135608126391e-05,0.00226227390713583
"PCSK5",17.2272809830847,2.79914753889929,7.92791949433197e-05,0.00226227390713583
"TLR8",17.2184962892234,2.09041618928394,7.94354462395144e-05,0.00226227390713583
"GRK6",17.1626056571243,2.48549832068114,8.04386531373548e-05,0.00227783561691632
"SULT1A1",17.1324118354053,2.35371877055814,8.09872250316871e-05,0.00228507183354712
"AGTPBP1",17.0257791757506,2.13125922801536,8.29624809063289e-05,0.0023150337791256
"CDA",17.0108457001456,4.3818278394773,8.32439072288411e-05,0.00231863249292347
"PTX3",16.6473670684645,2.32608097506778,9.04783082755826e-05,0.00242679737611122
"POU2AF1",16.6363205990531,1.72950561681553,9.07102647582953e-05,0.00242822522767906
"IKBKE",16.4434506986336,1.80611539668854,9.48829681124388e-05,0.00247085647098282
"SELL",16.3885360777748,4.17328965901099,9.61148206792494e-05,0.00249439282063144
"RASSF2",16.3639988758636,2.10052610398443,9.66717190194059e-05,0.00250457155510583
"CD1D",16.1779633794269,2.09116439648444,0.000101028302907132,0.0025522233066639
"STK26",16.1353115605091,2.02635587836902,0.00010206158807375,0.00256554153954642
"TREM1",16.0895068786049,1.94468266015146,0.000103186045787821,0.00258526092972187
"PADI4",16.0336362518382,2.8817464742481,0.00010457871226391,0.00259874682370839
"WARS1",15.9946629715518,2.1737102946626,0.000105564148944873,0.00260458067554097
"FRY",15.9772175536154,3.61334583703649,0.000106009024050865,0.00260458067554097
"GDPD5",15.9475250375357,1.70976383633135,0.000106771627708898,0.00260815596673567
"CALCOCO2",15.8673902091155,1.7507670615781,0.000108864343685668,0.00263170378133674
"IMPDH1",15.7090740957358,1.92047565647706,0.000113152044152946,0.00267217975189168
"HK3",15.595702282409,2.41006229319558,0.00011635309150922,0.00270979757377062
"ASGR2",15.5774978838112,3.59898681273064,0.000116877613623628,0.00271314448371105
"ABCC6",15.5721588559641,1.76510402867472,0.000117032008240035,0.00271314448371105
"H3C1",15.3871164717498,1.67379064683481,0.000122544626361996,0.0027899082001695
"CEACAM19",15.321034481259,2.08621048943575,0.000124591858408206,0.00280762812032829
"TTC9",15.2679997654394,1.77794420116389,0.000126265954440653,0.00281456334962822
"S100A10",15.2181117338438,1.56952370132042,0.000127866519903452,0.00283468518176632
"NAAA",15.1101815575978,1.78237749877815,0.000131417162048781,0.00288469032275595
"ST3GAL4",15.1092028425064,1.6770401491508,0.000131449920677924,0.00288469032275595
"PTK2B",15.0616647347658,2.253281129534,0.000133053460294501,0.00289481691582085
"TSPO",15.051958814933,1.99223904335596,0.000133383863909105,0.00289785971761382
"UNC119",14.5867967432686,1.62892117416537,0.000150498526106775,0.00313180162716482
"CLEC4A",14.5806730576216,2.2051754945503,0.000150741635394835,0.00313180162716482
"BST1",14.429186154797,3.82823135807038,0.00015691533529157,0.00321423230081273
"STK38",14.4189872391205,2.10322920741398,0.00015734226014513,0.00321423230081273
"GLIPR2",14.4145468056215,3.04553676126454,0.000157528590406619,0.00321423230081273
"SIRPD",14.3439080132362,2.80969034757863,0.000160530253160557,0.00325079106533388
"LTA4H",14.2406778614573,2.40752575998045,0.000165046833800285,0.00330008468508641
"DENND10",14.1811835786615,1.88456603169517,0.000167722221660969,0.00331882495705834
"NOTCH2",14.1688048213625,1.82160838911917,0.0001682856886778,0.00331882495705834
"IL6R",14.0953990401839,1.57160917041555,0.000171676188570595,0.00334147582902408
"PTGIR",14.0736193392056,1.86243141822386,0.000172698579800955,0.00334147582902408
"BCL6",14.0585062010983,1.45401542514673,0.000173412509741104,0.00335102598239226
"ADORA2B",14.0501839784682,1.44761762454359,0.000173807221328948,0.00335439114463279
"SMAD3",14.0432940219437,1.44135271332742,0.000174134853982273,0.00335645482808923
"PF4",14.0171560565591,3.76230134673059,0.000175384825073871,0.00335925997446276
"STK35",13.9711433773061,1.54608351698163,0.000177612665146131,0.00336603301510559
"TMEM164",13.8676110739234,1.9962205096749,0.00018275650037662,0.00342052372838523
"LINC01003",13.829803756867,1.41405599635794,0.000184681297640373,0.00343457529535069
"FAM111A",13.6657913971029,1.3926484312947,0.00019333119567372,0.00353812373502519
"PGD",13.658188313146,2.42307402796301,0.000193744349810357,0.00354030846725277
"CERK",13.6376712057073,1.89808901279674,0.000194864784965299,0.00354030846725277
"FGD3",13.6241297542347,1.99814426582279,0.000195608726451951,0.00354144941890628
"UPK3A",13.5763964229497,1.4900105547579,0.000198259624244649,0.00356943532912823
"ADGRE5",13.5519106737842,1.38705170286544,0.000199636907211766,0.00358344678186357
"MYD88",13.5391644153204,2.10782250883005,0.000200358603601421,0.00358344678186357
"PTPRC",13.5101347554958,1.53548388772871,0.000202014498500021,0.00359241938250952
"ADGRE2",13.4997919652889,1.82384327902992,0.000202608603141202,0.00359338218713332
"ABTB1",13.4878296746069,1.81870641212996,0.000203298464373364,0.00359338218713332
"CAST",13.3954820894103,1.79642794992639,0.00020872431076583,0.00366122182021539
"CLASRP",13.3842428965366,1.49578564071986,0.000209396975996351,0.00366878941353976
"CFP",13.3390133005764,4.15738908962471,0.000212131553177523,0.00369965213385753
"RAC3",13.2498848275149,1.56699219921585,0.000217652345756484,0.00375664770836115
"CES1",13.2141866587404,1.97310200091954,0.000219913933930675,0.00376147700130116
"ABRAXAS1",13.1825910837195,1.36196105465548,0.000221940194838004,0.00377606896610887
"CASP5",13.1612031224823,1.43979194510349,0.000223325102412391,0.00378631901615122
"WAS",13.1056920908385,1.4282700174373,0.000226970332587621,0.00383529424221394
"C19orf38",13.0654908551094,3.72917001934974,0.000229656793017756,0.003869217204219
"BRICD5",13.0175000030626,1.49237979390635,0.000232916117355527,0.00390108845015732
"IL16",13.0083622403391,1.51276453306917,0.00023354325937185,0.00390728920630044
"C5",12.9887708849951,1.43109457284814,0.000234894989125544,0.00391268674109669
"KIAA0232",12.9474707606389,1.39468978020199,0.000237776765962479,0.00393706670911697
"OSBPL8",12.8243556359844,1.41958934831368,0.000246633862987706,0.00400589419415948
"SCO2",12.8211971406488,1.89797799271041,0.000246866474357141,0.00400589419415948
"SP3",12.819679528574,2.09539284998398,0.000246978338445488,0.00400589419415948
"RPS9",12.7931233362485,1.3564747168077,0.000248946116291926,0.00401153084282279
"SASH3",12.7758905523724,1.54149575204461,0.000250233543670325,0.00401153084282279
"RIN3",12.7661382333211,1.66379940299559,0.000250965812045673,0.00401153084282279
"CARS2",12.7028106066375,2.32661137387749,0.000255786677396962,0.00404052848873681
"CSGALNACT2",12.6641460906065,1.65421186427378,0.000258787071321565,0.00406189949681936
"SPINT1",12.6407761061557,1.80194326406564,0.000260621962991343,0.00406390010483973
"LRRC36",12.6295130299641,1.73869733863547,0.000261512094449736,0.00406653980817135
"LINC00324",12.6208482965563,1.58687978082165,0.00026219946620662,0.00407306382233941
"ADCY9",12.6168969273163,1.28260491856297,0.000262513678016132,0.00407378368905034
"TNFRSF1B",12.5680206777858,1.52197072320136,0.000266439535243896,0.0041095460973521
"VCPKMT",12.5497759521493,1.50181518746826,0.000267923803916563,0.0041103971376862
"PTPN22",12.5422440572877,1.54570190556119,0.000268539564334818,0.00411147654758308
"TCEANC2",12.5294048744747,1.51332433314067,0.000269593302174064,0.00411147654758308
"TALDO1",12.5202285973464,2.02608749874098,0.000270349588873164,0.00411147654758308
"APOL6",12.4934996178379,1.49919237467589,0.000272567703643159,0.00412094604267
"TFCP2",12.4905257281155,1.33426188668361,0.000272815898230372,0.00412094604267
"GTPBP6",12.490448867683,1.33132439325584,0.000272822316587679,0.00412094604267
"RDH5",12.4539154758033,1.28571579510314,0.000275894601642861,0.00414605247211919
"SNX15",12.4384337655133,1.45167436149177,0.000277209591015577,0.00416170134270967
"TYK2",12.4060997959146,1.50450133919621,0.000279981364950946,0.0041950311312059
"TCIRG1",12.3378620335354,1.47899469226631,0.000285945637579505,0.00422239228108633
"SDR16C5",12.2987653766267,1.35452533607628,0.000289434523276733,0.00424100035161351
"SLC7A7",12.2700932356712,1.47763957563265,0.000292027043120469,0.00425062808407002
"MAP4K2",12.2645560507828,1.51526978108134,0.000292531054179466,0.00425062808407002
"BCLAF1",12.2622822046697,2.12972238305744,0.000292738341539395,0.00425062808407002
"LINC01001",12.257280474576,1.61764221265254,0.000293194953984051,0.00425062808407002
"AGO1",12.2223577782015,1.35434607471763,0.000296408028452198,0.00427277089734694
"FHL3",12.2048567052907,1.56658647181066,0.000298034786312318,0.00428809179776512
"ELAVL1",12.1322371097172,1.34993806524428,0.000304905419381091,0.00437748516232381
"FAS",12.1008340174312,1.34554009844984,0.000307937812941539,0.00440556750631696
"IRAK3",12.0977426037131,1.96528488383384,0.000308238365987421,0.00440572281009088
"GAS7",12.0133745335585,1.84181453126084,0.000316584288410224,0.0044662466216537
"WFIKKN1",11.9531695267435,1.28513845530489,0.000322713221688267,0.00452751169320587
"HSH2D",11.8934418724973,2.92321632470425,0.000328940878548068,0.00454189340448531
"NHEJ1",11.8188793818972,1.29286398820395,0.000336927761470525,0.0046287239353602
"BANK1",11.7629215676429,1.25058939928416,0.000343081535992757,0.00466689087600881
"PPM1F",11.7229601611827,1.64282123118093,0.000347562340669988,0.00471557330760418
"PIDD1",11.6968019443251,1.33262411256382,0.000350535080505213,0.004733870971267
"MNDA",11.6504305045592,2.85680673120872,0.00035588349686884,0.00478116273885276
"PSMB8",11.6010317970029,1.34455994210946,0.000361693790967897,0.00483785327444132
"KCTD18",11.5962743935954,1.36046393540805,0.000362259598562772,0.00484116342262095
"PRKCD",11.5561885875188,1.76547356626926,0.000367071299343456,0.00487122192008315
"TLE4",11.5213976793494,1.32615700001661,0.000371312348313896,0.00490609747450716
"H3-3A",11.5029479581468,1.1895800873056,0.000373586247895157,0.00493146158881043
"SAFB2",11.46965569695,1.21264141797101,0.00037773368981322,0.00495649176417553
"KLHL8",11.4568059951655,1.70506697020739,0.00037934984856101,0.00496484724347318
"CD33",11.409519618963,1.16882901889932,0.000385372184639335,0.0049897584631213
"HRH2",11.3391561468508,1.50639921246942,0.000394556551531597,0.00505511039232732
"PITPNC1",11.326554728424,1.1672316467443,0.000396230158974815,0.00507149070364753
"DIS3",11.3068146012868,1.41731440885163,0.000398869742146718,0.00508041125508148
"TXNIP",11.2811926059421,1.56732488670241,0.000402328691705598,0.00511223832988518
"RNF213",11.2770591163178,1.31493102372766,0.000402890216267666,0.00511223832988518
"ABHD2",11.268563052542,1.19152724609627,0.000404047464967906,0.00511299914963079
"NDUFA10",11.1704380930953,1.50812221311639,0.000417718961900512,0.00519858426561619
"JCHAIN",11.1604183541272,1.26771587743739,0.000419147299982508,0.00520443953042888
"DUSP22",11.1599368130691,1.47505486255116,0.000419216098420265,0.00520443953042888
"CTRL",11.1223647298382,1.89829970616232,0.00042462785760437,0.00523619429390657
"MYCL",11.1133999414657,2.77392668497527,0.000425931994761407,0.00523619429390657
"KLF10",11.1053694174834,2.70023892257791,0.00042710447386128,0.00523822970845351
"TRMT10A",11.0929470642222,1.22784687240725,0.000428926128602783,0.0052437445926485
"NOA1",11.0928980016087,1.30223495997685,0.000428933342533847,0.0052437445926485
"ACTN1",11.0873030253297,1.40197628377489,0.000429756996376685,0.0052495938963025
"EREG",11.0800502018776,1.60256662278501,0.000430827650823599,0.0052542316870291
"SLMAP",11.0358833880234,1.23114620786161,0.000437419961501945,0.00528324266501045
"UBE2D1",10.9947601235484,1.29776038104168,0.000443671680426507,0.00530789425419488
"CLEC7A",10.9825310080412,1.58779932950987,0.000445552303533673,0.00531031303459255
"MIEF1",10.9770253211377,1.18930944813669,0.000446402232574162,0.00531116830846729
"PDPK1",10.9752820461024,1.16506590352854,0.000446671769235249,0.00531116830846729
"ZZEF1",10.9432023512008,1.14673755110653,0.000451668271308734,0.00534120935589043
"ITGAE",10.9318334292182,1.78422852310477,0.000453455758256504,0.00535102694899918
"SEPTIN9",10.8772609959011,1.63032714280973,0.000462160034183516,0.00541348036607865
"STMP1",10.8571180543402,1.4098811023785,0.000465425500465138,0.00543639862601675
"BORCS8",10.8513843413799,1.38733156670456,0.000466360285706552,0.00543776798263752
"UPP1",10.8266416261848,1.56422653277875,0.000470421171000228,0.00547373004481368
"MXD1",10.8094069951823,2.31223943835532,0.000473275919586132,0.00547532183640291
"ACAP3",10.8084311547365,1.36786892295462,0.000473438204554828,0.00547532183640291
"SH3BGRL3",10.8045385000713,1.8449840944495,0.000474086255952563,0.00547581196627214
"PDE3B",10.776285804655,1.39703948755534,0.000478823143591491,0.00550411365664354
"S100A8",10.7362852607829,3.69586787384553,0.000485631265863974,0.0055444526802537
"TMEM80",10.7172605639253,1.25168290913707,0.000488911707346414,0.00555707716391948
"MARK3",10.7044278772435,1.21277724031345,0.000491140097763286,0.00556576647301346
"FES",10.6288153256833,1.61371605994185,0.000504530975407723,0.00565107392730337
"BCL2A1",10.6276035158657,1.53786311196238,0.000504749273794826,0.00565107392730337
"HDAC4",10.6244030797719,1.51121993035107,0.000505326375659777,0.00565107392730337
"PTEN",10.5949363326198,2.08139224906086,0.000510678729674272,0.0056980206316114
"MUSTN1",10.5827382348895,1.7606318102646,0.000512915110543139,0.00571094659585717
"MS4A1",10.5760602896165,1.33736431370806,0.000514144616621619,0.00571990587387094
"SMNDC1",10.5710804784457,1.15056837938924,0.000515063868290034,0.00572594393929447
"NOTCH4",10.5547007378202,1.21503187016677,0.000518102013578008,0.00575131052736814
"LMNB1",10.5304761166429,1.42230257234079,0.000522636387220234,0.00578475558722366
"C2CD3",10.5227069264996,1.11652847735747,0.000524101115134331,0.00579255935300847
"RPL34",10.4975687331669,1.12070142033629,0.000528875690807124,0.00582414301650597
"IKBKG",10.4393023833708,1.06104542261693,0.000540152997937208,0.00587815386395207
"NUP210",10.4339968867147,1.31887081118426,0.000541194715320592,0.00587815386395207
"DHX33",10.4304266067651,1.20044160049233,0.000541897140798317,0.00587815386395207
"AHNAK",10.4195743537552,1.73836925422278,0.000544039240083185,0.00588878915529187
"RIPOR2",10.4164118365097,4.12901490710727,0.000544665470322375,0.0058913744471285
"TBCC",10.4005611482953,1.28527231654521,0.000547817762885674,0.00589611644583534
"PROK2",10.3847674192687,3.30110113691591,0.000550981418577042,0.00591617072531436
"BACH1",10.3837021382303,1.07872876093586,0.000551195626196878,0.00591617072531436
"MTMR9",10.3766102501762,1.06428360414101,0.000552624322701324,0.00591617072531436
"RGS19",10.3532600384617,1.79244401707413,0.000557361134050329,0.00595429007362712
"MYH9",10.346385135236,1.44177385552873,0.000558765425069892,0.00596119592096242
"CTSS",10.2949165892324,2.80708008144316,0.000569420140755604,0.00602207336621086
"FAM117A",10.2888532776295,2.10294387502449,0.00057069197311484,0.00602408370716434
"BAZ1A",10.2847169410882,1.07230923917244,0.000571561641138811,0.00602795384080378
"HNRNPA3",10.2745645379686,1.16205679369993,0.000573703216849149,0.00603013390554661
"CNTRL",10.2720309295835,1.25898971975773,0.000574239224430945,0.00603013390554661
"EHD1",10.2523802585602,1.60519466481087,0.000578417802212647,0.00606213124343545
"MPEG1",10.2511675267632,1.46857885660187,0.000578676922844472,0.00606213124343545
"PRRG4",10.2360995556213,1.52941962520763,0.000581908568237143,0.00606378649212819
"FAM53B",10.2288500037012,1.08912659669921,0.000583471415463123,0.00606378649212819
"SPIDR",10.2184393637655,1.17349835372772,0.000585724902260479,0.00606791846973934
"SFTPD",10.1837429513816,1.04082787375872,0.000593314165481669,0.00610409544727659
"ZBTB22",10.1803655765516,1.07670415209401,0.00059405944926107,0.00610409544727659
"STAT6",10.1796749259926,1.36406760359158,0.000594211998710943,0.00610409544727659
"FCN1",10.1793838230152,5.00016644595342,0.000594276311576913,0.00610409544727659
"EIF2S2",10.1763154016169,1.16759040155139,0.000594954741294918,0.00610531154224907
"MAPK1",10.1501774010684,1.238863241968,0.00060077324386992,0.00614842496148973
"ASPHD2",10.1214714022106,1.68625371795973,0.000607245483304358,0.0061946999344591
"SEMA3C",10.1198586464128,1.37953338104221,0.00060761168179614,0.0061946999344591
"RC3H1",10.1121398272038,1.21435080698316,0.000609368168197712,0.0061946999344591
"ADAMTSL4",10.1080794638221,1.08199914804096,0.000610294684293782,0.00619908461192937
"YPEL2",10.1013660120466,1.38221137570714,0.000611830457360363,0.00620728325252595
"MAST3",10.0499862072962,1.7915477040108,0.000623745309634517,0.00629382317497288
"ANPEP",10.0205577151279,3.05234526860714,0.000630700240316946,0.00634809940037579
"PSTPIP2",10.0133811347748,2.10754280735084,0.0006324109637166,0.0063519635825985
"ANAPC1P2",10.0127288724539,1.47368586603703,0.00063256673424201,0.0063519635825985
"GAPDH",10.0116874755699,1.08842799338156,0.000632815535511689,0.0063519635825985
"ALDH3A2",10.0058286685699,1.08117988827393,0.000634217548213308,0.00635806227635332
"ACVR1B",9.99542571051916,1.05611373073336,0.000636716542953719,0.00636632819542417
"ZNF862",9.98437174001561,1.33279214670842,0.000639385405491917,0.00636969787317645
"SLC35E2B",9.96890867129316,1.15922603914575,0.00064314226695763,0.00638009406730012
"TMOD4",9.96427030142737,1.4804325005032,0.000644274559740531,0.00638009406730012
"MIR22HG",9.96381375136576,2.46100670397137,0.000644386144619476,0.00638009406730012
"CCDC126",9.93040720205565,1.0926786380593,0.000652616863244724,0.00643644439443953
"NFATC2IP",9.91267889740843,1.27232465547116,0.000657038066692153,0.00646743224352515
"RBBP4",9.89834659390874,1.50651482235,0.000660639704323644,0.00647689368474192
"RCBTB2",9.89701784511917,1.19079713883169,0.000660974858930092,0.00647689368474192
"RNF207",9.89532190874408,1.15120321468915,0.000661402938743043,0.00647689368474192
"ACAA1",9.88664791300917,1.4057212940305,0.000663597803499764,0.0064900291933276
"TNFRSF10C",9.85622555710311,1.89156686283859,0.000671368066292128,0.00652879320679851
"S100A4",9.84989302807192,2.50975757372579,0.000672999727506068,0.00653574703442675
"BTBD9",9.8414957276454,1.45423311483653,0.000675171043843453,0.00655264916067085
"DICER1",9.83466797717333,1.40013475127802,0.000676942963207293,0.0065536579871493
"ARLN",9.83199469400809,1.06982564908906,0.000677638306903841,0.0065536579871493
"CASP8",9.83154202450993,1.35041321384975,0.000677756138310164,0.0065536579871493
"ADGRB1",9.81874528059074,1.0566117489034,0.000681097776800622,0.00656409061443844
"NUP50",9.80068925294476,1.11971330788368,0.000685847828011401,0.0065847880351814
"NUP214",9.79753960289203,1.16549047839584,0.000686680644729303,0.0065847880351814
"ANXA6",9.77215595730512,2.3336640576723,0.00069343875064624,0.0066159451190891
"NELFCD",9.73783988981264,1.09855856171395,0.000702707489266827,0.00668759417820395
"TREML2",9.72504404357931,1.27053994041282,0.000706203165405602,0.00669833357823874
"KMO",9.72107413373778,1.02970208949189,0.000707292106067969,0.00670186813026895
"TMEM105",9.69467774264639,1.23772470535727,0.000714586122962857,0.0067415792543543
"PPBP",9.67472828371094,3.06764385280116,0.000720161025243956,0.00676062276043832
"CLK3",9.67131314737269,1.28610378060855,0.00072112082185861,0.00676545679137924
"PSME1",9.66074707926056,1.21884426312521,0.000724100453889601,0.00678174882972291
"RAB11FIP4",9.64577298456177,2.79026983837439,0.000728349505769467,0.0068048248401672
"ENC1",9.60913181325897,1.3285487485096,0.000738878733562891,0.00686011463981956
"CES2",9.59638120015053,1.37150280785298,0.000742587240406066,0.00689015803273139
"ILF3",9.59099206801378,1.0671229904313,0.000744161644720484,0.00689015803273139
"EIF4E3",9.59040836960864,2.46755576328095,0.000744332418695618,0.00689015803273139
"C1RL",9.58928282015411,1.3285196558889,0.000744661861309009,0.00689015803273139
"JMJD7-PLA2G4B",9.57710325946206,1.09769436325554,0.000748238415975638,0.00690905272019278
"PGS1",9.55808176933418,1.66244088223842,0.00075386708922771,0.00692342932111148
"KYNU",9.55646524338307,1.53693459269808,0.000754347868561396,0.00692342932111148
"RAB4A",9.55217347660492,0.99449725952542,0.000755626161903079,0.00692385621955408
"ADCY10P1",9.5450527491687,1.09274998247242,0.000757753021009211,0.00693375929212279
"GNMT",9.54016806907598,1.38805532903838,0.000759216323843235,0.00694297164943351
"MFNG",9.52987440958766,1.28202156475594,0.000762311551264524,0.00694946975347108
"CSTA",9.52964030581943,3.23480534365962,0.000762382127403573,0.00694946975347108
"OXER1",9.52415034036416,1.20159698341341,0.000764039546804554,0.00694946975347108
"TIRAP",9.51144674776702,1.00900544661896,0.000767892023802033,0.00696441756178942
"CDC42",9.51138372072227,1.35525370587707,0.000767911197635277,0.00696441756178942
"RPS6KA1",9.5021708694076,1.02818517429365,0.000770720328543635,0.00696441756178942
"SECTM1",9.49488327803046,1.57216514081851,0.000772951503633403,0.00698043139385795
"CAVIN3",9.48770703612043,1.07782108176073,0.000775156465348189,0.00698261722207181
"NINJ2",9.48732186871647,1.08500307101607,0.000775275033009614,0.00698261722207181
"PSMB9",9.47807705273287,1.39838625165963,0.00077812770157115,0.00698822721368803
"BEGAIN",9.47568045796679,1.4357588084929,0.000778869353445634,0.00698822721368803
"DENND1C",9.4707632189164,1.38276465670136,0.000780393807717533,0.00699520555840563
"TAF1",9.470168862191,0.976795299160527,0.000780578323601727,0.00699520555840563
"NUMB",9.46740522745982,1.35648342772616,0.000781436998973805,0.00699520555840563
"RSL24D1",9.46042776293844,1.11845509598414,0.000783610180177806,0.0070018470153608
