 Toll  Like  Receptor  4  Cascade , Interlukin-1  signaling   , Interlukin-10  signaling   , Signaling  by  TGF-beta  Receptor  Complex ,Glycolisis, Regulation  of  lipid  metabolism  by  PPARalpha , Mitochondrial  Fatty  Acid  Beta-Oxidation , Binding  and  uptake  of  ligands  by  scavenger  receptor   , Cellular  Senescence 
TLR4,,,,,,,,
,MAP2K6,,,,,,,MAP2K6
,TOLLIP,,,,,,,
,,IL10,,,,,,
,,CCR2,,,,,,
,,,ITGB5,,,,,
,,,TGFBR2,,,,,
,,,SMAD3,,,,,
,,,YBX1,,,,,
,,,TGFB1,,,,,
,,,SKI,,,,,
,,,NEDD4L,,,,,
,,,TGFBR1,,,,,
,,,,HK3,,,,
,,,,PRKACB,,,,
,,,,SEC13,,,,
,,,,GPI,,,,
,,,,,CD36,,CD36,
,,,,,PLIN2,,,
,,,,,TNFRSF21,,,
,,,,,RXRA,,,
,,,,,PPARGC1B,,,
,,,,,HDAC3,,,
,,,,,,PCCA,,
,,,,,,,STAB1,
,,,,,,,CD163,
,,,,,,,MSR1,
,,,,,,,COLEC12,
,,,,,,,MARCO,
,,,,,,,SPARC,
,,,,,,,,FOS
,,,,,,,,H3C1
,,,,,,,,CDK4
,,,,,,,,H3-3A
,,,,,,,,CCNA2
,,,,,,,,MAPKAPK3
