Pathway,Gene
Neddylation,CUL1
Neddylation,PSME1
Neddylation,PSMB9
Neddylation,PSMB8
Neddylation,PSME2
Post-translational protein phosphorylation,C4A
Post-translational protein phosphorylation,CP
Post-translational protein phosphorylation,IL6
Post-translational protein phosphorylation,SERPINA10
Post-translational protein phosphorylation,CKAP4
Post-translational protein phosphorylation,APOL1
Peptide hormone metabolism,INHBA
Peptide hormone metabolism,CES1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),C4A
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),CP
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),IL6
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),SERPINA10
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),CKAP4
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),APOL1
Unfolded Protein Response (UPR),CREBRF
Unfolded Protein Response (UPR),ATF3
Unfolded Protein Response (UPR),CXCL8
Unfolded Protein Response (UPR),EXOSC9
Protein repair,MSRB1
Surfactant metabolism,ADORA2A
Surfactant metabolism,GATA6
Surfactant metabolism,CKAP4
Amyloid fiber formation,B2M
Amyloid fiber formation,H2BC15
Amyloid fiber formation,UBE2L6
Amyloid fiber formation,H2BC3
Amyloid fiber formation,H2AC18
Amyloid fiber formation,H2BC21
Amyloid fiber formation,UBC
Amyloid fiber formation,H2BC11
mRNA Capping,MNAT1
Processing of Capped Intron-Containing Pre-mRNA,PRPF3
Processing of Capped Intron-Containing Pre-mRNA,CSTF3
Processing of Capped Intron-Containing Pre-mRNA,SMNDC1
Processing of Capped Intron-Containing Pre-mRNA,NUP62
Processing of Capped Intron-Containing Pre-mRNA,BCAS2
Processing of Capped Intronless Pre-mRNA,CSTF3
mRNA Editing,ADARB1
Regulation of mRNA stability by proteins that bind AU-rich elements,PSMA6
Regulation of mRNA stability by proteins that bind AU-rich elements,PSMA2
Regulation of mRNA stability by proteins that bind AU-rich elements,EXOSC9
Regulation of mRNA stability by proteins that bind AU-rich elements,PSMA4
Regulation of mRNA stability by proteins that bind AU-rich elements,UBC
Regulation of mRNA stability by proteins that bind AU-rich elements,PSMA3
Regulation of mRNA stability by proteins that bind AU-rich elements,PSMB10
Regulation of mRNA stability by proteins that bind AU-rich elements,PSME1
Regulation of mRNA stability by proteins that bind AU-rich elements,PSMB9
Regulation of mRNA stability by proteins that bind AU-rich elements,PSMB8
Regulation of mRNA stability by proteins that bind AU-rich elements,HSPB1
Regulation of mRNA stability by proteins that bind AU-rich elements,PSME2
Deadenylation-dependent mRNA decay,EXOSC9
Nonsense-Mediated Decay (NMD),RPS27L
Nonsense-Mediated Decay (NMD),RPS19
rRNA processing in the nucleus and cytosol,RPS27L
rRNA processing in the nucleus and cytosol,EXOSC9
rRNA processing in the nucleus and cytosol,RPS19
rRNA processing in the nucleus and cytosol,DDX52
rRNA processing in the nucleus and cytosol,THUMPD1
tRNA processing in the nucleus,NUP62
tRNA processing in the nucleus,RTCB
tRNA modification in the nucleus and cytosol,TYW5
Metabolism of non-coding RNA,NUP62
PRC2 methylates histones and DNA,H2BC15
PRC2 methylates histones and DNA,H2BC3
PRC2 methylates histones and DNA,H2AC18
PRC2 methylates histones and DNA,H2BC21
PRC2 methylates histones and DNA,H2BC11
Positive epigenetic regulation of rRNA expression,H2BC15
Positive epigenetic regulation of rRNA expression,H2BC3
Positive epigenetic regulation of rRNA expression,H2AC18
Positive epigenetic regulation of rRNA expression,H2BC21
Positive epigenetic regulation of rRNA expression,H2BC11
Negative epigenetic regulation of rRNA expression,H2BC15
Negative epigenetic regulation of rRNA expression,H2BC3
Negative epigenetic regulation of rRNA expression,H2AC18
Negative epigenetic regulation of rRNA expression,H2BC21
Negative epigenetic regulation of rRNA expression,MNAT1
Negative epigenetic regulation of rRNA expression,ARID4B
Negative epigenetic regulation of rRNA expression,H2BC11
DNA methylation,H2BC15
DNA methylation,H2BC3
DNA methylation,H2AC18
DNA methylation,H2BC21
DNA methylation,H2BC11
HATs acetylate histones,H2BC15
HATs acetylate histones,NCOA2
HATs acetylate histones,H2BC3
HATs acetylate histones,H2AC18
HATs acetylate histones,H2BC21
HATs acetylate histones,ATXN7
HATs acetylate histones,JADE3
HATs acetylate histones,H2BC11
HDACs deacetylate histones,H2BC15
HDACs deacetylate histones,H2BC3
HDACs deacetylate histones,H2AC18
HDACs deacetylate histones,H2BC21
HDACs deacetylate histones,ARID4B
HDACs deacetylate histones,H2BC11
HDMs demethylate histones,KDM2A
HDMs demethylate histones,PHF8
HDMs demethylate histones,ARID5B
PKMTs methylate histone lysine,NFKB1
PKMTs methylate histone lysine,DOT1L
PKMTs methylate histone lysine,MECOM
PKMTs methylate histone lysine,NFKB2
PKMTs methylate histone lysine,RELA
RMTs methylate histone arginine,JAK2
RMTs methylate histone arginine,H2AC18
Cellular response to hypoxia,PSMA6
Cellular response to hypoxia,VEGFA
Cellular response to hypoxia,PSMA2
Cellular response to hypoxia,PSMA4
Cellular response to hypoxia,UBC
Cellular response to hypoxia,PSMA3
Cellular response to hypoxia,PSMB10
Cellular response to hypoxia,PSME1
Cellular response to hypoxia,PSMB9
Cellular response to hypoxia,PSMB8
Cellular response to hypoxia,PSME2
Detoxification of Reactive Oxygen Species,SOD2
UPR,CREBRF
UPR,ATF3
UPR,CXCL8
UPR,EXOSC9
