Gene,WT_1.gProcessedSignal,WT_2.gProcessedSignal,RNA5_TLR4_1.gProcessedSignal,RNA5_TLR4_2.gProcessedSignal
,10.5895348654201,11.0335345376648,9.9901518898442,9.9063092729723
LOC145474,4.58882058035391,5.96001128881902,6.59960376924716,6.41372387694965
LINP1,7.16688237736285,7.77175405073811,5.99680317017521,5.50882146892756
LINC01512,6.0801006889521,5.87093391655724,5.57646443956796,5.2377387231006
LINC02381,5.85695239357714,5.45284509223871,6.42773839272464,6.34329250197103
LINC01122,12.5121000151645,12.3874834977329,12.5469878996718,12.7619790924413
LOC100130691,5.74772201904451,5.90930287794914,6.64838963307845,6.77270588503454
XLOC_l2_015760,8.21833871431065,8.61290946123253,9.97355162069151,9.85254811605265
MIR100HG,4.96656033858046,5.01459868363768,5.23402344915252,5.05269802907338
HIPK2,8.23333169512622,8.1085097124252,7.78663071020902,7.96540603286563
LOC101927354,7.10301628535883,6.49585827915752,6.59450697472123,6.44935119917186
SNORA71A,7.33915079210728,7.0412484842724,7.311162725249,7.48674510579746
DUBR,7.76280606395121,7.83147862266272,8.36663565042432,8.34178623379778
,8.40362642512498,8.21413209312021,8.31375616477186,8.39349263200769
LOC101929709,6.04935920450168,6.52316700336927,6.92844781005279,7.17862545727442
VLDLR-AS1,7.1791560415243,7.29979989864446,6.64413829353685,6.52241471532991
,7.10772643426684,6.8607327935615,6.75833655177188,6.05530792328973
PCAT19,5.95301550998857,5.7720885675229,6.23161668782864,6.34771651836502
,5.17523179631457,5.33993418518852,4.51415056228352,4.81310513014013
SCARNA16,9.27312707871907,9.03031993350285,10.3952102696977,10.5539910556805
DET1,6.30813415702464,5.99370195018165,6.86854623981013,6.73420945819124
LINC00877,6.47303663611441,6.93414068548894,6.63302710996477,6.63167488296871
MIR570HG,6.17723533443449,5.07033590350148,5.76172812373861,5.7366829884596
,7.07603030745398,7.00164295210275,6.70233486484071,5.72724152928481
,4.92337212180173,5.42191078948787,6.16190598843769,5.91491722706778
L3MBTL1,5.76784654578501,6.07097343410277,6.01481225797507,6.45286983499934
LINC00313,5.03888355226406,5.54098793238797,5.34854898418427,5.3405236884746
LOC101928673,4.36600680643039,4.9617367084402,5.53723783678251,5.40795531884963
LINC02541,8.04349802536076,7.85027637102348,7.80980171349492,7.7788405078879
MIR3150BHG,8.19152189505772,8.02634597626876,7.47117643642912,7.42179194804158
LINC02482,4.60929659295669,3.86546859938299,3.90069627648852,4.15899493678633
FAM107A,5.11370258424671,5.14488682370868,4.69409322727558,4.73730702869601
MAP3K13,10.2963124535832,10.2365577563251,10.1689339284783,10.0470970482709
LINC00513,6.88431483795333,5.97885890679178,7.97976798374895,8.12442607809183
lnc-C9orf69-2,7.63509383603759,7.70217361014624,8.15183413495299,7.61685275187699
LOC100506178,7.29400823945934,7.30269023180577,7.83589755421988,7.3877398984751
,10.3268472315788,10.2271581360115,10.3307271415838,10.3459082591228
CDKN2B-AS1,6.06968163367631,5.47967432483355,6.29986934242381,6.33928608063347
,8.65927036125208,8.69158895200564,9.67393537742213,9.68724735062325
,5.2772480546118,5.17267881315022,5.01574319261851,4.74764809851421
,6.00554083391861,5.89021559891686,5.46512091624523,5.25727381570061
BLCAP,4.7920268781614,5.13320620989696,5.15616687546735,4.52133465763935
,5.17569422664477,5.46147315980316,5.92265672570997,6.24518721496399
LOC653712,5.65345695594002,5.12166904791309,5.37173190193441,5.06778671749178
MAGI2-AS3,8.97477532321646,8.87315603596086,9.08630100398104,9.31559105214418
,4.913365625276,5.21318192679976,4.992808652275,4.55967195707857
SNHG5,15.8987170999919,15.7966509499143,15.9556091325902,16.0607291694402
,9.6363869076576,10.0448242709455,10.2651461299296,10.2959423696285
PVT1,8.02706988150416,8.13933774070552,8.95641981965465,9.23846870222438
MAP3K13,11.1858117288514,11.097773691123,10.9144762600133,10.951809246797
ARMCX5-GPRASP2,5.82101748573794,5.32866813747929,4.96887076472171,5.29938680586653
LINC01291,5.94962791686462,5.87991029068509,4.60065108321169,5.1088107190557
MIR570HG,7.95738379576548,7.15668595319277,7.50786049863331,7.66572882481817
LINC00472,7.52060355841328,7.68007372961309,8.6444152081082,8.57469702605048
lnc-MYC-2,7.63322201493325,8.88992400450082,10.533477718328,10.5271131920312
DANT2,4.60328124432876,4.40537142005262,4.70146786566016,4.82676966885942
SNHG5,13.0397819389423,12.9910736800684,13.3598655493565,13.4168466096922
PVT1,8.21384955104218,8.33539132081863,9.19649505922279,9.13942387564706
lnc-AC114947.1.1-2,8.02208414908175,8.31663850089597,8.66475619485245,8.97198277165253
LINC01137,8.19584709887443,8.53074614347237,7.71633515248296,7.86258382893906
LOC389602,5.53408371637438,5.92240442839081,6.76682121058091,6.66865343612693
ZNF678,6.59108488831621,7.70964159654371,7.77837933741203,7.79708270077659
XIST,5.42851649989769,4.91554926927134,4.76556513461564,4.37787778089134
,5.6803253364145,5.80246962886918,4.93884894550894,5.39957877511587
MAGI2-AS3,7.20924676109196,7.01845222699134,6.53375568149136,6.68768498559996
,6.1826797737331,5.62980108865556,6.16024971540283,5.79305496135781
LINC01278,6.07579033378449,5.95970698527766,6.48949051364163,6.27103243592281
,9.45336349422315,9.10837634493716,9.03643511338788,9.33527011203441
LOC101929563,5.18556052078918,5.24397906637738,4.86743013809413,5.26881633958261
LOC93622,10.7237416358499,10.7211696140666,10.7785156112592,10.7945690099066
JPX,11.2853974967121,11.2429562351513,10.7387037050873,10.8080787059461
