UniqueCount	AmbigCount
0	19
0	1
1	1686
0	3
0	0
0	0
0	0
0	5
0	5
0	0
0	0
0	0
0	0
4	377
0	37
0	109
0	83
0	53
0	280
3	28
27	1328
22	272
0	150
436	305
0	141
11	558
1	87
0	69
10	288
0	1
0	0
0	1
0	1961
0	220
0	515
0	488
0	471
0	150
153	515
16	15
0	135
0	151
0	133
1	232
0	2
0	161
0	0
0	34
1	122
5	169
0	58
13	112
0	671
0	558
0	673
0	434
0	436
0	397
1	150
0	527
0	414
5	223
0	257
0	112
2	79
0	127
0	83
1	115
0	0
0	3
0	35
0	2
0	1835
4	70
0	30
0	39
2	3
7	8
6	288
0	5
0	2
0	223
0	34
0	0
0	111
0	135
0	35
0	61
0	133
0	124
4	10214
532	12905
15	95026
8	0
3	19069
2	2479
3672	25580
3	12732
0	0
0	2
5	5415
6	32
0	0
0	0
0	181
0	29
0	21
0	24
0	25
0	20
0	85
0	76
0	23
0	23
0	34
0	20
0	24
0	24
0	28
0	86
0	77
9	21
0	12
3	12
0	24
0	6
0	8
0	9
0	17
0	20
0	14
0	14
0	12
0	9
1	53
0	23
9	20
0	61
7	39
0	39
0	0
26	33
0	4
0	76
0	69
10	98
3	20
0	114
2	370
0	92
0	102
1	10
0	81
0	102
0	82
0	95
2	9
0	73
0	63
0	13
0	75
0	82
0	82
0	72
0	5
3	104
0	56
0	59
0	80
0	92
0	88
0	96
0	76
0	75
0	81
0	74
0	9
0	80
0	95
0	77
0	9
0	11
0	10
0	4
0	56
0	9
0	6
0	6
1	34
0	19
0	21
0	39
0	0
0	0
1	108
0	4
0	0
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
2	672
2	380
20	941
0	0
0	166
4	56
16	27
7	9
0	18
5	4
2	10
0	9
1	10
0	1
0	3
0	0
0	0
0	0
0	0
3	0
0	17
3	16
1	17
1	13
0	423
0	309
13	423
0	283
0	0
0	149
0	147
0	143
0	145
0	5
0	6
0	4
0	2
0	55
3	52
0	9
0	5
0	5
0	2
0	4
0	95
0	5
0	40
0	4
0	3
0	2
0	0
0	1
50	43
0	46
0	39
0	40
0	41
5	44
0	41
3	46
0	9
0	34
0	9
0	7
0	7
0	1
1	1
0	1
0	4
0	4
0	1
0	1
1	48
0	0
0	0
0	0
0	0
0	0
1	37
0	0
0	0
0	142
0	0
0	0
0	0
0	0
0	0
0	6
0	10
0	6
0	7
0	2
0	1
0	2
0	2
0	2
0	1
0	2
0	3
0	2
0	2
0	1
0	1
0	2
0	0
0	1292
0	1266
0	1247
18	782
0	743
0	497
0	243
174	0
0	1
0	1
1	1
0	0
0	0
3	3
0	716
0	740
0	717
0	501
0	494
0	447
0	419
2	152
0	379
1	329
0	163
0	193
0	196
0	143
0	147
1	57
0	86
1	79
4	69
46	30
1	26
3	2
0	20
0	15
3	20
0	20
0	4
0	18
0	0
0	7
11	355
0	376
2	283
0	224
0	28
1	44
0	63
0	12
21	67
0	37
10	29
0	23
1	4
0	0
1	118
0	56
0	41
0	62
0	34
3	98
0	74
0	548
0	770
0	768
0	594
0	239
0	705
0	763
0	595
14	964
0	506
0	583
0	770
0	608
0	555
0	625
0	679
0	236
0	184
0	182
0	537
0	198
0	297
0	229
0	121
0	200
0	323
0	81
2	120
0	277
0	214
0	218
1	250
0	215
0	219
0	45
0	34
0	158
0	220
0	219
1	212
0	178
0	141
0	111
2	97
0	96
0	91
0	42
0	38
1	6
0	0
3	0
2	160
242	202
0	75
10	0
0	401
6	400
0	107
0	111
0	69
0	48
0	38
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	1250
0	1224
11	1223
0	1253
2	337
0	104
0	0
0	620
7	769
2	685
4	477
0	1029
0	731
0	805
0	739
0	428
0	500
0	188
0	162
2	115
0	174
0	233
7	92
0	130
3	66
2	81
0	267
0	267
0	288
0	288
0	283
0	286
0	262
0	262
0	265
0	17
0	270
0	273
0	275
0	125
2	1160
1	890
16	1061
19	286
7	448
1	169
0	9
3	302
0	27
0	27
0	27
0	3
0	1
0	0
7	76
0	4
3	6
0	5
0	3
0	19
0	218
4	230
0	3
11	493
0	16
0	3
0	344
0	242
18	316
1	68
9	216
8	191
0	13
0	11
0	10
0	363
7	334
0	360
0	326
0	339
0	23
0	77
0	87
4	0
0	0
95	2324
3	1858
5	806
253	485
0	335
8	1227
0	0
29	0
12	0
67	1
1	234
0	221
0	229
0	229
0	210
0	222
0	225
3	443
0	17
0	219
0	14
0	191
0	7
0	2
0	17
0	228
1	146
0	12
0	214
0	206
0	5
2	5
1	204
0	36
1	19
0	28
2	52
0	71
0	57
0	78
0	45
0	37
0	0
0	9
0	6
0	9
0	9
0	7
0	7
0	8
0	4
0	4
5	1752
0	1627
0	1505
0	1411
0	1343
0	1305
2	1309
0	1308
0	449
1	0
2	121
0	759
0	757
7	256
7	417
0	32
0	7
0	8
6	1676
0	1512
0	457
2	1248
0	1412
0	1360
0	1416
0	1450
0	1434
0	1391
5	187
0	252
0	176
0	112
0	374
0	155
0	168
0	273
1	260
4	324
3	141
0	60
2	59
35	1598
1	0
1	48
0	0
0	0
0	119
8	66
0	95
0	71
0	2879
0	2860
3	2807
1	1504
0	147
0	686
3	398
0	286
0	563
1	388
3	266
0	459
9	589
0	448
1	429
5	280
3	8
0	5224
1	5667
0	5776
0	5520
0	5534
1	5608
0	5499
0	5143
0	5605
0	5533
0	3310
0	5556
0	5535
1	5386
0	5429
0	5281
0	5198
0	4734
1	4826
0	4603
1	4687
1	4562
0	3009
0	2685
41	1031
4	1844
2	1229
0	785
0	101
0	260
7	0
0	1
0	1
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	0
1	121
0	1
0	0
1	277
0	2
1	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	214
0	5
0	0
0	0
0	0
0	0
0	0
0	6430
0	658
0	20
0	19
1	19
0	82
0	6382
0	541
0	5776
0	986
0	1392
0	1074
0	1391
0	1280
1	2006
1	1550
0	1202
0	778
0	589
4	1447
3	689
0	5929
7	1481
1	4889
3	4346
2	956
8	238
1	1
2	1
0	113
0	820
3	172
0	170
0	129
15	350
0	145
0	182
1	199
5	300
2	175
0	150
0	156
0	0
0	0
0	0
0	61
1413	129
2	5
0	34
2	74
0	2
0	2
1	11
1	11
1	10
0	2
2	37
0	18
2	10
0	10
5	59
0	4
0	2
0	0
7	0
0	0
1	8
0	1279
0	370
0	1419
0	564
4	60
0	1137
3	482
66	739
5	407
1	260
0	263
0	235
0	238
0	73
0	18
1	12
0	14
0	11
2	0
0	13
0	12
0	12
0	14
0	12
0	9
0	6
0	0
0	0
0	389
0	365
0	289
2	94
7	42
3	20
0	16
0	75
0	118
1	45
0	11
0	3
0	0
0	34
0	34
0	16
0	7
9	17
0	5
4	13
0	4
0	235
0	299
14	299
0	299
0	263
0	755
0	655
0	149
0	161
50	238
73	784
0	777
0	143
0	345
2	17
1	198
1	4
2	0
3	0
0	8
0	8
0	50
0	48
0	51
0	50
0	13
0	51
0	10
0	6
0	3
0	8
0	51
0	6
1	45
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	2
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	1
0	1
0	0
0	0
0	1
0	1
5	32
0	0
0	0
0	36
0	0
0	0
0	0
2	14
0	14
0	14
0	3
0	0
0	1
0	11
0	0
0	102
0	104
0	65
1	12
0	49
0	13
0	13
0	5
0	0
0	1
2	1
0	1
0	1
0	1
0	1
0	1
40	738
0	732
16	206
8	206
34	113
0	125
0	87
0	41
0	25
0	106
0	62
0	19
0	14
0	11
0	6
0	11
0	14
0	4
0	1
0	4
0	6
0	14
0	1
0	0
0	4
0	5
1	0
0	0
0	34
0	1
0	128
0	64
0	128
0	206
0	57
0	7
0	139
0	4
0	151
0	154
0	198
0	189
0	114
0	134
0	128
0	127
0	155
0	172
0	125
0	14
0	51
0	12
0	88
0	85
5	100
0	73
0	10
0	0
0	39
0	0
0	0
1	18
0	14
0	17
0	6
