"ensembl_id","gene_symbol","1","10","11","14","17","18","19","2","22","3","6","9"
"ENSG00000067048","DDX3Y",6.03,6.28,5.2,5.52,5.7,6.53,5.36,6.79,5.37,5.54,5.55,5.64
"ENSG00000012817","KDM5D",4.66,3.86,3.94,4.09,4.64,4.1,3.74,4.19,3.85,4,3.44,4.82
"ENSG00000129824","RPS4Y1",6.72,5.64,4.88,4.73,6.28,5.7,5.14,6.24,4.83,5.59,5.52,6.39
"ENSG00000131002","TXLNGY",3.09,2.3,2.97,1.89,3.39,2.92,2.88,2.46,1.94,2.57,1.66,3.27
"ENSG00000198692","EIF1AY",3.5,3.08,4.03,3.51,3.27,3.22,3.88,3.32,3.5,3.76,3.49,3.14
"ENSG00000229807","XIST",-0.32,0.47,-0.24,0.68,1.65,1.33,0.44,-0.35,1.02,-0.76,-0.33,0.79
"ENSG00000067646","ZFY",4,3.8,3.9,4.27,3.89,4.17,3.92,4.2,3.93,3.98,3.98,3.92
"ENSG00000099725","PRKY",2.75,2.39,2.74,2.1,2.49,2.8,3.09,2.7,2.32,3.38,2.43,2.38
"ENSG00000114374","USP9Y",4.01,3.1,3.25,3.56,4.06,3.38,3.33,3.44,3.35,3.57,3.25,3.96
"ENSG00000183878","UTY",3.52,2.69,3.16,3.02,3.71,3.22,3.23,3.02,3.07,3.39,3.01,3.54
