Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,SerineType Endopeptidase Complex GO1905370,3/10,0.0024150372473811,0.0223390945382758,0,0,14.601503759398495,87.98925401743516,FCN1;THBD;PLAU
GO_Cellular_Component_2023,SerineType Peptidase Complex GO1905286,3/12,0.0042422989023905,0.0376716142532276,0,0,11.355555555555556,62.03142513213282,FCN1;THBD;PLAU
GO_Cellular_Component_2023,Lysosome GO0005764,25/503,0.0056829164455124,0.0485233634962988,0,0,1.8084972360504532,9.350456475443863,SLC46A3;MARCHF1;AHNAK;ARRB1;TMEM97;SNX2;NAGLU;CTSK;LAMP2;CTSG;ATP6V1D;CTSC;TXNDC5;ATP6V0A1;SEC13;MIOS;FUCA1;GAA;DAB2;VCAN;NPC2;NAAA;RRAGD;TLR7;CD68
GO_Cellular_Component_2023,Azurophil Granule Membrane GO0035577,6/58,0.0061742210466821,0.0507658174949419,0,0,3.9428164428164423,20.058576143678337,VNN1;RAB37;GAA;LAMP2;AZU1;CD68
GO_Cellular_Component_2023,Endopeptidase Complex GO1905369,3/14,0.0067262281225864,0.0533293801147925,0,0,9.289952153110049,46.46593224705154,FCN1;THBD;PLAU
GO_Cellular_Component_2023,Microtubule GO0005874,12/185,0.0072045521997804,0.0551520892534914,0,0,2.380637383697567,11.743784683287368,KIF9;KIFC1;KIF4A;PLK1;KIF14;KIF23;KIF20A;KIF11;KIF20B;SEPTIN9;CALM2;LRPPRC
GO_Cellular_Component_2023,Mitotic Spindle GO0072686,10/143,0.0082265479290119,0.0608764546746886,0,0,2.576690393835388,12.369115712740866,TPX2;CKAP2L;KIFC1;CD180;NUSAP1;CKAP2;TACC3;KIF23;KIF11;DLGAP5
GO_Cellular_Component_2023,Plasma Membrane Raft GO0044853,7/82,0.0091158201010515,0.0652810342720469,0,0,3.1911425206124853,14.99117031729277,ITGAM;CR1;ITGB2;TREM2;CD36;MS4A4A;TGFBR2
GO_Cellular_Component_2023,Platelet Alpha Granule Membrane GO0031092,3/16,0.0099175899977102,0.0688032806091147,0,0,7.859919028340081,36.26130674317788,SPARC;PECAM1;CD36
GO_Cellular_Component_2023,Ribonuclease MRP Complex GO0000172,2/7,0.0156385597686773,0.1052048566256474,0,0,13.605604203152364,56.57231499362019,POP5;RPP40
GO_Cellular_Component_2023,Platelet Dense Granule GO0042827,3/20,0.0185519728884454,0.1211334700363204,0,0,6.0092879256965945,23.9601074660656,ECM1;LAMP2;SELENOP
