Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Bounding Membrane Of Organelle (GO:0098588),50/819,0.0282124943611688,0.2866859309765224,0,0,1.3586553134890238,4.84766902944644,PI4K2B;ST6GALNAC2;TFRC;CHPF;XYLT2;SLC2A1;ECE1;GALNT10;RAB43;ADGRE5;AP1S3;HS3ST3B1;GBP5;TAP2;HLA-B;CASK;TAP1;HLA-A;RHOF;ZDHHC11;IL17RD;HLA-G;TAPBP;HLA-E;RAB30;TRAF6;IRF7;ULK1;B4GALT6;SERPINB10;STX17;LMAN2L;NOTCH4;LMAN1;RAB23;ST8SIA4;ST3GAL4;B4GALNT1;GBP2;ST3GAL1;CYTH1;AP1M2;GPR157;LYN;GALNT4;PTPRN2;TMEM199;MYO1B;FKBP1B;MDM2
GO_Cellular_Component_2023,PTW/PP1 Phosphatase Complex (GO:0072357),2/6,0.0283646857503273,0.2866859309765224,0,0,10.319264069264069,36.76351715346328,TOX4;WDR82
GO_Cellular_Component_2023,Endoplasmic Reticulum Tubular Network (GO:0071782),4/26,0.030303081083053,0.2957162740173796,0,0,3.75704989154013,13.136547058740556,RETREG3;ATL3;ATL1;KPNB1
GO_Cellular_Component_2023,Endocytic Vesicle Membrane (GO:0030666),13/159,0.0336005821520235,0.2974661050042629,0,0,1.8459691818331856,6.263764569373695,LYN;TFRC;HLA-B;TAP2;TAP1;HLA-A;HLA-G;EREG;HLA-E;TAPBP;MDM2;IL7R;ATG5
GO_Cellular_Component_2023,Specific Granule (GO:0042581),13/159,0.0336005821520235,0.2974661050042629,0,0,1.8459691818331856,6.263764569373695,GGH;CLU;LILRA3;NFKB1;CKAP4;CEACAM1;OLR1;CHI3L1;STOM;CD47;SLC15A4;NIT2;KPNB1
GO_Cellular_Component_2023,Bicellular Tight Junction (GO:0005923),8/81,0.0336357433220368,0.2974661050042629,0,0,2.268302145820277,7.694457389762139,PATJ;CLDN23;MICALL2;RAPGEF2;F11R;BVES;CGNL1;CYTH1
GO_Cellular_Component_2023,Lipid Droplet (GO:0005811),8/82,0.0358225788554803,0.3005088416698517,0,0,2.237531649296355,7.449138657687712,RNF213;RSAD2;AIFM2;TRAF6;PLA2G4C;G0S2;CKAP4;CES1
GO_Cellular_Component_2023,Cytolytic Granule (GO:0044194),2/7,0.0385068259720297,0.3005088416698517,0,0,8.254978354978356,26.88580208496804,PRF1;GZMB
GO_Cellular_Component_2023,Death-Inducing Signaling Complex (GO:0031264),2/7,0.0385068259720297,0.3005088416698517,0,0,8.254978354978356,26.88580208496804,FAS;CFLAR
GO_Cellular_Component_2023,Vesicle Membrane (GO:0012506),7/69,0.0400301659034877,0.3005088416698517,0,0,2.335708519077538,7.516594880923374,RALA;STK26;VOPP1;AP1S3;CLU;GBP1;AP1M2
