,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
43,prerank,GO_Molecular_Function_2023__Pyrophosphatase Activity (GO:0016462),-0.8430408255151873,-1.853609712616202,0.00819672131147541,1.0,0.976,3/48,1.99%,DDX3X;NUDT4;NTPCR
44,prerank,WikiPathway_2021_Human__Cytoplasmic Ribosomal Proteins WP477,0.995249614741991,1.8425740555680288,0.046511627906976744,1.0,1.0,1/88,0.01%,RPS4Y1
45,prerank,GO_Biological_Process_2023__Ribosomal Small Subunit Biogenesis (GO:0042274),-0.7731618389317455,-1.8408385952487814,0.006600660066006601,1.0,0.981,1/83,0.03%,RPS4X
46,prerank,GO_Molecular_Function_2023__Cysteine-Type Endopeptidase Activity (GO:0004197),0.9978901325802976,1.8391253995644656,0.00975609756097561,1.0,1.0,1/85,0.02%,USP9Y
47,prerank,GO_Molecular_Function_2023__Cysteine-Type Deubiquitinase Activity (GO:0004843),0.9972972721456269,1.8284074885618404,0.02127659574468085,1.0,1.0,1/78,0.02%,USP9Y
49,prerank,GO_Biological_Process_2023__Cytoplasmic Translation (GO:0002181),-0.7821033083797945,-1.8256158249336065,0.02040816326530612,1.0,0.984,1/93,0.03%,RPS4X
50,prerank,GO_Biological_Process_2023__Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),0.9970042145734579,1.8247086225615259,0.007832898172323759,1.0,1.0,1/94,0.02%,USP9Y
51,prerank,GO_Biological_Process_2023__Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:1900087),-0.875894567560431,-1.820057272486295,0.006578947368421052,1.0,0.987,1/31,0.03%,DDX3X
52,prerank,GO_Biological_Process_2023__Regulation Of NLRP3 Inflammasome Complex Assembly (GO:1900225),-0.8847521644212785,-1.8024578586632096,0.009983361064891847,1.0,0.989,2/29,1.52%,DDX3X;IRGM
53,prerank,WikiPathway_2021_Human__Photodynamic therapy-induced HIF-1 survival signaling WP3614,-0.8621547593653758,-1.7977943924056128,0.008445945945945946,1.0,0.99,1/37,0.03%,IGFBP1
54,prerank,GO_Biological_Process_2023__Protein Modification By Small Protein Removal (GO:0070646),0.9972427083155446,1.7921996909202456,0.005154639175257732,1.0,1.0,1/95,0.02%,USP9Y
55,prerank,GO_Biological_Process_2023__Positive Regulation Of Translational Initiation (GO:0045948),-0.9290626307581896,-1.7909333605770195,0.003395585738539898,1.0,0.992,1/17,0.03%,DDX3X
56,prerank,GO_Biological_Process_2023__Positive Regulation Of NLRP3 Inflammasome Complex Assembly (GO:1900227),-0.9548842044837897,-1.7876235404815006,0.006837606837606838,1.0,0.992,1/18,0.03%,DDX3X
57,prerank,GO_Biological_Process_2023__Cellular Response To Virus (GO:0098586),-0.7962513160377753,-1.7841209531832394,0.008576329331046312,0.9554801547627123,0.994,3/46,4.22%,DDX3X;IRGM;POU2AF1
58,prerank,GO_Biological_Process_2023__Protein Deubiquitination (GO:0016579),0.997117238866392,1.7815795723736474,0.018276762402088774,1.0,1.0,1/92,0.02%,USP9Y
59,prerank,GO_Biological_Process_2023__Positive Regulation Of NIK/NF-kappaB Signaling (GO:1901224),-0.7994260903429506,-1.7737350842784438,0.022508038585209004,0.9252136191479265,0.998,2/53,0.39%,DDX3X;LRRC19
60,prerank,GO_Molecular_Function_2023__Nuclear Receptor Binding (GO:0016922),0.9976847792983371,1.7715339924072897,0.0,1.0,1.0,1/111,0.01%,KDM5D
61,prerank,GO_Biological_Process_2023__Negative Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902042),-0.8824380696993561,-1.7711848958213878,0.003418803418803419,0.8849878326022502,0.998,1/21,0.03%,DDX3X
62,prerank,GO_Molecular_Function_2023__Poly-Purine Tract Binding (GO:0070717),-0.8345112449789959,-1.7706418541659454,0.018998272884283247,0.8453489773177311,0.998,1/30,0.03%,DDX3X
63,prerank,GO_Molecular_Function_2023__mRNA 5'-UTR Binding (GO:0048027),-0.8767547209503191,-1.7641179848808477,0.01020408163265306,0.818487077760993,0.999,1/24,0.03%,DDX3X
64,prerank,GO_Biological_Process_2023__Regulation Of Type I Interferon Production (GO:0032479),-0.7652338505982859,-1.7636699155950948,0.005084745762711864,0.7850221169946717,0.999,2/58,1.52%,DDX3X;IRGM
65,prerank,GO_Biological_Process_2023__Cellular Response To Osmotic Stress (GO:0071470),-0.8476023140586262,-1.7624737360080351,0.008210180623973728,0.7555755547844681,0.999,4/28,4.84%,DDX3X;AQP5;SCN2A;SLC4A11
66,prerank,GO_Molecular_Function_2023__poly(A) Binding (GO:0008143),-0.8657162627976157,-1.7609751618733183,0.01517706576728499,0.7285967668465183,0.999,1/24,0.03%,DDX3X
67,prerank,GO_Biological_Process_2023__Negative Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043154),-0.8155143545234963,-1.7600381407029662,0.02631578947368421,0.7029954809341518,0.999,1/47,0.03%,DDX3X
68,prerank,GO_Molecular_Function_2023__Deubiquitinase Activity (GO:0101005),0.99707353554998,1.7588406574623896,0.023376623376623377,1.0,1.0,1/93,0.02%,USP9Y
69,prerank,GO_Biological_Process_2023__Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),-0.7779141712905351,-1.7565612978718124,0.011589403973509934,0.6825416482093206,0.999,1/62,0.03%,DDX3X
70,prerank,GO_Molecular_Function_2023__Ribosomal Small Subunit Binding (GO:0043024),-0.9431332765216704,-1.748240431101794,0.003367003367003367,0.6709642271755499,0.999,1/16,0.03%,DDX3X
71,prerank,GO_Biological_Process_2023__Mitotic Sister Chromatid Cohesion (GO:0007064),-0.9054105669877864,-1.7463906469984227,0.005376344086021506,0.6514408231944192,0.999,2/19,0.12%,HDAC8;SMC1A
72,prerank,GO_Biological_Process_2023__Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902041),-0.8408498353951983,-1.7411394611588935,0.008375209380234505,0.637951548084155,0.999,1/29,0.03%,DDX3X
73,prerank,GO_Biological_Process_2023__Positive Regulation Of Translation (GO:0045727),-0.7252772021273899,-1.736253008820986,0.030303030303030304,0.6259190721938106,1.0,2/103,0.03%,RPS4X;DDX3X
75,prerank,GO_Biological_Process_2023__Ribonucleoprotein Complex Biogenesis (GO:0022613),-0.7087744839570468,-1.7331698957816752,0.023809523809523808,0.6112047723500579,1.0,1/118,0.03%,RPS4X
76,prerank,GO_Molecular_Function_2023__Gamma-Tubulin Binding (GO:0043015),-0.8479192262578696,-1.7239505934779642,0.008090614886731391,0.6076122678103827,1.0,2/28,0.22%,DDX3X;OFD1
77,prerank,GO_Biological_Process_2023__Positive Regulation Of Cell Cycle G1/S Phase Transition (GO:1902808),-0.790622599815385,-1.7232019718259854,0.012903225806451613,0.5915383760700078,1.0,1/40,0.03%,DDX3X
78,prerank,GO_Biological_Process_2023__Positive Regulation Of Viral Genome Replication (GO:0045070),-0.8451788374746078,-1.719795853220524,0.015050167224080268,0.5802826221641136,1.0,1/29,0.03%,DDX3X
