"probe_id","gene_symbol","entrez_id","chromosome","GSM868465","GSM868466","GSM868467","GSM868468","GSM868469","GSM868470","GSM868471","GSM868472","GSM868473","GSM868474","GSM868475","GSM868476","GSM868477","GSM868478","GSM868479","GSM868480","GSM868481","GSM868482","GSM868483","GSM868484","GSM868485"
"ILMN_1746659","LOC653050",653050,"Y",66.73737667,70.01743571,73.26284952,67.85379571,73.00502905,59.13586238,67.03987381,59.73762571,77.1411981,68.59587476,79.98409381,65.48309857,68.63838619,66.45733476,73.15884476,91.67195952,78.06234762,75.92563476,76.2654981,66.16952048,71.15054571
"ILMN_1672935","HSFY2",159119,"Y",78.25878143,68.0726081,88.28978476,80.32872476,80.28835524,82.5890219,84.55312238,95.18210095,62.50276905,81.67914571,77.77743,87.79743333,63.84410476,79.41308857,85.13640286,85.3471119,99.68344714,90.1509219,84.70586238,80.68513,89.92947238
"ILMN_1688833","HSFY2",159119,"Y",85.38191381,90.49773667,90.66759143,101.7917024,79.2348719,84.54991619,80.20353238,89.98299143,81.05418667,77.8877219,66.9220581,76.66206905,84.51712143,83.6818,81.49963476,80.8573681,75.88891,83.94595714,72.16881476,72.00789048,81.74731524
"ILMN_2291534","HSFY2",159119,"Y",75.77747762,66.1030319,78.0071081,72.88143667,72.36486857,71.73195714,60.33249667,80.90909905,75.04222238,58.67054,89.65330667,73.17024143,65.41270619,69.52269381,70.73145714,87.29306571,62.55909571,63.42440762,61.13378095,91.24628476,67.09242286
"ILMN_2291538","HSFY2",159119,"Y",78.91509476,70.73293143,70.36564905,67.27466095,115.4120052,76.8511219,79.05984524,71.07638667,75.36507048,68.88077095,65.18076286,73.12972429,84.5325419,66.39816762,76.99196333,84.53615905,79.21371,85.98802714,70.92668143,82.59105238,74.65157286
"ILMN_2401946","HSFY2",159119,"Y",71.2078119,72.84544929,83.23492595,69.5458081,78.13878381,75.66999381,73.80289429,63.6578519,81.79444714,105.1274843,81.34843762,84.44063476,82.96600762,77.21128333,92.59432857,89.2661981,81.66618381,85.47701667,70.41343095,76.64829952,80.99344905
"ILMN_1748182","SRY",6736,"Y",85.57074429,90.30460905,75.09858667,98.74459143,80.60520619,88.72789333,78.57407952,90.4584619,89.08237143,80.27950238,82.86428714,102.9352924,83.55295857,80.99102,77.93903905,82.93064905,117.5238505,89.48025667,79.31028762,100.17676,83.05329286
"ILMN_1796326","TTTY9A",NA,"Y",66.3871319,76.64561476,85.8681581,91.29861048,80.7515681,79.10894905,76.26485476,71.12962238,76.56261762,79.61963762,74.80766667,65.79742952,80.52449,72.61923381,91.7472781,94.01512571,85.27355286,73.90331238,82.49378524,71.99765476,63.51658619
"ILMN_2197608","TTTY9B",NA,"Y",86.84183,88.15566905,89.6373981,76.85495429,79.51206095,90.21016857,77.45346762,91.80321571,77.16590333,114.1050495,88.13318,70.39213762,104.8437405,103.4780443,71.58447333,82.54238762,70.85509714,77.99420571,80.30661619,79.11703571,79.45484857
"ILMN_2055396","TTTY17A",NA,"Y",88.49834857,85.96958857,110.50775,84.74794619,90.32597238,85.19771714,82.01185333,89.75109238,83.13328905,88.74818429,88.33822667,102.3854819,94.2248281,81.10361667,90.59980571,85.70014333,83.09176095,85.6866919,95.20801524,81.5345519,88.11971429
"ILMN_2055391","TTTY17A",NA,"Y",72.19134524,64.50022429,79.45727762,77.63269714,77.82960857,70.13241286,84.3759981,80.5871681,68.31857905,65.6170781,72.78781429,90.80944667,60.9784281,91.9986981,77.13273952,84.80621238,103.6503462,75.71114286,72.36796857,118.4991686,85.21473
"ILMN_1663406","TTTY17A",NA,"Y",90.97616619,71.62338095,75.09075857,80.4037181,79.20695143,71.24335048,91.51474619,73.5567381,82.49451048,76.06852286,97.19646762,88.26675429,81.82887381,81.66719381,75.22230667,90.82519952,80.2485981,85.4375719,83.97261333,72.57940238,66.58081381
"ILMN_2163540","TTTY11",NA,"Y",105.5029105,109.102199,109.2820219,87.14630333,77.4927019,78.88697905,85.11598952,94.18397476,86.98955095,95.27518857,121.999351,78.62560762,72.20416619,90.00225952,84.78318905,179.9413052,137.6190224,86.00599381,106.2617514,127.5674838,98.53263405
"ILMN_2163538","TTTY11",NA,"Y",81.27395048,76.48033667,71.25971214,74.85912857,80.88141905,75.69322048,81.07511905,74.76597286,88.27547762,90.41747905,105.2219871,73.24649905,88.09298762,104.5424214,92.1922081,86.37266,98.49126476,71.4050919,90.00568952,79.36703048,105.5005386
"ILMN_2175124","DAZ1",1617,"Y",91.18961095,85.33275238,63.76017571,85.34828595,86.13636095,71.4626781,71.90769476,74.8635819,76.8858919,84.41466905,71.25543571,81.97590571,77.84401,75.54465762,81.42026952,113.6139919,68.01439286,83.37850762,78.83872667,67.81868238,78.95476476
"ILMN_1732039","DDX3Y",8653,"Y",83.11807333,132.4443214,144.4735805,100.80511,117.3992448,386.1765333,375.5639714,415.0690952,62.17191429,63.07086524,80.07496333,255.9935352,323.6982667,324.9629671,148.4149438,149.6631395,485.7916476,193.4490252,148.7898267,238.3673738,276.7137267
"ILMN_1808923","LOC728403",728403,"Y",88.14124524,71.72473286,71.47242095,74.98396381,69.29597381,80.37087048,97.49870333,74.60348381,77.03689286,70.61445381,71.35425333,87.64616571,81.62385619,89.67383619,80.08134762,92.94976048,93.56426571,84.10028619,81.78389762,80.67771286,71.83098238
"ILMN_2143383","TTTY14",NA,"Y",80.30163095,98.37033143,85.04257333,69.62484333,77.76512333,93.72883238,99.08421429,96.66544,74.60819643,83.22077762,79.16145762,97.48559667,77.82960857,101.7886333,85.11930714,81.97149429,99.58086762,70.47375286,94.2138881,88.85453238,120.8937071
"ILMN_1656021","DAZ4",57135,"Y",94.24898619,88.16658667,76.10290667,90.23407095,96.08270619,80.7515681,80.51104476,82.06389429,90.11211143,78.89933571,68.65336048,90.41571095,72.56337381,72.32995714,69.20083333,87.16670381,74.63071095,83.66547,72.39936762,78.79508571,73.45603714
