"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FLG",-1.19676085,-0.350412466666667,-5.29518671765195,0.000879402543188676,0.020569345605671,-0.478147042033785
"PTPRCAP",-1.1843053075,-1.07336903333333,-5.28992264021704,0.000884769655366515,0.020569345605671,-0.484593536056487
"RENBP",-1.0689878325,-0.672161886666667,-5.27566921230031,0.000899484171924591,0.020569345605671,-0.502069042349794
"HAND2-AS1",-1.157802975,-0.318855433333333,-5.2730149506027,0.000902253975796409,0.020569345605671,-0.505326621607256
"MAST4",-1.220644025,-0.3926673,-5.27278411005264,0.000902495308958252,0.020569345605671,-0.505609981615907
"IGLL1",-1.132734425,-0.972875516666667,-5.27248186327167,0.000902811401603811,0.020569345605671,-0.505981005644216
"PLB1",-1.21105015,-0.818609316666667,-5.25923923097241,0.000916781180364171,0.020569345605671,-0.522250262101275
"ALX1",-1.52668616,-0.78139235,-5.25900181398819,0.000917033797621182,0.020569345605671,-0.5225421770553
"CADPS",-1.19452109,-0.352858283333333,-5.25868216915926,0.000917374028398574,0.020569345605671,-0.522935208007201
"SLITRK2",-1.1652204,-0.326790341666667,-5.25644252089732,0.000919761820990554,0.020569345605671,-0.525689471927568
"PGLYRP4",-1.2144948,-0.398165573333333,-5.25523679731561,0.000921050133881933,0.020569345605671,-0.527172547319089
"MS4A2",-1.27447929,-0.47328391,-5.23872233785815,0.000938897378552435,0.0208920854613754,-0.54750741269126
"RASSF10",-1.1271703,-0.284436878333333,-5.22838545656848,0.000950262186402991,0.020935185557249,-0.560256093472492
"RGN",-1.21103405,-0.358447583333333,-5.22384782992802,0.000955298837772002,0.020935185557249,-0.565857426153474
"GPR101",-1.1833794,-0.341253633333333,-5.22183185253089,0.000957545950424787,0.020935185557249,-0.568346963723251
"COL25A1",-1.003066315,0.08719849,-5.21936831155054,0.000960299848899069,0.020935185557249,-0.571390015109244
"C11orf87",-1.18362005,-0.341613966666667,-5.21184887021591,0.000968759640703501,0.02103058888997,-0.580683842208841
"IL12RB2",-1.371674875,-0.780554281,-5.20469097970978,0.000976888981606723,0.0210612681151283,-0.589538575426242
"CLIP1-AS1",-1.1623593,-0.322437166666667,-5.1962995332852,0.000986515095938229,0.0210612681151283,-0.59992894927435
"CCNJL",-1.1843249075,-0.344722031666667,-5.19628997014443,0.000986526125558527,0.0210612681151283,-0.599940796401316
"FGF19",-0.977024085,0.127932876666667,-5.1942086560594,0.000988929837112024,0.0210612681151283,-0.602519517693302
"FERMT1",-1.204996625,-0.373104483333333,-5.19024475414586,0.000993525609465138,0.0210895419667057,-0.607432516123199
"HAND2",-1.17717255,-0.33939405,-5.17141324804664,0.00101568262707806,0.0214676850077527,-0.630804758870459
"TRIM55",-0.97874573,0.07110578,-5.15878359593841,0.0010308471592027,0.0214676850077527,-0.646509200940226
"SLC34A2",-1.1871301925,-0.342960578333333,-5.15796606718817,0.0010318373272972,0.0214676850077527,-0.647526579567148
"CD7",-1.3961302,-1.31394743333333,-5.15774393342099,0.00103210655039249,0.0214676850077527,-0.647803032430975
"RTP3",-1.185773775,-0.346284066666667,-5.15512322820904,0.00103528865361028,0.0214676850077527,-0.651065140424947
