"Sample","PC1","PC2","Sex_inferred","Y_marker_mean"
"GSM758903",-1.32667653078893,2.66565386085854,"Female",-0.1154473532
"GSM758910",-6.12060164744371,-1.41276166299552,"Female",-0.0124649414
"GSM758914",4.31851861876657,1.56885732570684,"Female",-0.338295108
"GSM758924",-5.40043282164538,-4.8482681132583,"Male",0.592354304
"GSM758944",-4.58229985384217,-5.92127904893434,"Male",0.84953596
"GSM758951",1.42163593855706,8.08746365606508,"Male",0.605976314
"GSM758956",16.2177721813959,-4.3760328858431,"Male",2.66859688
"GSM758964",-3.76059025673735,0.828094040266505,"Female",-0.083168938
"GSM758968",-0.767325628261998,3.40827282813429,"Female",-0.315712044
