"Sample","PC1","PC2","Sex_inferred","Y_marker_mean"
"GSM758903",-1.69762799562691,4.55648030608735,"Female",-0.1154473532
"GSM758910",-6.31414071661036,-0.835554297884185,"Female",-0.0124649414
"GSM758914",4.41571957874573,9.33042730562088,"Female",-0.338295108
"GSM758924",-6.03869646145649,-6.51995021687063,"Male",0.592354304
"GSM758944",-4.4542016102547,-5.23419291527245,"Male",0.84953596
"GSM758951",1.16583424459517,1.49602787890358,"Male",0.605976314
"GSM758956",19.1620053547215,-4.808023994,"Male",2.66859688
"GSM758964",-4.35369711643746,2.93367183413356,"Female",-0.083168938
"GSM758968",-1.88519527767644,-0.918885900718115,"Female",-0.315712044
